Ticker,Company,Sector,Daily SL %
PRTY,Party City Holdco Inc.,Consumer Cyclical,21.41
RCON,"Recon Technology, Ltd.",Energy,26.96
UXIN,Uxin Limited,Communication Services,30.2
RRD,R. R. Donnelley & Sons Company,Industrials,19.99
RAIL,"FreightCar America, Inc.",Industrials,41.71
TTI,"TETRA Technologies, Inc.",Energy,22.65
PRPO,"Precipio, Inc.",Healthcare,49.36
LXU,"LSB Industries, Inc.",Basic Materials,19.54
UONEK,"Urban One, Inc.",Communication Services,19.09
SID,Companhia Siderurgica Nacional,Basic Materials,12.87
HMHC,Houghton Mifflin Harcourt Company,Consumer Defensive,13.71
WLMS,Williams Industrial Services Group Inc.,Industrials,18.01
GSM,Ferroglobe PLC,Basic Materials,22.36
TGB,Taseko Mines Limited,Basic Materials,19.66
IRIX,IRIDEX Corporation,Healthcare,20.14
BTN,"Ballantyne Strong, Inc",Consumer Cyclical,20.32
BBW,"Build-A-Bear Workshop, Inc.",Consumer Cyclical,16.61
AFMD,Affimed N.V.,Healthcare,19.74
GALT,Galectin Therapeutics Inc.,Healthcare,33.65
HBP,"Huttig Building Products, Inc.",Industrials,22.77
MDCA,MDC Partners Inc.,Communication Services,15.33
VOLT,"Volt Information Sciences, Inc.",Industrials,13.94
FLL,"Full House Resorts, Inc.",Consumer Cyclical,20.27
SB,"Safe Bulkers, Inc.",Industrials,20.75
BTU,Peabody Energy Corporation,Energy,33.87
CHS,"Chico's FAS, Inc.",Consumer Cyclical,17.4
CDEV,"Centennial Resource Development, Inc.",Energy,22.75
PDSB,PDS Biotechnology Corporation,Healthcare,25.57
UROY,Uranium Royalty Corp.,Energy,20.32
LEAF,Leaf Group Ltd.,Communication Services,5.51
XXII,"22nd Century Group, Inc.",Healthcare,31.57
ESTE,"Earthstone Energy, Inc.",Energy,18.06
SMTS,Sierra Metals Inc.,Basic Materials,17.23
CBD,Companhia Brasileira de Distribuicao,Consumer Cyclical,10.28
CX,"CEMEX, S.A.B. de C.V.",Basic Materials,10.67
BKEP,"Blueknight Energy Partners, L.P.",Energy,11.08
GGB,Gerdau S.A.,Basic Materials,10.95
GRIN,Grindrod Shipping Holdings Ltd.,Industrials,15.32
HBIO,"Harvard Bioscience, Inc.",Healthcare,13.31
AFI,"Armstrong Flooring, Inc.",Industrials,14.93
CLMT,"Calumet Specialty Products Partners, L.P.",Energy,13.97
DRTT,DIRTT Environmental Solutions Ltd.,Industrials,15.75
UEC,Uranium Energy Corp.,Energy,22.87
PBPB,Potbelly Corporation,Consumer Cyclical,16.54
PFMT,Performant Financial Corporation,Industrials,19.59
GOGL,Golden Ocean Group Limited,Industrials,10.97
CTXR,"Citius Pharmaceuticals, Inc.",Healthcare,22.34
SCX,The L.S. Starrett Company,Industrials,16.87
SUP,"Superior Industries International, Inc.",Consumer Cyclical,17.44
TRMT,Tremont Mortgage Trust,Real Estate,10.17
