Date,Yolo
2020-01-03,-0.0077
2020-01-06,0.0108
2020-01-07,0.0013
2020-01-08,0.0139
2020-01-09,0.0048
2020-01-10,-0.0032
2020-01-13,0.0175
2020-01-14,0.0007
2020-01-15,-0.0015
2020-01-16,0.0046
2020-01-17,0.0057
2020-01-21,-0.0024
2020-01-22,0.0039
2020-01-23,0.0056
2020-01-24,-0.0029
2020-01-27,-0.0238
2020-01-28,0.0199
2020-01-29,0.0034
2020-01-30,0.0006
2020-01-31,-0.0263
2020-02-04,0.028
2020-02-05,-0.0098
2020-02-06,0.0074
2020-02-07,-0.0036
2020-02-10,0.0151
2020-02-11,-0.0029
2020-02-12,0.0094
2020-02-13,0.0044
2020-02-14,0.0112
2020-02-18,0.0068
2020-02-19,0.0064
2020-02-20,-0.0072
2020-02-21,-0.0144
2020-02-24,-0.0392
2020-02-25,-0.0334
2020-02-26,0.0044
2020-02-27,-0.0496
2020-02-28,0.014
2020-03-03,-0.0248
2020-03-04,0.0458
2020-03-05,-0.0335
2020-03-06,-0.0225
2020-03-09,-0.0751
2020-03-10,0.0568
2020-03-11,-0.0317
2020-03-12,-0.0942
2020-03-13,0.0908
2020-03-16,-0.1194
2020-03-17,0.0621
2020-03-18,-0.0536
2020-03-19,0.0333
2020-03-20,-0.0462
2020-03-23,0.0185
2020-03-24,0.0555
2020-03-25,-0.0086
2020-03-26,0.055
2020-03-27,-0.0326
2020-03-30,0.0291
2020-03-31,0.0012
2020-04-02,0.0194
2020-04-03,-0.0079
2020-04-06,0.0669
2020-04-07,-0.0102
2020-04-08,0.0128
2020-04-09,0.006
2020-04-13,0.023
2020-04-14,0.0465
2020-04-15,-0.0072
2020-04-16,0.0265
2020-04-17,0.0074
2020-04-20,-0.0158
2020-04-21,-0.0374
2020-04-22,0.0377
2020-04-23,-0.0141
2020-04-24,0.014
2020-04-27,0.0137
2020-04-28,-0.0223
2020-04-29,0.0096
2020-04-30,-0.0073
2020-05-04,0.0212
2020-05-05,0.0182
2020-05-06,-0.0003
2020-05-07,-0.0001
2020-05-08,0.0122
2020-05-11,0.0161
2020-05-12,-0.0163
2020-05-13,-0.0039
2020-05-14,0.0018
2020-05-15,0.0152
2020-05-18,0.0055
2020-05-19,-0.0066
2020-05-20,0.0125
2020-05-21,-0.0086
2020-05-22,0.004
2020-05-26,-0.0158
2020-05-27,0.0005
2020-05-28,0.0079
2020-05-29,0.0193
2020-06-02,0.0074
2020-06-03,-0.0024
2020-06-04,-0.0146
2020-06-05,0.0149
2020-06-08,0.0077
2020-06-09,0.0147
2020-06-10,0.0272
2020-06-11,-0.0441
2020-06-12,0.0076
2020-06-15,0.0201
2020-06-16,0.0153
2020-06-17,0.005
2020-06-18,0.0043
2020-06-19,0.0104
2020-06-22,0.016
2020-06-23,0.008
2020-06-24,-0.024
2020-06-25,0.0172
2020-06-26,-0.0288
2020-06-29,0.0103
2020-06-30,0.0255
2020-07-02,0.0146
2020-07-06,0.0164
2020-07-07,0.009
2020-07-08,0.0136
2020-07-09,0.0081
2020-07-10,0.004
2020-07-13,-0.0335
2020-07-14,0.0169
2020-07-15,-0.0021
2020-07-16,-0.0123
2020-07-17,0.0092
2020-07-20,0.0349
2020-07-21,-0.0192
2020-07-22,0.0047
2020-07-23,-0.0296
2020-07-24,-0.0123
2020-07-27,0.0351
2020-07-28,-0.0165
2020-07-29,0.0238
2020-07-30,0.0115
2020-07-31,0.0222
2020-08-04,0.0068
2020-08-05,0.0096
2020-08-06,-0.0047
2020-08-07,-0.0157
2020-08-10,-0.0181
2020-08-11,-0.0202
2020-08-12,0.0332
2020-08-13,0.0143
2020-08-14,-0.0009
2020-08-17,0.0283
2020-08-18,0.0046
2020-08-19,-0.002
2020-08-20,0.0159
2020-08-21,0.0129
2020-08-24,0.0033
2020-08-25,0.0009
2020-08-26,0.0111
2020-08-27,-0.0077
2020-08-28,-0.0019
2020-08-31,0.0246
2020-09-02,-0.0006
2020-09-03,-0.0662
2020-09-04,-0.0244
2020-09-08,-0.0525
2020-09-09,0.0378
2020-09-10,-0.0241
2020-09-11,-0.0122
2020-09-14,0.0287
2020-09-15,0.0157
2020-09-16,-0.0281
2020-09-17,-0.0151
2020-09-18,-0.0031
2020-09-21,0.0268
2020-09-22,0.0212
2020-09-23,-0.0323
2020-09-24,-0.0023
2020-09-25,0.0334
2020-09-28,0.0151
2020-09-29,-0.0001
2020-09-30,0.0069
2020-10-02,-0.0303
2020-10-05,0.0329
2020-10-06,-0.0203
2020-10-07,0.0257
2020-10-08,-0.0004
2020-10-09,0.0168
2020-10-12,0.0194
2020-10-13,0.0155
2020-10-14,-0.0122
2020-10-15,-0.0029
2020-10-16,0.0012
2020-10-19,-0.0144
2020-10-20,0.0014
2020-10-21,-0.0114
2020-10-22,-0.0109
2020-10-23,0.0053
2020-10-26,-0.0108
2020-10-27,0.0086
2020-10-28,-0.0324
2020-10-29,0.0096
2020-10-30,-0.0458
2020-11-03,0.0169
2020-11-04,0.0432
2020-11-05,0.0443
2020-11-06,0.0056
2020-11-09,-0.0364
2020-11-10,-0.0324
2020-11-11,0.0321
2020-11-12,-0.0046
2020-11-13,0.0024
2020-11-16,0.0111
2020-11-17,-0.0019
2020-11-18,0.0024
2020-11-19,0.0078
2020-11-20,-0.0108
2020-11-23,-0.0008
2020-11-24,0.0154
2020-11-25,0.0085
2020-11-27,0.0161
2020-11-30,0.007
2020-12-02,-0.0024
2020-12-03,0.0044
2020-12-04,0.0136
2020-12-07,0.0078
2020-12-08,0.0033
2020-12-09,-0.0324
2020-12-10,0.0111
2020-12-11,-0.0088
2020-12-14,0.0107
2020-12-15,0.0139
2020-12-16,0.0057
2020-12-17,0.0115
2020-12-18,0.0034
2020-12-21,-0.0039
2020-12-22,0.0107
2020-12-23,-0.0146
2020-12-24,0.0048
2020-12-28,-0.0062
2020-12-29,0.0003
2020-12-30,0.0044
2020-12-31,0.0027
2021-01-05,0.0056
2021-01-06,-0.0077
2021-01-07,0.0299
2021-01-08,0.0317
2021-01-11,-0.0167
2021-01-12,0.0133
2021-01-13,0.0118
2021-01-14,0.0065
2021-01-15,-0.0144
2021-01-19,0.0219
2021-01-20,0.0134
2021-01-21,-0.0035
2021-01-22,0.0017
2021-01-25,0.0043
2021-01-26,-0.0144
2021-01-27,-0.0474
2021-01-28,0.0279
