date,Close
2019-01-02,89.23
2019-01-03,86.29
2019-01-04,89.07
2019-01-07,90.37
2019-01-08,90.79
2019-01-09,87.81
2019-01-10,88.2
2019-01-11,88.31
2019-01-14,84.76
2019-01-15,85.5
2019-01-16,85.55
2019-01-17,87.2
2019-01-18,89.5
2019-01-22,88.66
2019-01-23,88.45
2019-01-24,85.88
2019-01-25,80.54
2019-01-28,77.14
2019-01-29,77.47
2019-01-30,79.06
2019-01-31,80.29
2019-02-01,80.5
2019-02-04,78.53
2019-02-05,79.69
2019-02-06,79.08
2019-02-07,79.17
2019-02-08,79.67
2019-02-11,79.77
2019-02-12,79.93
2019-02-13,80.79
2019-02-14,80.52
2019-02-15,80.85
2019-02-19,80.52
2019-02-20,79.99
2019-02-21,78.75
2019-02-22,80.02
2019-02-25,80.29
2019-02-26,80.51
2019-02-27,79.41
2019-02-28,79.24
2019-03-01,80.1
2019-03-04,79.46
2019-03-05,78.91
2019-03-06,78.09
2019-03-07,78.24
2019-03-08,77.58
2019-03-11,78.08
2019-03-12,78.74
2019-03-13,78.93
2019-03-14,79.95
2019-03-15,81.34
2019-03-18,80.65
2019-03-19,80.82
2019-03-20,80.43
2019-03-21,81.24
2019-03-22,79.76
2019-03-25,79.51
2019-03-26,80.76
2019-03-27,79.89
2019-03-28,79.96
2019-03-29,80.59
2019-04-01,80.78
2019-04-02,83.07
2019-04-03,83.08
2019-04-04,82.81
2019-04-05,83.45
2019-04-08,83.98
2019-04-09,82.69
2019-04-10,82.95
2019-04-11,81.77
2019-04-12,80.78
2019-04-15,81.03
2019-04-16,80.21
2019-04-17,77.98
2019-04-18,77.57
2019-04-22,78.15
2019-04-23,78.66
2019-04-24,78.67
2019-04-25,79.34
2019-04-26,79.7
2019-04-29,80.3
2019-04-30,79.39
2019-05-01,78.89
2019-05-02,78.47
2019-05-03,78.71
2019-05-06,79.26
2019-05-07,77.95
2019-05-08,77.99
2019-05-09,77.91
2019-05-10,77.45
2019-05-13,76.87
2019-05-14,78.44
2019-05-15,78.78
2019-05-16,79.5
2019-05-17,79.46
2019-05-20,79.82
2019-05-21,80.88
2019-05-22,81.59
2019-05-23,81.15
2019-05-24,80.06
2019-05-28,78.03
2019-05-29,78.06
2019-05-30,77.61
2019-05-31,76.71
2019-06-03,75.7
2019-06-04,76.75
2019-06-05,77.06
2019-06-06,77.07
2019-06-07,77.43
