date,Close
2019-01-02,67.49
2019-01-03,65.57
2019-01-04,68.05
2019-01-07,67.94
2019-01-08,68.94
2019-01-09,69.4
2019-01-10,70.6
2019-01-11,70.55
2019-01-14,70.21
2019-01-15,69.88
2019-01-16,70.28
2019-01-17,71.23
2019-01-18,72.36
2019-01-22,70.79
2019-01-23,70.71
2019-01-24,71.2
2019-01-25,71.32
2019-01-28,70.15
2019-01-29,71.77
2019-01-30,72.59
2019-01-31,72.9
2019-02-01,73.41
2019-02-04,73.7
2019-02-05,74.9
2019-02-06,74.62
2019-02-07,75.11
2019-02-08,75.76
2019-02-11,76.05
2019-02-12,77.34
2019-02-13,78.77
2019-02-14,77.91
2019-02-15,79.01
2019-02-19,79.04
2019-02-20,79.81
2019-02-21,79.26
2019-02-22,79.4
2019-02-25,79.77
2019-02-26,79.13
2019-02-27,79.64
2019-02-28,79.58
2019-03-01,79.57
2019-03-04,79.5
2019-03-05,79.15
2019-03-06,79.26
2019-03-07,78.93
2019-03-08,78.64
2019-03-11,80.09
2019-03-12,80.14
2019-03-13,81.09
2019-03-14,80.65
2019-03-15,80.81
2019-03-18,81.76
2019-03-19,81.09
2019-03-20,80.86
2019-03-21,82.14
2019-03-22,79.41
2019-03-25,79.62
2019-03-26,80.65
2019-03-27,80.68
2019-03-28,82.23
2019-03-29,82.97
2019-04-01,84.0
2019-04-02,83.72
2019-04-03,84.33
2019-04-04,84.01
2019-04-05,84.29
2019-04-08,84.62
2019-04-09,83.55
2019-04-10,84.04
2019-04-11,84.8
2019-04-12,85.81
2019-04-15,85.62
2019-04-16,85.91
2019-04-17,85.75
2019-04-18,86.49
2019-04-22,86.62
2019-04-23,87.29
2019-04-24,87.1
2019-04-25,85.91
2019-04-26,87.3
2019-04-29,87.44
2019-04-30,88.17
2019-05-01,86.36
2019-05-02,87.02
2019-05-03,87.35
2019-05-06,86.52
2019-05-07,85.46
2019-05-08,85.49
2019-05-09,85.45
2019-05-10,85.58
2019-05-13,84.11
2019-05-14,85.02
2019-05-15,85.77
2019-05-16,86.59
2019-05-17,85.9
2019-05-20,85.16
2019-05-21,86.47
2019-05-22,85.61
2019-05-23,84.87
2019-05-24,84.49
2019-05-28,83.93
2019-05-29,83.39
2019-05-30,83.81
2019-05-31,81.89
2019-06-03,82.18
2019-06-04,83.67
2019-06-05,84.37
2019-06-06,83.94
2019-06-07,85.77
2019-06-10,86.48
2019-06-11,86.3
2019-06-12,85.52
2019-06-13,85.68
2019-06-14,84.99
2019-06-17,84.45
2019-06-18,86.51
2019-06-19,86.8
2019-06-20,88.58
2019-06-21,87.76
2019-06-24,87.85
2019-06-25,87.56
2019-06-26,87.83
2019-06-27,88.26
2019-06-28,90.84
2019-07-01,92.11
2019-07-02,91.22
2019-07-03,91.91
2019-07-05,91.09
2019-07-08,90.6
2019-07-09,90.37
2019-07-10,89.58
2019-07-11,89.59
2019-07-12,91.0
2019-07-15,90.98
2019-07-16,91.3
2019-07-17,89.28
2019-07-18,88.9
2019-07-19,88.71
2019-07-22,88.61
2019-07-23,89.8
2019-07-24,89.98
2019-07-25,89.23
2019-07-26,89.28
2019-07-29,88.55
2019-07-30,90.75
2019-07-31,89.61
2019-08-01,88.32
2019-08-02,86.5
2019-08-05,84.08
2019-08-06,85.74
2019-08-07,85.26
2019-08-08,86.93
2019-08-09,85.33
2019-08-12,85.04
2019-08-13,86.09
2019-08-14,83.33
2019-08-15,84.33
2019-08-16,85.65
2019-08-19,86.7
2019-08-20,86.21
2019-08-21,86.33
2019-08-22,85.77
2019-08-23,83.62
2019-08-26,82.96
2019-08-27,83.73
2019-08-28,84.11
2019-08-29,86.11
2019-08-30,85.93
2019-09-03,83.38
2019-09-04,85.17
2019-09-05,88.33
2019-09-06,89.27
2019-09-09,89.77
2019-09-10,88.4
2019-09-11,88.1
2019-09-12,89.82
2019-09-13,90.7
2019-09-16,90.86
2019-09-17,90.39
2019-09-18,90.02
2019-09-19,90.21
2019-09-20,89.88
2019-09-23,89.45
2019-09-24,89.88
2019-09-25,90.51
2019-09-26,90.17
2019-09-27,91.37
2019-09-30,91.82
2019-10-01,88.8
2019-10-02,86.3
2019-10-03,87.39
2019-10-04,88.83
2019-10-07,88.0
2019-10-08,85.98
2019-10-09,86.93
2019-10-10,87.95
2019-10-11,88.51
2019-10-14,88.36
2019-10-15,89.06
2019-10-16,88.54
2019-10-17,88.51
2019-10-18,88.35
2019-10-21,88.23
2019-10-22,88.38
2019-10-23,89.0
2019-10-24,89.12
2019-10-25,89.96
2019-10-28,90.4
2019-10-29,91.63
2019-10-30,91.31
2019-10-31,91.65
2019-11-01,94.2
2019-11-04,95.62
2019-11-05,96.25
2019-11-06,96.37
2019-11-07,96.2
2019-11-08,96.54
2019-11-11,96.36
2019-11-12,96.25
2019-11-13,96.05
2019-11-14,97.0
2019-11-15,98.17
2019-11-18,97.36
2019-11-19,99.18
2019-11-20,98.49
2019-11-21,97.87
2019-11-22,97.9
2019-11-25,98.71
2019-11-26,99.26
2019-11-27,99.49
2019-11-29,99.01
2019-12-02,97.54
2019-12-03,96.87
2019-12-04,96.7
2019-12-05,97.68
2019-12-06,98.55
2019-12-09,98.33
2019-12-10,98.08
2019-12-11,98.67
2019-12-12,99.3
2019-12-13,98.56
2019-12-16,99.26
2019-12-17,99.2
2019-12-18,98.96
2019-12-19,99.56
2019-12-20,99.78
2019-12-23,100.14
2019-12-24,99.71
2019-12-26,100.07
2019-12-27,99.95
2019-12-30,99.93
2019-12-31,99.74
2020-01-02,100.8
2020-01-03,100.94
2020-01-06,101.05
2020-01-07,101.63
2020-01-08,101.86
2020-01-09,101.36
2020-01-10,100.76
2020-01-13,100.83
2020-01-14,100.84
2020-01-15,100.66
2020-01-16,100.19
2020-01-17,101.78
2020-01-21,101.26
2020-01-22,100.27
2020-01-23,100.78
2020-01-24,99.57
2020-01-27,97.78
2020-01-28,99.33
2020-01-29,99.63
2020-01-30,99.33
2020-01-31,97.15
2020-02-03,97.72
2020-02-04,99.11
2020-02-05,100.03
2020-02-06,98.68
2020-02-07,98.3
2020-02-10,98.6
2020-02-11,100.15
2020-02-12,101.77
2020-02-13,101.44
2020-02-14,101.34
2020-02-18,100.47
2020-02-19,100.17
2020-02-20,100.55
2020-02-21,99.34
2020-02-24,95.36
2020-02-25,91.75
2020-02-26,91.11
2020-02-27,87.36
2020-02-28,86.0
2020-03-02,90.02
2020-03-03,87.32
2020-03-04,91.01
2020-03-05,89.07
2020-03-06,88.52
2020-03-09,76.26
2020-03-10,82.26
2020-03-11,77.25
2020-03-12,67.52
2020-03-13,74.6
2020-03-16,62.54
2020-03-17,65.9
2020-03-18,65.65
2020-03-19,69.01
2020-03-20,63.37
2020-03-23,58.21
2020-03-24,67.94
2020-03-25,71.0
2020-03-26,72.41
2020-03-27,71.01
2020-03-30,73.72
2020-03-31,72.02
2020-04-01,69.81
2020-04-02,71.09
2020-04-03,71.29
2020-04-06,75.43
2020-04-07,75.79
2020-04-08,77.23
2020-04-09,78.23
2020-04-13,76.97
2020-04-14,78.08
2020-04-15,76.05
2020-04-16,76.0
2020-04-17,80.31
2020-04-20,77.75
2020-04-21,73.91
2020-04-22,75.89
2020-04-23,75.68
2020-04-24,77.06
2020-04-27,79.28
2020-04-28,80.76
2020-04-29,84.5
2020-04-30,83.87
2020-05-01,80.49
2020-05-04,79.67
2020-05-05,81.19
2020-05-06,81.72
2020-05-07,83.31
2020-05-08,84.32
2020-05-11,83.24
2020-05-12,80.82
2020-05-13,77.97
2020-05-14,78.75
2020-05-15,79.59
2020-05-18,83.28
2020-05-19,84.01
2020-05-20,84.83
2020-05-21,84.86
2020-05-22,85.9
2020-05-26,88.41
2020-05-27,91.69
2020-05-28,91.88
2020-05-29,91.71
2020-06-01,92.02
2020-06-02,92.94
2020-06-03,95.01
2020-06-04,94.21
2020-06-05,96.99
2020-06-08,95.95
2020-06-09,94.79
2020-06-10,93.15
2020-06-11,88.09
2020-06-12,87.66
2020-06-15,88.28
2020-06-16,90.74
2020-06-17,89.98
2020-06-18,89.2
2020-06-19,88.53
2020-06-22,89.33
2020-06-23,89.08
2020-06-24,85.84
2020-06-25,87.14
2020-06-26,85.79
2020-06-29,88.11
2020-06-30,89.37
2020-07-01,87.59
2020-07-02,88.96
2020-07-06,89.76
2020-07-07,88.38
2020-07-08,87.99
2020-07-09,86.26
2020-07-10,86.9
2020-07-13,88.47
2020-07-14,91.79
2020-07-15,93.22
2020-07-16,92.73
2020-07-17,92.95
2020-07-20,91.43
2020-07-21,92.06
2020-07-22,93.62
2020-07-23,93.32
2020-07-24,92.9
2020-07-27,93.05
2020-07-28,92.08
2020-07-29,94.35
2020-07-30,93.9
2020-07-31,93.25
2020-08-03,94.95
2020-08-04,94.49
2020-08-05,96.42
2020-08-06,97.52
2020-08-07,97.79
2020-08-10,99.04
2020-08-11,99.25
2020-08-12,101.23
2020-08-13,100.96
2020-08-14,101.28
2020-08-17,101.4
2020-08-18,101.58
2020-08-19,101.01
2020-08-20,100.16
2020-08-21,100.24
2020-08-24,100.8
2020-08-25,100.92
2020-08-26,101.01
2020-08-27,100.91
2020-08-28,101.93
2020-08-31,100.7
