date,Close
2019-01-02,37.8
2019-01-03,38.33
2019-01-04,39.18
2019-01-07,38.78
2019-01-08,38.13
2019-01-09,37.8
2019-01-10,38.26
2019-01-11,36.95
2019-01-14,35.55
2019-01-15,36.11
2019-01-16,35.79
2019-01-17,36.29
2019-01-18,36.55
2019-01-22,36.27
2019-01-23,36.69
2019-01-24,35.79
2019-01-25,35.75
2019-01-28,35.49
2019-01-29,35.55
2019-01-30,35.95
2019-01-31,36.58
2019-02-01,36.65
2019-02-04,36.76
2019-02-05,37.0
2019-02-06,36.87
2019-02-07,36.94
2019-02-08,37.01
2019-02-11,36.68
2019-02-12,37.2
2019-02-13,36.58
2019-02-14,39.98
2019-02-15,40.92
2019-02-19,40.46
2019-02-20,40.53
2019-02-21,40.43
2019-02-22,40.94
2019-02-25,41.5
2019-02-26,41.98
2019-02-27,42.39
2019-02-28,41.58
2019-03-01,41.76
2019-03-04,41.69
2019-03-05,42.31
2019-03-06,42.03
2019-03-07,41.66
2019-03-08,41.77
2019-03-11,42.19
2019-03-12,41.85
2019-03-13,42.45
2019-03-14,42.27
2019-03-15,42.51
2019-03-18,42.58
2019-03-19,42.87
2019-03-20,43.02
2019-03-21,42.95
2019-03-22,42.59
2019-03-25,42.55
2019-03-26,42.94
2019-03-27,42.65
2019-03-28,42.98
2019-03-29,40.43
2019-04-01,41.27
2019-04-02,41.59
2019-04-03,41.09
2019-04-04,40.53
2019-04-05,40.7
2019-04-08,40.86
2019-04-09,40.69
2019-04-10,40.54
2019-04-11,39.84
2019-04-12,39.52
2019-04-15,39.81
2019-04-16,39.3
2019-04-17,38.77
2019-04-18,38.8
2019-04-22,38.75
2019-04-23,38.69
2019-04-24,38.72
2019-04-25,39.06
2019-04-26,37.99
2019-04-29,38.18
2019-04-30,37.66
2019-05-01,37.35
2019-05-02,37.62
2019-05-03,38.41
2019-05-06,38.35
2019-05-07,37.98
2019-05-08,38.3
2019-05-09,38.47
2019-05-10,37.65
2019-05-13,37.28
2019-05-14,37.82
2019-05-15,37.68
2019-05-16,37.8
2019-05-17,37.78
2019-05-20,37.54
2019-05-21,37.88
2019-05-22,38.61
2019-05-23,38.66
2019-05-24,39.02
2019-05-28,38.01
2019-05-29,37.53
2019-05-30,37.51
2019-05-31,37.38
2019-06-03,37.9
2019-06-04,38.59
2019-06-05,38.36
2019-06-06,38.83
2019-06-07,39.02
2019-06-10,39.59
2019-06-11,39.39
2019-06-12,39.93
2019-06-13,39.91
2019-06-14,39.67
2019-06-17,39.98
2019-06-18,40.95
2019-06-19,41.68
2019-06-20,41.61
2019-06-21,41.36
2019-06-24,41.49
2019-06-25,41.4
2019-06-26,40.97
2019-06-27,40.99
2019-06-28,41.28
2019-07-01,41.31
2019-07-02,41.71
2019-07-03,41.99
2019-07-05,40.94
2019-07-08,40.83
2019-07-09,40.74
2019-07-10,41.13
2019-07-11,40.45
2019-07-12,40.21
2019-07-15,40.22
2019-07-16,40.2
2019-07-17,40.34
2019-07-18,40.73
2019-07-19,40.12
2019-07-22,40.33
2019-07-23,40.58
2019-07-24,40.35
2019-07-25,42.66
2019-07-26,43.51
2019-07-29,44.39
2019-07-30,43.86
2019-07-31,43.41
2019-08-01,44.0
2019-08-02,44.28
2019-08-05,43.56
2019-08-06,43.62
2019-08-07,43.92
2019-08-08,44.14
2019-08-09,44.77
2019-08-12,44.36
2019-08-13,44.86
2019-08-14,43.81
2019-08-15,44.18
2019-08-16,44.34
2019-08-19,44.42
2019-08-20,44.62
2019-08-21,45.42
2019-08-22,45.41
2019-08-23,44.58
2019-08-26,44.83
2019-08-27,44.88
2019-08-28,44.8
2019-08-29,45.42
2019-08-30,45.03
2019-09-03,45.27
2019-09-04,45.34
2019-09-05,44.76
2019-09-06,44.74
2019-09-09,43.8
2019-09-10,43.27
2019-09-11,43.1
2019-09-12,42.9
2019-09-13,42.77
2019-09-16,42.51
2019-09-17,43.13
2019-09-18,43.57
2019-09-19,44.61
2019-09-20,45.18
2019-09-23,44.57
2019-09-24,45.17
2019-09-25,45.34
2019-09-26,45.47
2019-09-27,45.28
2019-09-30,44.57
2019-10-01,43.66
2019-10-02,42.46
2019-10-03,43.17
2019-10-04,43.31
2019-10-07,43.44
2019-10-08,43.04
2019-10-09,43.4
2019-10-10,43.6
2019-10-11,43.58
2019-10-14,43.84
2019-10-15,44.21
2019-10-16,43.79
2019-10-17,44.13
2019-10-18,43.87
2019-10-21,43.72
2019-10-22,43.92
2019-10-23,44.69
2019-10-24,47.25
2019-10-25,47.67
2019-10-28,47.75
2019-10-29,47.59
2019-10-30,49.02
2019-10-31,49.03
2019-11-01,48.39
2019-11-04,48.11
2019-11-05,47.2
2019-11-06,47.34
2019-11-07,46.8
2019-11-08,47.26
2019-11-11,46.88
2019-11-12,47.08
2019-11-13,47.82
2019-11-14,47.37
2019-11-15,47.44
2019-11-18,47.94
2019-11-19,47.67
2019-11-20,47.01
2019-11-21,47.61
2019-11-22,47.97
2019-11-25,48.77
2019-11-26,48.76
2019-11-27,48.77
2019-11-29,48.48
2019-12-02,48.38
2019-12-03,47.89
2019-12-04,48.2
2019-12-05,47.62
2019-12-06,47.68
2019-12-09,47.77
2019-12-10,47.98
2019-12-11,48.19
2019-12-12,47.92
2019-12-13,48.36
2019-12-16,49.31
2019-12-17,48.97
2019-12-18,49.24
2019-12-19,49.97
2019-12-20,50.46
2019-12-23,49.89
2019-12-24,49.87
2019-12-26,49.85
2019-12-27,50.44
2019-12-30,50.01
2019-12-31,49.86
2020-01-02,50.39
2020-01-03,50.09
2020-01-06,49.88
2020-01-07,50.07
2020-01-08,49.95
2020-01-09,50.08
2020-01-10,49.85
2020-01-13,49.67
2020-01-14,50.18
2020-01-15,50.8
2020-01-16,50.51
2020-01-17,51.33
2020-01-21,50.8
2020-01-22,50.45
2020-01-23,50.2
2020-01-24,49.28
2020-01-27,48.9
2020-01-28,49.6
2020-01-29,49.66
2020-01-30,49.09
2020-01-31,48.7
2020-02-03,48.51
2020-02-04,48.76
2020-02-05,49.73
2020-02-06,50.03
2020-02-07,49.4
2020-02-10,49.91
2020-02-11,49.78
2020-02-12,49.58
2020-02-13,49.33
2020-02-14,47.85
2020-02-18,49.11
2020-02-19,49.31
2020-02-20,48.94
2020-02-21,50.17
2020-02-24,47.59
2020-02-25,47.08
2020-02-26,47.57
2020-02-27,45.07
2020-02-28,43.8
2020-03-02,45.87
2020-03-03,45.52
2020-03-04,48.6
2020-03-05,48.38
2020-03-06,47.52
2020-03-09,45.23
2020-03-10,46.9
2020-03-11,44.58
2020-03-12,40.76
2020-03-13,42.28
2020-03-16,37.79
2020-03-17,40.93
2020-03-18,39.36
2020-03-19,40.13
2020-03-20,39.42
2020-03-23,38.78
2020-03-24,40.89
2020-03-25,40.38
2020-03-26,42.36
2020-03-27,42.47
2020-03-30,44.53
2020-03-31,44.66
2020-04-01,43.78
2020-04-02,43.76
2020-04-03,43.96
2020-04-06,44.31
2020-04-07,43.1
2020-04-08,43.85
2020-04-09,44.66
2020-04-13,47.36
2020-04-14,48.68
2020-04-15,48.03
2020-04-16,49.13
2020-04-17,50.03
2020-04-20,50.44
2020-04-21,50.07
2020-04-22,50.36
2020-04-23,50.39
2020-04-24,51.18
2020-04-27,51.48
2020-04-28,50.97
2020-04-29,50.72
2020-04-30,52.28
2020-05-01,51.86
2020-05-04,52.35
2020-05-05,53.47
2020-05-06,54.04
2020-05-07,52.74
2020-05-08,53.29
2020-05-11,53.95
2020-05-12,54.11
2020-05-13,55.31
2020-05-14,53.5
2020-05-15,53.41
2020-05-18,53.45
2020-05-19,53.57
2020-05-20,53.78
2020-05-21,55.28
2020-05-22,55.22
2020-05-26,53.11
2020-05-27,52.47
2020-05-28,53.5
2020-05-29,54.6
2020-06-01,55.16
2020-06-02,54.72
2020-06-03,55.0
2020-06-04,53.87
2020-06-05,53.85
2020-06-08,52.58
2020-06-09,52.73
2020-06-10,53.64
2020-06-11,51.57
2020-06-12,51.47
2020-06-15,52.64
2020-06-16,53.58
2020-06-17,53.9
2020-06-18,52.66
2020-06-19,53.02
2020-06-22,53.42
2020-06-23,54.25
2020-06-24,52.13
2020-06-25,53.01
2020-06-26,52.7
2020-06-29,52.91
2020-06-30,52.89
2020-07-01,53.32
2020-07-02,53.8
2020-07-06,54.1
2020-07-07,53.47
2020-07-08,54.19
2020-07-09,53.97
2020-07-10,53.76
2020-07-13,53.24
2020-07-14,53.98
2020-07-15,58.0
2020-07-16,57.43
2020-07-17,61.1
2020-07-20,58.68
2020-07-21,58.07
2020-07-22,56.98
2020-07-23,55.17
2020-07-24,55.8
