date,Close
2019-01-02,47.86
2019-01-03,46.39
2019-01-04,49.22
2019-01-07,49.48
2019-01-08,49.33
2019-01-09,49.6
2019-01-10,47.54
2019-01-11,47.2
2019-01-14,47.14
2019-01-15,47.53
2019-01-16,47.34
2019-01-17,47.85
2019-01-18,48.04
2019-01-22,46.37
2019-01-23,46.53
2019-01-24,46.62
2019-01-25,48.21
2019-01-28,48.21
2019-01-29,49.11
2019-01-30,50.73
2019-01-31,51.19
2019-02-01,51.09
2019-02-04,51.12
2019-02-05,51.15
2019-02-06,51.01
2019-02-07,50.47
2019-02-08,50.7
2019-02-11,50.9
2019-02-12,51.25
2019-02-13,51.66
2019-02-14,51.97
2019-02-15,52.76
2019-02-19,53.2
2019-02-20,54.17
2019-02-21,53.39
2019-02-22,54.3
2019-02-25,54.16
2019-02-26,54.48
2019-02-27,54.28
2019-02-28,52.9
2019-03-01,52.51
2019-03-04,52.79
2019-03-05,52.89
2019-03-06,53.23
2019-03-07,51.89
2019-03-08,51.65
2019-03-11,52.13
2019-03-12,52.28
2019-03-13,52.81
2019-03-14,52.2
2019-03-15,52.12
2019-03-18,53.02
2019-03-19,52.84
2019-03-20,53.39
2019-03-21,53.69
2019-03-22,52.25
2019-03-25,52.71
2019-03-26,53.5
2019-03-27,53.86
2019-03-28,54.01
2019-03-29,54.67
2019-04-01,56.0
2019-04-02,56.11
2019-04-03,56.3
2019-04-04,56.18
2019-04-05,56.33
2019-04-08,57.13
2019-04-09,56.51
2019-04-10,57.0
2019-04-11,56.35
2019-04-12,56.83
2019-04-15,56.02
2019-04-16,55.37
2019-04-17,55.12
2019-04-18,54.95
2019-04-22,55.13
2019-04-23,54.68
2019-04-24,53.3
2019-04-25,53.35
2019-04-26,53.28
2019-04-29,53.34
2019-04-30,52.95
2019-05-01,51.92
2019-05-02,51.72
2019-05-03,52.81
2019-05-06,51.9
2019-05-07,51.89
2019-05-08,51.78
2019-05-09,51.45
2019-05-10,51.87
2019-05-13,50.65
2019-05-14,51.25
2019-05-15,51.42
2019-05-16,52.04
2019-05-17,52.07
2019-05-20,52.32
2019-05-21,52.34
2019-05-22,51.76
2019-05-23,51.28
2019-05-24,52.48
2019-05-28,53.15
2019-05-29,52.64
2019-05-30,52.5
2019-05-31,51.91
2019-06-03,52.38
2019-06-04,53.01
2019-06-05,52.38
2019-06-06,52.72
2019-06-07,53.1
2019-06-10,53.33
2019-06-11,55.05
2019-06-12,54.78
2019-06-13,55.47
2019-06-14,54.97
2019-06-17,54.85
2019-06-18,56.37
2019-06-19,55.73
2019-06-20,57.09
2019-06-21,56.6
2019-06-24,57.34
2019-06-25,57.08
2019-06-26,57.87
2019-06-27,58.21
2019-06-28,58.11
2019-07-01,58.44
2019-07-02,58.97
2019-07-03,58.93
2019-07-05,56.61
2019-07-08,57.19
2019-07-09,56.87
2019-07-10,57.44
2019-07-11,57.21
2019-07-12,57.24
2019-07-15,57.85
2019-07-16,57.56
2019-07-17,58.01
2019-07-18,57.84
2019-07-19,58.3
2019-07-22,58.47
2019-07-23,58.38
2019-07-24,56.34
2019-07-25,56.11
2019-07-26,56.13
2019-07-29,56.43
2019-07-30,56.26
2019-07-31,54.93
2019-08-01,52.93
2019-08-02,52.05
2019-08-05,50.43
2019-08-06,50.22
2019-08-07,49.89
2019-08-08,51.0
2019-08-09,49.98
2019-08-12,49.54
2019-08-13,50.65
2019-08-14,49.17
2019-08-15,49.3
2019-08-16,48.81
2019-08-19,49.14
2019-08-20,48.43
2019-08-21,47.61
2019-08-22,47.25
2019-08-23,46.69
2019-08-26,47.22
2019-08-27,47.14
2019-08-28,47.81
2019-08-29,48.14
2019-08-30,49.16
2019-09-03,48.73
2019-09-04,50.41
2019-09-05,49.31
2019-09-06,49.16
2019-09-09,49.75
2019-09-10,50.36
2019-09-11,50.58
2019-09-12,50.96
2019-09-13,51.92
2019-09-16,52.04
2019-09-17,51.58
2019-09-18,51.19
2019-09-19,51.35
2019-09-20,50.99
2019-09-23,50.6
2019-09-24,49.21
2019-09-25,49.63
2019-09-26,49.48
2019-09-27,49.77
2019-09-30,49.38
2019-10-01,49.01
2019-10-02,47.68
2019-10-03,47.87
2019-10-04,48.41
2019-10-07,47.8
2019-10-08,47.47
2019-10-09,47.54
2019-10-10,48.37
2019-10-11,49.61
2019-10-14,48.62
2019-10-15,48.68
2019-10-16,48.17
2019-10-17,47.67
2019-10-18,47.53
2019-10-21,48.38
2019-10-22,48.56
2019-10-23,49.03
2019-10-24,48.87
2019-10-25,49.22
2019-10-28,49.89
2019-10-29,49.72
2019-10-30,49.37
2019-10-31,48.91
2019-11-01,49.99
2019-11-04,50.91
2019-11-05,51.85
2019-11-06,51.4
2019-11-07,51.47
2019-11-08,50.79
2019-11-11,50.37
2019-11-12,50.32
2019-11-13,49.71
2019-11-14,49.9
2019-11-15,50.89
2019-11-18,50.65
2019-11-19,51.12
2019-11-20,50.22
2019-11-21,50.32
2019-11-22,50.84
2019-11-25,51.46
2019-11-26,51.57
2019-11-27,51.85
2019-11-29,51.53
2019-12-02,51.75
2019-12-03,50.79
2019-12-04,51.42
2019-12-05,51.08
2019-12-06,51.75
2019-12-09,52.27
2019-12-10,52.59
2019-12-11,53.22
2019-12-12,53.74
2019-12-13,54.16
2019-12-16,55.19
2019-12-17,55.31
2019-12-18,54.74
2019-12-19,54.63
2019-12-20,54.36
2019-12-23,54.52
2019-12-24,54.46
2019-12-26,54.81
2019-12-27,54.93
2019-12-30,54.72
2019-12-31,54.71
2020-01-02,54.92
2020-01-03,54.55
2020-01-06,54.49
2020-01-07,54.49
2020-01-08,54.76
2020-01-09,54.24
2020-01-10,54.39
2020-01-13,54.75
2020-01-14,55.19
2020-01-15,55.03
2020-01-16,55.56
2020-01-17,56.48
2020-01-21,55.58
