date,Close
2019-01-02,52.43
2019-01-03,45.12
2019-01-04,46.89
2019-01-07,48.41
2019-01-08,47.99
2019-01-09,47.18
2019-01-10,47.72
2019-01-11,47.99
2019-01-14,47.97
2019-01-15,49.72
2019-01-16,49.13
2019-01-17,49.6
2019-01-18,50.12
2019-01-22,49.72
2019-01-23,49.96
2019-01-24,49.02
2019-01-25,48.93
2019-01-28,48.32
2019-01-29,48.32
2019-01-30,48.86
2019-01-31,49.37
2019-02-01,49.89
2019-02-04,50.85
2019-02-05,50.15
2019-02-06,51.14
2019-02-07,50.05
2019-02-08,50.22
2019-02-11,50.1
2019-02-12,49.71
2019-02-13,50.98
2019-02-14,50.83
2019-02-15,51.67
2019-02-19,51.36
2019-02-20,51.3
2019-02-21,50.13
2019-02-22,50.98
2019-02-25,50.65
2019-02-26,50.16
2019-02-27,50.96
2019-02-28,51.66
2019-03-01,53.22
2019-03-04,53.05
2019-03-05,53.8
2019-03-06,52.89
2019-03-07,51.51
2019-03-08,51.39
2019-03-11,50.9
2019-03-12,50.38
2019-03-13,50.97
2019-03-14,49.89
2019-03-15,49.96
2019-03-18,49.86
2019-03-19,49.6
2019-03-20,49.19
2019-03-21,48.92
2019-03-22,48.16
2019-03-25,47.49
2019-03-26,48.34
2019-03-27,47.98
2019-03-28,47.84
2019-03-29,47.71
2019-04-01,47.09
2019-04-02,46.7
2019-04-03,46.88
2019-04-04,46.67
2019-04-05,46.64
2019-04-08,46.79
2019-04-09,45.98
2019-04-10,45.89
2019-04-11,46.09
2019-04-12,45.57
2019-04-15,46.5
2019-04-16,46.02
2019-04-17,45.8
2019-04-18,45.52
2019-04-22,45.24
2019-04-23,45.32
2019-04-24,44.62
2019-04-25,45.64
2019-04-26,45.89
2019-04-29,46.32
2019-04-30,46.43
2019-05-01,46.58
2019-05-02,46.88
2019-05-03,48.62
2019-05-06,48.1
2019-05-07,47.22
2019-05-08,47.45
2019-05-09,47.23
2019-05-10,47.01
2019-05-13,45.9
2019-05-14,45.91
2019-05-15,46.63
2019-05-16,47.12
2019-05-17,46.85
2019-05-20,46.31
2019-05-21,47.43
2019-05-22,47.74
2019-05-23,47.3
2019-05-24,46.81
2019-05-28,45.86
2019-05-29,45.38
2019-05-30,45.88
2019-05-31,45.37
2019-06-03,46.12
2019-06-04,46.63
2019-06-05,46.63
2019-06-06,46.15
2019-06-07,46.75
2019-06-10,46.01
2019-06-11,46.87
2019-06-12,47.63
2019-06-13,47.33
2019-06-14,47.56
2019-06-17,48.21
2019-06-18,47.79
2019-06-19,48.61
2019-06-20,48.89
2019-06-21,49.34
2019-06-24,45.68
2019-06-25,45.77
2019-06-26,44.92
2019-06-27,45.1
2019-06-28,45.35
2019-07-01,46.18
2019-07-02,46.68
2019-07-03,46.56
2019-07-05,45.89
2019-07-08,45.77
2019-07-09,46.04
2019-07-10,45.96
2019-07-11,44.53
2019-07-12,44.27
2019-07-15,44.19
2019-07-16,44.45
2019-07-17,44.13
2019-07-18,44.05
2019-07-19,43.33
2019-07-22,42.77
2019-07-23,43.05
2019-07-24,43.23
2019-07-25,45.4
2019-07-26,45.37
2019-07-29,45.39
2019-07-30,44.56
2019-07-31,44.41
2019-08-01,45.2
2019-08-02,45.99
2019-08-05,45.38
2019-08-06,45.69
2019-08-07,46.24
2019-08-08,47.29
2019-08-09,47.32
2019-08-12,46.51
2019-08-13,46.49
2019-08-14,45.64
2019-08-15,45.75
2019-08-16,46.98
2019-08-19,47.46
2019-08-20,47.63
2019-08-21,47.77
2019-08-22,47.86
2019-08-23,46.58
2019-08-26,48.11
2019-08-27,47.93
2019-08-28,48.66
2019-08-29,48.27
2019-08-30,48.07
2019-09-03,48.04
2019-09-04,48.12
2019-09-05,48.51
2019-09-06,48.27
2019-09-09,48.09
2019-09-10,48.56
2019-09-11,49.24
2019-09-12,49.61
2019-09-13,49.43
2019-09-16,49.47
2019-09-17,49.74
2019-09-18,49.86
2019-09-19,50.07
2019-09-20,50.57
2019-09-23,50.52
2019-09-24,50.01
2019-09-25,49.84
2019-09-26,49.97
2019-09-27,50.22
2019-09-30,50.71
2019-10-01,50.65
2019-10-02,49.21
2019-10-03,49.55
2019-10-04,50.75
2019-10-07,50.88
2019-10-08,50.36
2019-10-09,50.83
2019-10-10,50.78
2019-10-11,51.61
2019-10-14,51.56
2019-10-15,51.83
2019-10-16,51.51
2019-10-17,52.42
2019-10-18,53.03
2019-10-21,53.2
2019-10-22,54.42
2019-10-23,54.77
2019-10-24,54.37
2019-10-25,54.98
2019-10-28,55.59
2019-10-29,55.77
2019-10-30,56.87
2019-10-31,57.37
2019-11-01,57.16
2019-11-04,56.64
2019-11-05,56.39
2019-11-06,56.96
2019-11-07,57.58
2019-11-08,58.02
2019-11-11,58.15
2019-11-12,58.39
2019-11-13,58.79
2019-11-14,58.51
2019-11-15,58.59
2019-11-18,57.65
2019-11-19,56.48
2019-11-20,56.41
2019-11-21,56.85
2019-11-22,56.45
2019-11-25,56.17
2019-11-26,56.73
2019-11-27,57.6
2019-11-29,56.94
2019-12-02,57.41
2019-12-03,57.75
2019-12-04,58.9
2019-12-05,59.48
2019-12-06,59.95
2019-12-09,61.28
2019-12-10,62.09
2019-12-11,62.41
2019-12-12,63.94
2019-12-13,63.82
2019-12-16,63.5
2019-12-17,64.11
2019-12-18,63.15
2019-12-19,62.85
2019-12-20,63.51
2019-12-23,63.21
2019-12-24,63.16
2019-12-26,63.96
2019-12-27,64.14
2019-12-30,63.73
2019-12-31,64.19
2020-01-02,63.34
2020-01-03,62.78
2020-01-06,62.98
2020-01-07,63.93
2020-01-08,63.86
2020-01-09,65.45
2020-01-10,65.23
2020-01-13,66.15
2020-01-14,66.44
2020-01-15,66.58
2020-01-16,66.78
2020-01-17,66.72
2020-01-21,67.43
2020-01-22,67.43
2020-01-23,66.87
2020-01-24,64.16
2020-01-27,63.7
2020-01-28,64.81
2020-01-29,64.14
2020-01-30,63.81
2020-01-31,62.95
2020-02-03,63.58
2020-02-04,64.29
2020-02-05,65.59
2020-02-06,67.1
2020-02-07,66.25
2020-02-10,66.91
2020-02-11,66.99
2020-02-12,67.0
2020-02-13,66.08
2020-02-14,66.38
2020-02-18,66.07
2020-02-19,65.71
2020-02-20,65.17
2020-02-21,65.63
2020-02-24,63.97
2020-02-25,62.14
2020-02-26,62.04
2020-02-27,59.58
2020-02-28,59.06
2020-03-02,60.34
2020-03-03,59.2
2020-03-04,61.48
2020-03-05,60.5
2020-03-06,60.31
2020-03-09,57.66
2020-03-10,57.93
2020-03-11,56.51
2020-03-12,52.75
2020-03-13,54.99
2020-03-16,51.11
2020-03-17,54.09
2020-03-18,50.24
