date,Close
2020-03-19,12.0
2020-03-20,12.75
2020-03-23,11.54
2020-03-24,11.7
2020-03-25,13.45
2020-03-26,15.45
2020-03-27,14.55
2020-03-30,15.9
2020-03-31,17.25
2020-04-01,15.05
2020-04-02,13.28
2020-04-03,16.92
2020-04-06,15.44
2020-04-07,15.25
2020-04-08,14.26
2020-04-09,14.78
2020-04-13,13.99
2020-04-14,13.87
2020-04-15,13.36
2020-04-16,12.89
2020-04-17,13.74
2020-04-20,14.45
2020-04-21,14.69
2020-04-22,14.79
2020-04-23,15.72
2020-04-24,16.25
2020-04-27,16.8
2020-04-28,17.0
2020-04-29,17.64
2020-04-30,17.71
2020-05-01,16.77
2020-05-04,16.4
2020-05-05,15.97
2020-05-06,16.29
2020-05-07,16.41
2020-05-08,18.36
2020-05-11,18.35
2020-05-12,17.8
2020-05-13,16.44
2020-05-14,16.55
2020-05-15,16.71
2020-05-18,17.55
2020-05-19,17.77
2020-05-20,18.73
2020-05-21,19.45
2020-05-22,19.05
2020-05-26,19.51
2020-05-27,19.99
2020-05-28,19.6
2020-05-29,20.47
2020-06-01,21.82
2020-06-02,21.36
2020-06-03,22.22
2020-06-04,22.68
2020-06-05,23.56
2020-06-08,24.37
2020-06-09,23.21
2020-06-10,22.2
2020-06-11,21.06
2020-06-12,21.54
2020-06-15,21.97
2020-06-16,22.07
2020-06-17,21.26
2020-06-18,21.25
2020-06-19,21.45
2020-06-22,22.74
2020-06-23,22.39
2020-06-24,21.82
2020-06-25,21.52
2020-06-26,20.97
2020-06-29,22.12
2020-06-30,22.22
2020-07-01,22.61
2020-07-02,22.91
2020-07-06,24.21
2020-07-07,24.01
2020-07-08,23.99
2020-07-09,23.91
2020-07-10,24.89
2020-07-13,24.28
2020-07-14,25.15
2020-07-15,26.45
2020-07-16,26.61
2020-07-17,26.48
2020-07-20,26.41
2020-07-21,26.57
2020-07-22,26.6
2020-07-23,27.35
2020-07-24,26.58
2020-07-27,26.25
2020-07-28,26.07
2020-07-29,27.18
2020-07-30,26.9
2020-07-31,27.24
2020-08-03,27.62
2020-08-04,27.77
2020-08-05,28.11
2020-08-06,28.27
2020-08-07,28.97
2020-08-10,29.46
2020-08-11,29.49
2020-08-12,29.79
2020-08-13,29.54
2020-08-14,29.52
2020-08-17,29.84
2020-08-18,29.46
2020-08-19,29.25
2020-08-20,29.01
2020-08-21,29.52
2020-08-24,30.38
2020-08-25,30.47
2020-08-26,31.03
2020-08-27,30.28
2020-08-28,30.3
2020-08-31,29.85
2020-09-01,30.3
2020-09-02,30.78
2020-09-03,29.33
2020-09-04,30.0
2020-09-08,29.57
2020-09-09,30.13
2020-09-10,29.14
2020-09-11,29.24
2020-09-14,29.15
2020-09-15,29.69
2020-09-16,30.25
2020-09-17,30.66
2020-09-18,30.79
2020-09-21,29.51
2020-09-22,30.26
2020-09-23,29.11
2020-09-24,29.88
2020-09-25,30.49
2020-09-28,30.74
2020-09-29,30.5
2020-09-30,30.54
2020-10-01,30.77
2020-10-02,31.23
2020-10-05,32.08
2020-10-06,31.51
2020-10-07,32.12
2020-10-08,31.95
2020-10-09,32.23
2020-10-12,33.0
2020-10-13,32.49
2020-10-14,32.51
2020-10-15,32.6
2020-10-16,32.76
2020-10-19,32.32
2020-10-20,33.23
2020-10-21,33.35
2020-10-22,33.89
2020-10-23,34.93
2020-10-26,33.71
2020-10-27,33.6
2020-10-28,33.3
2020-10-29,34.07
2020-10-30,33.39
2020-11-02,35.1
2020-11-03,36.95
2020-11-04,36.78
2020-11-05,38.2
2020-11-06,38.95
2020-11-09,38.8
2020-11-10,37.81
2020-11-11,38.06
2020-11-12,37.96
2020-11-13,38.29
