date,Close
2019-01-02,34.37
2019-01-03,34.64
2019-01-04,35.81
2019-01-07,35.43
2019-01-08,35.72
2019-01-09,36.06
2019-01-10,35.82
2019-01-11,35.63
2019-01-14,35.77
2019-01-15,35.83
2019-01-16,35.9
2019-01-17,35.91
2019-01-18,36.21
2019-01-22,34.97
2019-01-23,36.89
2019-01-24,36.24
2019-01-25,35.78
2019-01-28,35.37
2019-01-29,36.08
2019-01-30,35.43
2019-01-31,36.57
2019-02-01,36.79
2019-02-04,36.77
2019-02-05,37.15
2019-02-06,37.17
2019-02-07,37.68
2019-02-08,37.6
2019-02-11,37.0
2019-02-12,37.24
2019-02-13,37.03
2019-02-14,37.26
2019-02-15,37.77
2019-02-19,37.55
2019-02-20,37.79
2019-02-21,38.47
2019-02-22,38.61
2019-02-25,38.57
2019-02-26,38.8
2019-02-27,38.53
2019-02-28,38.67
2019-03-01,39.1
2019-03-04,38.73
2019-03-05,38.72
2019-03-06,38.61
2019-03-07,38.38
2019-03-08,38.19
2019-03-11,39.17
2019-03-12,39.49
2019-03-13,39.56
2019-03-14,39.87
2019-03-15,40.47
2019-03-18,39.92
2019-03-19,39.78
2019-03-20,39.47
2019-03-21,40.05
2019-03-22,39.46
2019-03-25,39.18
2019-03-26,39.63
2019-03-27,40.21
2019-03-28,40.42
2019-03-29,39.98
2019-04-01,40.31
2019-04-02,40.02
2019-04-03,40.27
2019-04-04,40.41
2019-04-05,40.42
2019-04-08,40.71
2019-04-09,41.04
2019-04-10,41.08
2019-04-11,41.04
2019-04-12,41.3
2019-04-15,41.78
2019-04-16,41.97
2019-04-17,42.57
2019-04-18,42.43
2019-04-22,42.0
2019-04-23,41.99
2019-04-24,41.85
2019-04-25,42.93
2019-04-26,43.08
2019-04-29,43.45
2019-04-30,43.53
2019-05-01,43.42
2019-05-02,42.65
2019-05-03,43.29
2019-05-06,43.3
2019-05-07,42.76
2019-05-08,42.55
2019-05-09,42.92
2019-05-10,43.15
2019-05-13,42.28
2019-05-14,42.91
2019-05-15,42.49
2019-05-16,43.19
2019-05-17,43.54
2019-05-20,42.78
2019-05-21,43.29
2019-05-22,43.3
2019-05-23,42.73
2019-05-24,42.67
2019-05-28,42.47
2019-05-29,41.92
2019-05-30,41.74
2019-05-31,41.0
2019-06-03,40.96
2019-06-04,41.4
2019-06-05,41.3
2019-06-06,41.15
2019-06-07,41.48
2019-06-10,41.29
2019-06-11,41.22
2019-06-12,41.45
2019-06-13,41.69
2019-06-14,42.31
2019-06-17,42.56
2019-06-18,43.25
2019-06-19,43.14
2019-06-20,43.68
2019-06-21,43.56
2019-06-24,43.6
2019-06-25,42.75
2019-06-26,42.11
2019-06-27,42.0
2019-06-28,42.28
2019-07-01,42.71
2019-07-02,42.89
2019-07-03,43.32
2019-07-05,43.28
2019-07-08,42.63
2019-07-09,42.98
2019-07-10,43.79
2019-07-11,44.08
2019-07-12,44.64
2019-07-15,44.72
2019-07-16,45.09
2019-07-17,44.43
2019-07-18,44.56
2019-07-19,44.06
2019-07-22,43.85
2019-07-23,44.32
2019-07-24,44.87
2019-07-25,44.61
2019-07-26,44.63
2019-07-29,44.23
2019-07-30,44.08
2019-07-31,43.17
2019-08-01,42.88
2019-08-02,42.65
2019-08-05,41.61
2019-08-06,42.07
2019-08-07,41.73
2019-08-08,42.66
2019-08-09,42.93
2019-08-12,42.46
2019-08-13,43.46
2019-08-14,42.37
2019-08-15,42.35
2019-08-16,43.18
2019-08-19,44.0
2019-08-20,43.94
2019-08-21,44.11
2019-08-22,43.77
2019-08-23,42.43
2019-08-26,43.35
2019-08-27,43.6
2019-08-28,43.77
2019-08-29,44.17
2019-08-30,44.26
2019-09-03,43.88
2019-09-04,45.52
2019-09-05,46.41
2019-09-06,46.35
2019-09-09,46.42
2019-09-10,46.45
2019-09-11,46.4
2019-09-12,46.97
2019-09-13,46.88
2019-09-16,46.27
2019-09-17,46.67
2019-09-18,46.94
2019-09-19,46.68
2019-09-20,46.36
2019-09-23,46.22
2019-09-24,45.71
2019-09-25,45.83
2019-09-26,44.9
2019-09-27,44.81
2019-09-30,45.08
2019-10-01,44.52
2019-10-02,44.05
2019-10-03,44.06
2019-10-04,44.71
2019-10-07,44.59
2019-10-08,44.11
2019-10-09,44.38
2019-10-10,44.5
2019-10-11,45.55
2019-10-14,45.23
2019-10-15,45.67
2019-10-16,45.6
2019-10-17,45.93
2019-10-18,45.57
2019-10-21,46.08
2019-10-22,45.77
2019-10-23,45.72
2019-10-24,44.84
2019-10-25,45.65
2019-10-28,45.44
2019-10-29,45.35
2019-10-30,44.69
2019-10-31,44.82
2019-11-01,44.75
2019-11-04,43.89
2019-11-05,44.28
2019-11-06,44.22
2019-11-07,44.7
2019-11-08,45.19
2019-11-11,45.25
2019-11-12,45.23
2019-11-13,45.2
2019-11-14,45.45
2019-11-15,44.56
2019-11-18,44.61
2019-11-19,44.81
2019-11-20,44.22
2019-11-21,44.36
2019-11-22,44.8
2019-11-25,43.35
2019-11-26,43.55
2019-11-27,44.42
2019-11-29,44.15
2019-12-02,43.63
2019-12-03,43.65
2019-12-04,43.51
2019-12-05,44.04
2019-12-06,44.24
2019-12-09,43.89
2019-12-10,42.77
2019-12-11,42.07
2019-12-12,43.01
2019-12-13,43.58
2019-12-16,43.53
2019-12-17,43.39
2019-12-18,43.19
2019-12-19,43.64
2019-12-20,44.09
2019-12-23,44.1
2019-12-24,44.53
2019-12-26,44.97
2019-12-27,45.1
2019-12-30,45.18
2019-12-31,44.97
2020-01-02,45.37
2020-01-03,45.01
2020-01-06,44.67
2020-01-07,44.93
2020-01-08,45.39
2020-01-09,45.51
2020-01-10,44.98
2020-01-13,45.8
2020-01-14,46.03
2020-01-15,46.28
2020-01-16,46.87
2020-01-17,47.5
2020-01-21,47.3
2020-01-22,47.44
2020-01-23,45.65
2020-01-24,44.59
2020-01-27,44.0
2020-01-28,44.04
2020-01-29,43.32
2020-01-30,44.14
2020-01-31,43.19
2020-02-03,42.66
2020-02-04,44.28
2020-02-05,44.59
2020-02-06,44.6
2020-02-07,44.74
2020-02-10,44.66
2020-02-11,44.79
2020-02-12,46.02
2020-02-13,46.07
2020-02-14,46.09
2020-02-18,46.15
2020-02-19,45.97
2020-02-20,46.02
2020-02-21,45.82
2020-02-24,44.6
2020-02-25,43.17
2020-02-26,42.22
2020-02-27,41.05
2020-02-28,40.43
2020-03-02,42.52
2020-03-03,41.44
2020-03-04,42.5
2020-03-05,40.77
2020-03-06,40.37
2020-03-09,37.88
2020-03-10,39.1
2020-03-11,37.91
2020-03-12,34.94
2020-03-13,39.33
2020-03-16,36.04
2020-03-17,38.22
2020-03-18,35.68
2020-03-19,35.94
2020-03-20,33.37
2020-03-23,34.17
2020-03-24,34.64
2020-03-25,33.57
2020-03-26,36.74
2020-03-27,34.57
2020-03-30,35.49
2020-03-31,34.38
2020-04-01,32.42
2020-04-02,34.37
2020-04-03,33.95
2020-04-06,36.23
2020-04-07,36.94
2020-04-08,37.68
2020-04-09,38.0
2020-04-13,37.19
2020-04-14,38.52
2020-04-15,37.16
2020-04-16,37.83
2020-04-17,38.08
2020-04-20,37.21
2020-04-21,35.71
2020-04-22,35.73
2020-04-23,36.09
2020-04-24,37.16
2020-04-27,38.21
2020-04-28,38.08
2020-04-29,39.0
2020-04-30,37.63
2020-05-01,36.98
2020-05-04,36.22
2020-05-05,36.05
2020-05-06,35.14
2020-05-07,35.58
2020-05-08,36.53
2020-05-11,36.16
2020-05-12,35.35
2020-05-13,34.97
2020-05-14,35.76
2020-05-15,35.92
2020-05-18,38.09
2020-05-19,38.21
2020-05-20,39.17
2020-05-21,38.95
2020-05-22,38.74
2020-05-26,39.52
2020-05-27,39.93
2020-05-28,39.55
2020-05-29,39.6
2020-06-01,40.18
2020-06-02,40.78
2020-06-03,41.3
2020-06-04,41.29
2020-06-05,42.09
2020-06-08,43.12
2020-06-09,42.15
2020-06-10,41.36
2020-06-11,39.25
2020-06-12,39.46
2020-06-15,39.83
2020-06-16,39.75
2020-06-17,39.22
2020-06-18,39.44
2020-06-19,39.1
2020-06-22,38.44
2020-06-23,39.2
2020-06-24,38.56
2020-06-25,38.57
2020-06-26,38.65
2020-06-29,38.94
2020-06-30,38.98
2020-07-01,39.7
2020-07-02,39.25
2020-07-06,40.33
2020-07-07,40.07
2020-07-08,39.74
2020-07-09,39.29
2020-07-10,40.51
2020-07-13,40.54
2020-07-14,41.18
2020-07-15,41.96
2020-07-16,42.14
2020-07-17,42.18
2020-07-20,41.95
2020-07-21,42.57
2020-07-22,42.57
2020-07-23,42.49
2020-07-24,43.35
2020-07-27,43.56
2020-07-28,43.21
2020-07-29,43.9
2020-07-30,43.67
2020-07-31,42.8
2020-08-03,42.88
2020-08-04,43.21
2020-08-05,42.29
2020-08-06,42.87
2020-08-07,42.81
2020-08-10,43.02
2020-08-11,42.99
2020-08-12,43.34
2020-08-13,43.39
2020-08-14,43.77
2020-08-17,43.53
2020-08-18,43.54
2020-08-19,43.32
2020-08-20,43.27
2020-08-21,43.07
2020-08-24,43.8
2020-08-25,43.41
2020-08-26,44.2
2020-08-27,44.54
2020-08-28,44.56
2020-08-31,44.81
2020-09-01,45.05
2020-09-02,45.17
2020-09-03,44.44
2020-09-04,44.43
2020-09-08,43.81
2020-09-09,44.6
2020-09-10,44.02
2020-09-11,44.67
2020-09-14,45.27
2020-09-15,46.46
2020-09-16,46.81
2020-09-17,45.58
2020-09-18,45.26
2020-09-21,44.68
2020-09-22,46.19
2020-09-23,45.36
2020-09-24,45.7
2020-09-25,46.15
2020-09-28,46.76
2020-09-29,46.2
2020-09-30,46.26
2020-10-01,46.44
2020-10-02,45.15
2020-10-05,45.81
2020-10-06,44.51
2020-10-07,44.96
2020-10-08,45.3
2020-10-09,44.85
2020-10-12,45.99
2020-10-13,45.89
2020-10-14,45.28
2020-10-15,45.11
2020-10-16,45.56
2020-10-19,44.33
2020-10-20,44.27
2020-10-21,44.52
