date,Close
2019-06-12,58.0
2019-06-13,67.56
2019-06-14,64.16
2019-06-17,70.01
2019-06-18,76.5
2019-06-19,77.22
2019-06-20,74.85
2019-06-21,72.23
2019-06-24,67.97
2019-06-25,61.52
2019-06-26,62.65
2019-06-27,63.28
2019-06-28,68.29
2019-07-01,63.2
2019-07-02,64.52
2019-07-03,67.24
2019-07-05,67.21
2019-07-08,66.91
2019-07-09,68.45
2019-07-10,74.34
2019-07-11,70.88
2019-07-12,73.5
2019-07-15,71.6
2019-07-16,69.54
2019-07-17,71.0
2019-07-18,72.75
2019-07-19,83.52
2019-07-22,87.68
2019-07-23,86.74
2019-07-24,87.46
2019-07-25,92.28
2019-07-26,92.88
2019-07-29,87.23
2019-07-30,94.0
2019-07-31,89.07
2019-08-01,91.53
2019-08-02,88.01
2019-08-05,85.48
2019-08-06,85.24
2019-08-07,84.22
2019-08-08,91.65
2019-08-09,94.9
2019-08-12,93.01
2019-08-13,99.65
2019-08-14,94.02
2019-08-15,93.66
2019-08-16,96.05
2019-08-19,99.39
2019-08-20,99.16
2019-08-21,96.58
2019-08-22,92.97
2019-08-23,88.43
2019-08-26,88.88
2019-08-27,84.08
2019-08-28,86.99
2019-08-29,83.82
2019-08-30,81.28
2019-09-03,83.76
2019-09-04,85.31
2019-09-05,86.85
2019-09-06,75.98
2019-09-09,67.1
2019-09-10,71.65
2019-09-11,69.11
2019-09-12,69.66
2019-09-13,64.86
2019-09-16,67.86
2019-09-17,71.04
2019-09-18,70.85
2019-09-19,68.93
2019-09-20,66.97
2019-09-23,66.91
2019-09-24,62.52
2019-09-25,62.02
2019-09-26,58.3
2019-09-27,53.46
2019-09-30,58.31
2019-10-01,57.89
2019-10-02,56.63
2019-10-03,62.14
2019-10-04,63.84
2019-10-07,68.78
2019-10-08,65.3
2019-10-09,63.08
2019-10-10,61.41
2019-10-11,60.27
2019-10-14,54.52
2019-10-15,55.21
2019-10-16,52.03
2019-10-17,50.44
2019-10-18,47.04
2019-10-21,47.4
2019-10-22,46.2
2019-10-23,47.87
2019-10-24,51.84
2019-10-25,50.11
2019-10-28,47.95
2019-10-29,47.8
2019-10-30,51.44
2019-10-31,49.91
2019-11-01,48.5
2019-11-04,49.65
2019-11-05,48.7
2019-11-06,47.83
2019-11-07,45.5
2019-11-08,47.21
2019-11-11,46.2
2019-11-12,47.05
2019-11-13,52.0
2019-11-14,52.73
2019-11-15,59.75
2019-11-18,57.07
2019-11-19,56.0
2019-11-20,54.88
2019-11-21,53.77
2019-11-22,54.2
2019-11-25,55.84
2019-11-26,55.58
2019-11-27,56.29
2019-11-29,58.0
2019-12-02,55.01
2019-12-03,57.37
2019-12-04,54.98
2019-12-05,52.95
2019-12-06,50.89
2019-12-09,49.0
2019-12-10,47.55
2019-12-11,47.73
2019-12-12,47.3
2019-12-13,49.41
2019-12-16,49.45
2019-12-17,48.39
2019-12-18,50.14
2019-12-19,49.47
2019-12-20,49.49
2019-12-23,47.85
2019-12-24,47.75
2019-12-26,50.03
2019-12-27,48.92
2019-12-30,50.03
2019-12-31,49.87
2020-01-02,49.44
2020-01-03,50.75
2020-01-06,55.11
2020-01-07,54.75
2020-01-08,55.66
2020-01-09,55.94
2020-01-10,57.2
2020-01-13,58.97
2020-01-14,59.24
2020-01-15,60.25
2020-01-16,62.24
2020-01-17,63.45
2020-01-21,62.24
2020-01-22,62.57
2020-01-23,61.55
2020-01-24,59.25
2020-01-27,58.06
2020-01-28,59.07
2020-01-29,60.26
2020-01-30,62.45
2020-01-31,61.09
2020-02-03,61.08
2020-02-04,63.56
2020-02-05,61.81
2020-02-06,62.19
2020-02-07,62.09
2020-02-10,63.3
2020-02-11,65.19
2020-02-12,65.08
2020-02-13,65.31
2020-02-14,64.85
2020-02-18,66.04
2020-02-19,66.03
2020-02-20,63.38
2020-02-21,60.93
2020-02-24,58.08
2020-02-25,57.74
2020-02-26,58.46
2020-02-27,57.5
2020-02-28,59.64
2020-03-02,59.13
2020-03-03,56.48
2020-03-04,57.2
2020-03-05,55.92
2020-03-06,51.96
2020-03-09,45.74
2020-03-10,46.91
2020-03-11,42.85
2020-03-12,37.82
2020-03-13,39.55
2020-03-16,33.01
2020-03-17,38.01
2020-03-18,38.63
2020-03-19,41.74
2020-03-20,49.01
2020-03-23,51.45
2020-03-24,57.33
2020-03-25,55.78
2020-03-26,58.64
2020-03-27,58.79
2020-03-30,57.72
2020-03-31,55.68
2020-04-01,54.58
2020-04-02,56.69
2020-04-03,57.82
2020-04-06,59.07
2020-04-07,59.6
2020-04-08,60.32
2020-04-09,58.15
2020-04-13,58.77
2020-04-14,60.89
2020-04-15,61.82
2020-04-16,63.45
2020-04-17,64.74
2020-04-20,68.43
2020-04-21,66.07
2020-04-22,68.07
2020-04-23,68.91
2020-04-24,72.0
2020-04-27,73.6
2020-04-28,70.13
2020-04-29,69.28
2020-04-30,67.66
2020-05-01,69.21
2020-05-04,73.43
2020-05-05,71.59
2020-05-06,72.44
2020-05-07,75.49
2020-05-08,76.7
2020-05-11,76.23
2020-05-12,76.15
2020-05-13,76.57
2020-05-14,77.14
2020-05-15,77.14
2020-05-18,76.1
2020-05-19,78.55
2020-05-20,80.97
2020-05-21,80.6
2020-05-22,82.22
2020-05-26,79.35
2020-05-27,77.99
2020-05-28,79.5
2020-05-29,87.81
2020-06-01,94.84
2020-06-02,92.25
2020-06-03,98.1
2020-06-04,95.98
2020-06-05,93.93
2020-06-08,95.43
2020-06-09,93.9
