date,Close
2019-01-02,11.04
2019-01-03,10.95
2019-01-04,11.31
2019-01-07,11.39
2019-01-08,11.55
2019-01-09,11.56
2019-01-10,11.75
2019-01-11,11.82
2019-01-14,11.9
2019-01-15,11.88
2019-01-16,12.19
2019-01-17,12.15
2019-01-18,12.37
2019-01-22,12.2
2019-01-23,12.31
2019-01-24,12.31
2019-01-25,12.48
2019-01-28,12.35
2019-01-29,12.34
2019-01-30,12.42
2019-01-31,12.11
2019-02-01,12.01
2019-02-04,11.98
2019-02-05,12.14
2019-02-06,12.12
2019-02-07,11.84
2019-02-08,11.7
2019-02-11,11.68
2019-02-12,11.88
2019-02-13,11.99
2019-02-14,11.56
2019-02-15,11.75
2019-02-19,11.9
2019-02-20,12.02
2019-02-21,11.89
2019-02-22,11.87
2019-02-25,12.08
2019-02-26,12.19
2019-02-27,12.33
2019-02-28,12.31
2019-03-01,12.36
2019-03-04,12.42
2019-03-05,12.23
2019-03-06,12.13
2019-03-07,11.84
2019-03-08,11.75
2019-03-11,11.93
2019-03-12,11.81
2019-03-13,11.98
2019-03-14,12.03
2019-03-15,12.06
2019-03-18,12.35
2019-03-19,12.36
2019-03-20,12.01
2019-03-21,11.91
2019-03-22,11.51
2019-03-25,11.39
2019-03-26,11.45
2019-03-27,11.48
2019-03-28,11.5
2019-03-29,11.65
2019-04-01,12.03
2019-04-02,12.06
2019-04-03,12.24
2019-04-04,12.32
2019-04-05,12.24
2019-04-08,12.24
2019-04-09,12.21
2019-04-10,12.21
2019-04-11,12.44
2019-04-12,12.84
2019-04-15,12.91
2019-04-16,13.26
2019-04-17,13.6
2019-04-18,13.44
2019-04-22,13.4
2019-04-23,13.26
2019-04-24,13.2
2019-04-25,13.31
2019-04-26,13.41
2019-04-29,13.52
2019-04-30,13.3
2019-05-01,13.18
2019-05-02,13.24
2019-05-03,12.97
2019-05-06,12.69
2019-05-07,12.41
2019-05-08,12.45
2019-05-09,12.31
2019-05-10,12.33
2019-05-13,11.76
2019-05-14,11.86
2019-05-15,11.86
2019-05-16,11.92
2019-05-17,11.79
2019-05-20,11.73
2019-05-21,11.9
2019-05-22,11.74
2019-05-23,11.54
2019-05-24,11.64
2019-05-28,11.52
2019-05-29,11.47
2019-05-30,11.44
2019-05-31,11.27
2019-06-03,11.3
2019-06-04,11.74
2019-06-05,11.71
2019-06-06,11.6
2019-06-07,11.54
2019-06-10,11.63
2019-06-11,11.72
2019-06-12,11.49
2019-06-13,11.54
2019-06-14,11.45
2019-06-17,11.4
2019-06-18,11.6
2019-06-19,11.73
2019-06-20,11.82
2019-06-21,11.7
2019-06-24,11.66
2019-06-25,11.58
2019-06-26,11.72
2019-06-27,12.02
2019-06-28,11.97
2019-07-01,12.04
2019-07-02,11.97
2019-07-03,12.1
2019-07-05,12.25
2019-07-08,12.03
2019-07-09,11.94
2019-07-10,12.01
2019-07-11,12.2
2019-07-12,12.31
2019-07-15,12.27
2019-07-16,12.37
2019-07-17,12.32
2019-07-18,12.43
2019-07-19,12.24
2019-07-22,12.31
2019-07-23,12.61
2019-07-24,12.48
2019-07-25,12.13
2019-07-26,12.05
2019-07-29,12.0
2019-07-30,11.93
2019-07-31,12.07
2019-08-01,11.83
2019-08-02,11.74
2019-08-05,11.37
2019-08-06,11.5
2019-08-07,11.43
2019-08-08,11.58
2019-08-09,11.58
2019-08-12,11.29
2019-08-13,11.39
2019-08-14,10.96
2019-08-15,11.0
2019-08-16,11.27
2019-08-19,11.39
2019-08-20,11.28
2019-08-21,11.34
2019-08-22,11.48
2019-08-23,11.29
2019-08-26,11.41
2019-08-27,11.31
2019-08-28,11.35
2019-08-29,11.53
2019-08-30,11.68
2019-09-03,11.63
2019-09-04,11.84
2019-09-05,12.16
2019-09-06,12.23
2019-09-09,12.59
2019-09-10,12.9
2019-09-11,13.04
2019-09-12,12.98
2019-09-13,13.12
2019-09-16,12.95
2019-09-17,12.78
2019-09-18,12.78
2019-09-19,12.86
2019-09-20,12.82
2019-09-23,12.59
2019-09-24,12.4
2019-09-25,12.24
2019-09-26,12.19
2019-09-27,12.16
2019-09-30,12.21
2019-10-01,11.88
2019-10-02,11.59
2019-10-03,11.49
2019-10-04,11.55
2019-10-07,11.48
2019-10-08,11.43
2019-10-09,11.42
2019-10-10,11.62
2019-10-11,11.94
2019-10-14,11.98
2019-10-15,12.19
2019-10-16,12.32
2019-10-17,12.29
2019-10-18,12.33
2019-10-21,12.49
2019-10-22,12.47
2019-10-23,12.6
2019-10-24,12.5
2019-10-25,12.57
2019-10-28,12.69
2019-10-29,12.71
2019-10-30,12.53
2019-10-31,12.38
2019-11-01,12.62
2019-11-04,13.07
2019-11-05,13.04
2019-11-06,12.98
2019-11-07,13.13
2019-11-08,13.06
2019-11-11,13.09
2019-11-12,13.04
2019-11-13,12.85
2019-11-14,12.85
2019-11-15,13.02
2019-11-18,13.01
2019-11-19,13.05
2019-11-20,13.01
2019-11-21,13.15
2019-11-22,13.27
2019-11-25,13.33
2019-11-26,13.27
2019-11-27,13.29
2019-11-29,13.09
2019-12-02,13.11
2019-12-03,12.83
2019-12-04,12.94
2019-12-05,12.99
2019-12-06,13.08
2019-12-09,13.12
2019-12-10,13.06
2019-12-11,12.95
2019-12-12,13.31
2019-12-13,13.34
2019-12-16,13.5
2019-12-17,13.63
2019-12-18,13.61
2019-12-19,13.54
2019-12-20,13.24
2019-12-23,13.24
2019-12-24,13.22
2019-12-26,13.26
2019-12-27,13.41
2019-12-30,13.43
2019-12-31,13.45
2020-01-02,13.75
2020-01-03,13.48
2020-01-06,13.53
2020-01-07,13.79
2020-01-08,13.92
2020-01-09,13.95
2020-01-10,13.74
2020-01-13,13.92
2020-01-14,14.02
2020-01-15,13.84
2020-01-16,13.94
2020-01-17,13.87
2020-01-21,13.64
2020-01-22,13.58
2020-01-23,13.54
2020-01-24,13.46
2020-01-27,13.12
2020-01-28,13.01
2020-01-29,13.03
2020-01-30,13.0
2020-01-31,12.61
2020-02-03,12.52
2020-02-04,12.71
2020-02-05,12.98
2020-02-06,13.09
2020-02-07,13.06
2020-02-10,13.18
2020-02-11,13.44
2020-02-12,13.63
2020-02-13,13.65
2020-02-14,13.62
2020-02-18,13.65
2020-02-19,13.76
2020-02-20,13.74
2020-02-21,13.62
2020-02-24,12.83
2020-02-25,12.37
2020-02-26,12.19
2020-02-27,11.59
2020-02-28,11.28
2020-03-02,11.37
2020-03-03,10.93
2020-03-04,11.21
2020-03-05,10.58
2020-03-06,10.35
2020-03-09,8.93
2020-03-10,9.65
2020-03-11,9.07
2020-03-12,7.71
2020-03-13,8.16
2020-03-16,6.67
2020-03-17,7.24
2020-03-18,6.85
2020-03-19,7.5
2020-03-20,7.0
2020-03-23,6.73
2020-03-24,7.83
2020-03-25,8.26
2020-03-26,8.89
2020-03-27,8.33
2020-03-30,8.38
2020-03-31,8.09
2020-04-01,7.67
2020-04-02,7.89
2020-04-03,7.74
2020-04-06,8.31
2020-04-07,8.39
2020-04-08,8.47
2020-04-09,8.87
2020-04-13,8.65
2020-04-14,8.73
2020-04-15,8.09
2020-04-16,7.83
2020-04-17,8.24
2020-04-20,8.13
2020-04-21,7.76
2020-04-22,7.89
2020-04-23,7.88
2020-04-24,8.08
2020-04-27,8.38
2020-04-28,8.84
2020-04-29,9.37
2020-04-30,9.04
2020-05-01,8.67
2020-05-04,8.52
2020-05-05,8.25
2020-05-06,8.13
2020-05-07,8.3
2020-05-08,8.41
2020-05-11,8.18
2020-05-12,8.0
2020-05-13,7.73
2020-05-14,7.78
2020-05-15,7.66
2020-05-18,8.47
2020-05-19,8.31
2020-05-20,8.55
2020-05-21,8.46
2020-05-22,8.26
2020-05-26,8.77
2020-05-27,9.28
2020-05-28,9.31
2020-05-29,9.06
2020-06-01,9.25
2020-06-02,9.59
2020-06-03,10.17
2020-06-04,10.21
2020-06-05,10.47
2020-06-08,10.95
2020-06-09,10.71
2020-06-10,10.53
2020-06-11,9.74
2020-06-12,9.97
2020-06-15,10.02
2020-06-16,10.2
2020-06-17,10.18
2020-06-18,10.17
2020-06-19,10.1
2020-06-22,10.2
2020-06-23,10.35
2020-06-24,9.91
2020-06-25,10.26
2020-06-26,9.99
2020-06-29,10.15
2020-06-30,10.31
2020-07-01,10.17
2020-07-02,10.31
2020-07-06,10.64
2020-07-07,10.37
2020-07-08,10.51
2020-07-09,10.24
2020-07-10,10.57
2020-07-13,10.45
2020-07-14,10.75
2020-07-15,10.75
2020-07-16,10.66
2020-07-17,10.64
2020-07-20,10.69
2020-07-21,10.76
2020-07-22,10.78
2020-07-23,10.6
2020-07-24,10.57
2020-07-27,10.63
2020-07-28,10.54
2020-07-29,10.65
2020-07-30,10.46
2020-07-31,10.56
2020-08-03,10.77
2020-08-04,10.9
2020-08-05,11.04
2020-08-06,11.01
2020-08-07,11.01
2020-08-10,11.16
2020-08-11,11.29
2020-08-12,11.56
2020-08-13,11.41
2020-08-14,11.38
2020-08-17,11.28
2020-08-18,11.11
2020-08-19,11.15
2020-08-20,11.04
2020-08-21,10.96
2020-08-24,11.15
2020-08-25,11.1
2020-08-26,11.2
2020-08-27,11.14
2020-08-28,11.2
2020-08-31,10.97
2020-09-01,10.85
2020-09-02,10.98
2020-09-03,10.96
2020-09-04,10.92
2020-09-08,10.45
2020-09-09,10.76
2020-09-10,10.7
2020-09-11,10.76
2020-09-14,11.19
2020-09-15,10.92
2020-09-16,11.04
2020-09-17,10.98
2020-09-18,10.68
2020-09-21,10.08
2020-09-22,9.91
2020-09-23,9.68
2020-09-24,9.62
2020-09-25,9.48
2020-09-28,9.9
2020-09-29,9.83
2020-09-30,9.97
2020-10-01,9.91
2020-10-02,10.07
2020-10-05,10.32
2020-10-06,10.3
2020-10-07,10.48
2020-10-08,10.57
2020-10-09,10.47
2020-10-12,10.61
2020-10-13,10.45
2020-10-14,10.35
2020-10-15,10.23
2020-10-16,10.22
2020-10-19,10.62
2020-10-20,10.81
2020-10-21,10.63
2020-10-22,10.66
2020-10-23,10.87
2020-10-26,10.69
2020-10-27,10.34
2020-10-28,9.92
2020-10-29,9.38
2020-10-30,9.41
2020-11-02,9.63
2020-11-03,10.19
2020-11-04,10.12
2020-11-05,10.5
2020-11-06,10.57
2020-11-09,11.27
2020-11-10,11.69
2020-11-11,11.6
2020-11-12,11.51
2020-11-13,11.75
