date,Close
2019-01-02,61.95
2019-01-03,60.98
2019-01-04,62.79
2019-01-07,62.45
2019-01-08,63.35
2019-01-09,63.98
2019-01-10,64.69
2019-01-11,65.22
2019-01-14,65.27
2019-01-15,65.11
2019-01-16,65.38
2019-01-17,65.09
2019-01-18,67.36
2019-01-22,65.83
2019-01-23,65.08
2019-01-24,65.05
2019-01-25,66.2
2019-01-28,65.61
2019-01-29,65.42
2019-01-30,66.3
2019-01-31,65.7
2019-02-01,66.2
2019-02-04,67.42
2019-02-05,68.27
2019-02-06,68.09
2019-02-07,68.21
2019-02-08,68.75
2019-02-11,69.21
2019-02-12,71.12
2019-02-13,71.13
2019-02-14,71.63
2019-02-15,72.54
2019-02-19,72.51
2019-02-20,73.25
2019-02-21,72.57
2019-02-22,73.31
2019-02-25,72.82
2019-02-26,72.76
2019-02-27,72.66
2019-02-28,72.67
2019-03-01,72.45
2019-03-04,72.83
2019-03-05,72.46
2019-03-06,72.05
2019-03-07,72.02
2019-03-08,71.77
2019-03-11,72.95
2019-03-12,72.66
2019-03-13,73.97
2019-03-14,73.0
2019-03-15,72.81
2019-03-18,73.87
2019-03-19,72.95
2019-03-20,72.82
2019-03-21,73.64
2019-03-22,72.51
2019-03-25,72.76
2019-03-26,73.04
2019-03-27,73.4
2019-03-28,74.43
2019-03-29,74.82
2019-04-01,76.7
2019-04-02,76.18
2019-04-03,75.22
2019-04-04,74.8
2019-04-05,74.42
2019-04-08,75.62
2019-04-09,74.69
2019-04-10,75.07
2019-04-11,75.4
2019-04-12,76.66
2019-04-15,75.87
2019-04-16,75.89
2019-04-17,78.94
2019-04-18,78.97
2019-04-22,78.82
2019-04-23,79.02
2019-04-24,79.32
2019-04-25,78.54
2019-04-26,79.17
2019-04-29,79.37
2019-04-30,79.63
2019-05-01,79.13
2019-05-02,78.91
2019-05-03,80.52
2019-05-06,80.07
2019-05-07,78.27
2019-05-08,78.2
2019-05-09,78.17
2019-05-10,78.69
2019-05-13,76.77
2019-05-14,78.24
2019-05-15,77.39
2019-05-16,78.22
2019-05-17,78.4
2019-05-20,78.06
2019-05-21,78.34
2019-05-22,77.44
2019-05-23,75.38
2019-05-24,74.9
2019-05-28,74.52
2019-05-29,73.95
2019-05-30,75.01
2019-05-31,74.47
2019-06-03,74.52
2019-06-04,76.66
2019-06-05,78.03
2019-06-06,77.51
2019-06-07,78.07
2019-06-10,78.67
2019-06-11,78.6
2019-06-12,78.23
2019-06-13,77.64
2019-06-14,77.17
2019-06-17,76.7
2019-06-18,77.74
2019-06-19,77.39
2019-06-20,79.05
2019-06-21,78.67
2019-06-24,77.52
2019-06-25,76.09
2019-06-26,76.18
2019-06-27,76.45
2019-06-28,77.37
2019-07-01,78.63
2019-07-02,78.28
2019-07-03,78.68
2019-07-05,78.4
2019-07-08,77.22
2019-07-09,76.7
2019-07-10,76.58
2019-07-11,77.25
2019-07-12,78.58
2019-07-15,78.5
2019-07-16,79.55
2019-07-17,71.38
2019-07-18,71.83
2019-07-19,70.31
2019-07-22,70.92
2019-07-23,69.94
2019-07-24,69.22
2019-07-25,69.5
2019-07-26,68.96
2019-07-29,69.62
2019-07-30,70.21
2019-07-31,70.4
2019-08-01,67.78
2019-08-02,67.12
2019-08-05,65.11
2019-08-06,66.49
2019-08-07,65.89
2019-08-08,66.74
2019-08-09,66.57
2019-08-12,65.83
2019-08-13,66.35
2019-08-14,64.58
2019-08-15,64.41
2019-08-16,65.09
2019-08-19,65.29
2019-08-20,64.79
2019-08-21,65.34
2019-08-22,66.14
2019-08-23,64.62
2019-08-26,65.03
2019-08-27,64.41
2019-08-28,65.39
2019-08-29,66.51
2019-08-30,67.02
2019-09-03,66.35
2019-09-04,67.5
2019-09-05,68.06
2019-09-06,67.52
2019-09-09,69.05
2019-09-10,70.69
2019-09-11,70.97
2019-09-12,71.55
2019-09-13,72.47
2019-09-16,72.39
2019-09-17,71.18
2019-09-18,71.15
2019-09-19,70.79
2019-09-20,68.62
2019-09-23,68.86
2019-09-24,68.63
2019-09-25,68.87
2019-09-26,69.42
2019-09-27,68.91
2019-09-30,69.27
2019-10-01,67.02
2019-10-02,66.27
2019-10-03,66.96
2019-10-04,66.71
2019-10-07,66.79
2019-10-08,65.86
2019-10-09,66.22
2019-10-10,66.94
2019-10-11,69.05
2019-10-14,68.56
2019-10-15,69.17
2019-10-16,69.0
2019-10-17,69.78
2019-10-18,68.67
2019-10-21,70.75
2019-10-22,72.29
2019-10-23,72.26
2019-10-24,71.66
2019-10-25,72.32
2019-10-28,71.52
2019-10-29,70.83
2019-10-30,71.05
2019-10-31,70.27
2019-11-01,72.27
2019-11-04,73.49
2019-11-05,73.88
2019-11-06,73.64
2019-11-07,74.08
2019-11-08,74.03
2019-11-11,73.9
2019-11-12,72.75
2019-11-13,71.95
2019-11-14,71.84
2019-11-15,71.61
2019-11-18,71.02
2019-11-19,71.01
2019-11-20,69.56
2019-11-21,69.4
2019-11-22,70.51
2019-11-25,71.79
