date,Close
2019-01-02,63.09
2019-01-03,61.1
2019-01-04,63.7
2019-01-07,63.6
2019-01-08,64.32
2019-01-09,64.26
2019-01-10,64.81
2019-01-11,64.92
2019-01-14,64.63
2019-01-15,65.99
2019-01-16,65.79
2019-01-17,66.55
2019-01-18,67.82
2019-01-22,66.8
2019-01-23,67.06
2019-01-24,68.12
2019-01-25,70.02
2019-01-28,68.95
2019-01-29,68.66
2019-01-30,69.8
2019-01-31,69.68
2019-02-01,70.14
2019-02-04,71.29
2019-02-05,71.21
2019-02-06,74.5
2019-02-07,72.99
2019-02-08,73.16
2019-02-11,72.97
2019-02-12,73.45
2019-02-13,73.58
2019-02-14,73.12
2019-02-15,73.56
2019-02-19,73.18
2019-02-20,72.25
2019-02-21,71.34
2019-02-22,72.38
2019-02-25,72.25
2019-02-26,72.04
2019-02-27,71.31
2019-02-28,70.98
2019-03-01,72.13
2019-03-04,71.76
2019-03-05,71.39
2019-03-06,71.46
2019-03-07,72.33
2019-03-08,71.15
2019-03-11,72.35
2019-03-12,71.78
2019-03-13,71.21
2019-03-14,70.93
2019-03-15,72.13
2019-03-18,71.88
2019-03-19,72.02
2019-03-20,71.71
2019-03-21,72.2
2019-03-22,70.89
2019-03-25,70.75
2019-03-26,71.09
2019-03-27,71.03
2019-03-28,71.58
2019-03-29,72.45
2019-04-01,73.85
2019-04-02,73.57
2019-04-03,74.18
2019-04-04,73.79
2019-04-05,74.2
2019-04-08,74.41
2019-04-09,74.37
2019-04-10,74.6
2019-04-11,74.19
2019-04-12,74.29
2019-04-15,74.32
2019-04-16,71.9
2019-04-17,72.15
2019-04-18,71.34
2019-04-22,71.48
2019-04-23,72.85
2019-04-24,72.67
2019-04-25,72.93
2019-04-26,73.37
2019-04-29,72.4
2019-04-30,72.96
2019-05-01,72.18
2019-05-02,66.61
2019-05-03,59.25
2019-05-06,59.6
2019-05-07,58.51
2019-05-08,58.98
2019-05-09,59.1
2019-05-10,59.13
2019-05-13,56.88
2019-05-14,57.75
2019-05-15,58.6
2019-05-16,58.64
2019-05-17,59.44
2019-05-20,59.99
2019-05-21,61.0
2019-05-22,61.5
2019-05-23,61.08
2019-05-24,61.87
2019-05-28,62.07
2019-05-29,61.88
2019-05-30,62.36
2019-05-31,61.93
2019-06-03,60.54
2019-06-04,61.1
2019-06-05,62.18
2019-06-06,61.9
2019-06-07,62.78
2019-06-10,63.03
2019-06-11,63.37
2019-06-12,62.15
2019-06-13,62.34
2019-06-14,61.64
2019-06-17,62.56
2019-06-18,63.72
2019-06-19,62.61
2019-06-20,64.17
2019-06-21,64.46
2019-06-24,64.05
2019-06-25,63.16
2019-06-26,63.06
2019-06-27,63.06
2019-06-28,63.39
2019-07-01,64.28
2019-07-02,64.36
2019-07-03,64.18
2019-07-05,64.71
2019-07-08,64.2
2019-07-09,64.38
2019-07-10,64.06
2019-07-11,65.29
2019-07-12,65.86
2019-07-15,65.82
2019-07-16,65.95
2019-07-17,65.24
2019-07-18,65.93
2019-07-19,65.14
2019-07-22,65.55
2019-07-23,65.87
2019-07-24,65.76
2019-07-25,65.78
2019-07-26,66.4
2019-07-29,66.04
