date,Close
2019-01-02,32.26
2019-01-03,30.19
2019-01-04,30.78
2019-01-07,33.17
2019-01-08,35.6
2019-01-09,34.97
2019-01-10,34.15
2019-01-11,36.8
2019-01-14,35.5
2019-01-15,35.56
2019-01-16,35.37
2019-01-17,35.81
2019-01-18,36.91
2019-01-22,35.65
2019-01-23,37.04
2019-01-24,38.4
2019-01-25,39.8
2019-01-28,39.71
2019-01-29,37.06
2019-01-30,37.31
2019-01-31,37.15
2019-02-01,35.28
2019-02-04,36.21
2019-02-05,34.37
2019-02-06,33.41
2019-02-07,33.02
2019-02-08,32.18
2019-02-11,31.98
2019-02-12,35.09
2019-02-13,33.13
2019-02-14,34.3
2019-02-15,35.35
2019-02-19,36.73
2019-02-20,36.14
2019-02-21,34.77
2019-02-22,38.0
2019-02-25,38.49
2019-02-26,40.5
2019-02-27,41.82
2019-02-28,44.86
2019-03-01,43.62
2019-03-04,42.07
2019-03-05,47.98
2019-03-06,50.6
2019-03-07,49.48
2019-03-08,49.6
2019-03-11,52.14
2019-03-12,53.1
2019-03-13,55.97
2019-03-14,55.8
2019-03-15,56.68
2019-03-18,56.86
2019-03-19,57.99
2019-03-20,57.97
2019-03-21,57.99
2019-03-22,55.62
2019-03-25,56.34
2019-03-26,57.99
2019-03-27,58.15
2019-03-28,57.85
2019-03-29,58.06
2019-04-01,58.94
2019-04-02,62.82
2019-04-03,62.0
2019-04-04,59.94
2019-04-05,60.51
2019-04-08,58.8
2019-04-09,60.09
2019-04-10,62.95
2019-04-11,63.55
2019-04-12,66.0
2019-04-15,64.38
2019-04-16,64.6
2019-04-17,63.2
2019-04-18,62.98
2019-04-22,65.4
2019-04-23,66.59
2019-04-24,66.54
2019-04-25,66.04
2019-04-26,69.58
2019-04-29,70.37
2019-04-30,71.56
2019-05-01,70.69
2019-05-02,70.44
2019-05-03,72.18
2019-05-06,72.04
2019-05-07,71.04
2019-05-08,71.65
2019-05-09,75.23
2019-05-10,66.76
2019-05-13,62.24
2019-05-14,65.68
2019-05-15,65.48
2019-05-16,69.34
2019-05-17,68.13
2019-05-20,67.18
2019-05-21,67.03
2019-05-22,65.11
2019-05-23,63.28
2019-05-24,59.39
2019-05-28,60.14
2019-05-29,57.96
2019-05-30,58.75
2019-05-31,57.88
2019-06-03,58.32
2019-06-04,61.3
2019-06-05,59.67
2019-06-06,60.1
2019-06-07,63.2
2019-06-10,61.34
2019-06-11,61.28
2019-06-12,61.25
2019-06-13,61.78
2019-06-14,59.98
2019-06-17,63.64
2019-06-18,65.97
2019-06-19,63.5
2019-06-20,66.9
2019-06-21,67.05
2019-06-24,61.48
2019-06-25,60.31
2019-06-26,59.07
2019-06-27,61.98
2019-06-28,62.59
2019-07-01,65.61
2019-07-02,64.7
2019-07-03,64.17
2019-07-05,65.79
2019-07-08,66.61
2019-07-09,66.12
2019-07-10,67.65
2019-07-11,64.59
2019-07-12,67.31
2019-07-15,65.9
2019-07-16,62.01
2019-07-17,60.92
2019-07-18,59.64
2019-07-19,57.91
2019-07-22,58.45
2019-07-23,62.63
2019-07-24,65.16
2019-07-25,65.63
2019-07-26,66.45
2019-07-29,65.54
2019-07-30,62.34
2019-07-31,63.56
2019-08-01,62.81
2019-08-02,62.39
2019-08-05,60.97
2019-08-06,59.78
2019-08-07,57.91
2019-08-08,72.47
2019-08-09,78.1
2019-08-12,78.35
2019-08-13,80.43
2019-08-14,78.89
2019-08-15,78.92
2019-08-16,79.45
2019-08-19,77.15
2019-08-20,76.62
2019-08-21,83.09
2019-08-22,79.92
2019-08-23,78.6
2019-08-26,80.94
2019-08-27,80.15
2019-08-28,81.96
2019-08-29,82.46
2019-08-30,81.16
2019-09-03,79.62
2019-09-04,81.78
2019-09-05,84.61
2019-09-06,83.61
2019-09-09,83.0
2019-09-10,77.51
2019-09-11,77.97
2019-09-12,80.41
2019-09-13,80.28
2019-09-16,81.53
2019-09-17,80.86
2019-09-18,77.41
2019-09-19,76.56
2019-09-20,75.51
2019-09-23,74.64
2019-09-24,70.46
2019-09-25,70.52
2019-09-26,68.31
2019-09-27,66.08
2019-09-30,66.0
2019-10-01,67.04
2019-10-02,64.22
2019-10-03,67.28
2019-10-04,67.81
2019-10-07,66.13
2019-10-08,66.39
2019-10-09,69.14
2019-10-10,69.26
2019-10-11,72.26
2019-10-14,74.35
2019-10-15,77.83
2019-10-16,76.55
2019-10-17,77.11
2019-10-18,73.85
2019-10-21,77.26
2019-10-22,75.8
2019-10-23,76.96
2019-10-24,78.52
2019-10-25,79.23
2019-10-28,82.77
2019-10-29,84.69
2019-10-30,82.48
2019-10-31,81.08
2019-11-01,82.73
2019-11-04,82.98
2019-11-05,81.52
2019-11-06,79.08
2019-11-07,73.12
2019-11-08,77.96
2019-11-11,77.49
2019-11-12,78.2
2019-11-13,75.19
2019-11-14,78.0
2019-11-15,81.57
2019-11-18,84.83
2019-11-19,88.34
2019-11-20,88.98
2019-11-21,89.19
2019-11-22,89.78
2019-11-25,91.06
2019-11-26,92.84
2019-11-27,94.98
2019-11-29,95.32
2019-12-02,92.0
2019-12-03,91.96
2019-12-04,92.36
2019-12-05,87.91
2019-12-06,86.42
2019-12-09,89.33
2019-12-10,92.08
2019-12-11,94.75
2019-12-12,97.0
2019-12-13,91.89
2019-12-16,95.42
2019-12-17,94.68
2019-12-18,93.37
2019-12-19,96.27
2019-12-20,95.91
2019-12-23,95.23
2019-12-24,96.38
2019-12-26,98.44
2019-12-27,97.82
2019-12-30,92.28
2019-12-31,92.05
2020-01-02,96.95
2020-01-03,92.75
2020-01-06,92.34
2020-01-07,90.91
2020-01-08,89.13
2020-01-09,86.57
2020-01-10,87.61
2020-01-13,92.87
2020-01-14,86.02
2020-01-15,86.77
2020-01-16,87.21
2020-01-17,84.0
2020-01-21,83.53
2020-01-22,83.72
2020-01-23,82.94
2020-01-24,83.11
2020-01-27,84.7
2020-01-28,84.94
2020-01-29,81.75
2020-01-30,79.88
2020-01-31,79.25
2020-02-03,86.25
2020-02-04,91.3
2020-02-05,89.75
2020-02-06,91.06
2020-02-07,88.86
2020-02-10,89.44
2020-02-11,85.8
2020-02-12,86.65
2020-02-13,87.4
2020-02-14,88.62
2020-02-18,94.31
2020-02-19,106.78
2020-02-20,108.81
2020-02-21,110.09
2020-02-24,107.1
2020-02-25,104.04
2020-02-26,101.56
2020-02-27,88.77
2020-02-28,82.91
2020-03-02,82.36
2020-03-03,80.05
2020-03-04,82.45
2020-03-05,74.55
2020-03-06,66.02
2020-03-09,58.19
2020-03-10,62.77
2020-03-11,56.59
2020-03-12,45.13
2020-03-13,50.92
2020-03-16,39.18
2020-03-17,40.61
2020-03-18,29.91
2020-03-19,30.01
2020-03-20,29.35
2020-03-23,35.8
2020-03-24,51.21
2020-03-25,62.51
2020-03-26,56.55
2020-03-27,49.04
2020-03-30,52.38
2020-03-31,55.09
2020-04-01,50.56
2020-04-02,46.61
2020-04-03,45.91
2020-04-06,52.83
2020-04-07,55.53
2020-04-08,58.48
2020-04-09,61.35
2020-04-13,75.28
2020-04-14,84.08
2020-04-15,71.34
2020-04-16,71.22
2020-04-17,78.06
2020-04-20,80.3
2020-04-21,85.58
2020-04-22,82.67
2020-04-23,87.81
2020-04-24,92.24
2020-04-27,90.31
2020-04-28,82.96
2020-04-29,84.89
2020-04-30,80.11
2020-05-01,76.0
2020-05-04,80.01
2020-05-05,86.0
2020-05-06,91.15
2020-05-07,97.67
2020-05-08,100.09
2020-05-11,100.67
2020-05-12,93.72
2020-05-13,89.9
2020-05-14,89.55
2020-05-15,92.66
2020-05-18,98.59
2020-05-19,88.91
2020-05-20,91.11
2020-05-21,94.74
2020-05-22,96.45
2020-05-26,99.19
2020-05-27,96.14
2020-05-28,93.29
2020-05-29,92.98
2020-06-01,91.85
2020-06-02,109.12
2020-06-03,107.39
2020-06-04,102.0
2020-06-05,115.87
2020-06-08,113.64
2020-06-09,113.55
2020-06-10,118.8
2020-06-11,107.26
2020-06-12,111.21
2020-06-15,114.32
2020-06-16,118.03
2020-06-17,118.96
2020-06-18,122.98
2020-06-19,126.12
2020-06-22,127.39
2020-06-23,127.61
2020-06-24,112.25
2020-06-25,117.16
2020-06-26,117.41
2020-06-29,120.37
2020-06-30,120.2
2020-07-01,125.38
2020-07-02,128.53
2020-07-06,134.44
2020-07-07,133.11
2020-07-08,138.92
2020-07-09,138.64
