date,Close
2019-01-02,10.45
2019-01-03,9.92
2019-01-04,10.3
2019-01-07,10.84
2019-01-08,10.91
2019-01-09,11.13
2019-01-10,11.15
2019-01-11,11.17
2019-01-14,11.01
2019-01-15,11.41
2019-01-16,11.16
2019-01-17,11.23
2019-01-18,11.33
2019-01-22,10.87
2019-01-23,10.81
2019-01-24,11.11
2019-01-25,11.51
2019-01-28,11.54
2019-01-29,12.27
2019-01-30,12.35
2019-01-31,12.76
2019-02-01,12.5
2019-02-04,12.8
2019-02-05,12.72
2019-02-06,12.95
2019-02-07,12.52
2019-02-08,12.73
2019-02-11,12.99
2019-02-12,13.36
2019-02-13,13.39
2019-02-14,13.44
2019-02-15,13.68
2019-02-19,13.82
2019-02-20,14.01
2019-02-21,13.79
2019-02-22,13.84
2019-02-25,14.09
2019-02-26,14.17
2019-02-27,14.23
2019-02-28,14.12
2019-03-01,12.14
2019-03-04,11.56
2019-03-05,11.67
2019-03-06,11.33
2019-03-07,10.9
2019-03-08,10.93
2019-03-11,11.16
2019-03-12,11.28
2019-03-13,11.37
2019-03-14,11.24
2019-03-15,11.25
2019-03-18,11.32
2019-03-19,11.3
2019-03-20,11.23
2019-03-21,11.39
2019-03-22,10.9
2019-03-25,10.71
2019-03-26,10.77
2019-03-27,10.64
2019-03-28,10.66
2019-03-29,10.76
2019-04-01,10.95
2019-04-02,10.92
2019-04-03,11.22
2019-04-04,11.1
2019-04-05,11.11
2019-04-08,11.03
2019-04-09,10.91
2019-04-10,10.91
2019-04-11,10.85
2019-04-12,10.87
2019-04-15,10.89
2019-04-16,11.08
2019-04-17,11.0
2019-04-18,10.89
2019-04-22,10.82
2019-04-23,11.11
2019-04-24,11.03
2019-04-25,10.84
2019-04-26,10.84
2019-04-29,10.75
2019-04-30,10.64
2019-05-01,10.63
2019-05-02,10.68
2019-05-03,11.15
2019-05-06,11.05
2019-05-07,10.59
2019-05-08,8.6
2019-05-09,8.4
2019-05-10,8.71
2019-05-13,8.26
2019-05-14,8.5
2019-05-15,8.71
2019-05-16,8.78
2019-05-17,8.77
2019-05-20,8.49
2019-05-21,8.73
2019-05-22,8.63
2019-05-23,8.29
2019-05-24,8.37
2019-05-28,8.15
2019-05-29,8.12
2019-05-30,8.2
2019-05-31,8.09
2019-06-03,8.19
2019-06-04,8.55
2019-06-05,8.51
2019-06-06,8.48
2019-06-07,8.49
2019-06-10,8.36
2019-06-11,7.85
2019-06-12,7.97
2019-06-13,8.22
2019-06-14,8.05
2019-06-17,8.16
2019-06-18,8.35
2019-06-19,8.34
2019-06-20,8.46
2019-06-21,8.95
2019-06-24,8.49
2019-06-25,8.66
2019-06-26,8.81
2019-06-27,8.8
2019-06-28,9.1
2019-07-01,9.09
2019-07-02,8.92
2019-07-03,9.02
2019-07-05,8.92
2019-07-08,8.94
2019-07-09,9.11
2019-07-10,9.08
2019-07-11,9.05
2019-07-12,8.78
2019-07-15,8.89
2019-07-16,8.86
2019-07-17,8.95
2019-07-18,8.77
2019-07-19,8.74
2019-07-22,8.76
2019-07-23,8.61
2019-07-24,9.11
2019-07-25,8.75
2019-07-26,9.07
2019-07-29,9.0
2019-07-30,9.18
2019-07-31,9.02
2019-08-01,8.76
2019-08-02,8.46
2019-08-05,8.24
2019-08-06,8.17
2019-08-07,8.15
2019-08-08,7.0
2019-08-09,7.11
2019-08-12,7.06
2019-08-13,7.0
2019-08-14,6.77
2019-08-15,6.55
2019-08-16,6.83
2019-08-19,6.98
2019-08-20,6.87
2019-08-21,6.88
2019-08-22,7.0
2019-08-23,6.85
2019-08-26,6.75
2019-08-27,6.62
2019-08-28,6.69
2019-08-29,6.88
2019-08-30,7.0
2019-09-03,6.92
2019-09-04,7.17
2019-09-05,7.37
2019-09-06,7.44
2019-09-09,7.68
2019-09-10,8.07
2019-09-11,8.42
2019-09-12,8.49
2019-09-13,8.49
2019-09-16,8.67
2019-09-17,8.65
2019-09-18,8.42
2019-09-19,8.34
2019-09-20,8.4
2019-09-23,8.45
2019-09-24,8.03
2019-09-25,8.1
2019-09-26,7.88
2019-09-27,8.09
2019-09-30,8.15
2019-10-01,7.93
2019-10-02,7.84
2019-10-03,7.91
2019-10-04,7.86
2019-10-07,7.76
2019-10-08,7.54
2019-10-09,7.7
2019-10-10,7.8
2019-10-11,7.9
2019-10-14,7.96
2019-10-15,8.0
2019-10-16,8.14
2019-10-17,8.34
2019-10-18,8.27
2019-10-21,8.32
2019-10-22,8.54
2019-10-23,8.65
2019-10-24,8.61
2019-10-25,8.63
2019-10-28,8.93
2019-10-29,8.76
2019-10-30,8.75
2019-10-31,9.49
2019-11-01,9.59
2019-11-04,9.73
2019-11-05,9.7
2019-11-06,9.65
2019-11-07,9.63
2019-11-08,9.42
2019-11-11,9.36
2019-11-12,9.4
2019-11-13,9.17
2019-11-14,8.95
2019-11-15,8.99
2019-11-18,8.76
2019-11-19,8.66
2019-11-20,8.56
2019-11-21,8.62
2019-11-22,8.75
2019-11-25,9.01
2019-11-26,8.6
2019-11-27,8.44
2019-11-29,8.49
2019-12-02,8.55
2019-12-03,8.33
2019-12-04,8.36
2019-12-05,8.42
2019-12-06,8.55
2019-12-09,8.6
2019-12-10,8.64
2019-12-11,8.73
2019-12-12,8.92
2019-12-13,8.83
2019-12-16,8.78
2019-12-17,8.77
2019-12-18,9.39
2019-12-19,9.12
2019-12-20,8.89
2019-12-23,8.98
2019-12-24,8.96
2019-12-26,8.97
2019-12-27,8.95
2019-12-30,8.66
2019-12-31,8.75
2020-01-02,8.7
2020-01-03,8.56
2020-01-06,8.61
2020-01-07,8.81
2020-01-08,9.79
2020-01-09,9.77
2020-01-10,9.99
2020-01-13,11.22
2020-01-14,11.6
2020-01-15,11.9
2020-01-16,11.83
2020-01-17,11.41
2020-01-21,11.21
2020-01-22,11.44
2020-01-23,11.75
2020-01-24,11.38
2020-01-27,11.08
2020-01-28,11.25
2020-01-29,11.27
2020-01-30,11.29
2020-01-31,10.89
2020-02-03,11.0
2020-02-04,11.71
2020-02-05,12.34
2020-02-06,12.08
2020-02-07,10.92
2020-02-10,11.0
2020-02-11,11.27
2020-02-12,11.92
2020-02-13,12.13
2020-02-14,11.8
2020-02-18,12.13
2020-02-19,12.26
2020-02-20,12.41
2020-02-21,11.96
2020-02-24,11.37
2020-02-25,10.6
2020-02-26,10.24
2020-02-27,9.74
2020-02-28,9.16
2020-03-02,9.53
2020-03-03,9.5
2020-03-04,9.81
2020-03-05,9.0
2020-03-06,8.5
2020-03-09,7.8
2020-03-10,8.17
2020-03-11,7.69
2020-03-12,6.52
2020-03-13,6.5
2020-03-16,5.58
2020-03-17,6.47
2020-03-18,6.9
2020-03-19,6.64
2020-03-20,6.03
2020-03-23,5.9
2020-03-24,6.47
2020-03-25,6.93
2020-03-26,7.52
2020-03-27,7.42
2020-03-30,7.86
2020-03-31,7.71
2020-04-01,6.62
2020-04-02,6.3
2020-04-03,6.01
2020-04-06,7.05
2020-04-07,6.88
2020-04-08,7.3
2020-04-09,7.4
2020-04-13,7.44
2020-04-14,7.49
2020-04-15,7.12
2020-04-16,7.19
2020-04-17,7.45
2020-04-20,7.77
2020-04-21,7.45
2020-04-22,7.65
2020-04-23,7.77
2020-04-24,8.0
2020-04-27,8.2
2020-04-28,8.32
2020-04-29,8.96
2020-04-30,8.49
2020-05-01,7.77
2020-05-04,8.21
2020-05-05,8.33
2020-05-06,8.72
2020-05-07,7.46
2020-05-08,7.85
2020-05-11,7.4
2020-05-12,7.18
2020-05-13,6.97
2020-05-14,6.9
2020-05-15,7.01
2020-05-18,7.59
2020-05-19,7.38
2020-05-20,7.34
2020-05-21,7.43
2020-05-22,7.36
2020-05-26,7.51
2020-05-27,7.85
2020-05-28,7.55
2020-05-29,7.37
2020-06-01,7.61
2020-06-02,7.86
2020-06-03,8.12
2020-06-04,7.96
2020-06-05,8.11
2020-06-08,8.25
2020-06-09,8.06
2020-06-10,7.86
2020-06-11,7.16
2020-06-12,7.25
2020-06-15,7.58
2020-06-16,7.59
2020-06-17,7.31
2020-06-18,7.28
2020-06-19,7.33
2020-06-22,7.09
2020-06-23,7.0
2020-06-24,6.65
2020-06-25,6.62
2020-06-26,6.45
2020-06-29,6.82
2020-06-30,6.99
2020-07-01,6.85
2020-07-02,6.81
2020-07-06,6.97
2020-07-07,6.62
2020-07-08,6.69
2020-07-09,6.48
2020-07-10,6.63
2020-07-13,6.52
2020-07-14,6.6
2020-07-15,6.85
2020-07-16,6.68
2020-07-17,6.86
2020-07-20,6.85
2020-07-21,6.84
2020-07-22,6.8
2020-07-23,6.8
2020-07-24,6.59
2020-07-27,6.8
2020-07-28,6.61
2020-07-29,6.69
2020-07-30,6.59
2020-07-31,6.59
2020-08-03,6.72
2020-08-04,6.84
2020-08-05,7.06
2020-08-06,6.27
2020-08-07,6.21
2020-08-10,6.2
2020-08-11,6.15
2020-08-12,6.02
2020-08-13,6.1
2020-08-14,5.96
2020-08-17,5.81
2020-08-18,5.56
2020-08-19,5.44
2020-08-20,5.33
2020-08-21,5.45
2020-08-24,5.33
2020-08-25,5.27
2020-08-26,5.48
2020-08-27,5.31
2020-08-28,5.41
2020-08-31,5.49
2020-09-01,5.36
2020-09-02,5.59
2020-09-03,5.41
2020-09-04,5.41
2020-09-08,5.2
2020-09-09,5.4
2020-09-10,5.33
2020-09-11,5.22
2020-09-14,5.34
2020-09-15,5.27
2020-09-16,5.34
2020-09-17,5.21
2020-09-18,5.32
2020-09-21,5.01
2020-09-22,4.98
2020-09-23,4.73
2020-09-24,4.66
2020-09-25,4.65
2020-09-28,4.79
2020-09-29,4.92
2020-09-30,4.91
2020-10-01,4.88
2020-10-02,4.87
2020-10-05,4.99
2020-10-06,5.37
2020-10-07,6.36
2020-10-08,6.39
2020-10-09,6.69
2020-10-12,6.75
2020-10-13,6.63
2020-10-14,6.54
2020-10-15,6.67
2020-10-16,6.77
2020-10-19,6.95
2020-10-20,7.14
2020-10-21,7.52
2020-10-22,8.23
2020-10-23,7.66
2020-10-26,6.38
2020-10-27,6.32
2020-10-28,5.98
2020-10-29,6.1
2020-10-30,5.69
2020-11-02,5.75
2020-11-03,6.24
2020-11-04,5.91
