date,Close
2019-01-02,55.31
2019-01-03,53.95
2019-01-04,56.57
2019-01-07,58.62
2019-01-08,58.74
2019-01-09,62.98
2019-01-10,61.99
2019-01-11,60.69
2019-01-14,60.28
2019-01-15,62.92
2019-01-16,63.83
2019-01-17,64.17
2019-01-18,65.9
2019-01-22,71.03
2019-01-23,72.81
2019-01-24,73.98
2019-01-25,77.49
2019-01-28,75.78
2019-01-29,75.09
2019-01-30,75.58
2019-01-31,77.04
2019-02-01,75.7
2019-02-04,76.79
2019-02-05,78.66
2019-02-06,78.63
2019-02-07,76.82
2019-02-08,77.6
2019-02-11,79.01
2019-02-12,77.44
2019-02-13,78.74
2019-02-14,77.07
2019-02-15,77.53
2019-02-19,76.82
2019-02-20,79.28
2019-02-21,78.38
2019-02-22,80.61
2019-02-25,82.38
2019-02-26,83.71
2019-02-27,81.63
2019-02-28,82.06
2019-03-01,82.77
2019-03-04,82.83
2019-03-05,83.0
2019-03-06,82.2
2019-03-07,79.45
2019-03-08,79.02
2019-03-11,81.43
2019-03-12,78.55
2019-03-13,77.25
2019-03-14,76.07
2019-03-15,77.09
2019-03-18,79.09
2019-03-19,80.6
2019-03-20,81.33
2019-03-21,81.37
2019-03-22,79.51
2019-03-25,82.78
2019-03-26,84.09
2019-03-27,84.82
2019-03-28,86.27
2019-03-29,90.09
2019-04-01,89.04
2019-04-02,88.42
2019-04-03,88.43
2019-04-04,88.79
2019-04-05,88.94
2019-04-08,89.25
2019-04-09,90.99
2019-04-10,90.67
2019-04-11,90.59
2019-04-12,90.87
2019-04-15,89.43
2019-04-16,89.99
2019-04-17,89.73
2019-04-18,89.99
2019-04-22,90.42
2019-04-23,92.97
2019-04-24,90.34
2019-04-25,92.25
2019-04-26,94.54
2019-04-29,94.26
2019-04-30,95.46
2019-05-01,93.85
2019-05-02,95.74
2019-05-03,95.31
2019-05-06,92.0
2019-05-07,88.46
2019-05-08,90.85
2019-05-09,88.15
2019-05-10,88.01
2019-05-13,81.93
2019-05-14,84.03
2019-05-15,85.6
2019-05-16,85.87
2019-05-17,84.66
2019-05-20,83.12
2019-05-21,84.52
2019-05-22,82.84
2019-05-23,81.17
2019-05-24,81.54
2019-05-28,82.77
2019-05-29,83.19
2019-05-30,84.11
2019-05-31,85.65
2019-06-03,87.98
2019-06-04,90.89
2019-06-05,88.5
2019-06-06,88.0
2019-06-07,89.29
2019-06-10,89.44
2019-06-11,91.35
2019-06-12,89.6
2019-06-13,90.19
2019-06-14,90.76
2019-06-17,89.17
2019-06-18,91.59
2019-06-19,93.41
2019-06-20,93.48
2019-06-21,94.6
2019-06-24,93.67
2019-06-25,91.35
2019-06-26,95.62
2019-06-27,95.75
2019-06-28,96.58
2019-07-01,98.42
2019-07-02,97.92
2019-07-03,97.08
2019-07-05,95.88
2019-07-08,90.99
2019-07-09,93.3
2019-07-10,90.53
2019-07-11,92.03
2019-07-12,92.82
2019-07-15,94.88
2019-07-16,96.41
2019-07-17,95.87
2019-07-18,96.74
2019-07-19,97.0
2019-07-22,98.29
2019-07-23,107.32
2019-07-24,107.14
2019-07-25,107.93
2019-07-26,105.0
2019-07-29,105.0
2019-07-30,104.94
2019-07-31,104.31
2019-08-01,103.85
2019-08-02,103.17
2019-08-05,99.03
2019-08-06,100.47
2019-08-07,102.1
2019-08-08,104.22
2019-08-09,103.84
2019-08-12,102.42
2019-08-13,105.66
2019-08-14,101.67
2019-08-15,103.0
2019-08-16,104.6
2019-08-19,105.25
2019-08-20,107.0
2019-08-21,108.04
2019-08-22,106.66
2019-08-23,104.94
2019-08-26,106.43
2019-08-27,108.42
2019-08-28,111.06
2019-08-29,113.49
2019-08-30,113.4
2019-09-03,109.0
2019-09-04,108.84
2019-09-05,112.77
2019-09-06,113.2
2019-09-09,112.0
2019-09-10,105.94
2019-09-11,106.31
2019-09-12,108.87
2019-09-13,110.46
2019-09-16,110.11
2019-09-17,110.7
2019-09-18,110.88
2019-09-19,113.11
2019-09-20,111.39
2019-09-23,113.0
2019-09-24,111.55
2019-09-25,112.08
2019-09-26,113.66
2019-09-27,106.21
2019-09-30,110.76
2019-10-01,111.22
2019-10-02,110.39
2019-10-03,112.91
2019-10-04,114.07
2019-10-07,114.25
2019-10-08,109.58
2019-10-09,110.87
2019-10-10,112.65
2019-10-11,112.72
2019-10-14,112.88
2019-10-15,116.29
2019-10-16,113.74
2019-10-17,114.9
2019-10-18,113.82
2019-10-21,116.56
2019-10-22,108.38
2019-10-23,112.43
2019-10-24,120.23
2019-10-25,120.9
2019-10-28,121.34
2019-10-29,121.0
2019-10-30,122.64
2019-10-31,122.06
2019-11-01,119.62
2019-11-04,121.93
2019-11-05,122.15
2019-11-06,120.97
2019-11-07,123.63
2019-11-08,120.43
2019-11-11,120.93
2019-11-12,119.68
2019-11-13,122.44
2019-11-14,121.49
2019-11-15,121.47
2019-11-18,122.09
2019-11-19,121.97
2019-11-20,118.69
2019-11-21,118.26
2019-11-22,119.14
2019-11-25,122.72
2019-11-26,124.4
2019-11-27,124.26
2019-11-29,121.08
2019-12-02,122.25
2019-12-03,120.01
2019-12-04,119.85
2019-12-05,122.03
2019-12-06,120.79
2019-12-09,120.94
2019-12-10,120.42
2019-12-11,121.73
2019-12-12,122.33
2019-12-13,123.2
2019-12-16,122.76
2019-12-17,125.06
2019-12-18,127.52
2019-12-19,122.98
2019-12-20,123.74
2019-12-23,124.96
2019-12-24,124.7
2019-12-26,125.0
2019-12-27,124.0
2019-12-30,123.0
2019-12-31,121.25
2020-01-02,127.25
2020-01-03,126.16
2020-01-06,128.08
2020-01-07,129.1
2020-01-08,130.81
2020-01-09,133.64
2020-01-10,131.12
2020-01-13,134.71
2020-01-14,136.84
2020-01-15,138.48
2020-01-16,140.75
2020-01-17,135.75
