date,Close
2019-01-02,31.58
2019-01-03,31.75
2019-01-04,32.62
2019-01-07,33.51
2019-01-08,34.2
2019-01-09,34.48
2019-01-10,34.7
2019-01-11,34.54
2019-01-14,34.8
2019-01-15,35.59
2019-01-16,35.59
2019-01-17,35.67
2019-01-18,36.1
2019-01-22,35.66
2019-01-23,35.61
2019-01-24,35.6
2019-01-25,36.09
2019-01-28,36.06
2019-01-29,36.45
2019-01-30,36.54
2019-01-31,36.62
2019-02-01,37.0
2019-02-04,37.44
2019-02-05,37.63
2019-02-06,37.44
2019-02-07,37.05
2019-02-08,36.1
2019-02-11,36.3
2019-02-12,35.67
2019-02-13,35.91
2019-02-14,35.7
2019-02-15,35.82
2019-02-19,36.29
2019-02-20,36.71
2019-02-21,36.97
2019-02-22,37.01
2019-02-25,36.87
2019-02-26,37.24
2019-02-27,37.26
2019-02-28,36.99
2019-03-01,37.25
2019-03-04,35.06
2019-03-05,35.62
2019-03-06,36.07
2019-03-07,36.46
2019-03-08,35.93
2019-03-11,36.49
2019-03-12,36.77
2019-03-13,36.97
2019-03-14,37.05
2019-03-15,36.52
2019-03-18,36.87
2019-03-19,37.05
2019-03-20,37.03
2019-03-21,36.78
2019-03-22,36.61
2019-03-25,36.5
2019-03-26,36.59
2019-03-27,36.66
2019-03-28,36.63
2019-03-29,36.26
2019-04-01,36.4
2019-04-02,36.61
2019-04-03,36.85
2019-04-04,36.83
2019-04-05,36.96
2019-04-08,37.09
2019-04-09,36.84
2019-04-10,36.77
2019-04-11,37.17
2019-04-12,37.47
2019-04-15,37.27
2019-04-16,37.11
2019-04-17,37.12
2019-04-18,37.19
2019-04-22,37.33
2019-04-23,37.67
2019-04-24,37.83
2019-04-25,37.78
2019-04-26,37.4
2019-04-29,37.31
2019-04-30,36.94
2019-05-01,36.83
2019-05-02,36.3
2019-05-03,36.65
2019-05-06,36.76
2019-05-07,36.56
2019-05-08,36.73
2019-05-09,36.55
2019-05-10,36.85
2019-05-13,37.26
2019-05-14,36.44
2019-05-15,36.67
2019-05-16,37.05
2019-05-17,37.53
2019-05-20,37.35
2019-05-21,37.57
2019-05-22,37.25
2019-05-23,36.99
2019-05-24,37.47
2019-05-28,37.51
2019-05-29,37.13
2019-05-30,36.77
2019-05-31,36.87
2019-06-03,35.23
2019-06-04,35.73
2019-06-05,35.57
2019-06-06,35.42
2019-06-07,35.51
2019-06-10,35.4
2019-06-11,34.77
2019-06-12,34.18
2019-06-13,34.31
2019-06-14,34.48
2019-06-17,34.24
2019-06-18,34.59
2019-06-19,34.92
2019-06-20,35.42
2019-06-21,35.16
2019-06-24,35.11
2019-06-25,34.84
2019-06-26,35.06
2019-06-27,35.54
2019-06-28,36.08
2019-07-01,36.17
2019-07-02,35.96
2019-07-03,36.25
2019-07-05,36.39
2019-07-08,35.98
2019-07-09,36.56
2019-07-10,36.75
2019-07-11,36.89
2019-07-12,36.51
2019-07-15,36.31
2019-07-16,35.95
2019-07-17,36.11
2019-07-18,36.29
2019-07-19,35.83
2019-07-22,35.73
2019-07-23,35.42
2019-07-24,34.99
2019-07-25,33.56
2019-07-26,33.6
2019-07-29,33.38
2019-07-30,33.33
2019-07-31,33.39
2019-08-01,33.64
2019-08-02,33.5
2019-08-05,32.93
2019-08-06,32.76
2019-08-07,33.52
2019-08-08,33.94
2019-08-09,33.81
2019-08-12,33.7
2019-08-13,34.37
2019-08-14,32.76
2019-08-15,33.08
2019-08-16,33.62
2019-08-19,33.71
2019-08-20,33.33
2019-08-21,33.85
2019-08-22,33.39
2019-08-23,32.61
2019-08-26,32.89
2019-08-27,32.9
2019-08-28,33.01
2019-08-29,33.32
2019-08-30,33.46
2019-09-03,33.47
2019-09-04,33.66
2019-09-05,34.07
2019-09-06,34.34
2019-09-09,34.4
2019-09-10,34.72
2019-09-11,34.77
2019-09-12,34.7
2019-09-13,34.9
2019-09-16,35.16
2019-09-17,35.25
2019-09-18,35.19
2019-09-19,35.2
2019-09-20,35.34
2019-09-23,35.15
2019-09-24,35.37
2019-09-25,35.31
2019-09-26,35.73
2019-09-27,36.05
2019-09-30,35.08
2019-10-01,35.14
2019-10-02,34.14
2019-10-03,34.36
2019-10-04,34.8
2019-10-07,34.8
2019-10-08,34.78
2019-10-09,35.17
2019-10-10,35.66
2019-10-11,35.91
2019-10-14,35.62
2019-10-15,35.69
2019-10-16,35.68
2019-10-17,35.74
2019-10-18,36.11
2019-10-21,36.21
2019-10-22,36.27
2019-10-23,36.56
2019-10-24,36.59
2019-10-25,36.48
2019-10-28,36.64
2019-10-29,36.43
2019-10-30,36.43
2019-10-31,36.41
2019-11-01,36.87
2019-11-04,36.88
2019-11-05,36.92
2019-11-06,36.91
2019-11-07,36.73
2019-11-08,37.47
2019-11-11,37.76
2019-11-12,38.26
2019-11-13,38.73
2019-11-14,37.72
2019-11-15,38.18
2019-11-18,38.06
2019-11-19,37.62
2019-11-20,37.71
2019-11-21,37.76
2019-11-22,37.41
2019-11-25,37.78
2019-11-26,37.72
2019-11-27,37.95
2019-11-29,38.0
2019-12-02,37.83
2019-12-03,37.97
2019-12-04,38.26
2019-12-05,38.47
2019-12-06,38.51
2019-12-09,38.8
2019-12-10,38.71
2019-12-11,38.65
2019-12-12,38.26
2019-12-13,38.31
2019-12-16,38.63
2019-12-17,38.53
2019-12-18,39.07
2019-12-19,39.11
2019-12-20,39.42
2019-12-23,39.57
2019-12-24,39.56
2019-12-26,39.67
2019-12-27,39.59
2019-12-30,39.55
2019-12-31,39.77
2020-01-02,39.71
2020-01-03,39.64
2020-01-06,40.01
2020-01-07,39.74
2020-01-08,39.91
2020-01-09,39.84
2020-01-10,39.94
2020-01-13,40.27
2020-01-14,40.23
2020-01-15,40.2
2020-01-16,40.49
2020-01-17,40.52
2020-01-21,40.74
2020-01-22,40.84
2020-01-23,41.0
2020-01-24,41.05
2020-01-27,40.83
2020-01-28,41.09
2020-01-29,41.13
2020-01-30,41.26
2020-01-31,40.67
2020-02-03,41.07
2020-02-04,41.24
2020-02-05,41.82
2020-02-06,42.11
2020-02-07,42.18
2020-02-10,42.58
2020-02-11,42.77
2020-02-12,43.06
2020-02-13,42.02
2020-02-14,42.2
2020-02-18,41.56
2020-02-19,41.97
2020-02-20,41.76
2020-02-21,41.87
2020-02-24,40.84
2020-02-25,39.87
2020-02-26,39.22
2020-02-27,37.66
2020-02-28,37.43
2020-03-02,38.2
2020-03-03,37.83
2020-03-04,38.83
2020-03-05,38.49
2020-03-06,38.02
2020-03-09,31.24
2020-03-10,32.33
2020-03-11,31.19
2020-03-12,25.96
2020-03-13,30.93
2020-03-16,27.31
2020-03-17,26.81
2020-03-18,23.92
2020-03-19,24.84
2020-03-20,25.63
2020-03-23,23.74
2020-03-24,26.92
2020-03-25,28.54
2020-03-26,29.74
2020-03-27,27.74
2020-03-30,28.2
2020-03-31,29.09
2020-04-01,27.21
2020-04-02,27.49
2020-04-03,27.95
2020-04-06,28.65
2020-04-07,28.16
2020-04-08,28.36
2020-04-09,28.7
2020-04-13,28.7
2020-04-14,29.51
2020-04-15,28.38
2020-04-16,28.5
2020-04-17,29.4
2020-04-20,29.32
2020-04-21,28.13
2020-04-22,28.65
2020-04-23,28.87
2020-04-24,29.21
2020-04-27,29.66
2020-04-28,30.39
2020-04-29,31.97
2020-04-30,30.68
2020-05-01,29.86
2020-05-04,30.11
2020-05-05,30.61
2020-05-06,30.58
2020-05-07,31.87
2020-05-08,32.04
2020-05-11,32.94
2020-05-12,32.23
2020-05-13,31.24
2020-05-14,30.64
2020-05-15,31.18
2020-05-18,32.0
2020-05-19,32.08
2020-05-20,32.03
2020-05-21,31.52
2020-05-22,31.47
2020-05-26,31.71
2020-05-27,32.16
2020-05-28,32.34
2020-05-29,32.45
2020-06-01,32.99
2020-06-02,33.32
2020-06-03,33.28
2020-06-04,32.72
2020-06-05,33.34
2020-06-08,33.9
2020-06-09,33.02
2020-06-10,32.27
2020-06-11,30.44
2020-06-12,31.01
2020-06-15,31.12
2020-06-16,32.1
2020-06-17,31.54
2020-06-18,31.8
2020-06-19,31.1
2020-06-22,31.03
2020-06-23,30.93
2020-06-24,30.1
2020-06-25,30.31
2020-06-26,29.63
2020-06-29,30.29
2020-06-30,30.42
2020-07-01,30.22
2020-07-02,30.63
2020-07-06,30.49
2020-07-07,29.94
2020-07-08,30.1
2020-07-09,29.59
2020-07-10,29.6
2020-07-13,29.7
2020-07-14,30.59
2020-07-15,30.98
2020-07-16,30.74
2020-07-17,30.66
2020-07-20,30.55
2020-07-21,30.96
2020-07-22,31.44
2020-07-23,31.25
2020-07-24,31.28
2020-07-27,31.31
2020-07-28,31.58
2020-07-29,32.64
2020-07-30,32.2
2020-07-31,32.0
2020-08-03,31.77
2020-08-04,32.98
2020-08-05,32.85
2020-08-06,33.06
2020-08-07,33.0
2020-08-10,33.5
2020-08-11,33.52
2020-08-12,33.98
2020-08-13,32.87
2020-08-14,32.87
2020-08-17,32.91
2020-08-18,32.97
2020-08-19,32.79
2020-08-20,32.79
2020-08-21,32.81
2020-08-24,32.8
2020-08-25,32.68
2020-08-26,32.15
2020-08-27,32.43
2020-08-28,32.56
2020-08-31,32.02
2020-09-01,32.25
2020-09-02,32.56
2020-09-03,32.07
2020-09-04,31.58
2020-09-08,31.12
2020-09-09,31.73
2020-09-10,31.05
2020-09-11,31.19
2020-09-14,30.9
2020-09-15,30.94
2020-09-16,30.95
2020-09-17,30.84
2020-09-18,30.5
2020-09-21,30.06
2020-09-22,30.51
2020-09-23,29.51
2020-09-24,29.64
2020-09-25,29.99
2020-09-28,30.08
2020-09-29,29.55
2020-09-30,29.2
2020-10-01,29.04
2020-10-02,28.96
2020-10-05,29.54
2020-10-06,28.96
2020-10-07,29.21
2020-10-08,30.32
2020-10-09,29.83
2020-10-12,29.68
2020-10-13,29.61
2020-10-14,29.44
2020-10-15,29.27
2020-10-16,29.45
2020-10-19,29.06
2020-10-20,29.07
2020-10-21,28.91
2020-10-22,29.36
2020-10-23,28.92
2020-10-26,28.5
2020-10-27,28.31
2020-10-28,27.55
2020-10-29,27.56
2020-10-30,27.56
2020-11-02,27.49
2020-11-03,27.72
2020-11-04,27.86
2020-11-05,28.39
2020-11-06,27.44
2020-11-09,28.95
2020-11-10,30.41
2020-11-11,30.47
2020-11-12,28.94
2020-11-13,28.43
