date,Close
2019-01-02,157.26
2019-01-03,153.37
2019-01-04,157.77
2019-01-07,158.65
2019-01-08,158.66
2019-01-09,160.9
2019-01-10,162.43
2019-01-11,163.81
2019-01-14,164.53
2019-01-15,163.14
2019-01-16,163.6
2019-01-17,165.72
2019-01-18,168.58
2019-01-22,167.22
2019-01-23,168.81
2019-01-24,170.82
2019-01-25,171.22
2019-01-28,172.19
2019-01-29,176.0
2019-01-30,170.91
2019-01-31,171.17
2019-02-01,169.03
2019-02-04,174.61
2019-02-05,172.22
2019-02-06,172.76
2019-02-07,173.59
2019-02-08,172.12
2019-02-11,170.93
2019-02-12,172.76
2019-02-13,173.48
2019-02-14,172.1
2019-02-15,175.24
2019-02-19,174.78
2019-02-20,174.45
2019-02-21,171.63
2019-02-22,172.54
2019-02-25,173.14
2019-02-26,170.0
2019-02-27,169.34
2019-02-28,170.22
2019-03-01,169.28
2019-03-04,166.75
2019-03-05,168.03
2019-03-06,166.47
2019-03-07,166.34
2019-03-08,166.14
2019-03-11,169.51
2019-03-12,168.77
2019-03-13,171.72
2019-03-14,169.59
2019-03-15,169.79
2019-03-18,171.67
2019-03-19,170.72
2019-03-20,168.49
2019-03-21,169.83
2019-03-22,165.85
2019-03-25,166.62
2019-03-26,166.9
2019-03-27,166.56
2019-03-28,167.76
2019-03-29,169.28
2019-04-01,172.31
2019-04-02,169.94
2019-04-03,167.75
2019-04-04,169.17
2019-04-05,171.12
2019-04-08,172.3
2019-04-09,169.17
2019-04-10,169.37
2019-04-11,171.43
2019-04-12,174.93
2019-04-15,172.0
2019-04-16,173.74
2019-04-17,174.53
2019-04-18,176.85
2019-04-22,177.03
2019-04-23,182.37
2019-04-24,180.73
2019-04-25,176.88
2019-04-26,178.07
2019-04-29,179.21
2019-04-30,178.72
2019-05-01,176.39
2019-05-02,174.57
2019-05-03,176.69
2019-05-06,175.36
2019-05-07,170.48
2019-05-08,168.29
2019-05-09,172.05
2019-05-10,173.08
2019-05-13,167.99
2019-05-14,168.49
2019-05-15,167.72
2019-05-16,169.85
2019-05-17,166.37
2019-05-20,169.29
2019-05-21,171.45
2019-05-22,169.28
2019-05-23,163.58
2019-05-24,164.03
2019-05-28,163.66
2019-05-29,162.31
2019-05-30,162.23
2019-05-31,160.82
2019-06-03,163.15
2019-06-04,167.78
2019-06-05,171.94
2019-06-06,171.98
2019-06-07,173.97
2019-06-10,173.39
2019-06-11,169.73
2019-06-12,170.04
2019-06-13,171.94
2019-06-14,171.25
2019-06-17,171.78
2019-06-18,173.59
2019-06-19,173.62
2019-06-20,177.96
2019-06-21,177.43
2019-06-24,177.82
2019-06-25,177.64
2019-06-26,178.9
2019-06-27,177.72
2019-06-28,181.82
2019-07-01,182.54
2019-07-02,183.57
2019-07-03,182.65
2019-07-05,182.28
2019-07-08,181.47
2019-07-09,180.83
2019-07-10,182.54
2019-07-11,183.6
2019-07-12,185.84
2019-07-15,186.4
