date,Close
2019-01-02,47.42
2019-01-03,46.6
2019-01-04,48.8
2019-01-07,49.33
2019-01-08,49.76
2019-01-09,49.61
2019-01-10,49.89
2019-01-11,49.78
2019-01-14,49.65
2019-01-15,50.77
2019-01-16,51.11
2019-01-17,51.4
2019-01-18,51.61
2019-01-22,51.5
2019-01-23,51.25
2019-01-24,51.01
2019-01-25,51.52
2019-01-28,50.78
2019-01-29,50.6
2019-01-30,51.43
2019-01-31,51.92
2019-02-01,51.77
2019-02-04,52.23
2019-02-05,52.21
2019-02-06,52.28
2019-02-07,52.21
2019-02-08,52.41
2019-02-11,52.61
2019-02-12,53.11
2019-02-13,53.35
2019-02-14,52.99
2019-02-15,53.42
2019-02-19,53.13
2019-02-20,53.04
2019-02-21,53.08
2019-02-22,53.11
2019-02-25,52.99
2019-02-26,53.02
2019-02-27,53.05
2019-02-28,53.17
2019-03-01,53.98
2019-03-04,53.57
2019-03-05,53.43
2019-03-06,53.04
2019-03-07,52.9
2019-03-08,52.54
2019-03-11,53.62
2019-03-12,54.09
2019-03-13,54.39
2019-03-14,54.13
2019-03-15,54.52
2019-03-18,55.29
2019-03-19,55.25
2019-03-20,54.82
2019-03-21,55.46
2019-03-22,54.54
2019-03-25,54.34
2019-03-26,53.27
2019-03-27,52.6
2019-03-28,53.81
2019-03-29,54.38
2019-04-01,54.66
2019-04-02,54.73
2019-04-03,54.94
2019-04-04,54.96
2019-04-05,54.77
2019-04-08,54.89
2019-04-09,54.87
2019-04-10,54.97
2019-04-11,55.01
2019-04-12,55.08
2019-04-15,55.13
2019-04-16,55.17
2019-04-17,54.61
2019-04-18,55.01
2019-04-22,55.66
2019-04-23,56.29
2019-04-24,56.08
2019-04-25,56.3
2019-04-26,56.57
2019-04-29,56.9
2019-04-30,57.26
2019-05-01,56.48
2019-05-02,56.56
2019-05-03,57.0
2019-05-06,56.98
2019-05-07,56.08
2019-05-08,56.15
2019-05-09,55.72
2019-05-10,56.2
2019-05-13,54.64
2019-05-14,56.14
2019-05-15,56.62
2019-05-16,57.69
2019-05-17,57.4
2019-05-20,57.5
2019-05-21,58.43
2019-05-22,58.72
2019-05-23,57.76
2019-05-24,58.38
2019-05-28,57.82
2019-05-29,57.52
2019-05-30,57.82
2019-05-31,57.39
2019-06-03,57.66
2019-06-04,58.22
2019-06-05,59.04
2019-06-06,59.22
2019-06-07,59.6
2019-06-10,60.75
2019-06-11,59.64
2019-06-12,59.45
2019-06-13,59.26
2019-06-14,59.32
2019-06-17,59.36
2019-06-18,59.08
2019-06-19,59.55
2019-06-20,59.89
2019-06-21,59.88
2019-06-24,59.56
2019-06-25,59.26
2019-06-26,62.37
2019-06-27,63.1
2019-06-28,63.72
2019-07-01,64.61
2019-07-02,64.66
2019-07-03,65.12
2019-07-05,64.62
2019-07-08,64.58
2019-07-09,64.81
2019-07-10,64.84
2019-07-11,65.4
2019-07-12,65.57
2019-07-15,65.58
2019-07-16,65.56
2019-07-17,65.37
2019-07-18,65.53
2019-07-19,65.05
2019-07-22,65.25
2019-07-23,65.25
2019-07-24,64.81
2019-07-25,64.69
2019-07-26,65.46
2019-07-29,65.39
2019-07-30,65.23
2019-07-31,64.42
2019-08-01,64.04
2019-08-02,63.83
2019-08-05,62.24
2019-08-06,63.12
2019-08-07,63.04
2019-08-08,64.39
2019-08-09,64.41
2019-08-12,63.63
2019-08-13,64.84
2019-08-14,63.21
2019-08-15,63.65
2019-08-16,64.83
2019-08-19,65.4
2019-08-20,65.14
2019-08-21,65.13
2019-08-22,64.13
2019-08-23,62.74
2019-08-26,63.51
2019-08-27,64.39
2019-08-28,64.79
2019-08-29,65.62
2019-08-30,65.61
2019-09-03,65.72
2019-09-04,66.48
2019-09-05,67.17
2019-09-06,67.91
2019-09-09,67.29
2019-09-10,66.41
2019-09-11,65.59
2019-09-12,67.57
2019-09-13,67.86
2019-09-16,68.15
2019-09-17,67.93
2019-09-18,67.84
2019-09-19,67.75
2019-09-20,67.36
2019-09-23,66.92
2019-09-24,65.94
2019-09-25,66.24
2019-09-26,66.48
2019-09-27,65.68
2019-09-30,66.88
2019-10-01,66.96
2019-10-02,65.65
2019-10-03,66.52
2019-10-04,67.36
2019-10-07,67.52
2019-10-08,66.59
2019-10-09,67.67
2019-10-10,67.97
2019-10-11,68.31
2019-10-14,68.15
2019-10-15,69.24
2019-10-16,69.27
2019-10-17,69.71
2019-10-18,69.74
2019-10-21,70.14
2019-10-22,69.28
2019-10-23,69.57
2019-10-24,69.89
2019-10-25,69.35
2019-10-28,69.7
2019-10-29,69.2
2019-10-30,70.12
2019-10-31,70.02
2019-11-01,70.7
2019-11-04,69.74
2019-11-05,68.49
2019-11-06,69.36
2019-11-07,69.7
2019-11-08,69.64
2019-11-11,68.9
2019-11-12,69.26
2019-11-13,70.21
2019-11-14,71.55
2019-11-15,71.38
2019-11-18,71.17
2019-11-19,71.88
2019-11-20,72.01
2019-11-21,71.62
2019-11-22,71.85
2019-11-25,72.23
2019-11-26,72.81
2019-11-27,72.9
2019-11-29,72.65
2019-12-02,72.11
2019-12-03,72.31
2019-12-04,72.5
2019-12-05,72.71
2019-12-06,73.72
2019-12-09,73.11
2019-12-10,73.33
2019-12-11,73.65
2019-12-12,74.04
2019-12-13,74.6
2019-12-16,74.91
2019-12-17,75.13
2019-12-18,74.23
2019-12-19,74.73
2019-12-20,75.36
2019-12-23,75.41
2019-12-24,75.13
2019-12-26,75.01
2019-12-27,75.64
2019-12-30,74.79
2019-12-31,75.35
2020-01-02,75.79
2020-01-03,75.82
2020-01-06,76.24
2020-01-07,76.43
2020-01-08,77.21
2020-01-09,78.19
2020-01-10,78.26
2020-01-13,79.93
2020-01-14,79.06
2020-01-15,79.35
2020-01-16,78.08
2020-01-17,79.27
2020-01-21,80.14
2020-01-22,80.69
2020-01-23,80.59
2020-01-24,79.89
2020-01-27,79.37
2020-01-28,80.05
2020-01-29,79.79
2020-01-30,79.95
2020-01-31,78.86
2020-02-03,79.66
2020-02-04,80.79
