date,Close
2019-01-02,21.36
2019-01-03,21.39
2019-01-04,22.77
2019-01-07,21.68
2019-01-08,20.76
2019-01-09,20.91
2019-01-10,20.56
2019-01-11,20.91
2019-01-14,21.4
2019-01-15,21.92
2019-01-16,22.27
2019-01-17,21.96
2019-01-18,22.16
2019-01-22,22.39
2019-01-23,22.27
2019-01-24,22.72
2019-01-25,23.15
2019-01-28,23.43
2019-01-29,23.53
2019-01-30,23.77
2019-01-31,24.4
2019-02-01,24.74
2019-02-04,25.85
2019-02-05,25.99
2019-02-06,25.34
2019-02-07,25.46
2019-02-08,25.13
2019-02-11,24.28
2019-02-12,24.82
2019-02-13,24.72
2019-02-14,24.92
2019-02-15,25.66
2019-02-19,25.54
2019-02-20,25.64
2019-02-21,25.61
2019-02-22,26.07
2019-02-25,25.36
2019-02-26,26.3
2019-02-27,26.26
2019-02-28,26.35
2019-03-01,26.22
2019-03-04,26.42
2019-03-05,26.12
2019-03-06,26.11
2019-03-07,25.97
2019-03-08,25.26
2019-03-11,24.87
2019-03-12,25.16
2019-03-13,25.5
2019-03-14,25.62
2019-03-15,26.03
2019-03-18,26.11
2019-03-19,26.17
2019-03-20,26.16
2019-03-21,26.46
2019-03-22,26.03
2019-03-25,25.77
2019-03-26,25.48
2019-03-27,25.61
2019-03-28,25.23
2019-03-29,24.92
2019-04-01,24.9
2019-04-02,25.31
2019-04-03,26.33
2019-04-04,26.66
2019-04-05,27.82
2019-04-08,27.74
2019-04-09,27.8
2019-04-10,27.38
2019-04-11,27.24
2019-04-12,27.92
2019-04-15,28.29
2019-04-16,27.72
2019-04-17,27.56
2019-04-18,27.58
2019-04-22,27.29
2019-04-23,27.27
2019-04-24,27.25
2019-04-25,26.65
2019-04-26,26.9
2019-04-29,27.03
2019-04-30,27.01
2019-05-01,26.55
2019-05-02,26.21
2019-05-03,26.66
2019-05-06,26.76
2019-05-07,25.96
2019-05-08,25.9
2019-05-09,26.29
2019-05-10,26.31
2019-05-13,24.81
2019-05-14,24.91
2019-05-15,25.29
2019-05-16,25.62
2019-05-17,25.23
2019-05-20,25.1
2019-05-21,25.87
2019-05-22,25.41
2019-05-23,25.15
2019-05-24,24.91
2019-05-28,25.02
2019-05-29,24.91
2019-05-30,24.37
2019-05-31,24.6
2019-06-03,24.42
2019-06-04,25.55
2019-06-05,25.34
2019-06-06,25.76
2019-06-07,26.24
2019-06-10,26.76
2019-06-11,26.46
2019-06-12,26.27
2019-06-13,26.38
2019-06-14,26.71
2019-06-17,26.66
2019-06-18,27.26
2019-06-19,27.64
2019-06-20,27.61
2019-06-21,27.5
2019-06-24,26.9
2019-06-25,26.25
2019-06-26,26.41
2019-06-27,26.75
2019-06-28,26.99
2019-07-01,27.43
2019-07-02,27.68
2019-07-03,27.6
2019-07-05,27.65
2019-07-08,26.99
2019-07-09,26.74
2019-07-10,26.81
2019-07-11,27.18
2019-07-12,27.17
2019-07-15,26.49
2019-07-16,26.11
2019-07-17,26.01
2019-07-18,28.1
2019-07-19,27.65
2019-07-22,27.48
2019-07-23,27.77
2019-07-24,27.85
2019-07-25,27.85
2019-07-26,27.79
2019-07-29,27.14
2019-07-30,27.16
2019-07-31,26.67
2019-08-01,26.4
2019-08-02,26.49
2019-08-05,25.52
2019-08-06,25.56
2019-08-07,25.72
2019-08-08,25.81
2019-08-09,25.98
2019-08-12,26.51
2019-08-13,26.78
2019-08-14,26.08
2019-08-15,26.03
2019-08-16,26.04
2019-08-19,26.34
2019-08-20,26.21
2019-08-21,26.26
2019-08-22,26.14
2019-08-23,25.58
2019-08-26,25.87
2019-08-27,25.81
2019-08-28,25.97
2019-08-29,26.4
2019-08-30,26.72
2019-09-03,26.72
2019-09-04,27.28
2019-09-05,26.98
2019-09-06,27.26
2019-09-09,27.44
2019-09-10,27.72
2019-09-11,27.69
2019-09-12,28.27
2019-09-13,28.39
2019-09-16,28.04
2019-09-17,27.43
2019-09-18,27.35
2019-09-19,27.1
2019-09-20,26.07
2019-09-23,25.4
2019-09-24,24.74
2019-09-25,25.4
2019-09-26,24.67
2019-09-27,24.71
2019-09-30,24.75
2019-10-01,24.24
2019-10-02,24.34
2019-10-03,24.71
2019-10-04,24.99
2019-10-07,24.99
2019-10-08,24.74
2019-10-09,24.88
2019-10-10,23.8
2019-10-11,24.49
2019-10-14,24.74
2019-10-15,25.72
2019-10-16,26.19
2019-10-17,25.48
2019-10-18,25.8
2019-10-21,25.61
2019-10-22,23.93
2019-10-23,24.27
2019-10-24,24.35
2019-10-25,24.37
2019-10-28,24.72
2019-10-29,24.92
2019-10-30,24.91
2019-10-31,25.15
2019-11-01,25.43
2019-11-04,25.26
2019-11-05,25.4
2019-11-06,25.03
2019-11-07,24.85
2019-11-08,24.82
2019-11-11,24.77
2019-11-12,23.77
2019-11-13,23.02
2019-11-14,22.77
2019-11-15,22.64
2019-11-18,22.59
2019-11-19,22.82
2019-11-20,22.64
2019-11-21,22.72
2019-11-22,22.37
2019-11-25,21.87
2019-11-26,22.07
2019-11-27,22.66
2019-11-29,22.55
2019-12-02,22.27
2019-12-03,21.96
2019-12-04,22.09
2019-12-05,22.21
2019-12-06,22.12
2019-12-09,21.58
2019-12-10,22.18
2019-12-11,21.55
2019-12-12,21.63
2019-12-13,22.03
2019-12-16,22.01
2019-12-17,21.72
2019-12-18,22.27
2019-12-19,22.77
2019-12-20,22.63
2019-12-23,22.8
2019-12-24,22.79
2019-12-26,22.42
2019-12-27,22.79
2019-12-30,22.62
2019-12-31,22.74
2020-01-02,22.48
2020-01-03,22.11
2020-01-06,22.58
2020-01-07,22.28
2020-01-08,21.36
2020-01-09,20.8
2020-01-10,20.63
2020-01-13,20.77
2020-01-14,21.02
2020-01-15,21.39
2020-01-16,21.47
2020-01-17,21.15
2020-01-21,20.34
2020-01-22,20.16
2020-01-23,20.26
2020-01-24,20.51
2020-01-27,20.82
2020-01-28,21.04
2020-01-29,20.61
2020-01-30,20.85
2020-01-31,20.52
2020-02-03,20.46
2020-02-04,20.83
2020-02-05,21.07
2020-02-06,21.05
2020-02-07,20.39
2020-02-10,20.28
2020-02-11,21.33
2020-02-12,21.44
2020-02-13,21.11
