date,Close
2019-01-02,51.47
2019-01-03,49.54
2019-01-04,52.26
2019-01-07,51.69
2019-01-08,52.9
2019-01-09,52.92
2019-01-10,52.92
2019-01-11,52.3
2019-01-14,51.88
2019-01-15,54.53
2019-01-16,54.29
2019-01-17,55.46
2019-01-18,57.11
2019-01-22,56.47
2019-01-23,57.63
2019-01-24,58.54
2019-01-25,60.35
2019-01-28,59.87
2019-01-29,58.52
2019-01-30,59.47
2019-01-31,60.33
2019-02-01,60.28
2019-02-04,60.11
2019-02-05,60.25
2019-02-06,59.05
2019-02-07,61.66
2019-02-08,61.67
2019-02-11,63.26
2019-02-12,63.54
2019-02-13,63.24
2019-02-14,62.93
2019-02-15,62.83
2019-02-19,62.22
2019-02-20,61.92
2019-02-21,61.97
2019-02-22,62.56
2019-02-25,61.61
2019-02-26,60.97
2019-02-27,60.91
2019-02-28,60.84
2019-03-01,61.33
2019-03-04,60.23
2019-03-05,60.86
2019-03-06,60.18
2019-03-07,59.66
2019-03-08,59.34
2019-03-11,59.38
2019-03-12,59.82
2019-03-13,59.0
2019-03-14,59.31
2019-03-15,59.98
2019-03-18,61.16
2019-03-19,62.17
2019-03-20,62.53
2019-03-21,63.96
2019-03-22,62.7
2019-03-25,61.11
2019-03-26,61.17
2019-03-27,59.66
2019-03-28,60.07
2019-03-29,60.0
2019-04-01,59.85
2019-04-02,60.02
2019-04-03,61.07
2019-04-04,59.17
2019-04-05,59.22
2019-04-08,59.98
2019-04-09,60.28
2019-04-10,60.93
2019-04-11,61.5
2019-04-12,61.11
2019-04-15,62.59
2019-04-16,61.68
2019-04-17,61.98
2019-04-18,62.83
2019-04-22,64.01
2019-04-23,65.35
2019-04-24,65.66
2019-04-25,65.63
2019-04-26,65.38
2019-04-29,64.76
2019-04-30,64.2
2019-05-01,64.25
2019-05-02,64.03
2019-05-03,65.19
2019-05-06,65.25
2019-05-07,64.43
2019-05-08,68.22
2019-05-09,66.08
2019-05-10,65.11
2019-05-13,64.48
2019-05-14,64.53
2019-05-15,65.54
2019-05-16,67.91
2019-05-17,67.09
2019-05-20,66.33
2019-05-21,65.25
2019-05-22,64.65
2019-05-23,63.76
2019-05-24,63.64
2019-05-28,64.11
2019-05-29,63.41
2019-05-30,63.45
2019-05-31,63.06
2019-06-03,61.33
2019-06-04,63.67
2019-06-05,64.99
2019-06-06,64.56
2019-06-07,65.16
2019-06-10,65.42
2019-06-11,64.95
2019-06-12,65.46
2019-06-13,65.9
2019-06-14,65.23
2019-06-17,65.45
2019-06-18,64.99
2019-06-19,64.36
2019-06-20,64.22
2019-06-21,62.59
2019-06-24,64.68
2019-06-25,60.8
2019-06-26,61.75
2019-06-27,62.29
2019-06-28,62.12
2019-07-01,63.4
2019-07-02,64.13
2019-07-03,64.85
2019-07-05,65.01
2019-07-08,64.53
2019-07-09,65.29
2019-07-10,66.3
2019-07-11,65.77
2019-07-12,66.28
2019-07-15,66.86
2019-07-16,66.07
2019-07-17,66.4
2019-07-18,68.24
2019-07-19,68.02
2019-07-22,68.77
2019-07-23,68.69
2019-07-24,69.76
2019-07-25,69.49
2019-07-26,69.78
2019-07-29,69.39
2019-07-30,68.5
2019-07-31,68.26
2019-08-01,68.17
2019-08-02,67.61
2019-08-05,65.19
2019-08-06,66.58
2019-08-07,73.75
2019-08-08,73.34
2019-08-09,72.66
2019-08-12,69.97
2019-08-13,68.41
2019-08-14,68.64
2019-08-15,69.96
2019-08-16,71.15
2019-08-19,71.33
2019-08-20,72.24
2019-08-21,73.98
2019-08-22,74.43
2019-08-23,73.07
2019-08-26,72.81
2019-08-27,72.26
2019-08-28,72.23
2019-08-29,72.6
2019-08-30,72.71
2019-09-03,72.61
2019-09-04,72.84
2019-09-05,69.93
2019-09-06,69.9
2019-09-09,67.68
2019-09-10,65.94
2019-09-11,65.46
2019-09-12,65.67
2019-09-13,64.93
2019-09-16,65.46
2019-09-17,67.56
2019-09-18,66.6
2019-09-19,66.54
2019-09-20,65.95
2019-09-23,66.37
2019-09-24,64.12
2019-09-25,62.96
2019-09-26,63.36
2019-09-27,62.84
2019-09-30,62.24
2019-10-01,62.36
2019-10-02,61.97
2019-10-03,63.13
2019-10-04,63.14
2019-10-07,64.94
2019-10-08,63.47
2019-10-09,64.3
2019-10-10,64.27
2019-10-11,64.83
2019-10-14,64.68
2019-10-15,65.64
2019-10-16,66.29
2019-10-17,66.14
2019-10-18,63.35
2019-10-21,64.36
2019-10-22,63.4
2019-10-23,63.93
2019-10-24,64.67
2019-10-25,64.77
2019-10-28,64.98
2019-10-29,64.14
2019-10-30,64.83
2019-10-31,64.89
2019-11-01,65.55
2019-11-04,64.37
2019-11-05,63.41
2019-11-06,60.71
2019-11-07,63.03
2019-11-08,62.81
2019-11-11,62.89
2019-11-12,62.38
2019-11-13,62.39
2019-11-14,62.84
2019-11-15,63.34
2019-11-18,64.1
2019-11-19,64.73
2019-11-20,64.09
2019-11-21,63.34
2019-11-22,63.29
2019-11-25,63.29
2019-11-26,63.36
2019-11-27,63.49
2019-11-29,63.59
2019-12-02,62.23
2019-12-03,61.68
2019-12-04,61.46
2019-12-05,61.84
2019-12-06,61.68
2019-12-09,61.48
2019-12-10,61.66
2019-12-11,61.9
2019-12-12,62.35
2019-12-13,64.15
2019-12-16,64.53
2019-12-17,63.75
2019-12-18,63.17
2019-12-19,68.08
2019-12-20,70.2
2019-12-23,70.06
2019-12-24,70.41
2019-12-26,71.35
2019-12-27,72.1
2019-12-30,71.41
2019-12-31,71.13
2020-01-02,72.9
2020-01-03,72.5
2020-01-06,72.6
2020-01-07,73.06
2020-01-08,73.92
2020-01-09,74.29
2020-01-10,75.72
2020-01-13,77.41
2020-01-14,77.27
2020-01-15,78.43
2020-01-16,79.09
2020-01-17,78.73
2020-01-21,77.81
2020-01-22,77.62
2020-01-23,77.06
2020-01-24,75.2
2020-01-27,74.07
2020-01-28,73.99
2020-01-29,72.05
2020-01-30,71.66
2020-01-31,69.56
2020-02-03,70.86
2020-02-04,72.54
2020-02-05,68.11
2020-02-06,69.8
2020-02-07,68.72
2020-02-10,67.49
2020-02-11,66.68
2020-02-12,67.53
2020-02-13,67.25
2020-02-14,67.95
2020-02-18,67.68
2020-02-19,67.45
2020-02-20,66.69
2020-02-21,65.16
2020-02-24,63.27
2020-02-25,60.82
2020-02-26,59.74
2020-02-27,57.74
2020-02-28,58.24
2020-03-02,60.01
2020-03-03,58.01
2020-03-04,59.13
2020-03-05,57.53
2020-03-06,56.58
2020-03-09,54.04
2020-03-10,56.44
2020-03-11,53.71
2020-03-12,47.38
2020-03-13,48.83
2020-03-16,42.76
2020-03-17,44.71
2020-03-18,39.78
2020-03-19,39.92
2020-03-20,37.34
2020-03-23,37.69
2020-03-24,45.55
2020-03-25,50.47
2020-03-26,51.47
2020-03-27,50.71
2020-03-30,51.4
2020-03-31,51.18
2020-04-01,47.91
2020-04-02,48.48
2020-04-03,48.31
2020-04-06,52.1
2020-04-07,54.5
2020-04-08,56.44
2020-04-09,55.69
2020-04-13,55.77
2020-04-14,58.83
2020-04-15,59.15
2020-04-16,62.25
2020-04-17,63.88
2020-04-20,64.01
2020-04-21,61.3
2020-04-22,63.18
2020-04-23,63.44
2020-04-24,63.87
2020-04-27,63.45
2020-04-28,62.0
2020-04-29,64.75
2020-04-30,63.81
2020-05-01,62.04
