date,Close
2019-01-02,45.95
2019-01-03,44.18
2019-01-04,45.95
2019-01-07,47.9
2019-01-08,48.48
2019-01-09,51.69
2019-01-10,51.03
2019-01-11,48.68
2019-01-14,48.02
2019-01-15,49.4
2019-01-16,50.84
2019-01-17,50.44
2019-01-18,50.54
2019-01-22,49.02
2019-01-23,49.26
2019-01-24,48.08
2019-01-25,48.52
2019-01-28,48.25
2019-01-29,47.62
2019-01-30,48.61
2019-01-31,50.39
2019-02-01,49.96
2019-02-04,50.33
2019-02-05,51.35
2019-02-06,48.63
2019-02-07,47.54
2019-02-08,47.98
2019-02-11,48.03
2019-02-12,48.88
2019-02-13,48.11
2019-02-14,48.23
2019-02-15,45.52
2019-02-19,45.93
2019-02-20,46.52
2019-02-21,43.78
2019-02-22,44.53
2019-02-25,44.84
2019-02-26,44.97
2019-02-27,45.12
2019-02-28,44.64
2019-03-01,43.48
2019-03-04,43.79
2019-03-05,45.79
2019-03-06,46.36
2019-03-07,44.89
2019-03-08,45.31
2019-03-11,46.59
2019-03-12,46.55
2019-03-13,48.17
2019-03-14,47.71
2019-03-15,48.47
2019-03-18,48.7
2019-03-19,48.86
2019-03-20,47.4
2019-03-21,48.0
2019-03-22,46.47
2019-03-25,46.75
2019-03-26,47.08
2019-03-27,47.05
2019-03-28,47.25
2019-03-29,48.29
2019-04-01,51.2
2019-04-02,51.66
2019-04-03,53.51
2019-04-04,53.95
2019-04-05,55.94
2019-04-08,55.75
2019-04-09,55.34
2019-04-10,54.59
2019-04-11,54.72
2019-04-12,54.89
2019-04-15,54.11
2019-04-16,53.15
2019-04-17,53.66
2019-04-18,53.2
2019-04-22,53.61
2019-04-23,54.83
2019-04-24,54.84
2019-04-25,55.59
2019-04-26,56.15
2019-04-29,56.73
2019-04-30,56.91
2019-05-01,57.07
2019-05-02,56.08
2019-05-03,57.09
2019-05-06,56.28
2019-05-07,52.83
2019-05-08,52.88
2019-05-09,52.33
2019-05-10,52.89
2019-05-13,50.91
2019-05-14,52.47
2019-05-15,52.41
2019-05-16,55.82
2019-05-17,53.31
2019-05-20,51.52
2019-05-21,52.52
2019-05-22,52.16
2019-05-23,52.03
2019-05-24,51.2
2019-05-28,50.17
2019-05-29,49.69
2019-05-30,49.85
2019-05-31,49.72
2019-06-03,48.93
2019-06-04,50.18
2019-06-05,49.11
2019-06-06,50.49
2019-06-07,51.65
2019-06-10,52.57
2019-06-11,53.96
2019-06-12,53.51
2019-06-13,53.48
2019-06-14,53.19
2019-06-17,52.75
2019-06-18,53.23
2019-06-19,51.99
2019-06-20,53.05
2019-06-21,52.49
2019-06-24,52.39
2019-06-25,50.92
2019-06-26,51.31
2019-06-27,52.27
2019-06-28,51.15
2019-07-01,52.54
2019-07-02,52.34
2019-07-03,53.11
2019-07-05,52.3
2019-07-08,51.56
2019-07-09,51.51
2019-07-10,52.52
2019-07-11,52.68
2019-07-12,51.97
