date,Close
2019-01-02,75.32
2019-01-03,75.93
2019-01-04,76.96
2019-01-07,76.06
2019-01-08,77.71
2019-01-09,77.92
2019-01-10,78.95
2019-01-11,78.65
2019-01-14,77.8
2019-01-15,78.74
2019-01-16,78.81
2019-01-17,79.42
2019-01-18,79.74
2019-01-22,79.14
2019-01-23,78.99
2019-01-24,77.42
2019-01-25,77.02
2019-01-28,76.75
2019-01-29,77.59
2019-01-30,76.77
2019-01-31,78.42
2019-02-01,78.55
2019-02-04,79.19
2019-02-05,79.7
2019-02-06,79.75
2019-02-07,79.14
2019-02-08,79.61
2019-02-11,78.96
2019-02-12,79.61
2019-02-13,79.6
2019-02-14,79.77
2019-02-15,80.54
2019-02-19,80.62
2019-02-20,81.31
2019-02-21,81.1
2019-02-22,81.34
2019-02-25,81.63
2019-02-26,81.98
2019-02-27,81.8
2019-02-28,81.75
2019-03-01,81.9
2019-03-04,79.98
2019-03-05,80.47
2019-03-06,80.47
2019-03-07,80.13
2019-03-08,80.36
2019-03-11,80.71
2019-03-12,80.71
2019-03-13,82.11
2019-03-14,82.46
2019-03-15,83.59
2019-03-18,83.49
2019-03-19,83.32
2019-03-20,83.76
2019-03-21,83.92
2019-03-22,83.71
2019-03-25,83.61
2019-03-26,85.14
2019-03-27,85.22
2019-03-28,85.69
2019-03-29,86.15
2019-04-01,85.76
2019-04-02,85.02
2019-04-03,85.09
2019-04-04,84.43
2019-04-05,84.22
2019-04-08,85.06
2019-04-09,83.41
2019-04-10,81.93
2019-04-11,81.87
2019-04-12,80.24
2019-04-15,80.96
2019-04-16,79.34
2019-04-17,77.3
2019-04-18,76.41
2019-04-22,75.4
2019-04-23,75.9
2019-04-24,77.82
2019-04-25,80.6
2019-04-26,81.29
2019-04-29,81.13
2019-04-30,82.23
2019-05-01,81.91
2019-05-02,81.93
2019-05-03,82.61
2019-05-06,82.77
2019-05-07,81.07
2019-05-08,81.87
2019-05-09,80.98
2019-05-10,81.88
2019-05-13,80.51
2019-05-14,80.73
2019-05-15,81.55
2019-05-16,82.45
2019-05-17,82.7
2019-05-20,82.01
2019-05-21,82.39
2019-05-22,83.91
2019-05-23,84.44
2019-05-24,87.52
2019-05-28,86.92
2019-05-29,85.81
2019-05-30,85.8
2019-05-31,85.64
2019-06-03,87.66
2019-06-04,87.42
2019-06-05,87.54
2019-06-06,87.66
2019-06-07,88.06
2019-06-10,88.22
2019-06-11,88.1
2019-06-12,88.98
2019-06-13,89.59
2019-06-14,89.52
2019-06-17,89.76
2019-06-18,91.3
2019-06-19,91.91
2019-06-20,92.37
2019-06-21,92.49
2019-06-24,92.8
2019-06-25,92.37
2019-06-26,91.2
2019-06-27,90.94
2019-06-28,91.31
2019-07-01,91.86
2019-07-02,92.1
2019-07-03,92.5
2019-07-05,90.44
2019-07-08,90.74
2019-07-09,91.06
2019-07-10,91.39
2019-07-11,90.34
2019-07-12,88.19
2019-07-15,89.27
2019-07-16,89.16
2019-07-17,90.23
2019-07-18,94.26
2019-07-19,93.56
2019-07-22,94.04
2019-07-23,93.68
2019-07-24,93.32
2019-07-25,91.99
2019-07-26,93.19
2019-07-29,92.13
2019-07-30,91.64
2019-07-31,91.58
2019-08-01,92.31
2019-08-02,92.18
2019-08-05,90.72
2019-08-06,88.22
2019-08-07,88.8
2019-08-08,91.23
2019-08-09,90.82
2019-08-12,91.1
2019-08-13,91.12
2019-08-14,89.01
2019-08-15,88.58
2019-08-16,89.47
2019-08-19,89.48
2019-08-20,89.08
2019-08-21,90.12
2019-08-22,89.0
2019-08-23,88.44
2019-08-26,88.52
2019-08-27,89.37
2019-08-28,88.98
2019-08-29,89.01
2019-08-30,90.11
2019-09-03,89.88
2019-09-04,89.2
2019-09-05,89.53
2019-09-06,89.71
2019-09-09,89.62
2019-09-10,88.54
2019-09-11,88.88
2019-09-12,89.49
2019-09-13,86.99
2019-09-16,86.14
2019-09-17,86.53
2019-09-18,86.28
2019-09-19,86.35
2019-09-20,87.07
2019-09-23,86.61
2019-09-24,86.45
2019-09-25,85.54
2019-09-26,86.88
2019-09-27,87.4
2019-09-30,86.9
2019-10-01,86.04
2019-10-02,84.35
2019-10-03,85.19
2019-10-04,85.94
2019-10-07,86.22
2019-10-08,85.32
2019-10-09,85.69
2019-10-10,85.93
2019-10-11,86.6
2019-10-14,85.93
2019-10-15,86.7
2019-10-16,87.0
2019-10-17,87.23
2019-10-18,86.88
2019-10-21,86.56
2019-10-22,86.97
2019-10-23,86.63
2019-10-24,87.24
2019-10-25,87.31
2019-10-28,86.92
2019-10-29,88.39
2019-10-30,87.61
2019-10-31,87.44
2019-11-01,87.63
2019-11-04,87.93
2019-11-05,86.89
2019-11-06,87.46
2019-11-07,86.99
2019-11-08,88.37
2019-11-11,88.63
2019-11-12,89.29
2019-11-13,89.86
2019-11-14,89.51
2019-11-15,90.04
2019-11-18,90.33
2019-11-19,90.4
2019-11-20,90.53
2019-11-21,90.53
2019-11-22,90.48
2019-11-25,91.3
2019-11-26,92.12
2019-11-27,92.19
2019-11-29,92.3
2019-12-02,91.43
2019-12-03,91.02
2019-12-04,91.56
2019-12-05,91.64
2019-12-06,92.07
2019-12-09,92.53
2019-12-10,92.8
2019-12-11,93.04
2019-12-12,93.06
2019-12-13,92.99
2019-12-16,93.07
2019-12-17,93.61
2019-12-18,93.25
2019-12-19,94.27
2019-12-20,94.29
2019-12-23,94.87
2019-12-24,94.82
2019-12-26,94.81
2019-12-27,95.37
2019-12-30,94.55
2019-12-31,94.69
2020-01-02,94.95
2020-01-03,94.79
2020-01-06,95.43
2020-01-07,94.48
2020-01-08,94.48
2020-01-09,94.77
2020-01-10,93.86
2020-01-13,93.71
2020-01-14,94.38
2020-01-15,94.6
2020-01-16,95.1
2020-01-17,95.93
2020-01-21,95.19
2020-01-22,95.21
2020-01-23,94.92
2020-01-24,93.87
2020-01-27,93.7
2020-01-28,95.54
2020-01-29,95.74
2020-01-30,95.92
2020-01-31,94.51
2020-02-03,94.25
2020-02-04,95.1
2020-02-05,96.37
2020-02-06,96.96
2020-02-07,95.83
2020-02-10,97.42
2020-02-11,98.23
2020-02-12,99.01
2020-02-13,97.77
2020-02-14,97.63
2020-02-18,97.2
2020-02-19,97.22
2020-02-20,96.29
2020-02-21,96.76
2020-02-24,90.08
2020-02-25,87.95
2020-02-26,87.11
2020-02-27,86.02
2020-02-28,83.96
2020-03-02,86.87
2020-03-03,83.62
2020-03-04,87.65
2020-03-05,85.81
2020-03-06,85.72
2020-03-09,81.46
2020-03-10,84.95
2020-03-11,82.14
2020-03-12,74.07
2020-03-13,79.61
2020-03-16,73.14
2020-03-17,76.95
2020-03-18,74.96
2020-03-19,75.56
2020-03-20,72.42
2020-03-23,70.67
2020-03-24,73.56
2020-03-25,76.89
2020-03-26,79.74
2020-03-27,79.28
2020-03-30,81.9
2020-03-31,82.45
2020-04-01,80.93
2020-04-02,83.6
2020-04-03,83.64
2020-04-06,85.73
2020-04-07,83.99
2020-04-08,85.62
2020-04-09,84.85
2020-04-13,84.2
2020-04-14,86.22
2020-04-15,85.61
2020-04-16,87.54
2020-04-17,89.29
2020-04-20,89.78
2020-04-21,88.27
