date,Close
2019-01-02,45.22
2019-01-03,44.78
2019-01-04,46.71
2019-01-07,47.45
2019-01-08,47.88
2019-01-09,47.78
2019-01-10,47.82
2019-01-11,48.29
2019-01-14,48.18
2019-01-15,48.38
2019-01-16,48.06
2019-01-17,48.58
2019-01-18,49.27
2019-01-22,48.94
2019-01-23,49.24
2019-01-24,49.2
2019-01-25,49.8
2019-01-28,49.52
2019-01-29,49.61
2019-01-30,50.36
2019-01-31,50.23
2019-02-01,50.81
2019-02-04,51.03
2019-02-05,51.24
2019-02-06,51.26
2019-02-07,50.22
2019-02-08,51.03
2019-02-11,51.23
2019-02-12,51.22
2019-02-13,51.42
2019-02-14,51.48
2019-02-15,51.72
2019-02-19,52.02
2019-02-20,51.77
2019-02-21,52.11
2019-02-22,52.48
2019-02-25,52.56
2019-02-26,52.6
2019-02-27,52.38
2019-02-28,52.13
2019-03-01,52.51
2019-03-04,52.04
2019-03-05,52.36
2019-03-06,52.35
2019-03-07,52.58
2019-03-08,52.77
2019-03-11,52.66
2019-03-12,52.8
2019-03-13,53.06
2019-03-14,53.05
2019-03-15,52.94
2019-03-18,53.46
2019-03-19,54.04
2019-03-20,52.64
2019-03-21,54.04
2019-03-22,52.77
2019-03-25,52.74
2019-03-26,53.28
2019-03-27,52.81
2019-03-28,53.19
2019-03-29,53.71
2019-04-01,54.58
2019-04-02,54.15
2019-04-03,54.06
2019-04-04,53.82
2019-04-05,53.93
2019-04-08,53.72
2019-04-09,53.83
2019-04-10,53.97
2019-04-11,53.79
2019-04-12,54.5
2019-04-15,54.63
2019-04-16,54.59
2019-04-17,54.48
2019-04-18,54.52
2019-04-22,54.62
2019-04-23,54.94
2019-04-24,55.18
2019-04-25,55.01
2019-04-26,55.41
2019-04-29,55.08
2019-04-30,55.33
2019-05-01,54.88
2019-05-02,54.6
2019-05-03,54.79
2019-05-06,54.85
2019-05-07,54.0
2019-05-08,53.99
2019-05-09,54.25
2019-05-10,54.65
2019-05-13,53.43
2019-05-14,54.13
2019-05-15,54.56
2019-05-16,54.64
2019-05-17,54.5
2019-05-20,53.66
2019-05-21,54.17
2019-05-22,54.2
2019-05-23,53.08
2019-05-24,52.77
2019-05-28,51.75
2019-05-29,51.69
2019-05-30,51.72
2019-05-31,50.6
2019-06-03,50.24
2019-06-04,52.02
2019-06-05,52.1
2019-06-06,52.59
2019-06-07,53.26
2019-06-10,54.01
2019-06-11,53.94
2019-06-12,53.62
2019-06-13,53.84
2019-06-14,53.28
2019-06-17,53.13
2019-06-18,52.9
2019-06-19,52.68
2019-06-20,56.99
2019-06-21,56.12
2019-06-24,56.74
2019-06-25,56.07
2019-06-26,56.66
2019-06-27,56.77
2019-06-28,56.97
2019-07-01,58.01
2019-07-02,58.46
2019-07-03,58.86
2019-07-05,59.28
2019-07-08,59.53
2019-07-09,59.6
2019-07-10,60.15
2019-07-11,59.99
2019-07-12,59.81
2019-07-15,59.53
2019-07-16,58.61
2019-07-17,57.99
2019-07-18,58.12
2019-07-19,57.54
2019-07-22,57.6
2019-07-23,57.45
2019-07-24,58.11
2019-07-25,58.29
2019-07-26,58.5
2019-07-29,58.06
2019-07-30,57.49
2019-07-31,56.3
2019-08-01,55.88
2019-08-02,55.84
2019-08-05,53.76
2019-08-06,53.96
2019-08-07,53.34
2019-08-08,54.65
2019-08-09,53.9
2019-08-12,53.25
2019-08-13,53.97
2019-08-14,52.32
2019-08-15,52.59
2019-08-16,53.59
2019-08-19,53.87
2019-08-20,52.98
2019-08-21,53.24
2019-08-22,53.19
2019-08-23,51.58
2019-08-26,52.13
2019-08-27,52.39
2019-08-28,51.95
2019-08-29,52.16
2019-08-30,52.06
2019-09-03,51.89
2019-09-04,52.97
2019-09-05,53.84
2019-09-06,53.16
2019-09-09,54.54
2019-09-10,55.47
2019-09-11,56.29
2019-09-12,53.89
2019-09-13,53.75
2019-09-16,53.14
2019-09-17,52.87
2019-09-18,52.56
2019-09-19,53.37
2019-09-20,53.47
2019-09-23,54.02
2019-09-24,53.35
2019-09-25,53.84
2019-09-26,53.96
2019-09-27,54.09
2019-09-30,55.03
2019-10-01,53.8
2019-10-02,53.15
2019-10-03,53.86
2019-10-04,55.14
2019-10-07,54.8
2019-10-08,54.05
2019-10-09,54.53
2019-10-10,55.49
2019-10-11,56.89
2019-10-14,56.46
2019-10-15,56.35
2019-10-16,55.88
2019-10-17,55.06
2019-10-18,54.55
2019-10-21,55.13
2019-10-22,54.11
2019-10-23,54.13
2019-10-24,54.26
2019-10-25,54.17
2019-10-28,54.64
2019-10-29,54.8
2019-10-30,54.85
2019-10-31,54.49
2019-11-01,55.0
2019-11-04,55.45
2019-11-05,55.67
2019-11-06,55.7
2019-11-07,55.98
2019-11-08,56.49
2019-11-11,56.43
2019-11-12,56.59
2019-11-13,56.21
2019-11-14,56.09
2019-11-15,56.42
2019-11-18,56.19
2019-11-19,56.27
2019-11-20,56.24
2019-11-21,56.23
2019-11-22,56.39
2019-11-25,56.56
2019-11-26,56.51
2019-11-27,56.61
2019-11-29,56.14
2019-12-02,55.43
2019-12-03,54.59
2019-12-04,54.41
2019-12-05,54.68
2019-12-06,54.83
2019-12-09,55.31
2019-12-10,55.82
2019-12-11,56.31
2019-12-12,56.47
2019-12-13,54.51
2019-12-16,53.99
2019-12-17,52.84
2019-12-18,53.39
2019-12-19,53.24
2019-12-20,53.6
2019-12-23,53.71
2019-12-24,53.44
2019-12-26,53.57
2019-12-27,53.46
2019-12-30,52.7
2019-12-31,52.98
2020-01-02,53.95
2020-01-03,53.76
2020-01-06,54.04
