date,Close
2019-04-18,24.4
2019-04-22,24.99
2019-04-23,25.85
2019-04-24,26.8
2019-04-25,28.8
2019-04-26,29.85
2019-04-29,34.26
2019-04-30,30.98
2019-05-01,31.23
2019-05-02,29.74
2019-05-03,28.36
2019-05-06,29.5
2019-05-07,28.69
2019-05-08,29.51
2019-05-09,28.75
2019-05-10,29.05
2019-05-13,26.63
2019-05-14,28.99
2019-05-15,28.63
2019-05-16,30.86
2019-05-17,26.7
2019-05-20,25.85
2019-05-21,25.41
2019-05-22,24.6
2019-05-23,23.8
2019-05-24,25.5
2019-05-28,25.8
2019-05-29,25.58
2019-05-30,25.51
2019-05-31,24.92
2019-06-03,24.4
2019-06-04,24.2
2019-06-05,24.94
2019-06-06,25.81
2019-06-07,27.61
2019-06-10,27.94
2019-06-11,26.48
2019-06-12,27.05
2019-06-13,26.95
2019-06-14,27.41
2019-06-17,27.85
2019-06-18,28.8
2019-06-19,28.09
2019-06-20,27.54
2019-06-21,27.98
2019-06-24,26.69
2019-06-25,26.14
2019-06-26,26.23
2019-06-27,27.23
2019-06-28,27.22
2019-07-01,26.68
2019-07-02,26.91
2019-07-03,27.47
2019-07-05,27.25
2019-07-08,26.77
2019-07-09,26.72
2019-07-10,26.58
2019-07-11,26.1
2019-07-12,26.41
2019-07-15,26.67
2019-07-16,26.51
2019-07-17,25.91
2019-07-18,25.78
2019-07-19,25.56
2019-07-22,26.22
2019-07-23,26.78
2019-07-24,27.82
2019-07-25,27.59
2019-07-26,27.64
2019-07-29,27.86
2019-07-30,28.62
2019-07-31,28.99
2019-08-01,28.3
2019-08-02,33.57
2019-08-05,33.72
2019-08-06,32.68
2019-08-07,32.1
2019-08-08,33.39
2019-08-09,33.43
2019-08-12,33.62
2019-08-13,34.42
2019-08-14,32.23
2019-08-15,32.01
2019-08-16,32.22
2019-08-19,33.33
2019-08-20,34.36
2019-08-21,36.56
2019-08-22,35.43
2019-08-23,34.5
2019-08-26,35.38
2019-08-27,33.86
2019-08-28,33.92
2019-08-29,34.76
2019-08-30,34.42
2019-09-03,33.81
2019-09-04,32.62
2019-09-05,31.26
