date,Close
2019-01-02,57.4
2019-01-03,55.7
2019-01-04,56.6
2019-01-07,56.44
2019-01-08,55.95
2019-01-09,56.61
2019-01-10,56.8
2019-01-11,57.5
2019-01-14,57.3
2019-01-15,55.73
2019-01-16,55.27
2019-01-17,54.77
2019-01-18,55.27
2019-01-22,54.29
2019-01-23,51.77
2019-01-24,50.81
2019-01-25,51.3
2019-01-28,50.64
2019-01-29,49.4
2019-01-30,50.17
2019-01-31,49.52
2019-02-01,49.61
2019-02-04,49.69
2019-02-05,50.73
2019-02-06,51.1
2019-02-07,50.55
2019-02-08,50.29
2019-02-11,50.83
2019-02-12,51.66
2019-02-13,51.59
2019-02-14,51.57
2019-02-15,51.98
2019-02-19,52.01
2019-02-20,52.45
2019-02-21,52.35
2019-02-22,53.12
2019-02-25,52.99
2019-02-26,53.03
2019-02-27,53.04
2019-02-28,53.39
2019-03-01,54.2
2019-03-04,53.78
2019-03-05,53.94
2019-03-06,54.8
2019-03-07,54.03
2019-03-08,53.53
2019-03-11,54.35
2019-03-12,54.84
2019-03-13,55.39
2019-03-14,55.4
2019-03-15,56.6
2019-03-18,56.83
2019-03-19,56.97
2019-03-20,57.16
2019-03-21,57.77
2019-03-22,56.82
2019-03-25,56.64
2019-03-26,58.0
2019-03-27,56.91
2019-03-28,56.55
2019-03-29,57.03
2019-04-01,57.81
2019-04-02,58.09
2019-04-03,57.68
2019-04-04,57.86
2019-04-05,57.99
2019-04-08,57.76
2019-04-09,57.44
2019-04-10,56.33
2019-04-11,55.9
2019-04-12,56.95
2019-04-15,57.18
2019-04-16,70.45
2019-04-17,79.08
2019-04-18,79.89
2019-04-22,81.97
2019-04-23,86.72
2019-04-24,86.83
2019-04-25,85.07
2019-04-26,86.64
2019-04-29,87.25
2019-04-30,86.13
2019-05-01,86.37
2019-05-02,87.14
2019-05-03,89.29
2019-05-06,88.25
2019-05-07,85.2
2019-05-08,84.54
2019-05-09,83.78
2019-05-10,85.84
2019-05-13,83.89
2019-05-14,86.13
2019-05-15,86.26
2019-05-16,82.81
2019-05-17,81.5
2019-05-20,76.62
2019-05-21,77.75
2019-05-22,69.31
2019-05-23,68.26
2019-05-24,66.21
2019-05-28,65.37
2019-05-29,65.76
2019-05-30,66.59
2019-05-31,66.82
2019-06-03,66.66
2019-06-04,68.45
2019-06-05,67.02
2019-06-06,67.59
2019-06-07,68.69
2019-06-10,70.54
2019-06-11,71.24
2019-06-12,69.59
2019-06-13,69.93
2019-06-14,68.72
