date,Close
2019-01-02,34.13
2019-01-03,33.78
2019-01-04,34.84
2019-01-07,35.2
2019-01-08,35.67
2019-01-09,36.18
2019-01-10,36.35
2019-01-11,36.48
2019-01-14,36.05
2019-01-15,36.27
2019-01-16,36.56
2019-01-17,36.64
2019-01-18,36.93
2019-01-22,36.69
2019-01-23,37.09
2019-01-24,36.85
2019-01-25,37.16
2019-01-28,37.16
2019-01-29,37.11
2019-01-30,37.39
2019-01-31,37.03
2019-02-01,36.8
2019-02-04,36.86
2019-02-05,36.45
2019-02-06,37.33
2019-02-07,36.79
2019-02-08,36.68
2019-02-11,36.68
2019-02-12,37.17
2019-02-13,37.55
2019-02-14,38.19
2019-02-15,38.64
2019-02-19,38.63
2019-02-20,38.95
2019-02-21,38.78
2019-02-22,39.04
2019-02-25,38.97
2019-02-26,38.41
2019-02-27,38.6
2019-02-28,38.43
2019-03-01,39.25
2019-03-04,39.13
2019-03-05,39.39
2019-03-06,39.26
2019-03-07,38.92
2019-03-08,38.89
2019-03-11,39.33
2019-03-12,39.35
2019-03-13,39.74
2019-03-14,39.79
2019-03-15,39.84
2019-03-18,39.69
2019-03-19,39.93
2019-03-20,40.01
2019-03-21,40.33
2019-03-22,39.42
2019-03-25,39.77
2019-03-26,40.41
2019-03-27,40.03
2019-03-28,40.26
2019-03-29,40.68
2019-04-01,40.89
2019-04-02,41.14
2019-04-03,41.22
2019-04-04,41.03
2019-04-05,41.24
2019-04-08,41.32
2019-04-09,41.14
2019-04-10,41.39
2019-04-11,41.01
2019-04-12,40.61
2019-04-15,40.45
2019-04-16,39.73
2019-04-17,38.53
2019-04-18,38.3
2019-04-22,37.99
2019-04-23,38.73
2019-04-24,38.53
2019-04-25,38.68
2019-04-26,38.85
2019-04-29,38.94
2019-04-30,38.96
2019-05-01,38.63
2019-05-02,38.51
2019-05-03,38.96
2019-05-06,38.85
2019-05-07,36.82
2019-05-08,36.59
2019-05-09,36.26
2019-05-10,36.72
2019-05-13,35.73
2019-05-14,36.64
2019-05-15,37.25
2019-05-16,37.5
2019-05-17,37.07
2019-05-20,38.01
2019-05-21,38.51
2019-05-22,38.7
2019-05-23,38.45
2019-05-24,38.2
2019-05-28,38.28
2019-05-29,37.76
2019-05-30,37.87
2019-05-31,38.08
2019-06-03,37.96
2019-06-04,38.28
2019-06-05,38.78
2019-06-06,38.56
2019-06-07,38.92
2019-06-10,38.87
2019-06-11,39.0
2019-06-12,39.28
2019-06-13,39.62
2019-06-14,39.52
2019-06-17,39.64
2019-06-18,40.44
2019-06-19,40.67
2019-06-20,41.21
2019-06-21,40.71
2019-06-24,40.68
2019-06-25,40.37
2019-06-26,39.98
2019-06-27,40.19
2019-06-28,40.55
2019-07-01,40.69
2019-07-02,40.67
2019-07-03,40.81
2019-07-05,40.26
2019-07-08,39.82
2019-07-09,39.92
2019-07-10,39.98
2019-07-11,39.79
2019-07-12,39.69
2019-07-15,40.05
2019-07-16,39.5
2019-07-17,39.58
2019-07-18,39.86
2019-07-19,39.54
2019-07-22,39.92
2019-07-23,39.82
2019-07-24,40.1
2019-07-25,37.87
2019-07-26,38.29
2019-07-29,38.35
2019-07-30,38.41
2019-07-31,37.72
2019-08-01,37.22
2019-08-02,37.19
2019-08-05,36.33
2019-08-06,36.34
2019-08-07,36.34
2019-08-08,37.01
