date,Close
2019-01-02,47.35
2019-01-03,46.65
2019-01-04,49.25
2019-01-07,49.69
2019-01-08,50.3
2019-01-09,50.84
2019-01-10,50.59
2019-01-11,50.51
2019-01-14,50.55
2019-01-15,50.69
2019-01-16,50.89
2019-01-17,51.66
2019-01-18,51.64
2019-01-22,50.31
2019-01-23,49.92
2019-01-24,49.87
2019-01-25,52.26
2019-01-28,52.69
2019-01-29,54.41
2019-01-30,55.16
2019-01-31,56.27
2019-02-01,55.97
2019-02-04,56.74
2019-02-05,56.23
2019-02-06,56.64
2019-02-07,56.27
2019-02-08,56.03
2019-02-11,55.78
2019-02-12,55.92
2019-02-13,56.32
2019-02-14,56.28
2019-02-15,57.15
2019-02-19,57.83
2019-02-20,58.43
2019-02-21,58.02
2019-02-22,58.83
2019-02-25,58.7
2019-02-26,58.8
2019-02-27,58.52
2019-02-28,58.2
2019-03-01,58.36
2019-03-04,58.66
2019-03-05,58.92
2019-03-06,59.19
2019-03-07,54.74
2019-03-08,54.66
2019-03-11,55.28
2019-03-12,55.32
2019-03-13,56.03
2019-03-14,56.0
2019-03-15,55.98
2019-03-18,56.99
2019-03-19,56.52
2019-03-20,56.65
2019-03-21,56.83
2019-03-22,56.14
2019-03-25,56.95
2019-03-26,57.79
2019-03-27,57.66
2019-03-28,58.02
2019-03-29,58.85
2019-04-01,59.85
2019-04-02,60.98
2019-04-03,61.02
2019-04-04,61.04
2019-04-05,61.07
2019-04-08,62.36
2019-04-09,61.89
2019-04-10,62.4
2019-04-11,62.06
2019-04-12,62.78
2019-04-15,62.46
2019-04-16,60.34
2019-04-17,60.46
2019-04-18,60.77
2019-04-22,60.87
2019-04-23,60.6
2019-04-24,59.43
2019-04-25,59.34
2019-04-26,59.3
2019-04-29,59.29
2019-04-30,58.9
2019-05-01,57.94
2019-05-02,57.44
2019-05-03,58.92
2019-05-06,58.08
2019-05-07,58.29
2019-05-08,57.67
2019-05-09,57.74
2019-05-10,58.87
2019-05-13,57.16
2019-05-14,58.46
2019-05-15,58.29
2019-05-16,59.78
2019-05-17,59.96
2019-05-20,59.74
2019-05-21,59.76
2019-05-22,59.45
2019-05-23,58.77
2019-05-24,59.71
2019-05-28,60.63
2019-05-29,59.39
2019-05-30,58.93
2019-05-31,57.93
2019-06-03,58.76
2019-06-04,59.25
2019-06-05,58.04
2019-06-06,57.99
2019-06-07,58.11
2019-06-10,58.67
2019-06-11,60.27
2019-06-12,60.29
2019-06-13,61.57
2019-06-14,60.77
2019-06-17,60.66
2019-06-18,62.18
2019-06-19,59.9
2019-06-20,60.4
2019-06-21,60.27
2019-06-24,60.94
2019-06-25,60.99
2019-06-26,61.7
2019-06-27,61.95
2019-06-28,62.34
2019-07-01,62.78
2019-07-02,63.73
2019-07-03,63.31
2019-07-05,60.05
2019-07-08,60.48
2019-07-09,60.58
2019-07-10,61.39
2019-07-11,60.85
2019-07-12,60.71
2019-07-15,61.51
2019-07-16,60.43
2019-07-17,60.96
2019-07-18,60.65
2019-07-19,61.11
2019-07-22,60.75
2019-07-23,60.55
2019-07-24,58.04
2019-07-25,57.3
2019-07-26,57.53
2019-07-29,57.81
2019-07-30,58.04
2019-07-31,57.08
2019-08-01,54.53
2019-08-02,53.28
2019-08-05,52.14
2019-08-06,52.14
2019-08-07,51.56
2019-08-08,50.65
2019-08-09,48.78
2019-08-12,48.8
2019-08-13,50.01
2019-08-14,48.56
2019-08-15,48.97
2019-08-16,48.82
2019-08-19,49.13
2019-08-20,48.72
2019-08-21,48.48
2019-08-22,48.55
2019-08-23,47.98
2019-08-26,48.35
2019-08-27,48.2
2019-08-28,48.7
2019-08-29,49.26
2019-08-30,50.58
2019-09-03,49.97
2019-09-04,51.6
2019-09-05,52.17
2019-09-06,52.16
2019-09-09,52.39
2019-09-10,52.86
2019-09-11,53.24
2019-09-12,53.69
2019-09-13,54.85
2019-09-16,53.65
2019-09-17,53.61
2019-09-18,53.05
2019-09-19,52.91
2019-09-20,52.82
2019-09-23,52.99
2019-09-24,51.42
2019-09-25,51.9
2019-09-26,51.42
2019-09-27,51.98
2019-09-30,52.09
2019-10-01,51.37
2019-10-02,49.75
2019-10-03,49.79
2019-10-04,50.14
