date,Close
2019-01-02,5.79
2019-01-03,5.68
2019-01-04,5.95
2019-01-07,6.21
2019-01-08,6.4
2019-01-09,6.28
2019-01-10,6.22
2019-01-11,6.28
2019-01-14,6.31
2019-01-15,6.54
2019-01-16,5.64
2019-01-17,5.74
2019-01-18,6.18
2019-01-22,5.93
2019-01-23,5.99
2019-01-24,6.17
2019-01-25,6.4
2019-01-28,6.34
2019-01-29,6.43
2019-01-30,6.57
2019-01-31,6.68
2019-02-01,6.91
2019-02-04,6.93
2019-02-05,7.04
2019-02-06,8.59
2019-02-07,8.57
2019-02-08,9.1
2019-02-11,8.99
2019-02-12,8.8
2019-02-13,9.07
2019-02-14,9.19
2019-02-15,9.12
2019-02-19,9.28
2019-02-20,9.24
2019-02-21,9.39
2019-02-22,9.71
2019-02-25,10.12
2019-02-26,10.08
2019-02-27,9.81
2019-02-28,9.8
2019-03-01,9.8
2019-03-04,9.92
2019-03-05,10.08
2019-03-06,9.87
2019-03-07,9.49
2019-03-08,9.48
2019-03-11,9.96
2019-03-12,9.88
2019-03-13,10.05
2019-03-14,11.28
2019-03-15,11.16
2019-03-18,10.94
2019-03-19,10.63
2019-03-20,10.94
2019-03-21,11.01
2019-03-22,10.73
2019-03-25,10.72
2019-03-26,10.76
2019-03-27,10.64
2019-03-28,10.79
2019-03-29,11.02
2019-04-01,11.36
2019-04-02,11.22
2019-04-03,11.16
2019-04-04,11.28
2019-04-05,11.84
2019-04-08,12.27
2019-04-09,12.35
2019-04-10,12.02
2019-04-11,11.9
2019-04-12,11.97
2019-04-15,11.85
2019-04-16,11.69
2019-04-17,11.75
2019-04-18,11.67
2019-04-22,11.53
2019-04-23,11.99
2019-04-24,11.26
2019-04-25,10.79
2019-04-26,10.91
2019-04-29,11.22
2019-04-30,11.14
2019-05-01,11.2
2019-05-02,11.24
2019-05-03,11.8
2019-05-06,11.77
2019-05-07,11.17
2019-05-08,10.82
2019-05-09,10.98
2019-05-10,10.49
2019-05-13,10.11
2019-05-14,10.49
2019-05-15,10.66
2019-05-16,11.42
2019-05-17,11.49
2019-05-20,11.19
2019-05-21,11.54
2019-05-22,11.31
2019-05-23,11.12
2019-05-24,11.56
2019-05-28,11.57
2019-05-29,11.68
2019-05-30,11.99
2019-05-31,11.89
2019-06-03,11.69
2019-06-04,12.95
2019-06-05,12.94
2019-06-06,13.82
2019-06-07,13.87
2019-06-10,13.77
2019-06-11,13.54
2019-06-12,13.75
2019-06-13,14.11
2019-06-14,13.96
2019-06-17,13.55
2019-06-18,14.86
2019-06-19,14.67
2019-06-20,14.84
2019-06-21,14.56
2019-06-24,14.76
2019-06-25,14.53
2019-06-26,14.71
2019-06-27,14.58
2019-06-28,14.3
2019-07-01,14.35
2019-07-02,14.1
2019-07-03,14.76
2019-07-05,15.23
2019-07-08,15.14
2019-07-09,15.25
2019-07-10,15.26
2019-07-11,15.57
2019-07-12,15.61
2019-07-15,15.5
2019-07-16,15.0
2019-07-17,14.93
2019-07-18,14.55
2019-07-19,14.02
2019-07-22,14.15
2019-07-23,14.83
2019-07-24,17.61
2019-07-25,17.69
2019-07-26,17.89
2019-07-29,17.5
2019-07-30,16.93
2019-07-31,16.8
2019-08-01,16.68
2019-08-02,17.03
2019-08-05,16.46
2019-08-06,16.29
2019-08-07,15.91
2019-08-08,16.76
2019-08-09,16.98
2019-08-12,16.81
2019-08-13,17.0
2019-08-14,16.36
2019-08-15,15.99
2019-08-16,15.98
2019-08-19,16.16
2019-08-20,16.08
2019-08-21,16.14
2019-08-22,16.08
2019-08-23,15.55
2019-08-26,16.11
2019-08-27,15.51
2019-08-28,15.55
2019-08-29,15.78
2019-08-30,15.83
2019-09-03,15.93
2019-09-04,15.8
2019-09-05,15.87
2019-09-06,16.62
2019-09-09,15.31
2019-09-10,15.02
2019-09-11,15.31
2019-09-12,15.77
2019-09-13,16.0
2019-09-16,15.76
2019-09-17,16.83
2019-09-18,16.9
2019-09-19,16.88
2019-09-20,17.04
2019-09-23,17.12
2019-09-24,17.04
2019-09-25,17.11
2019-09-26,17.0
2019-09-27,16.02
2019-09-30,15.8
2019-10-01,15.52
2019-10-02,14.8
2019-10-03,14.3
2019-10-04,14.52
2019-10-07,14.47
2019-10-08,14.15
2019-10-09,14.21
2019-10-10,14.08
2019-10-11,14.16
2019-10-14,13.76
2019-10-15,14.09
2019-10-16,13.67
2019-10-17,13.78
2019-10-18,13.52
2019-10-21,14.58
2019-10-22,14.0
2019-10-23,13.18
2019-10-24,13.52
2019-10-25,13.96
2019-10-28,14.68
2019-10-29,14.64
2019-10-30,14.86
2019-10-31,15.06
2019-11-01,15.18
2019-11-04,15.35
2019-11-05,14.83
2019-11-06,14.41
2019-11-07,14.16
2019-11-08,14.19
2019-11-11,14.39
2019-11-12,14.38
2019-11-13,14.47
2019-11-14,14.37
2019-11-15,13.94
2019-11-18,14.69
2019-11-19,15.16
2019-11-20,15.31
2019-11-21,15.08
2019-11-22,15.26
2019-11-25,15.5
2019-11-26,15.46
2019-11-27,15.35
2019-11-29,15.25
2019-12-02,14.6
2019-12-03,14.92
2019-12-04,15.0
2019-12-05,14.68
2019-12-06,14.74
2019-12-09,14.23
2019-12-10,14.09
2019-12-11,14.23
2019-12-12,14.45
2019-12-13,15.09
2019-12-16,15.11
2019-12-17,15.1
2019-12-18,15.11
2019-12-19,15.46
2019-12-20,15.55
2019-12-23,15.49
2019-12-24,15.61
2019-12-26,15.97
2019-12-27,16.03
2019-12-30,15.89
2019-12-31,16.33
2020-01-02,16.78
2020-01-03,16.75
2020-01-06,16.78
2020-01-07,17.03
2020-01-08,16.67
2020-01-09,17.36
