date,Close
2019-01-02,39.08
2019-01-03,36.52
2019-01-04,38.14
2019-01-07,39.16
2019-01-08,39.14
2019-01-09,40.14
2019-01-10,40.6
2019-01-11,40.67
2019-01-14,40.12
2019-01-15,39.65
2019-01-16,39.72
2019-01-17,38.73
2019-01-18,40.23
2019-01-22,38.48
2019-01-23,38.76
2019-01-24,40.97
2019-01-25,43.66
2019-01-28,43.26
2019-01-29,42.77
2019-01-30,43.74
2019-01-31,44.28
2019-02-01,45.26
2019-02-04,45.56
2019-02-05,45.14
2019-02-06,45.23
2019-02-07,44.46
2019-02-08,45.02
2019-02-11,44.65
2019-02-12,45.39
2019-02-13,45.74
2019-02-14,45.77
2019-02-15,45.71
2019-02-19,45.89
2019-02-20,45.89
2019-02-21,45.11
2019-02-22,47.01
2019-02-25,48.05
2019-02-26,47.48
2019-02-27,46.82
2019-02-28,46.56
2019-03-01,46.35
2019-03-04,46.42
2019-03-05,46.29
2019-03-06,46.26
2019-03-07,45.19
2019-03-08,46.22
2019-03-11,48.63
2019-03-12,48.08
2019-03-13,47.68
2019-03-14,47.19
2019-03-15,47.68
2019-03-18,48.16
2019-03-19,47.26
2019-03-20,46.21
2019-03-21,48.98
2019-03-22,46.93
2019-03-25,46.83
2019-03-26,47.21
2019-03-27,45.82
2019-03-28,45.99
2019-03-29,47.89
2019-04-01,48.43
2019-04-02,48.76
2019-04-03,49.6
2019-04-04,49.22
2019-04-05,49.23
2019-04-08,49.37
2019-04-09,48.91
2019-04-10,49.71
2019-04-11,49.47
2019-04-12,49.67
2019-04-15,49.39
2019-04-16,50.64
2019-04-17,50.29
2019-04-18,50.5
2019-04-22,48.94
2019-04-23,48.22
2019-04-24,46.99
2019-04-25,46.07
2019-04-26,44.99
2019-04-29,44.94
2019-04-30,48.32
2019-05-01,48.31
2019-05-02,48.39
2019-05-03,49.6
2019-05-06,49.37
2019-05-07,48.56
2019-05-08,49.04
2019-05-09,47.57
2019-05-10,47.4
2019-05-13,44.04
2019-05-14,44.64
2019-05-15,45.59
2019-05-16,45.68
2019-05-17,45.22
2019-05-20,44.72
2019-05-21,46.16
2019-05-22,44.71
2019-05-23,43.74
2019-05-24,43.19
2019-05-28,42.63
2019-05-29,43.73
2019-05-30,43.92
2019-05-31,41.85
2019-06-03,42.52
2019-06-04,44.16
2019-06-05,44.05
2019-06-06,44.4
2019-06-07,43.56
2019-06-10,43.95
2019-06-11,43.79
2019-06-12,43.64
2019-06-13,44.56
2019-06-14,44.26
2019-06-17,44.36
2019-06-18,45.53
2019-06-19,45.44
2019-06-20,46.19
2019-06-21,46.46
2019-06-24,47.32
2019-06-25,46.21
2019-06-26,47.25
2019-06-27,46.72
2019-06-28,47.12
2019-07-01,47.51
2019-07-02,47.41
2019-07-03,47.53
2019-07-05,47.25
2019-07-08,46.59
2019-07-09,46.04
2019-07-10,47.24
2019-07-11,46.66
2019-07-12,47.62
2019-07-15,48.34
2019-07-16,47.36
2019-07-17,47.0
2019-07-18,47.37
2019-07-19,47.3
2019-07-22,47.37
2019-07-23,47.73
2019-07-24,48.93
2019-07-25,48.08
2019-07-26,47.81
2019-07-29,47.48
2019-07-30,47.44
2019-07-31,46.31
2019-08-01,46.26
2019-08-02,44.93
2019-08-05,44.44
2019-08-06,44.68
2019-08-07,44.58
2019-08-08,45.14
2019-08-09,44.88
2019-08-12,44.82
2019-08-13,45.83
2019-08-14,44.63
2019-08-15,44.58
2019-08-16,46.03
2019-08-19,46.43
2019-08-20,46.37
2019-08-21,47.24
2019-08-22,47.58
2019-08-23,46.92
2019-08-26,47.07
2019-08-27,46.94
2019-08-28,47.15
2019-08-29,48.92
2019-08-30,50.21
2019-09-03,49.66
2019-09-04,52.17
2019-09-05,54.1
2019-09-06,54.33
2019-09-09,54.78
2019-09-10,55.33
2019-09-11,56.21
2019-09-12,56.3
2019-09-13,56.15
2019-09-16,55.7
2019-09-17,56.05
2019-09-18,56.75
2019-09-19,52.94
2019-09-20,52.4
2019-09-23,52.75
2019-09-24,51.86
2019-09-25,53.08
2019-09-26,53.66
2019-09-27,53.81
2019-09-30,53.79
2019-10-01,52.86
2019-10-02,52.25
2019-10-03,53.09
2019-10-04,53.68
2019-10-07,53.62
2019-10-08,51.21
2019-10-09,52.17
2019-10-10,52.9
2019-10-11,53.81
2019-10-14,53.88
2019-10-15,54.94
2019-10-16,54.9
2019-10-17,55.18
2019-10-18,54.98
2019-10-21,55.48
2019-10-22,55.86
2019-10-23,56.1
2019-10-24,56.24
2019-10-25,56.92
2019-10-28,57.75
2019-10-29,57.97
2019-10-30,57.85
2019-10-31,58.03
2019-11-01,57.62
2019-11-04,58.08
2019-11-05,57.67
2019-11-06,57.84
2019-11-07,58.12
2019-11-08,58.79
2019-11-11,58.25
2019-11-12,57.97
2019-11-13,58.13
2019-11-14,58.21
2019-11-15,59.08
2019-11-18,60.09
2019-11-19,59.65
2019-11-20,59.61
2019-11-21,59.48
2019-11-22,59.28
2019-11-25,59.85
2019-11-26,59.26
2019-11-27,60.24
2019-11-29,59.68
2019-12-02,59.33
2019-12-03,58.21
2019-12-04,58.64
2019-12-05,58.59
2019-12-06,58.99
2019-12-09,57.12
2019-12-10,57.62
2019-12-11,57.94
2019-12-12,59.05
2019-12-13,58.76
2019-12-16,59.06
2019-12-17,59.17
2019-12-18,58.8
2019-12-19,58.45
2019-12-20,59.62
2019-12-23,60.37
2019-12-24,59.49
2019-12-26,59.92
2019-12-27,59.58
2019-12-30,59.29
2019-12-31,59.5
2020-01-02,60.5
2020-01-03,58.91
2020-01-06,58.21
2020-01-07,58.91
2020-01-08,59.37
2020-01-09,60.46
2020-01-10,59.98
2020-01-13,60.99
2020-01-14,60.78
2020-01-15,60.51
2020-01-16,61.53
2020-01-17,61.08
2020-01-21,61.05
2020-01-22,61.27
2020-01-23,62.76
2020-01-24,63.23
2020-01-27,60.67
2020-01-28,61.97
2020-01-29,59.01
2020-01-30,58.38
2020-01-31,56.99
2020-02-03,57.95
2020-02-04,58.97
2020-02-05,54.73
2020-02-06,55.16
2020-02-07,54.1
2020-02-10,54.94
2020-02-11,55.75
2020-02-12,56.22
2020-02-13,55.8
2020-02-14,53.99
2020-02-18,54.2
2020-02-19,53.95
2020-02-20,54.75
2020-02-21,54.04
2020-02-24,52.04
2020-02-25,50.42
2020-02-26,51.08
2020-02-27,48.36
2020-02-28,47.95
2020-03-02,50.37
2020-03-03,50.21
2020-03-04,51.44
2020-03-05,50.27
2020-03-06,49.26
2020-03-09,45.31
2020-03-10,47.9
2020-03-11,45.33
2020-03-12,44.55
2020-03-13,48.93
2020-03-16,40.97
2020-03-17,45.15
2020-03-18,42.99
2020-03-19,42.66
2020-03-20,40.73
2020-03-23,40.78
2020-03-24,43.46
2020-03-25,44.52
2020-03-26,47.97
2020-03-27,47.97
2020-03-30,49.87
2020-03-31,48.8
2020-04-01,47.86
2020-04-02,47.58
2020-04-03,45.76
2020-04-06,48.64
2020-04-07,49.07
2020-04-08,51.03
2020-04-09,51.25
2020-04-13,50.91
2020-04-14,51.43
2020-04-15,50.23
2020-04-16,50.63
2020-04-17,51.47
2020-04-20,50.83
2020-04-21,49.74
2020-04-22,50.74
2020-04-23,47.89
