date,Close
2019-01-02,28.27
2019-01-03,28.2
2019-01-04,29.32
2019-01-07,29.7
2019-01-08,29.9
2019-01-09,30.7
2019-01-10,30.68
2019-01-11,30.42
2019-01-14,30.55
2019-01-15,31.18
2019-01-16,30.74
2019-01-17,31.3
2019-01-18,32.0
2019-01-22,31.54
2019-01-23,31.12
2019-01-24,31.69
2019-01-25,32.02
2019-01-28,31.83
2019-01-29,32.04
2019-01-30,32.26
2019-01-31,32.32
2019-02-01,32.4
2019-02-04,33.09
2019-02-05,33.14
2019-02-06,33.19
2019-02-07,32.61
2019-02-08,32.24
2019-02-11,32.32
2019-02-12,32.53
2019-02-13,32.34
2019-02-14,32.55
2019-02-15,33.89
2019-02-19,34.41
2019-02-20,34.3
2019-02-21,34.1
2019-02-22,34.19
2019-02-25,33.95
2019-02-26,34.11
2019-02-27,34.62
2019-02-28,34.46
2019-03-01,34.2
2019-03-04,33.91
2019-03-05,34.05
2019-03-06,33.64
2019-03-07,33.32
2019-03-08,32.64
2019-03-11,33.03
2019-03-12,33.2
2019-03-13,33.62
2019-03-14,33.63
2019-03-15,33.76
2019-03-18,34.3
2019-03-19,34.35
2019-03-20,34.73
2019-03-21,34.57
2019-03-22,33.65
2019-03-25,32.98
2019-03-26,33.28
2019-03-27,32.44
2019-03-28,32.45
2019-03-29,32.43
2019-04-01,32.94
2019-04-02,32.94
2019-04-03,32.61
2019-04-04,32.75
2019-04-05,33.24
2019-04-08,33.62
2019-04-09,33.12
2019-04-10,33.1
2019-04-11,32.83
2019-04-12,33.19
2019-04-15,32.98
2019-04-16,32.89
2019-04-17,33.24
2019-04-18,33.19
2019-04-22,33.96
2019-04-23,34.19
2019-04-24,32.91
2019-04-25,33.12
2019-04-26,32.97
2019-04-29,33.13
2019-04-30,33.0
2019-05-01,32.53
2019-05-02,31.66
2019-05-03,32.39
2019-05-06,32.08
2019-05-07,31.87
2019-05-08,32.56
2019-05-09,32.34
2019-05-10,31.91
2019-05-13,31.42
2019-05-14,31.9
2019-05-15,32.1
2019-05-16,32.48
2019-05-17,32.18
2019-05-20,32.32
2019-05-21,32.78
2019-05-22,31.94
2019-05-23,30.7
2019-05-24,31.09
2019-05-28,31.27
2019-05-29,31.28
2019-05-30,31.05
2019-05-31,30.8
2019-06-03,30.24
2019-06-04,30.24
2019-06-05,29.98
2019-06-06,30.38
2019-06-07,30.48
2019-06-10,30.41
2019-06-11,30.61
2019-06-12,30.76
2019-06-13,30.97
2019-06-14,31.0
2019-06-17,31.08
2019-06-18,31.16
2019-06-19,31.39
2019-06-20,31.82
2019-06-21,31.6
2019-06-24,31.85
2019-06-25,31.51
2019-06-26,31.57
2019-06-27,31.09
2019-06-28,31.16
2019-07-01,31.6
2019-07-02,31.17
2019-07-03,31.29
2019-07-05,31.45
2019-07-08,31.37
2019-07-09,32.11
2019-07-10,32.42
2019-07-11,32.46
2019-07-12,32.28
2019-07-15,32.18
2019-07-16,31.56
2019-07-17,31.4
2019-07-18,31.19
2019-07-19,31.15
2019-07-22,31.16
2019-07-23,30.99
2019-07-24,30.55
2019-07-25,29.62
2019-07-26,29.64
2019-07-29,29.12
2019-07-30,29.13
2019-07-31,28.7
2019-08-01,28.74
2019-08-02,28.43
2019-08-05,27.64
2019-08-06,27.87
2019-08-07,28.11
2019-08-08,28.62
2019-08-09,28.62
2019-08-12,28.61
2019-08-13,28.67
2019-08-14,27.91
2019-08-15,27.61
2019-08-16,28.1
2019-08-19,28.52
2019-08-20,28.12
2019-08-21,28.43
2019-08-22,28.37
2019-08-23,27.87
2019-08-26,28.13
2019-08-27,28.02
2019-08-28,28.5
2019-08-29,29.16
2019-08-30,29.23
2019-09-03,28.73
2019-09-04,29.02
2019-09-05,29.52
2019-09-06,29.71
2019-09-09,29.89
2019-09-10,30.55
2019-09-11,30.56
2019-09-12,30.68
2019-09-13,30.41
2019-09-16,32.44
2019-09-17,32.13
2019-09-18,31.9
2019-09-19,31.88
2019-09-20,31.74
2019-09-23,31.76
2019-09-24,31.87
2019-09-25,31.65
2019-09-26,31.61
2019-09-27,31.69
2019-09-30,31.58
2019-10-01,30.69
2019-10-02,29.98
2019-10-03,29.86
2019-10-04,29.98
2019-10-07,29.97
2019-10-08,29.09
2019-10-09,29.2
2019-10-10,29.49
2019-10-11,29.8
2019-10-14,29.94
2019-10-15,29.77
2019-10-16,29.9
2019-10-17,30.26
2019-10-18,30.15
2019-10-21,30.64
2019-10-22,30.64
2019-10-23,30.44
