date,Close
2019-01-02,5.92
2019-01-03,5.78
2019-01-04,6.23
2019-01-07,6.48
2019-01-08,6.4
2019-01-09,6.56
2019-01-10,6.5
2019-01-11,6.47
2019-01-14,6.23
2019-01-15,6.32
2019-01-16,6.52
2019-01-17,6.7
2019-01-18,6.75
2019-01-22,6.91
2019-01-23,5.76
2019-01-24,5.92
2019-01-25,5.96
2019-01-28,5.51
2019-01-29,5.51
2019-01-30,5.67
2019-01-31,5.99
2019-02-01,6.25
2019-02-04,6.45
2019-02-05,6.5
2019-02-06,6.55
2019-02-07,6.21
2019-02-08,5.93
2019-02-11,6.43
2019-02-12,6.71
2019-02-13,6.51
2019-02-14,6.52
2019-02-15,6.85
2019-02-19,6.12
2019-02-20,6.1
2019-02-21,6.41
2019-02-22,6.6
2019-02-25,6.63
2019-02-26,6.57
2019-02-27,6.92
2019-02-28,6.79
2019-03-01,7.01
2019-03-04,7.14
2019-03-05,7.1
2019-03-06,7.07
2019-03-07,6.9
2019-03-08,6.44
2019-03-11,6.58
2019-03-12,7.3
2019-03-13,8.09
2019-03-14,8.39
2019-03-15,8.88
2019-03-18,8.96
2019-03-19,8.94
2019-03-20,9.15
2019-03-21,9.59
2019-03-22,9.22
2019-03-25,9.11
2019-03-26,9.27
2019-03-27,8.71
2019-03-28,8.71
2019-03-29,9.14
2019-04-01,9.25
2019-04-02,9.3
2019-04-03,9.75
2019-04-04,9.75
2019-04-05,7.48
2019-04-08,7.4
2019-04-09,6.82
2019-04-10,6.96
2019-04-11,6.77
2019-04-12,7.0
2019-04-15,7.32
2019-04-16,7.37
2019-04-17,7.18
2019-04-18,7.05
2019-04-22,7.12
2019-04-23,6.83
2019-04-24,6.96
2019-04-25,6.94
2019-04-26,7.06
2019-04-29,7.07
2019-04-30,7.23
2019-05-01,7.17
2019-05-02,6.84
2019-05-03,6.9
2019-05-06,7.0
2019-05-07,6.55
2019-05-08,6.72
2019-05-09,6.89
2019-05-10,7.1
2019-05-13,7.04
2019-05-14,6.73
2019-05-15,6.57
2019-05-16,6.79
2019-05-17,6.72
2019-05-20,7.09
2019-05-21,7.1
2019-05-22,7.05
2019-05-23,6.82
2019-05-24,6.77
2019-05-28,6.47
2019-05-29,6.62
2019-05-30,6.29
2019-05-31,5.9
2019-06-03,6.09
2019-06-04,5.72
2019-06-05,5.78
2019-06-06,5.74
2019-06-07,5.96
2019-06-10,6.05
2019-06-11,5.6
2019-06-12,6.0
2019-06-13,5.98
2019-06-14,5.5
2019-06-17,6.41
2019-06-18,6.88
2019-06-19,6.9
2019-06-20,7.11
2019-06-21,6.83
2019-06-24,6.46
2019-06-25,7.52
2019-06-26,7.2
2019-06-27,7.95
2019-06-28,9.26
2019-07-01,8.64
2019-07-02,8.35
2019-07-03,8.51
2019-07-05,8.55
2019-07-08,8.41
2019-07-09,8.5
2019-07-10,8.54
2019-07-11,8.58
2019-07-12,8.75
2019-07-15,7.52
2019-07-16,7.63
2019-07-17,7.59
2019-07-18,7.57
2019-07-19,7.4
2019-07-22,7.56
2019-07-23,7.22
2019-07-24,7.32
2019-07-25,7.14
2019-07-26,7.5
2019-07-29,7.5
2019-07-30,7.54
2019-07-31,7.48
2019-08-01,8.48
2019-08-02,8.1
2019-08-05,7.83
2019-08-06,7.9
2019-08-07,8.74
2019-08-08,9.03
2019-08-09,8.77
2019-08-12,8.65
2019-08-13,8.77
2019-08-14,9.93
2019-08-15,9.85
2019-08-16,11.08
2019-08-19,11.17
2019-08-20,10.98
2019-08-21,10.99
2019-08-22,10.83
2019-08-23,10.83
2019-08-26,10.51
2019-08-27,10.24
2019-08-28,10.62
2019-08-29,10.97
2019-08-30,10.97
2019-09-03,10.93
2019-09-04,9.72
2019-09-05,9.33
2019-09-06,9.61
2019-09-09,10.05
2019-09-10,10.94
2019-09-11,11.65
2019-09-12,11.59
2019-09-13,11.48
2019-09-16,11.47
2019-09-17,11.45
2019-09-18,10.98
2019-09-19,10.84
2019-09-20,11.2
2019-09-23,10.99
2019-09-24,10.93
2019-09-25,10.99
2019-09-26,10.42
2019-09-27,10.41
2019-09-30,10.38
2019-10-01,9.27
2019-10-02,8.95
2019-10-03,8.71
