date,Close
2019-01-02,48.18
2019-01-03,46.23
2019-01-04,49.44
2019-01-07,52.13
2019-01-08,53.78
2019-01-09,55.07
2019-01-10,55.55
2019-01-11,55.47
2019-01-14,57.13
2019-01-15,59.24
2019-01-16,60.43
2019-01-17,63.29
2019-01-18,62.38
2019-01-22,60.48
2019-01-23,60.17
2019-01-24,61.03
2019-01-25,63.0
2019-01-28,62.04
2019-01-29,60.76
2019-01-30,62.07
2019-01-31,64.2
2019-02-01,63.2
2019-02-04,64.42
2019-02-05,63.82
2019-02-06,64.0
2019-02-07,62.25
2019-02-08,62.59
2019-02-11,63.57
2019-02-12,65.77
2019-02-13,66.65
2019-02-14,66.58
2019-02-15,69.43
2019-02-19,69.99
2019-02-20,69.5
2019-02-21,68.25
2019-02-22,69.15
2019-02-25,69.98
2019-02-26,67.41
2019-02-27,68.99
2019-02-28,64.36
2019-03-01,67.55
2019-03-04,63.13
2019-03-05,63.75
2019-03-06,60.16
2019-03-07,59.32
2019-03-08,58.92
2019-03-11,58.74
2019-03-12,58.09
2019-03-13,60.15
2019-03-14,60.94
2019-03-15,62.86
2019-03-18,63.1
2019-03-19,63.12
2019-03-20,61.99
2019-03-21,63.26
2019-03-22,58.77
2019-03-25,55.66
2019-03-26,52.5
2019-03-27,50.87
2019-03-28,53.68
2019-03-29,55.6
2019-04-01,53.63
2019-04-02,55.52
2019-04-03,55.46
2019-04-04,57.01
2019-04-05,58.49
2019-04-08,57.06
2019-04-09,55.93
2019-04-10,56.57
2019-04-11,55.15
2019-04-12,53.45
2019-04-15,54.03
2019-04-16,52.55
2019-04-17,49.86
2019-04-18,51.6
2019-04-22,54.96
2019-04-23,54.36
2019-04-24,54.46
2019-04-25,55.03
2019-04-26,57.75
2019-04-29,59.19
2019-04-30,56.88
2019-05-01,58.0
2019-05-02,58.0
2019-05-03,60.93
2019-05-06,62.55
2019-05-07,61.72
2019-05-08,61.56
2019-05-09,61.5
2019-05-10,60.97
2019-05-13,58.03
2019-05-14,58.52
2019-05-15,59.1
2019-05-16,61.48
2019-05-17,59.43
2019-05-20,60.61
2019-05-21,63.18
2019-05-22,63.03
2019-05-23,59.89
2019-05-24,61.2
2019-05-28,61.2
2019-05-29,58.04
2019-05-30,58.1
2019-05-31,58.12
2019-06-03,53.98
2019-06-04,55.75
2019-06-05,55.14
2019-06-06,54.27
2019-06-07,55.7
2019-06-10,57.47
2019-06-11,58.07
2019-06-12,57.74
2019-06-13,59.26
2019-06-14,58.67
2019-06-17,60.02
2019-06-18,60.91
2019-06-19,61.62
2019-06-20,62.77
2019-06-21,63.5
2019-06-24,62.75
2019-06-25,60.73
2019-06-26,60.08
2019-06-27,62.82
2019-06-28,66.41
2019-07-01,67.7
2019-07-02,66.92
2019-07-03,67.28
2019-07-05,68.28
2019-07-08,69.14
2019-07-09,69.67
2019-07-10,69.64
2019-07-11,71.1
2019-07-12,70.62
2019-07-15,71.34
2019-07-16,69.2
2019-07-17,68.44
2019-07-18,68.53
2019-07-19,68.55
2019-07-22,70.14
2019-07-23,67.14
2019-07-24,69.24
2019-07-25,66.81
2019-07-26,69.53
2019-07-29,68.5
2019-07-30,70.14
2019-07-31,68.24
2019-08-01,71.45
2019-08-02,69.63
2019-08-05,65.6
2019-08-06,67.09
2019-08-07,65.94
2019-08-08,66.5
2019-08-09,64.87
2019-08-12,65.39
2019-08-13,65.92
2019-08-14,61.5
2019-08-15,56.94
2019-08-16,60.43
2019-08-19,61.12
2019-08-20,60.28
2019-08-21,60.61
2019-08-22,59.78
2019-08-23,56.05
2019-08-26,55.93
2019-08-27,55.3
2019-08-28,55.9
2019-08-29,57.5
2019-08-30,57.88
2019-09-03,56.47
2019-09-04,59.16
2019-09-05,61.01
2019-09-06,62.32
2019-09-09,62.93
2019-09-10,64.78
2019-09-11,68.08
2019-09-12,69.05
2019-09-13,70.39
2019-09-16,68.16
2019-09-17,68.7
2019-09-18,67.45
2019-09-19,68.73
2019-09-20,72.15
2019-09-23,72.2
2019-09-24,71.0
2019-09-25,69.0
2019-09-26,68.54
2019-09-27,66.52
2019-09-30,67.72
2019-10-01,66.82
2019-10-02,61.54
2019-10-03,64.31
2019-10-04,66.81
2019-10-07,67.88
2019-10-08,65.59
2019-10-09,67.81
2019-10-10,68.01
2019-10-11,67.45
2019-10-14,68.56
2019-10-15,69.8
2019-10-16,69.02
2019-10-17,70.42
2019-10-18,69.22
2019-10-21,68.63
2019-10-22,68.15
2019-10-23,67.58
2019-10-24,68.3
2019-10-25,69.73
2019-10-28,70.73
2019-10-29,71.53
2019-10-30,69.2
2019-10-31,76.6
2019-11-01,78.36
2019-11-04,80.35
2019-11-05,80.12
2019-11-06,80.0
2019-11-07,80.09
2019-11-08,80.66
2019-11-11,81.0
2019-11-12,80.76
2019-11-13,79.71
2019-11-14,78.89
2019-11-15,80.94
2019-11-18,78.15
2019-11-19,78.04
2019-11-20,77.45
2019-11-21,77.5
2019-11-22,81.48
2019-11-25,83.96
2019-11-26,84.9
2019-11-27,85.88
2019-11-29,83.74
2019-12-02,78.44
2019-12-03,78.88
2019-12-04,80.05
2019-12-05,79.35
2019-12-06,80.03
2019-12-09,78.33
2019-12-10,78.11
2019-12-11,77.48
2019-12-12,77.05
2019-12-13,76.31
2019-12-16,78.16
2019-12-17,79.27
2019-12-18,80.94
2019-12-19,82.72
2019-12-20,81.43
2019-12-23,82.79
2019-12-24,82.56
2019-12-26,82.52
2019-12-27,83.35
2019-12-30,83.25
2019-12-31,83.72
2020-01-02,83.26
2020-01-03,82.96
2020-01-06,86.94
2020-01-07,85.73
2020-01-08,86.22
2020-01-09,85.37
2020-01-10,85.16
2020-01-13,95.97
2020-01-14,96.87
2020-01-15,94.0
2020-01-16,96.91
2020-01-17,95.6
2020-01-21,98.25
2020-01-22,101.42
2020-01-23,102.8
2020-01-24,98.1
2020-01-27,95.97
2020-01-28,99.42
2020-01-29,103.48
2020-01-30,104.75
2020-01-31,101.71
2020-02-03,101.99
2020-02-04,107.15
2020-02-05,107.06
2020-02-06,108.74
2020-02-07,105.84
2020-02-10,109.7
2020-02-11,110.43
2020-02-12,110.0
2020-02-13,112.02
2020-02-14,111.77
2020-02-18,117.24
2020-02-19,117.36
2020-02-20,115.9
2020-02-21,113.54
2020-02-24,114.26
2020-02-25,118.4
2020-02-26,116.86
2020-02-27,135.15
2020-02-28,124.96
2020-03-02,124.49
2020-03-03,123.58
2020-03-04,124.64
2020-03-05,134.33
2020-03-06,135.9
2020-03-09,133.54
2020-03-10,146.07
2020-03-11,137.4
2020-03-12,118.8
2020-03-13,127.95
2020-03-16,116.74
2020-03-17,118.24
2020-03-18,136.93
2020-03-19,139.63
2020-03-20,141.74
2020-03-23,167.44
2020-03-24,162.02
2020-03-25,142.11
2020-03-26,159.5
2020-03-27,164.16
2020-03-30,163.56
2020-03-31,155.01
2020-04-01,162.53
2020-04-02,159.32
2020-04-03,156.21
2020-04-06,150.13
2020-04-07,141.25
2020-04-08,139.1
2020-04-09,146.66
2020-04-13,154.13
