date,Close
2019-01-02,75.24
2019-01-03,72.43
2019-01-04,74.33
2019-01-07,75.8
2019-01-08,75.55
2019-01-09,77.07
2019-01-10,78.12
2019-01-11,78.46
2019-01-14,77.66
2019-01-15,77.32
2019-01-16,78.49
2019-01-17,79.73
2019-01-18,81.25
2019-01-22,79.48
2019-01-23,76.0
2019-01-24,78.76
2019-01-25,80.15
2019-01-28,79.85
2019-01-29,78.75
2019-01-30,80.27
2019-01-31,80.95
2019-02-01,81.37
2019-02-04,80.97
2019-02-05,81.75
2019-02-06,82.99
2019-02-07,80.96
2019-02-08,80.41
2019-02-11,80.08
2019-02-12,81.44
2019-02-13,81.26
2019-02-14,80.86
2019-02-15,82.14
2019-02-19,82.17
2019-02-20,82.78
2019-02-21,82.46
2019-02-22,83.35
2019-02-25,84.06
2019-02-26,83.45
2019-02-27,82.49
2019-02-28,82.09
2019-03-01,83.16
2019-03-04,82.91
2019-03-05,82.53
2019-03-06,81.64
2019-03-07,81.12
2019-03-08,81.19
2019-03-11,82.86
2019-03-12,82.54
2019-03-13,83.42
2019-03-14,83.29
2019-03-15,83.7
2019-03-18,83.34
2019-03-19,83.47
2019-03-20,82.64
2019-03-21,83.87
2019-03-22,81.69
2019-03-25,81.08
2019-03-26,82.27
2019-03-27,81.32
2019-03-28,80.01
2019-03-29,80.75
2019-04-01,83.66
2019-04-02,84.32
2019-04-03,85.72
2019-04-04,86.2
2019-04-05,86.27
2019-04-08,86.67
2019-04-09,85.3
2019-04-10,86.08
2019-04-11,86.9
2019-04-12,87.95
2019-04-15,87.56
2019-04-16,88.66
2019-04-17,89.02
2019-04-18,89.43
2019-04-22,88.63
2019-04-23,89.81
2019-04-24,95.83
2019-04-25,95.51
2019-04-26,94.51
2019-04-29,94.21
2019-04-30,95.65
2019-05-01,94.41
2019-05-02,94.51
2019-05-03,95.65
2019-05-06,93.75
2019-05-07,92.05
2019-05-08,91.14
2019-05-09,90.89
2019-05-10,90.91
2019-05-13,88.14
2019-05-14,88.97
2019-05-15,89.88
2019-05-16,90.32
2019-05-17,89.54
2019-05-20,88.19
2019-05-21,89.27
2019-05-22,88.43
2019-05-23,86.73
2019-05-24,86.67
2019-05-28,86.29
2019-05-29,86.25
2019-05-30,86.86
2019-05-31,84.23
2019-06-03,85.26
2019-06-04,88.1
2019-06-05,88.59
2019-06-06,89.66
2019-06-07,90.91
2019-06-10,91.51
2019-06-11,91.31
2019-06-12,91.87
2019-06-13,92.11
2019-06-14,90.66
2019-06-17,90.46
2019-06-18,92.71
2019-06-19,93.38
2019-06-20,95.94
2019-06-21,95.19
2019-06-24,95.0
2019-06-25,94.41
2019-06-26,95.16
2019-06-27,95.16
2019-06-28,95.78
2019-07-01,97.35
2019-07-02,96.09
2019-07-03,95.84
2019-07-05,95.39
2019-07-08,94.2
2019-07-09,93.99
2019-07-10,93.75
2019-07-11,92.69
2019-07-12,94.44
2019-07-15,93.52
2019-07-16,90.05
2019-07-17,88.22
2019-07-18,88.75
2019-07-19,88.71
2019-07-22,89.47
2019-07-23,91.2
2019-07-24,91.38
2019-07-25,91.95
2019-07-26,93.65
2019-07-29,94.01
2019-07-30,93.35
2019-07-31,92.4
2019-08-01,90.98
2019-08-02,90.31
2019-08-05,87.68
2019-08-06,88.61
2019-08-07,88.89
2019-08-08,90.22
2019-08-09,89.77
2019-08-12,88.17
2019-08-13,89.78
2019-08-14,87.99
2019-08-15,87.29
2019-08-16,89.99
2019-08-19,90.91
2019-08-20,90.1
2019-08-21,90.85
2019-08-22,90.73
2019-08-23,89.29
2019-08-26,88.95
2019-08-27,89.66
2019-08-28,89.18
2019-08-29,91.83
2019-08-30,91.22
2019-09-03,89.05
2019-09-04,90.94
2019-09-05,94.51
2019-09-06,94.85
2019-09-09,95.09
2019-09-10,95.76
2019-09-11,95.99
2019-09-12,97.0
2019-09-13,96.69
2019-09-16,95.1
2019-09-17,94.55
2019-09-18,94.73
2019-09-19,94.38
2019-09-20,93.18
2019-09-23,91.57
2019-09-24,91.38
2019-09-25,92.66
2019-09-26,93.09
2019-09-27,92.71
2019-09-30,93.18
2019-10-01,91.53
2019-10-02,89.01
2019-10-03,89.36
2019-10-04,89.89
2019-10-07,88.5
2019-10-08,85.53
2019-10-09,87.12
2019-10-10,88.07
2019-10-11,90.15
2019-10-14,90.42
2019-10-15,92.02
2019-10-16,92.64
2019-10-17,93.0
2019-10-18,92.81
2019-10-21,93.77
2019-10-22,93.92
2019-10-23,93.54
2019-10-24,93.88
2019-10-25,94.1
2019-10-28,94.56
2019-10-29,94.43
2019-10-30,90.15
2019-10-31,89.5
2019-11-01,91.52
2019-11-04,94.45
2019-11-05,94.56
2019-11-06,93.94
2019-11-07,94.01
2019-11-08,93.9
2019-11-11,93.63
2019-11-12,93.18
2019-11-13,93.64
2019-11-14,92.9
2019-11-15,93.1
2019-11-18,92.45
2019-11-19,92.6
2019-11-20,91.83
2019-11-21,90.85
2019-11-22,90.59
2019-11-25,93.13
2019-11-26,93.3
2019-11-27,93.41
2019-11-29,92.71
2019-12-02,90.96
2019-12-03,89.59
2019-12-04,90.5
2019-12-05,91.15
2019-12-06,92.15
2019-12-09,91.56
2019-12-10,91.53
2019-12-11,93.15
2019-12-12,94.45
2019-12-13,94.0
2019-12-16,95.21
2019-12-17,95.45
2019-12-18,95.51
2019-12-19,95.41
2019-12-20,95.92
2019-12-23,95.08
2019-12-24,95.2
2019-12-26,95.31
2019-12-27,95.51
2019-12-30,95.58
2019-12-31,95.84
2020-01-02,96.51
2020-01-03,95.37
2020-01-06,94.71
2020-01-07,96.67
2020-01-08,97.67
2020-01-09,97.77
2020-01-10,98.07
2020-01-13,97.92
2020-01-14,100.32
2020-01-15,98.84
2020-01-16,99.5
2020-01-17,100.18
2020-01-21,99.5
2020-01-22,98.95
2020-01-23,100.37
2020-01-24,98.4
2020-01-27,96.84
2020-01-28,98.1
2020-01-29,98.07
2020-01-30,95.82
2020-01-31,92.18
2020-02-03,94.0
2020-02-04,95.33
2020-02-05,96.96
2020-02-06,94.63
2020-02-07,93.22
2020-02-10,93.18
2020-02-11,93.45
2020-02-12,94.92
2020-02-13,94.54
2020-02-14,93.3
2020-02-18,91.98
2020-02-19,93.38
2020-02-20,92.92
2020-02-21,91.73
2020-02-24,88.09
2020-02-25,86.35
2020-02-26,86.16
2020-02-27,83.19
2020-02-28,82.87
2020-03-02,85.35
2020-03-03,83.0
2020-03-04,85.8
2020-03-05,81.37
2020-03-06,78.69
2020-03-09,74.14
2020-03-10,78.7
2020-03-11,72.99
2020-03-12,67.6
2020-03-13,70.21
2020-03-16,60.94
2020-03-17,63.06
2020-03-18,53.08
2020-03-19,54.6
2020-03-20,55.56
2020-03-23,54.67
2020-03-24,60.56
2020-03-25,63.49
2020-03-26,68.2
2020-03-27,62.78
2020-03-30,63.72
2020-03-31,62.98
2020-04-01,59.12
2020-04-02,58.99
2020-04-03,58.69
2020-04-06,65.62
2020-04-07,65.04
2020-04-08,69.06
2020-04-09,71.17
2020-04-13,69.12
2020-04-14,69.97
2020-04-15,65.41
2020-04-16,63.66
2020-04-17,67.44
2020-04-20,66.58
2020-04-21,64.55
2020-04-22,67.28
2020-04-23,68.15
2020-04-24,70.15
2020-04-27,73.47
2020-04-28,73.65
2020-04-29,78.38
2020-04-30,73.46
2020-05-01,70.58
2020-05-04,69.46
2020-05-05,70.82
2020-05-06,71.83
2020-05-07,73.32
2020-05-08,76.75
2020-05-11,74.61
2020-05-12,71.41
2020-05-13,68.75
2020-05-14,69.85
2020-05-15,70.04
2020-05-18,76.27
2020-05-19,76.37
2020-05-20,78.35
2020-05-21,76.29
2020-05-22,76.23
2020-05-26,80.62
2020-05-27,83.22
2020-05-28,82.78
2020-05-29,81.25
2020-06-01,84.53
2020-06-02,86.27
2020-06-03,89.1
2020-06-04,88.82
2020-06-05,91.04
2020-06-08,91.65
