date,Close
2019-01-02,19.72
2019-01-03,19.64
2019-01-04,20.03
2019-01-07,20.18
2019-01-08,19.72
2019-01-09,19.51
2019-01-10,19.58
2019-01-11,19.7
2019-01-14,19.28
2019-01-15,19.04
2019-01-16,19.11
2019-01-17,19.19
2019-01-18,19.3
2019-01-22,19.18
2019-01-23,19.51
2019-01-24,18.56
2019-01-25,17.97
2019-01-28,17.86
2019-01-29,17.76
2019-01-30,17.97
2019-01-31,18.24
2019-02-01,18.21
2019-02-04,18.05
2019-02-05,18.25
2019-02-06,18.39
2019-02-07,18.05
2019-02-08,18.04
2019-02-11,18.12
2019-02-12,17.97
2019-02-13,17.93
2019-02-14,17.94
2019-02-15,18.26
2019-02-19,18.44
2019-02-20,18.51
2019-02-21,18.28
2019-02-22,18.45
2019-02-25,18.2
2019-02-26,17.99
2019-02-27,17.83
2019-02-28,17.85
2019-03-01,17.6
2019-03-04,17.07
2019-03-05,17.51
2019-03-06,17.64
2019-03-07,17.69
2019-03-08,17.83
2019-03-11,18.19
2019-03-12,18.16
2019-03-13,18.42
2019-03-14,18.59
2019-03-15,19.04
2019-03-18,19.09
2019-03-19,19.23
2019-03-20,19.27
2019-03-21,19.11
2019-03-22,18.94
2019-03-25,18.59
2019-03-26,18.88
2019-03-27,18.59
2019-03-28,18.13
2019-03-29,18.18
2019-04-01,18.6
2019-04-02,18.56
2019-04-03,18.88
2019-04-04,18.87
2019-04-05,18.35
2019-04-08,18.35
2019-04-09,18.29
2019-04-10,18.25
2019-04-11,18.08
2019-04-12,18.34
2019-04-15,18.61
2019-04-16,18.59
2019-04-17,18.71
2019-04-18,18.52
2019-04-22,18.41
2019-04-23,18.31
2019-04-24,17.97
2019-04-25,17.96
2019-04-26,18.37
2019-04-29,18.52
2019-04-30,18.52
2019-05-01,18.44
2019-05-02,18.4
2019-05-03,18.46
2019-05-06,18.33
2019-05-07,18.26
2019-05-08,18.16
2019-05-09,18.11
2019-05-10,18.33
2019-05-13,16.77
2019-05-14,16.34
2019-05-15,16.06
2019-05-16,15.87
2019-05-17,15.74
2019-05-20,16.02
2019-05-21,15.97
2019-05-22,15.85
2019-05-23,15.56
2019-05-24,15.99
2019-05-28,15.95
2019-05-29,16.29
2019-05-30,16.38
2019-05-31,16.21
2019-06-03,16.36
2019-06-04,16.89
2019-06-05,16.78
2019-06-06,16.18
2019-06-07,16.44
2019-06-10,16.42
2019-06-11,16.47
2019-06-12,16.29
2019-06-13,16.27
2019-06-14,16.0
2019-06-17,15.92
2019-06-18,16.15
2019-06-19,16.1
2019-06-20,16.31
2019-06-21,16.14
2019-06-24,16.0
2019-06-25,15.69
2019-06-26,15.95
2019-06-27,16.26
2019-06-28,16.33
2019-07-01,16.13
2019-07-02,16.21
2019-07-03,16.5
2019-07-05,16.83
2019-07-08,16.65
2019-07-09,16.55
2019-07-10,16.51
2019-07-11,16.6
2019-07-12,16.49
2019-07-15,16.31
2019-07-16,15.75
2019-07-17,15.68
2019-07-18,15.92
2019-07-19,16.11
2019-07-22,15.94
2019-07-23,16.2
2019-07-24,16.4
2019-07-25,16.38
2019-07-26,18.25
2019-07-29,18.45
2019-07-30,18.39
2019-07-31,18.12
2019-08-01,18.3
2019-08-02,18.32
2019-08-05,17.89
2019-08-06,17.86
2019-08-07,17.98
2019-08-08,18.2
2019-08-09,18.01
