date,Close
2019-01-02,7.0
2019-01-03,6.8
2019-01-04,6.94
2019-01-07,7.17
2019-01-08,7.25
2019-01-09,7.43
2019-01-10,7.48
2019-01-11,7.65
2019-01-14,7.47
2019-01-15,7.48
2019-01-16,7.32
2019-01-17,7.45
2019-01-18,7.81
2019-01-22,7.57
2019-01-23,7.56
2019-01-24,7.48
2019-01-25,7.72
2019-01-28,8.02
2019-01-29,8.36
2019-01-30,8.53
2019-01-31,9.0
2019-02-01,8.99
2019-02-04,9.57
2019-02-05,9.71
2019-02-06,9.89
2019-02-07,9.86
2019-02-08,9.97
2019-02-11,10.55
2019-02-12,10.88
2019-02-13,10.91
2019-02-14,10.86
2019-02-15,11.02
2019-02-19,11.17
2019-02-20,11.4
2019-02-21,11.47
2019-02-22,11.59
2019-02-25,11.55
2019-02-26,11.44
2019-02-27,11.14
2019-02-28,11.26
2019-03-01,10.64
2019-03-04,10.35
2019-03-05,10.24
2019-03-06,10.05
2019-03-07,9.53
2019-03-08,9.45
2019-03-11,9.92
2019-03-12,9.82
2019-03-13,9.42
2019-03-14,10.57
2019-03-15,10.13
2019-03-18,9.77
2019-03-19,9.82
2019-03-20,9.68
2019-03-21,9.64
2019-03-22,8.76
2019-03-25,8.42
2019-03-26,8.66
2019-03-27,8.47
2019-03-28,8.49
2019-03-29,8.49
2019-04-01,8.88
2019-04-02,9.06
2019-04-03,9.27
2019-04-04,8.9
2019-04-05,9.0
2019-04-08,8.86
2019-04-09,8.56
2019-04-10,8.57
2019-04-11,8.44
2019-04-12,8.24
2019-04-15,8.33
2019-04-16,8.69
2019-04-17,8.89
2019-04-18,9.03
2019-04-22,8.78
2019-04-23,9.08
2019-04-24,9.0
2019-04-25,8.7
2019-04-26,8.9
2019-04-29,8.86
2019-04-30,8.86
2019-05-01,8.87
2019-05-02,8.45
2019-05-03,8.81
2019-05-06,8.57
2019-05-07,8.26
2019-05-08,7.94
2019-05-09,8.51
2019-05-10,8.26
2019-05-13,8.02
2019-05-14,8.29
2019-05-15,8.23
2019-05-16,8.26
2019-05-17,8.26
2019-05-20,8.06
2019-05-21,8.31
2019-05-22,8.35
2019-05-23,8.22
2019-05-24,8.08
2019-05-28,8.04
2019-05-29,8.09
2019-05-30,8.09
2019-05-31,7.96
2019-06-03,7.6
2019-06-04,7.8
2019-06-05,7.79
2019-06-06,7.46
2019-06-07,7.59
2019-06-10,7.38
2019-06-11,7.44
2019-06-12,7.12
2019-06-13,7.28
2019-06-14,7.05
2019-06-17,7.17
2019-06-18,7.36
2019-06-19,7.4
2019-06-20,7.56
2019-06-21,7.6
2019-06-24,7.4
2019-06-25,7.74
2019-06-26,8.04
2019-06-27,8.23
2019-06-28,9.32
2019-07-01,9.47
2019-07-02,9.0
2019-07-03,8.87
2019-07-05,8.76
2019-07-08,8.66
2019-07-09,8.72
2019-07-10,8.39
2019-07-11,8.42
2019-07-12,8.2
2019-07-15,8.16
2019-07-16,8.21
2019-07-17,8.0
2019-07-18,7.85
2019-07-19,7.77
2019-07-22,7.91
2019-07-23,7.89
2019-07-24,8.23
2019-07-25,8.18
2019-07-26,8.3
2019-07-29,8.18
2019-07-30,8.2
2019-07-31,7.96
2019-08-01,7.93
2019-08-02,7.45
2019-08-05,6.94
2019-08-06,7.07
2019-08-07,7.36
2019-08-08,6.9
2019-08-09,6.82
2019-08-12,7.11
2019-08-13,7.27
2019-08-14,6.97
2019-08-15,6.88
2019-08-16,7.42
2019-08-19,7.37
2019-08-20,7.39
2019-08-21,7.27
2019-08-22,7.22
2019-08-23,7.26
2019-08-26,7.48
2019-08-27,7.48
2019-08-28,7.62
2019-08-29,7.99
2019-08-30,8.22
2019-09-03,8.6
2019-09-04,9.09
2019-09-05,8.83
2019-09-06,9.07
2019-09-09,9.21
2019-09-10,9.02
2019-09-11,9.33
2019-09-12,9.31
2019-09-13,9.0
2019-09-16,8.99
2019-09-17,8.99
2019-09-18,8.83
2019-09-19,9.11
2019-09-20,9.14
2019-09-23,8.9
2019-09-24,8.59
2019-09-25,8.69
2019-09-26,8.27
2019-09-27,8.62
2019-09-30,8.85
2019-10-01,8.34
2019-10-02,8.03
2019-10-03,8.09
2019-10-04,8.04
2019-10-07,8.08
2019-10-08,8.1
2019-10-09,8.29
2019-10-10,8.22
2019-10-11,7.13
2019-10-14,6.92
2019-10-15,6.74
2019-10-16,6.55
2019-10-17,6.71
2019-10-18,6.67
2019-10-21,6.88
2019-10-22,6.88
2019-10-23,7.11
2019-10-24,6.83
2019-10-25,6.94
2019-10-28,7.08
2019-10-29,6.97
2019-10-30,6.62
2019-10-31,6.72
2019-11-01,6.76
2019-11-04,7.0
2019-11-05,7.5
2019-11-06,7.22
2019-11-07,7.07
2019-11-08,7.01
2019-11-11,6.96
2019-11-12,6.95
2019-11-13,6.96
2019-11-14,7.08
2019-11-15,6.91
2019-11-18,7.06
2019-11-19,6.93
2019-11-20,6.87
