No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
41,UNP,Union Pacific Corporation,Industrials,Railroads,USA,135.10B,25.93,206.07,1.29%,"1,940,151"
42,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,USA,134.91B,23.31,140.70,-1.18%,"2,212,714"
43,CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,USA,127.51B,51.16,645.31,-0.29%,"614,527"
44,ZM,"Zoom Video Communications, Inc.",Communication Services,Telecom Services,USA,121.91B,515.43,397.70,-1.46%,"10,502,764"
45,AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA,105.73B,57.41,240.08,-1.24%,"857,609"
46,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,USA,102.93B,16.03,376.89,0.47%,"858,593"
47,C,Citigroup Inc.,Financial,Banks - Diversified,USA,100.52B,9.51,50.13,3.03%,"22,184,561"
48,MS,Morgan Stanley,Financial,Capital Markets,USA,100.50B,9.55,57.58,1.70%,"8,546,160"
49,BA,The Boeing Company,Industrials,Aerospace & Defense,USA,99.76B,-,201.41,7.64%,"36,727,042"
50,NOW,"ServiceNow, Inc.",Technology,Software - Application,USA,99.46B,144.28,501.86,-1.21%,"1,132,680"
51,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,98.44B,64.70,24.57,2.06%,"27,206,476"
52,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,98.43B,113.57,83.17,2.14%,"30,567,933"
53,RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,USA,97.18B,-,68.04,2.86%,"6,967,351"
54,CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA,91.88B,28.55,172.85,0.66%,"2,238,486"
55,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,88.22B,-,146.90,1.51%,"1,450,167"
56,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,USA,83.92B,21.30,46.61,1.33%,"7,472,704"
57,SPGI,S&P Global Inc.,Financial,Financial Data & Stock Exchanges,USA,82.22B,34.23,339.92,-0.58%,"907,367"
58,UBER,"Uber Technologies, Inc.",Technology,Software - Application,USA,81.84B,-,49.53,4.04%,"24,898,127"
