Date,UNP,LLY,CHTR,LMT,BA,NOW,AMD,RTX,CAT,FIS,SQ,BKNG,ANSS,ALXN,TDOC,AME,HPQ,VRSN,ANET,DDD,SSYS,SYRS,XONE
2019-01-02,137.78,114.88,287.99,264.73,323.81,178.32,18.83,68.16,126.38,101.43,57.2,1721.7,143.01,98.05,48.18,67.49,20.63,147.76,210.55,10.45,18.78,5.92,7.0
2019-01-03,132.68,111.31,287.5,258.08,310.9,169.12,17.05,65.12,121.51,98.31,52.42,1663.12,137.64,100.21,46.23,65.57,19.93,142.59,199.6,9.92,17.96,5.78,6.8
2019-01-04,137.79,114.66,302.74,265.04,327.08,179.23,19.0,67.35,128.15,101.78,58.18,1717.55,143.66,106.0,49.44,68.05,20.72,148.97,202.47,10.3,18.51,6.23,6.94
2019-01-07,138.65,115.28,301.47,268.08,328.11,186.67,20.57,67.32,128.23,102.42,60.72,1711.82,147.32,107.94,52.13,67.94,20.95,151.4,209.92,10.84,18.9,6.48,7.17
2019-01-08,150.75,116.34,300.71,269.87,340.53,188.11,20.75,68.53,129.77,103.19,63.12,1686.92,148.05,108.61,53.78,68.94,21.21,156.92,214.28,10.91,19.13,6.4,7.25
2019-01-09,150.36,117.21,297.64,270.54,343.83,190.47,20.19,68.8,130.27,102.7,65.93,1649.49,150.64,109.96,55.07,69.4,21.21,155.64,216.95,11.13,19.35,6.56,7.43
2019-01-10,154.66,115.94,292.67,277.5,352.61,190.0,19.74,69.48,132.96,103.83,66.1,1677.33,152.6,110.93,55.55,70.6,21.47,157.76,217.96,11.15,19.47,6.5,7.48
2019-01-11,153.21,116.18,294.54,277.73,352.9,191.69,20.27,69.19,132.1,103.53,66.23,1665.89,154.75,111.13,55.47,70.55,21.17,157.93,218.1,11.17,19.71,6.47,7.65
2019-01-14,153.89,114.68,291.56,277.51,350.36,188.4,20.23,69.76,131.8,103.66,65.18,1692.88,153.6,107.58,57.13,70.21,20.79,157.0,215.58,11.01,19.27,6.23,7.47
2019-01-15,152.48,117.09,294.0,276.0,352.24,188.35,20.38,69.89,130.69,104.71,65.96,1698.31,156.16,111.73,59.24,69.88,21.01,160.45,222.85,11.41,21.14,6.32,7.48
2019-01-16,151.97,116.8,293.81,272.39,352.06,189.59,19.73,69.77,131.66,103.67,65.9,1680.57,157.13,111.7,60.43,70.28,21.05,161.63,221.24,11.16,20.92,6.52,7.32
2019-01-17,154.64,119.16,294.41,278.8,359.09,186.53,20.25,70.97,134.54,104.21,68.84,1724.51,158.31,114.62,63.29,71.23,21.23,163.42,221.03,11.23,20.95,6.7,7.45
2019-01-18,158.34,116.59,291.4,282.87,364.73,190.09,20.77,71.68,136.6,105.84,72.24,1760.26,161.71,117.05,62.38,72.36,21.75,164.44,232.08,11.33,21.28,6.75,7.81
2019-01-22,155.02,117.09,284.97,279.59,357.9,185.7,19.76,69.89,132.24,105.34,67.85,1708.98,161.03,114.29,60.48,70.79,21.32,163.07,222.99,10.87,20.57,6.91,7.57
2019-01-23,154.33,118.79,284.53,283.51,358.61,183.96,19.8,73.66,131.82,105.89,69.1,1744.31,158.63,117.0,60.17,70.71,21.44,163.09,222.29,10.81,21.05,5.76,7.56
2019-01-24,160.34,114.99,287.58,285.25,358.27,185.7,20.85,72.72,132.73,105.16,73.94,1795.67,158.1,117.91,61.03,71.2,21.77,163.48,226.45,11.11,21.53,5.92,7.48
2019-01-25,160.95,114.97,291.41,287.04,364.2,191.08,21.93,72.88,136.86,105.43,77.97,1802.2,161.65,121.44,63.0,71.32,22.1,165.96,227.26,11.51,22.32,5.96,7.72
2019-01-28,159.9,115.03,290.86,287.87,362.97,187.94,20.18,72.42,124.37,104.29,76.22,1813.6,160.7,119.21,62.04,70.15,21.98,166.16,215.32,11.54,22.28,5.51,8.02
2019-01-29,160.17,115.71,289.78,292.05,364.91,184.82,19.25,74.16,126.53,103.59,68.56,1808.8,158.86,119.61,60.76,71.77,21.88,164.41,206.42,12.27,24.07,5.51,8.36
2019-01-30,160.82,116.94,289.91,291.67,387.72,194.0,23.09,74.97,130.11,105.52,71.53,1818.7,162.99,121.32,62.07,72.59,22.2,168.25,210.24,12.35,24.52,5.67,8.53
2019-01-31,159.07,119.86,331.05,289.69,385.62,220.02,24.41,74.3,133.16,104.53,71.35,1832.81,164.35,122.96,64.2,72.9,22.03,169.27,214.78,12.76,25.53,5.99,9.0
2019-02-01,159.67,120.89,340.95,290.58,387.43,221.51,24.51,74.88,130.91,107.2,70.8,1836.96,167.55,126.28,63.2,73.41,22.26,170.52,220.5,12.5,25.66,6.25,8.99
2019-02-04,161.13,120.17,337.0,298.77,397.0,225.14,24.13,74.98,130.88,108.97,71.75,1860.99,169.05,123.75,64.42,73.7,22.55,173.29,218.43,12.8,26.19,6.45,9.57
2019-02-05,161.3,120.43,340.7,299.46,410.18,228.35,23.31,76.0,132.0,109.9,72.28,1902.26,170.22,122.87,63.82,74.9,22.8,173.78,224.03,12.72,26.58,6.5,9.71
2019-02-06,160.74,119.27,343.51,299.83,411.11,225.56,23.26,76.38,130.54,109.7,72.67,1906.93,170.78,121.03,64.0,74.62,23.07,173.89,224.67,12.95,26.66,6.55,9.89
2019-02-07,161.57,117.5,344.51,300.13,405.17,226.96,22.67,75.97,128.78,108.67,71.95,1877.06,169.55,118.79,62.25,75.11,22.86,173.05,220.28,12.52,25.49,6.21,9.86
2019-02-08,161.72,119.6,344.16,301.5,404.91,228.56,23.05,77.09,128.6,109.0,73.49,1871.09,171.73,120.14,62.59,75.76,22.92,173.09,226.34,12.73,25.94,5.93,9.97
2019-02-11,164.35,118.01,337.82,300.04,403.95,229.01,22.96,77.23,128.93,109.1,74.32,1865.0,171.23,120.05,63.57,76.05,22.86,170.53,229.18,12.99,26.28,6.43,10.55
2019-02-12,167.05,119.49,340.4,304.11,410.72,234.65,22.82,78.02,132.67,106.55,75.59,1895.29,175.01,124.26,65.77,77.34,23.35,174.29,238.45,13.36,27.69,6.71,10.88
2019-02-13,168.88,119.65,338.49,304.42,410.58,231.97,22.85,78.3,133.1,106.79,75.63,1919.97,173.11,125.18,66.65,78.77,23.32,174.28,236.4,13.39,27.95,6.51,10.91
2019-02-14,169.63,120.75,341.6,301.0,409.82,234.03,23.13,78.12,132.62,106.3,75.67,1902.33,173.2,125.93,66.58,77.91,23.23,175.11,240.78,13.44,28.21,6.52,10.86
2019-02-15,170.24,122.48,349.06,307.23,417.97,234.89,23.68,80.4,136.2,108.93,75.64,1933.57,174.49,129.42,69.43,79.01,23.28,175.4,263.95,13.68,28.29,6.85,11.02
2019-02-19,171.33,122.13,348.43,305.18,416.26,234.58,23.95,80.96,135.8,108.71,76.64,1935.5,174.46,128.93,69.99,79.04,23.25,175.68,269.58,13.82,28.03,6.12,11.17
2019-02-20,170.99,122.66,349.76,307.2,421.55,229.5,23.95,80.82,140.31,107.06,75.97,1926.17,174.66,129.84,69.5,79.81,23.38,176.01,270.72,14.01,28.4,6.1,11.4
2019-02-21,170.17,122.72,349.54,304.51,417.58,230.01,23.92,79.5,138.88,107.12,74.43,1906.31,174.49,127.55,68.25,79.26,23.39,176.0,270.5,13.79,27.76,6.41,11.47
2019-02-22,170.06,124.0,350.08,307.13,424.05,235.0,24.36,80.41,138.68,107.09,76.08,1910.52,175.48,129.73,69.15,79.4,23.74,178.79,274.97,13.84,28.03,6.6,11.59
2019-02-25,169.55,123.89,348.9,305.97,426.87,237.0,24.71,80.72,141.41,106.79,77.13,1890.03,175.01,133.17,69.98,79.77,23.91,178.08,279.3,14.09,28.33,6.63,11.55
2019-02-26,170.15,124.67,346.32,305.88,426.77,236.21,24.21,80.04,137.98,106.81,77.95,1915.73,174.83,133.29,67.41,79.13,23.9,178.28,280.53,14.17,28.53,6.57,11.44
2019-02-27,169.06,125.68,345.03,307.58,435.44,240.31,23.48,79.86,139.58,107.21,79.32,1906.0,176.83,136.01,68.99,79.64,23.85,177.9,283.99,14.23,28.67,6.92,11.14
2019-02-28,167.7,126.29,344.91,309.41,439.96,239.44,23.53,79.09,137.34,108.15,81.24,1697.04,177.26,135.33,64.36,79.58,19.73,178.04,285.25,14.12,28.46,6.79,11.26
2019-03-01,167.44,128.84,346.58,309.47,440.62,243.52,23.68,79.15,137.47,108.39,77.46,1714.08,182.23,137.75,67.55,79.57,19.6,180.5,286.54,12.14,26.81,7.01,10.64
2019-03-04,167.37,127.46,346.1,304.69,432.69,236.97,23.37,79.13,138.35,107.32,74.69,1707.82,180.13,136.08,63.13,79.5,19.53,176.82,284.4,11.56,27.12,7.14,10.35
2019-03-05,166.78,128.49,343.75,305.76,430.12,236.0,23.5,79.26,137.14,106.89,76.04,1745.93,178.75,134.77,63.75,79.15,19.36,177.79,277.78,11.67,27.0,7.1,10.24
2019-03-06,165.91,126.68,340.56,303.32,424.46,233.11,22.41,78.91,134.83,106.6,75.14,1751.62,178.68,131.12,60.16,79.26,19.08,176.74,275.1,11.33,26.66,7.07,10.05
2019-03-07,164.94,126.34,340.03,303.01,422.56,233.37,22.08,78.33,132.8,105.65,74.11,1725.01,178.79,128.17,59.32,78.93,18.82,177.49,276.23,10.9,22.95,6.9,9.53
2019-03-08,164.3,126.7,337.54,300.95,422.54,233.95,22.01,78.05,131.35,105.71,74.4,1715.82,177.43,128.68,58.92,78.64,18.74,177.73,274.55,10.93,23.24,6.44,9.45
2019-03-11,165.6,123.5,341.08,304.4,400.01,239.86,22.96,79.3,133.11,107.04,75.53,1709.9,178.73,132.04,58.74,80.09,19.04,179.07,281.8,11.16,23.76,6.58,9.92
