Date,BABA,TSM,NVS,JD,SAP,ASML,ACN,UN,AZN,BHP,LIN,SHOP,GSK,RIO,RY,TD,BP,NTES,ENB,TAK,SPOT,MELI,TAL,AON,UBS,INFY,BIDU,VOD,LULU,ETN,NXPI,INFO,ZTO,TEL,CS,JCI,MRVL,EDU,TT,LBTYA,STX,QGEN,LBTYK,CRSP,ALV,SU
2019-01-02,136.7,36.52,75.32,21.27,99.18,156.3,140.59,53.48,37.8,47.86,157.2,137.6,37.88,47.35,68.92,50.26,38.59,45.95,31.58,16.82,113.74,298.01,25.99,144.04,12.55,9.61,162.25,19.72,123.35,68.61,75.03,47.42,16.07,75.24,11.04,30.5,16.5,55.31,70.99,21.36,39.08,34.13,20.7,29.87,70.41,28.27
2019-01-03,130.6,34.36,75.93,20.35,95.46,147.68,135.79,53.2,38.33,46.39,152.29,129.79,37.83,46.65,68.63,49.97,38.81,44.18,31.75,16.7,109.02,296.59,24.73,141.88,12.39,9.47,154.71,19.64,124.36,66.63,71.97,46.6,15.33,72.43,10.95,30.01,15.77,53.95,69.84,21.39,36.52,33.78,20.57,28.02,67.97,28.2
2019-01-04,139.75,34.97,76.96,22.27,98.74,154.07,141.07,53.93,39.18,49.22,156.63,138.06,38.62,49.25,70.32,50.76,40.03,45.95,32.62,17.79,118.51,315.33,26.52,144.55,12.84,9.63,160.95,20.03,128.55,68.53,75.45,48.8,16.16,74.33,11.31,31.21,16.24,56.57,72.23,22.77,38.14,34.84,21.98,30.27,70.44,29.32
2019-01-07,143.1,35.23,76.06,22.76,99.71,157.59,141.56,53.56,38.78,49.48,156.49,144.39,38.81,49.69,70.61,50.91,40.16,47.9,33.51,18.58,119.36,328.94,26.86,144.23,12.97,9.71,162.6,20.18,134.1,68.73,76.01,49.33,16.63,75.8,11.39,31.72,16.61,58.62,71.47,21.68,39.16,35.2,21.04,34.22,71.39,29.7
2019-01-08,146.79,34.94,77.71,22.95,101.27,156.43,145.14,53.54,38.13,49.33,158.15,145.44,39.06,50.3,70.6,51.11,40.03,48.48,34.2,19.0,117.48,328.49,27.46,144.92,13.0,9.75,163.4,19.72,135.86,68.18,76.44,49.76,16.54,75.55,11.55,31.94,16.69,58.74,71.8,20.76,39.14,35.67,20.28,34.01,75.12,29.9
2019-01-09,151.92,35.61,77.92,23.69,102.65,162.92,145.87,53.15,37.8,49.6,158.46,148.62,39.2,50.84,72.44,51.58,40.36,51.69,34.48,19.21,122.69,339.96,28.95,145.13,12.96,9.87,166.64,19.51,136.0,69.06,79.94,49.61,17.11,77.07,11.56,31.97,17.09,62.98,73.24,20.91,40.14,36.18,20.34,36.73,77.09,30.7
2019-01-10,151.69,36.42,78.95,23.4,103.34,162.61,147.02,53.37,38.26,47.54,161.85,148.27,39.36,50.59,72.95,51.95,40.7,51.03,34.7,19.13,123.93,339.59,29.02,147.63,13.1,9.88,168.35,19.58,131.61,70.19,80.03,49.89,17.28,78.12,11.75,31.88,17.11,61.99,73.91,20.56,40.6,36.35,19.79,34.57,77.35,30.68
2019-01-11,151.32,36.61,78.65,22.88,101.98,162.02,146.23,53.56,36.95,47.2,160.21,149.43,39.38,50.51,72.79,51.86,40.24,48.68,34.54,20.02,120.52,344.95,29.23,147.25,13.18,10.41,166.11,19.7,132.16,70.22,79.48,49.78,17.36,78.46,11.82,32.18,17.33,60.69,73.67,20.91,40.67,36.48,20.34,35.15,76.01,30.42
2019-01-14,149.27,35.76,77.8,22.04,101.11,158.69,144.93,52.76,35.55,47.14,158.02,149.1,38.61,50.55,72.88,51.7,40.42,48.02,34.8,20.08,126.71,339.77,29.21,147.61,13.26,10.37,163.03,19.28,139.73,70.38,78.61,49.65,17.29,77.66,11.9,32.37,17.04,60.28,73.75,21.4,40.12,36.05,20.88,34.15,76.53,30.55
2019-01-15,150.88,36.04,78.74,22.25,102.43,159.23,146.89,53.31,36.11,47.53,157.23,154.3,39.05,50.69,73.32,52.28,40.24,49.4,35.59,20.07,131.25,350.1,30.26,149.68,13.22,10.49,167.93,19.04,141.13,69.88,78.07,50.77,17.6,77.32,11.88,31.71,16.84,62.92,73.11,21.92,39.65,36.27,21.41,35.39,78.18,31.18
