Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,138.93,141.19,138.28,140.59,2059300,0.0
2019-01-03,139.13,139.57,135.58,135.79,2801300,0.0
2019-01-04,138.12,141.34,137.5,141.07,2296400,0.0
2019-01-07,140.83,142.37,139.85,141.56,2315600,0.0
2019-01-08,144.63,146.81,142.69,145.14,2647800,0.0
2019-01-09,145.26,147.2,145.14,145.87,2181500,0.0
2019-01-10,144.66,147.13,144.27,147.02,1836300,0.0
2019-01-11,143.01,147.43,143.01,146.23,2004100,0.0
2019-01-14,144.78,145.66,144.15,144.93,1484500,0.0
2019-01-15,145.08,147.5,145.01,146.89,1543800,0.0
2019-01-16,148.78,149.46,147.72,147.88,2677100,0.0
2019-01-17,147.24,149.62,147.24,149.12,1814700,0.0
2019-01-18,150.0,151.4,149.11,150.45,2470500,0.0
2019-01-22,149.5,150.4,147.91,148.97,1950300,0.0
2019-01-23,149.86,150.93,147.44,148.42,1989400,0.0
2019-01-24,148.81,150.31,148.67,150.15,1947100,0.0
2019-01-25,151.58,152.22,150.96,151.85,1742800,0.0
2019-01-28,150.72,152.24,150.2,152.24,2046500,0.0
2019-01-29,152.02,152.41,151.11,152.02,1963200,0.0
2019-01-30,152.52,154.5,151.84,154.09,1679400,0.0
2019-01-31,153.5,154.9,153.12,153.55,2115600,0.0
2019-02-01,154.25,155.22,153.66,154.74,1957400,0.0
2019-02-04,155.0,156.64,154.23,156.55,1666100,0.0
2019-02-05,156.75,157.41,156.55,157.32,1985700,0.0
2019-02-06,157.15,158.03,156.89,157.16,1375100,0.0
2019-02-07,155.85,156.0,154.19,155.18,2109800,0.0
2019-02-08,154.15,155.95,154.02,155.59,2300000,0.0
2019-02-11,156.0,157.3,155.02,155.32,1410500,0.0
2019-02-12,156.03,157.03,155.64,156.63,1861300,0.0
2019-02-13,157.0,158.54,156.86,158.03,1952100,0.0
2019-02-14,157.72,158.84,156.74,157.85,1552900,0.0
2019-02-15,159.08,159.33,158.23,159.23,2395200,0.0
2019-02-19,158.61,160.1,158.19,159.48,1656500,0.0
2019-02-20,159.78,160.12,158.43,159.71,1942300,0.0
2019-02-21,159.58,160.05,158.88,159.53,1835700,0.0
2019-02-22,160.18,161.83,159.96,161.5,1679300,0.0
2019-02-25,162.06,162.41,161.53,161.67,1368000,0.0
2019-02-26,161.62,162.5,161.04,161.34,1526200,0.0
2019-02-27,160.85,161.26,160.13,160.63,1536300,0.0
2019-02-28,160.9,162.0,160.39,161.38,2017300,0.0
2019-03-01,163.0,164.9,162.68,164.2,2227600,0.0
2019-03-04,164.75,164.92,160.91,162.82,1896300,0.0
2019-03-05,162.97,163.91,162.52,163.67,1564900,0.0
2019-03-06,164.06,164.06,162.34,162.39,1733300,0.0
2019-03-07,162.21,162.45,160.78,161.85,1655000,0.0
2019-03-08,161.0,161.81,160.5,161.69,1458100,0.0
2019-03-11,162.48,164.07,161.99,163.94,1240400,0.0
2019-03-12,164.49,165.82,163.72,163.99,2351200,0.0
2019-03-13,164.97,165.28,163.66,164.11,2095200,0.0
2019-03-14,164.46,164.93,164.11,164.82,2270100,0.0
2019-03-15,165.0,167.04,164.9,166.39,3737200,0.0
2019-03-18,166.75,167.44,165.14,166.43,1592100,0.0
2019-03-19,167.11,167.63,165.53,166.2,1949600,0.0
2019-03-20,166.4,167.26,164.81,166.27,2128800,0.0
2019-03-21,165.18,168.92,165.18,168.24,1666400,0.0
2019-03-22,167.8,168.42,165.11,165.24,1602600,0.0
2019-03-25,164.98,165.47,164.0,165.08,1769900,0.0
2019-03-26,166.48,167.6,165.94,166.94,1777800,0.0
2019-03-27,167.0,167.8,165.37,166.47,2376200,0.0
2019-03-28,170.92,177.49,170.48,175.12,5398700,0.0
2019-03-29,175.3,176.97,174.95,176.02,2773000,0.0
2019-04-01,175.5,176.52,174.79,176.32,2977900,0.0
2019-04-02,175.83,176.55,174.56,175.37,1923600,0.0
2019-04-03,175.9,177.39,175.48,177.19,2481800,0.0
2019-04-04,177.19,177.44,175.86,177.16,2270200,0.0
2019-04-05,177.44,178.42,177.04,178.15,1861500,0.0
2019-04-08,177.67,179.08,177.37,178.91,1373300,0.0
2019-04-09,177.75,178.47,177.28,177.73,1813900,0.0
2019-04-10,176.8,177.75,176.1,177.0,1582600,1.46
2019-04-11,177.18,178.47,176.9,178.36,1417200,0.0
2019-04-12,178.5,179.36,177.8,178.64,2663400,0.0
2019-04-15,178.41,179.64,177.95,179.3,1619800,0.0
2019-04-16,179.8,179.9,178.26,179.06,1618200,0.0
2019-04-17,179.58,180.0,178.9,178.95,1637400,0.0
2019-04-18,178.72,179.0,177.39,178.61,1319700,0.0
2019-04-22,177.25,178.25,177.02,178.07,1393900,0.0
2019-04-23,178.2,180.55,177.96,180.48,1785500,0.0
2019-04-24,180.86,181.41,180.27,180.81,1463900,0.0
2019-04-25,180.58,180.58,178.61,179.95,1035300,0.0
2019-04-26,180.12,180.85,179.09,180.83,1010300,0.0
2019-04-29,180.78,181.72,180.64,181.21,1111900,0.0
2019-04-30,181.58,182.83,181.17,182.67,1535800,0.0
2019-05-01,183.2,183.35,181.29,181.31,1242400,0.0
2019-05-02,181.0,182.33,178.49,179.39,1889900,0.0
2019-05-03,177.03,177.96,176.52,176.98,2680200,0.0
