Date,Open,High,Low,Close,Volume,Dividend
2019-04-09,57.95,58.73,57.67,58.04,10608300,0
2019-04-10,56.97,57.94,56.88,57.3,5456400,0
2019-04-11,55.82,56.02,55.23,55.6,5487400,0
2019-04-12,54.06,54.81,53.78,54.43,4701600,0
2019-04-15,55.09,56.22,54.73,55.75,4369900,0
2019-04-16,55.84,57.24,55.29,57.02,4322500,0
2019-04-17,56.68,57.5,56.31,56.61,4112400,0
2019-04-18,55.18,55.75,55.13,55.33,3893400,0
2019-04-22,54.71,55.19,54.65,55.0,1878900,0
2019-04-23,54.46,56.03,54.41,55.85,5069900,0
2019-04-24,55.74,57.03,55.44,56.65,4645000,0
2019-04-25,57.6,58.69,57.55,57.88,2945600,0
2019-04-26,57.69,58.23,57.34,58.12,1001200,0
2019-04-29,57.33,57.96,57.02,57.42,1503800,0
2019-04-30,57.34,58.21,57.18,58.2,906100,0
2019-05-01,58.3,58.79,58.0,58.12,1584900,0
2019-05-02,58.48,59.76,58.43,59.64,2314300,0
2019-05-03,59.28,59.35,58.03,58.5,1892200,0
2019-05-06,58.2,59.73,58.06,59.55,1449700,0
2019-05-07,59.26,59.26,57.88,58.33,1150700,0
2019-05-08,58.97,61.0,58.9,60.68,2246700,0
2019-05-09,59.64,61.12,59.53,60.69,1956300,0
2019-05-10,61.04,63.73,61.03,63.33,1944500,0
2019-05-13,62.58,62.88,61.49,61.64,1544700,0
2019-05-14,60.95,61.06,59.61,59.86,1281800,0
2019-05-15,59.98,61.4,59.97,60.85,870500,0
2019-05-16,61.75,62.09,60.86,61.14,1066000,0
2019-05-17,61.3,61.55,60.63,60.94,803500,0
2019-05-20,59.55,60.37,59.29,59.61,1208900,0
2019-05-21,59.42,59.64,58.94,59.01,811000,0
2019-05-22,58.59,59.17,58.53,58.84,690800,0
2019-05-23,58.92,59.14,58.63,58.8,658400,0
2019-05-24,58.71,59.06,58.66,59.0,536400,0
2019-05-28,58.06,58.46,57.88,57.88,1281500,0
2019-05-29,58.08,58.72,57.84,58.68,902600,0
2019-05-30,58.86,59.06,58.42,58.62,498800,0
2019-05-31,58.08,58.47,57.82,58.18,851900,0
2019-06-03,58.49,59.6,58.45,59.17,884500,0
2019-06-04,58.87,59.08,58.7,58.95,1017700,0
2019-06-05,58.93,59.05,58.56,58.66,848900,0
2019-06-06,58.51,58.91,58.2,58.59,837900,0
2019-06-07,58.91,59.26,58.73,58.82,516300,0
2019-06-10,58.57,59.35,58.45,59.11,461200,0
2019-06-11,59.34,59.47,59.04,59.23,563100,0
2019-06-12,59.01,59.44,58.78,59.33,659300,0
2019-06-13,58.87,59.14,58.54,59.03,772900,0
2019-06-14,58.09,58.35,57.78,57.9,755500,0
2019-06-17,57.66,58.51,57.65,58.31,814400,0
2019-06-18,58.6,59.16,58.47,58.5,1129200,0
2019-06-19,58.86,59.34,58.56,59.25,739600,0
2019-06-20,59.43,59.98,59.35,59.57,779200,0
2019-06-21,59.3,59.99,59.15,59.82,1352300,0
2019-06-24,59.5,59.86,59.27,59.53,536400,0
2019-06-25,59.0,59.43,58.69,58.96,1184200,0
2019-06-26,59.24,60.23,59.2,60.04,1252100,0
2019-06-27,59.7,60.37,59.67,60.24,1344500,0
2019-06-28,61.08,62.25,61.08,62.05,1859600,0
2019-07-01,61.6,62.26,61.5,61.74,1235000,0
2019-07-02,61.62,62.56,61.51,62.42,1473500,0
2019-07-03,62.81,62.95,62.29,62.41,567700,0
2019-07-05,61.5,61.61,60.82,60.86,641200,0
2019-07-08,60.76,61.36,60.69,61.1,570900,0
2019-07-09,60.66,60.93,60.3,60.69,878500,0
2019-07-10,60.87,61.2,60.76,61.13,792400,0
2019-07-11,61.64,61.73,61.13,61.53,715800,0
2019-07-12,60.96,61.46,60.88,61.41,570300,0
2019-07-15,61.07,61.24,60.9,61.02,524000,0
2019-07-16,60.85,60.91,60.28,60.5,848500,0
2019-07-17,60.96,61.1,60.71,60.74,742000,0
2019-07-18,60.29,60.95,60.21,60.9,440100,0
2019-07-19,60.33,60.69,59.91,60.08,883200,0
2019-07-22,60.04,60.29,59.67,59.8,757600,0
2019-07-23,59.77,59.97,59.46,59.71,336300,0
2019-07-24,58.86,59.21,58.67,59.03,571100,0
2019-07-25,58.75,59.04,58.34,58.87,813800,0
2019-07-26,58.61,59.57,58.61,59.36,1506700,0
2019-07-29,59.32,59.5,58.98,59.47,664700,0
2019-07-30,58.7,59.4,58.55,59.05,1371700,0
2019-07-31,58.62,59.08,58.47,58.75,983100,0
2019-08-01,58.59,59.53,58.5,58.88,863100,0
2019-08-02,59.0,59.06,58.2,58.92,452700,0
2019-08-05,57.99,58.37,57.82,58.2,1220100,0
2019-08-06,58.44,58.95,58.31,58.88,730000,0
2019-08-07,58.9,59.66,58.88,59.59,640800,0
2019-08-08,59.25,59.91,59.05,59.64,544300,0
2019-08-09,59.54,60.12,59.48,59.95,568700,0
2019-08-12,59.64,59.91,59.17,59.43,474500,0
2019-08-13,59.02,60.04,59.02,59.89,609200,0
2019-08-14,59.05,59.31,58.79,58.89,810100,0
2019-08-15,58.9,59.74,58.9,59.58,455500,0
2019-08-16,59.94,60.99,59.78,60.85,1077800,0
2019-08-19,60.4,62.29,60.4,61.75,1474300,0
2019-08-20,61.71,62.63,61.44,62.42,1845200,0
2019-08-21,60.11,61.48,60.02,60.51,4071000,0
2019-08-22,60.22,60.9,59.66,59.73,1670200,0
2019-08-23,59.39,59.39,58.09,58.62,1332700,0
2019-08-26,58.7,58.95,58.46,58.56,821600,0
2019-08-27,58.58,60.97,58.53,60.57,2594400,0
2019-08-28,60.16,61.24,59.42,60.85,1852200,0
2019-08-29,60.54,61.28,60.42,60.86,1486800,0
2019-08-30,60.99,61.24,60.78,60.96,920700,0
2019-09-03,60.51,60.8,60.3,60.56,748500,0
2019-09-04,60.66,60.91,60.47,60.58,715600,0
2019-09-05,60.48,60.61,59.78,59.79,1020500,0
2019-09-06,60.05,60.33,59.77,59.84,479400,0
2019-09-09,59.37,59.37,58.59,58.6,759400,0
2019-09-10,58.52,60.19,58.23,60.19,1802500,0
2019-09-11,59.46,60.4,59.39,59.75,1939100,0
2019-09-12,59.66,59.89,59.58,59.77,1033200,0
2019-09-13,59.67,59.9,59.37,59.45,969400,0
2019-09-16,59.2,59.57,59.08,59.46,770800,0
2019-09-17,59.27,59.97,59.1,59.83,1208200,0
2019-09-18,59.41,59.89,59.41,59.48,1432700,0
2019-09-19,59.51,59.64,59.18,59.24,971900,0
2019-09-20,59.55,59.98,59.41,59.77,811000,0
2019-09-23,59.71,60.78,59.63,60.58,1276600,0
2019-09-24,60.45,60.58,59.48,59.71,1337600,0
2019-09-25,59.39,59.89,59.21,59.36,524400,0
2019-09-26,59.23,59.36,58.65,58.85,412500,0
2019-09-27,58.85,59.06,58.44,58.6,310300,0
2019-09-30,58.46,58.79,58.28,58.29,540800,0
2019-10-01,58.0,58.08,57.53,57.67,1046700,0
2019-10-02,56.69,57.1,56.39,56.75,2056300,0
2019-10-03,56.03,56.82,56.0,56.66,896800,0
2019-10-04,56.82,57.23,56.61,57.14,853300,0
2019-10-07,56.97,57.39,56.9,56.98,771800,0
2019-10-08,56.58,56.65,55.98,55.98,656800,0
2019-10-09,56.14,56.4,56.01,56.25,494900,0
2019-10-10,56.23,56.46,56.05,56.24,474600,0
2019-10-11,56.34,56.54,56.22,56.23,808200,0
2019-10-14,56.56,57.45,56.52,57.03,584300,0
2019-10-15,57.12,58.39,57.06,57.82,1805600,0
2019-10-16,57.8,58.14,57.69,57.85,458300,0
2019-10-17,58.61,59.17,58.58,59.07,808200,0
2019-10-18,58.92,59.08,58.69,59.01,330500,0
2019-10-21,58.86,58.95,58.48,58.5,522700,0
2019-10-22,58.79,58.86,58.09,58.1,567500,0
2019-10-23,58.05,58.17,57.63,57.71,791400,0
2019-10-24,58.34,58.36,57.81,58.14,949500,0
2019-10-25,58.41,58.62,58.25,58.29,656900,0
2019-10-28,58.35,58.43,57.69,57.74,858300,0
2019-10-29,57.6,58.46,57.58,58.06,2263000,0
2019-10-30,58.7,58.99,58.41,58.98,383300,0
2019-10-31,59.26,59.3,58.76,59.27,451500,0
2019-11-01,59.24,59.32,58.91,58.94,643400,0
2019-11-04,59.36,59.42,58.83,59.0,448600,0
2019-11-05,58.88,58.89,58.41,58.67,964100,0
2019-11-06,58.57,58.77,58.4,58.54,728900,0
2019-11-07,58.66,58.81,58.47,58.65,1771800,0
2019-11-08,58.38,58.42,57.95,58.0,826100,0
2019-11-11,58.33,58.55,58.24,58.31,797400,0
2019-11-12,58.35,58.81,58.35,58.68,777700,0
2019-11-13,58.72,59.12,58.64,59.12,437800,0
2019-11-14,58.84,59.15,58.66,58.92,2175800,0
2019-11-15,58.84,59.18,58.59,58.83,3226600,0
2019-11-18,58.7,59.1,58.59,58.98,1898400,0
2019-11-19,58.84,59.46,58.78,59.09,1533600,0
2019-11-20,57.27,57.84,56.27,56.89,4358800,0
2019-11-21,57.19,57.4,56.66,56.81,1846900,0
2019-11-22,57.06,57.08,56.42,56.72,1041100,0
2019-11-25,56.58,56.85,56.35,56.59,2010100,0
2019-11-26,56.03,56.17,55.83,56.14,3595600,0
2019-11-27,55.59,56.04,55.55,55.96,2012300,0
2019-11-29,54.94,55.51,54.91,55.29,1197400,0
2019-12-02,55.28,55.86,55.05,55.73,1873700,0
2019-12-03,55.57,55.65,55.15,55.37,1703900,0
2019-12-04,55.01,56.05,54.89,55.97,2187800,0
2019-12-05,55.81,55.81,54.93,55.27,1627400,0
2019-12-06,55.29,55.77,55.28,55.76,1259200,0
2019-12-09,55.43,55.71,55.37,55.44,1555300,0
2019-12-10,55.14,55.25,54.81,55.04,1352000,0
2019-12-11,54.9,55.83,54.84,55.7,1541800,0
2019-12-12,55.66,56.34,55.63,56.33,759000,0
2019-12-13,56.15,56.16,55.64,55.8,1425000,0
2019-12-16,56.35,56.46,56.1,56.25,887100,0
2019-12-17,56.32,56.56,56.2,56.42,989400,0
2019-12-18,56.75,57.1,56.53,57.1,1050000,0
2019-12-19,57.2,57.23,56.89,57.21,835500,0
2019-12-20,57.17,57.32,56.94,57.0,968100,0
2019-12-23,57.25,57.33,57.0,57.21,885900,0
2019-12-24,57.15,57.26,56.96,57.06,342200,0
2019-12-26,57.07,57.24,56.97,57.0,438300,0
2019-12-27,57.46,57.51,57.28,57.41,1012200,0
2019-12-30,57.07,57.09,56.17,56.17,889500,0
2019-12-31,56.0,56.63,56.0,56.57,715400,0
2020-01-02,56.5,56.68,55.97,56.37,915600,0
2020-01-03,56.71,57.46,56.51,57.39,1015700,0
2020-01-06,57.32,57.38,57.08,57.32,607700,0
2020-01-07,57.47,57.7,57.24,57.61,844500,0
2020-01-08,57.22,57.44,57.07,57.28,568300,0
2020-01-09,57.46,57.53,57.11,57.22,825400,0
2020-01-10,57.31,57.72,57.05,57.48,997100,0
2020-01-13,57.62,58.58,57.55,58.5,1455800,0
2020-01-14,59.39,60.21,59.29,60.15,1632200,0
2020-01-15,60.69,61.61,60.66,61.16,1735900,0
2020-01-16,61.38,61.38,60.81,61.19,848400,0
2020-01-17,61.3,61.6,61.24,61.47,706500,0
2020-01-21,60.94,61.58,60.87,61.29,1001100,0
2020-01-22,62.09,62.53,62.03,62.52,1108300,0
2020-01-23,62.15,62.16,61.47,61.74,833300,0
2020-01-24,61.29,62.04,61.27,61.57,984200,0
2020-01-27,60.87,61.24,60.8,61.05,543600,0
2020-01-28,60.92,61.15,60.4,60.6,765300,0
2020-01-29,60.33,60.74,60.29,60.48,1056000,0
2020-01-30,60.0,60.08,59.27,59.8,1006100,0
2020-01-31,59.59,59.65,58.79,58.94,601400,0
2020-02-03,58.98,59.58,58.94,59.38,774800,0
2020-02-04,60.05,60.71,59.98,60.56,532600,0
2020-02-05,60.93,61.55,60.88,61.35,614600,0
2020-02-06,61.35,61.77,61.21,61.51,497400,0
2020-02-07,61.07,61.32,60.8,61.15,538900,0
2020-02-10,61.08,61.26,61.03,61.23,378900,0
2020-02-11,61.51,62.08,61.45,61.87,433300,0
2020-02-12,62.22,62.71,62.17,62.69,705500,0
2020-02-13,62.24,62.68,62.23,62.4,844400,0
2020-02-14,62.53,62.84,62.45,62.78,437400,0
2020-02-18,62.92,63.3,62.81,63.0,492000,0
2020-02-19,63.28,63.6,63.17,63.26,581800,0
2020-02-20,63.26,63.48,63.12,63.46,527500,0
2020-02-21,63.45,63.59,63.07,63.44,617800,0
2020-02-24,60.86,61.45,60.47,60.47,1305500,0
2020-02-25,60.02,60.23,58.58,58.8,1412900,0
2020-02-26,64.32,64.45,62.51,63.19,2589700,0
2020-02-27,61.19,63.17,61.01,61.51,1741700,0
2020-02-28,60.39,61.38,59.95,61.3,1759500,0
2020-03-02,62.06,63.02,61.13,62.99,1434000,0
2020-03-03,64.47,65.37,62.81,63.2,1982700,0
2020-03-04,63.43,63.5,61.34,63.0,1576700,0
2020-03-05,62.32,62.47,60.42,61.04,1679400,0
2020-03-06,59.39,59.72,58.45,59.28,1323500,0
2020-03-09,55.79,57.63,55.09,56.64,2421600,0
2020-03-10,56.81,57.09,54.82,56.37,2151000,0
2020-03-11,54.72,54.95,53.63,54.2,2119700,0
2020-03-12,49.05,50.42,47.97,50.41,2285900,0
2020-03-13,51.53,53.2,48.07,53.12,2944500,0
2020-03-16,43.83,49.69,42.59,47.68,2176700,0
2020-03-17,47.07,47.9,45.75,47.38,2151700,0
2020-03-18,43.87,46.19,43.79,45.92,1804100,0
2020-03-19,45.11,46.78,44.86,46.05,2111600,0
2020-03-20,44.57,45.35,42.07,42.95,2791700,0
2020-03-23,41.0,41.71,39.37,39.86,2561700,0
2020-03-24,41.96,45.22,41.69,45.06,2123300,0
2020-03-25,45.46,48.55,45.12,47.59,2739700,0
2020-03-26,47.51,48.5,46.74,48.28,2556300,0
2020-03-27,46.89,47.27,46.42,46.93,3047400,0
