Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,68.65,70.96,68.5,70.41,744800,0.0
2019-01-03,68.85,69.19,67.26,67.97,510700,0.0
2019-01-04,69.42,70.58,68.18,70.44,735400,0.0
2019-01-07,70.59,71.72,69.57,71.39,663900,0.0
2019-01-08,74.0,75.17,73.58,75.12,835000,0.0
2019-01-09,75.99,78.44,75.97,77.09,1137300,0.0
2019-01-10,76.54,77.52,76.3,77.35,730100,0.0
2019-01-11,75.91,76.07,74.31,76.01,796300,0.0
2019-01-14,74.88,77.53,74.49,76.53,627800,0.0
2019-01-15,76.26,78.42,75.53,78.18,1365900,0.0
2019-01-16,77.62,78.76,77.45,77.64,738000,0.0
2019-01-17,76.88,77.91,76.1,77.78,690900,0.0
2019-01-18,78.07,79.59,77.67,79.51,836300,0.0
2019-01-22,78.09,78.14,76.43,76.8,606700,0.0
2019-01-23,77.12,77.23,75.5,76.53,507700,0.0
2019-01-24,77.48,78.58,77.15,78.31,583700,0.0
2019-01-25,79.94,81.21,79.57,80.97,609500,0.0
2019-01-28,79.34,82.54,79.33,82.38,1574900,0.0
2019-01-29,79.04,79.23,76.38,77.61,1855100,0.0
2019-01-30,76.87,79.38,76.09,79.25,1066400,0.0
2019-01-31,78.34,80.31,78.34,79.85,855700,0.0
2019-02-01,79.43,79.5,78.14,78.52,513500,0.0
2019-02-04,77.66,77.96,77.12,77.5,554800,0.0
2019-02-05,77.39,77.82,76.75,77.42,571400,0.0
2019-02-06,77.16,78.71,77.16,77.97,478700,0.0
2019-02-07,76.38,76.88,75.28,75.37,627300,0.0
2019-02-08,74.62,75.06,72.96,73.72,437400,0.0
2019-02-11,73.54,73.81,73.03,73.75,658000,0.0
2019-02-12,75.6,76.67,75.0,75.8,619000,0.0
2019-02-13,76.97,77.19,75.95,76.38,394500,0.0
2019-02-14,75.28,76.37,74.76,76.16,455800,0.0
2019-02-15,77.72,78.54,77.32,78.23,479800,0.0
2019-02-19,79.17,79.9,78.73,79.8,405700,0.0
2019-02-20,80.58,82.77,80.43,82.77,721800,0.0
