Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,66.74,67.56,66.18,67.49,1045300,0.0
2019-01-03,66.81,67.25,65.42,65.57,1575900,0.0
2019-01-04,66.66,68.1,66.29,68.05,1444000,0.0
2019-01-07,68.1,68.7,67.56,67.94,1470100,0.0
2019-01-08,69.04,69.04,67.53,68.94,1352700,0.0
2019-01-09,69.61,69.89,69.13,69.4,1464200,0.0
2019-01-10,68.92,70.62,68.85,70.6,1014000,0.0
2019-01-11,70.02,70.66,69.99,70.55,875700,0.0
2019-01-14,70.13,70.46,69.77,70.21,717000,0.0
2019-01-15,70.13,70.43,69.53,69.88,887400,0.0
2019-01-16,69.74,70.4,69.58,70.28,1202100,0.0
2019-01-17,70.14,71.47,69.94,71.23,974400,0.0
2019-01-18,71.78,72.66,71.59,72.36,947700,0.0
2019-01-22,71.73,71.73,69.87,70.79,1637600,0.0
2019-01-23,70.96,71.41,69.97,70.71,1057800,0.0
2019-01-24,70.71,71.24,70.45,71.2,1004500,0.0
2019-01-25,72.17,72.62,70.99,71.32,1211800,0.0
2019-01-28,70.17,70.7,69.51,70.15,2027600,0.0
2019-01-29,70.79,71.79,70.72,71.77,1481500,0.0
2019-01-30,72.34,72.91,71.25,72.59,758100,0.0
2019-01-31,72.76,72.95,72.1,72.9,1003700,0.0
2019-02-01,73.19,73.78,72.66,73.41,1000200,0.0
2019-02-04,73.33,73.7,72.77,73.7,1605400,0.0
2019-02-05,75.11,76.33,74.04,74.9,3157600,0.0
2019-02-06,74.75,76.15,74.56,74.62,2137500,0.0
2019-02-07,74.15,75.11,74.05,75.11,1903800,0.0
2019-02-08,74.41,75.81,74.41,75.76,1786000,0.0
2019-02-11,75.73,76.12,75.71,76.05,1450900,0.0
2019-02-12,76.57,77.89,76.44,77.34,1929400,0.0
2019-02-13,78.21,79.38,76.77,78.77,2595300,0.0
2019-02-14,78.57,78.79,77.88,77.91,1137200,0.0
2019-02-15,78.64,79.22,78.43,79.01,2697500,0.0
2019-02-19,78.56,79.46,78.48,79.04,878100,0.0
2019-02-20,79.21,79.92,78.83,79.81,967200,0.0
2019-02-21,79.72,79.95,79.09,79.26,1076300,0.0
2019-02-22,79.38,79.75,79.08,79.4,1032300,0.0
2019-02-25,79.95,80.41,79.58,79.77,1156500,0.0
2019-02-26,79.46,79.83,79.04,79.13,996800,0.0
2019-02-27,78.94,79.78,78.7,79.64,1025000,0.0
2019-02-28,79.49,79.82,79.01,79.58,1376300,0.0
2019-03-01,79.96,80.06,79.04,79.57,2015700,0.0
2019-03-04,80.0,80.5,78.93,79.5,1792700,0.0
2019-03-05,79.56,79.75,79.11,79.15,938900,0.0
2019-03-06,79.35,79.61,79.21,79.26,1023100,0.0
2019-03-07,79.21,79.22,78.05,78.93,1514600,0.0
