Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,192.52,193.2,188.95,191.9,3009100,0.0
2019-01-03,192.15,194.18,188.67,188.98,3973900,0.0
2019-01-04,191.46,196.52,190.84,195.44,4193400,0.0
2019-01-07,194.76,199.36,194.0,198.07,3032500,0.0
2019-01-08,199.2,201.12,196.68,200.61,3290300,0.0
2019-01-09,202.36,202.9,199.63,200.37,2869700,0.0
2019-01-10,200.37,203.52,199.47,202.68,3131300,0.0
2019-01-11,200.64,200.99,198.0,200.56,3379700,0.0
2019-01-14,199.49,200.0,196.66,196.78,3378600,0.0
2019-01-15,196.3,199.99,196.04,199.38,2859800,0.0
2019-01-16,199.3,200.44,197.6,198.89,3302400,0.0
2019-01-17,198.38,202.53,197.98,201.92,2440200,0.0
2019-01-18,203.33,204.33,201.04,203.88,3095000,0.0
2019-01-22,202.62,203.48,200.78,201.98,3173100,0.0
2019-01-23,201.99,203.95,200.13,201.56,1917500,0.0
2019-01-24,201.61,202.4,199.74,200.97,2390800,0.0
2019-01-25,201.95,202.23,196.88,198.77,4383600,0.0
2019-01-28,194.97,194.97,190.01,191.95,4186200,0.0
2019-01-29,192.18,193.67,190.8,192.11,3182100,0.0
2019-01-30,188.89,189.76,179.65,184.86,8089100,0.0
2019-01-31,184.78,187.6,183.91,187.11,4397900,0.0
2019-02-01,186.51,187.83,185.56,187.07,2488900,0.0
2019-02-04,186.96,187.14,184.29,186.18,2930900,0.0
2019-02-05,186.2,189.06,185.72,188.31,4933300,0.0
2019-02-06,188.31,191.87,188.11,190.76,3322400,0.0
2019-02-07,190.67,190.67,182.67,184.23,4188100,0.0
2019-02-08,183.41,186.05,183.41,186.0,2601000,0.0
2019-02-11,186.79,187.11,185.51,185.79,2867300,0.0
2019-02-12,187.33,188.96,186.43,188.43,2412400,0.0
2019-02-13,189.22,190.12,188.4,188.98,2166000,0.0
2019-02-14,187.59,187.8,185.76,186.68,2611500,1.45
2019-02-15,188.07,189.1,185.99,188.34,3314600,0.0
