Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,205.0,213.42,202.35,210.55,652100,0
2019-01-03,205.39,207.97,199.21,199.6,800600,0
2019-01-04,204.29,204.84,200.68,202.47,1185000,0
2019-01-07,209.15,213.44,205.62,209.92,1320800,0
2019-01-08,213.67,215.12,210.38,214.28,763900,0
2019-01-09,215.21,218.95,214.03,216.95,571600,0
2019-01-10,215.32,219.13,214.1,217.96,408300,0
2019-01-11,215.96,218.94,214.01,218.1,406000,0
2019-01-14,216.09,217.9,214.49,215.58,422200,0
2019-01-15,216.44,223.5,216.44,222.85,706700,0
2019-01-16,222.88,227.25,220.93,221.24,527000,0
2019-01-17,219.79,222.15,219.64,221.03,686800,0
2019-01-18,229.19,233.16,225.0,232.08,1465700,0
2019-01-22,230.0,230.24,221.67,222.99,823800,0
2019-01-23,224.98,227.23,220.01,222.29,449700,0
2019-01-24,222.53,226.9,222.53,226.45,406900,0
2019-01-25,227.98,228.8,226.01,227.26,746800,0
2019-01-28,223.5,223.51,211.34,215.32,1161600,0
2019-01-29,215.15,216.01,205.4,206.42,1016900,0
2019-01-30,209.0,210.73,204.93,210.24,834000,0
2019-01-31,210.5,216.07,210.25,214.78,614000,0
2019-02-01,215.33,222.81,215.27,220.5,853300,0
2019-02-04,220.08,221.92,217.16,218.43,501800,0
2019-02-05,218.89,226.0,218.89,224.03,660500,0
2019-02-06,224.46,227.0,222.77,224.67,529800,0
2019-02-07,222.84,224.0,218.4,220.28,400300,0
2019-02-08,218.44,226.39,218.44,226.34,707700,0
2019-02-11,227.73,230.8,227.24,229.18,727300,0
2019-02-12,231.32,239.4,230.63,238.45,1351100,0
2019-02-13,240.0,240.5,233.76,236.4,977200,0
2019-02-14,236.77,242.34,236.05,240.78,1586300,0
2019-02-15,259.75,268.61,254.8,263.95,4090100,0
2019-02-19,264.59,272.72,263.68,269.58,1911100,0
2019-02-20,270.17,274.82,267.22,270.72,1128600,0
2019-02-21,268.19,271.87,266.55,270.5,689700,0
2019-02-22,271.88,275.35,270.82,274.97,746400,0
2019-02-25,278.5,283.01,278.5,279.3,874300,0
2019-02-26,278.25,281.86,278.25,280.53,654800,0
2019-02-27,280.5,285.0,280.1,283.99,690600,0
2019-02-28,283.99,286.55,281.96,285.25,660400,0
2019-03-01,287.6,288.49,283.83,286.54,837900,0
2019-03-04,288.0,289.77,279.46,284.4,787400,0
2019-03-05,284.78,285.22,276.04,277.78,1087700,0
2019-03-06,277.11,279.0,268.73,275.1,896200,0
2019-03-07,275.54,278.0,271.42,276.23,550900,0
2019-03-08,269.52,275.33,266.63,274.55,555600,0
2019-03-11,275.23,283.53,275.23,281.8,568800,0
2019-03-12,283.04,287.28,281.22,285.09,715000,0
2019-03-13,288.86,296.0,287.1,292.51,1145500,0
2019-03-14,291.81,293.96,289.82,292.61,509700,0
2019-03-15,294.8,299.59,293.33,296.76,1026500,0
2019-03-18,296.76,304.97,294.82,299.2,1042100,0
2019-03-19,300.49,300.75,294.6,295.18,904500,0
2019-03-20,297.55,300.02,294.94,298.45,592200,0
2019-03-21,304.61,316.67,303.16,315.02,1665100,0
2019-03-22,312.33,314.9,299.59,300.16,1134800,0
2019-03-25,298.12,302.4,295.18,301.23,624200,0
2019-03-26,305.6,314.28,305.56,309.8,959000,0
2019-03-27,310.98,314.08,305.53,311.33,785800,0
2019-03-28,312.24,315.18,309.93,312.3,632500,0
2019-03-29,314.95,316.23,311.7,314.46,670000,0
2019-04-01,318.74,319.41,314.7,318.36,794600,0
2019-04-02,318.96,320.88,317.05,318.43,645600,0
2019-04-03,322.77,325.0,319.65,321.75,770600,0
2019-04-04,322.0,323.98,310.47,313.15,960800,0
2019-04-05,314.32,315.94,310.96,311.06,877000,0
2019-04-08,310.21,317.07,306.46,316.9,588700,0
2019-04-09,315.8,319.31,314.25,317.19,442600,0
2019-04-10,317.65,323.01,317.6,322.25,637300,0
2019-04-11,324.0,324.0,319.2,322.23,550800,0
2019-04-12,325.0,326.49,323.12,324.77,464900,0
2019-04-15,324.91,329.25,324.29,327.34,543700,0
2019-04-16,329.51,330.53,326.76,328.54,597900,0
2019-04-17,331.0,331.27,326.23,328.04,530200,0
2019-04-18,328.46,329.34,320.12,323.38,769800,0
2019-04-22,323.0,328.5,322.23,327.6,515500,0
2019-04-23,322.73,326.01,315.64,321.06,1103500,0
2019-04-24,321.15,328.26,321.15,325.23,784100,0
2019-04-25,323.57,324.61,314.4,318.11,703900,0
2019-04-26,317.09,322.25,316.23,320.4,629500,0
2019-04-29,321.43,322.83,316.55,316.88,711500,0
2019-04-30,315.62,316.07,306.95,312.29,1269800,0
2019-05-01,314.88,316.22,310.41,310.46,853400,0
2019-05-02,309.26,315.66,308.36,310.85,1423500,0
2019-05-03,261.9,278.44,251.0,278.41,5828600,0
2019-05-06,268.0,273.4,262.0,273.31,2337800,0
2019-05-07,270.57,271.14,261.19,265.67,1644500,0
2019-05-08,265.68,269.74,261.8,266.25,1332300,0
2019-05-09,263.33,268.69,259.5,267.43,1099000,0
2019-05-10,265.81,267.88,258.24,264.22,1153500,0
2019-05-13,256.44,258.14,243.39,243.9,1721400,0
2019-05-14,247.52,252.73,246.5,248.88,1483700,0
2019-05-15,246.91,250.05,246.0,248.7,881100,0
2019-05-16,251.19,255.25,250.4,253.62,788000,0
2019-05-17,249.82,253.95,248.59,250.12,1309700,0
2019-05-20,247.5,248.26,242.64,244.95,795200,0
2019-05-21,246.28,253.95,246.28,252.95,1134900,0
2019-05-22,252.0,255.34,251.24,253.14,848500,0
2019-05-23,249.07,255.28,248.15,254.38,1162600,0
2019-05-24,256.87,259.48,254.78,255.94,875000,0
2019-05-28,256.52,259.16,252.9,253.34,567200,0
2019-05-29,250.76,251.71,245.77,247.5,623000,0
2019-05-30,249.82,251.33,246.67,247.97,409600,0
2019-05-31,244.12,246.89,243.35,244.59,692200,0
2019-06-03,243.74,246.93,240.68,241.36,1064100,0
2019-06-04,245.04,254.86,244.27,254.71,835100,0
2019-06-05,257.79,263.73,254.91,263.63,1489600,0
2019-06-06,264.1,265.91,253.59,257.18,1109000,0
2019-06-07,250.66,251.0,236.54,246.44,2086700,0
2019-06-10,247.84,255.73,247.84,250.07,1119600,0
2019-06-11,252.0,254.07,241.12,243.0,844800,0
2019-06-12,242.68,246.95,242.45,243.88,679200,0
2019-06-13,245.72,245.72,239.89,242.01,1246200,0
2019-06-14,240.5,241.5,232.3,236.08,946200,0
2019-06-17,236.89,241.18,236.89,238.6,902300,0
2019-06-18,241.3,247.25,241.3,242.06,686000,0
2019-06-19,244.02,245.91,242.06,243.16,632900,0
2019-06-20,248.0,250.5,244.03,248.73,705200,0
2019-06-21,248.93,254.61,248.08,253.39,1477500,0
2019-06-24,253.28,255.25,250.92,252.09,869500,0
2019-06-25,251.71,251.9,245.41,246.38,574700,0
2019-06-26,250.78,257.97,249.0,255.31,1437100,0
2019-06-27,256.79,262.58,256.64,257.99,1149500,0
2019-06-28,259.0,260.44,254.88,259.62,813900,0
2019-07-01,265.47,266.95,261.35,262.84,664800,0
2019-07-02,262.83,265.95,261.38,265.3,570100,0
2019-07-03,265.88,268.94,264.65,268.86,830700,0
2019-07-05,268.1,271.13,265.95,270.74,571600,0
2019-07-08,269.46,269.76,266.15,268.0,615000,0
2019-07-09,265.99,271.14,265.3,270.55,525600,0
2019-07-10,272.17,274.39,269.59,270.39,463600,0
2019-07-11,271.36,272.54,268.37,271.9,535900,0
2019-07-12,272.0,276.12,272.0,274.26,456700,0
2019-07-15,276.31,278.2,274.48,277.64,640700,0
2019-07-16,276.0,277.99,272.64,275.51,639900,0
2019-07-17,275.62,280.62,275.1,277.43,597100,0
2019-07-18,277.28,278.49,273.41,275.49,758700,0
2019-07-19,282.12,287.61,278.54,282.74,1033500,0
2019-07-22,283.82,289.45,282.74,287.36,672200,0
2019-07-23,288.45,288.8,273.91,276.35,1280400,0
2019-07-24,277.03,279.85,276.47,279.19,756000,0
2019-07-25,278.65,278.99,262.7,267.41,1263800,0
2019-07-26,268.78,273.82,266.54,272.98,677500,0
2019-07-29,272.5,272.67,266.28,272.23,671500,0
2019-07-30,272.24,275.87,269.56,274.28,642900,0
2019-07-31,274.3,279.24,271.14,273.45,687400,0
2019-08-01,273.22,278.47,268.37,272.22,1178800,0
2019-08-02,254.75,255.0,240.23,244.12,2991400,0
2019-08-05,236.99,238.0,229.05,230.95,1503900,0
2019-08-06,235.51,236.9,230.2,235.82,948600,0
2019-08-07,230.97,235.32,230.18,235.0,765000,0
2019-08-08,237.74,240.76,234.14,234.49,949200,0
2019-08-09,232.75,232.75,226.19,228.73,1222300,0
2019-08-12,227.03,227.38,223.0,224.47,717500,0
2019-08-13,224.48,233.99,223.0,230.82,807400,0
2019-08-14,226.07,226.97,218.35,219.43,1139200,0
2019-08-15,219.13,220.0,214.05,216.69,1116700,0
2019-08-16,219.0,222.57,218.94,221.18,769400,0
2019-08-19,226.0,226.9,222.92,223.47,662900,0
2019-08-20,222.31,223.3,219.0,219.19,551500,0
2019-08-21,222.33,227.0,221.01,226.54,737000,0
2019-08-22,227.86,229.0,225.87,227.28,657400,0
2019-08-23,226.26,229.38,222.56,223.4,781200,0
2019-08-26,225.98,226.82,220.73,223.2,429300,0
2019-08-27,224.37,224.95,220.72,223.78,520600,0
2019-08-28,221.55,224.25,219.41,222.48,496400,0
2019-08-29,225.76,229.89,224.53,227.41,464000,0
2019-08-30,227.0,228.12,223.78,226.62,545000,0
2019-09-03,225.9,228.5,222.11,224.29,445900,0
2019-09-04,225.69,227.94,225.11,226.23,594000,0
2019-09-05,229.41,236.42,228.92,235.38,737900,0
2019-09-06,236.0,237.26,234.01,235.7,558600,0
2019-09-09,237.36,238.51,227.83,231.13,720500,0
2019-09-10,229.79,238.0,227.46,237.94,703800,0
2019-09-11,239.0,247.06,238.0,246.81,896500,0
2019-09-12,247.6,251.39,247.52,249.94,1001500,0
2019-09-13,249.25,250.0,243.28,243.76,607000,0
2019-09-16,241.59,246.09,240.82,244.19,340100,0
2019-09-17,242.76,245.98,242.01,244.45,620500,0
2019-09-18,245.9,247.41,243.54,246.6,709400,0
2019-09-19,246.72,251.85,243.45,244.13,610400,0
2019-09-20,245.48,245.85,239.45,240.06,777000,0
2019-09-23,240.08,243.15,238.54,240.75,589200,0
2019-09-24,243.24,243.28,235.72,238.04,607200,0
2019-09-25,237.32,242.29,233.03,241.56,441100,0
2019-09-26,240.34,244.72,237.83,244.01,377900,0
2019-09-27,245.0,247.72,240.73,242.78,417200,0
2019-09-30,242.78,243.04,238.38,238.92,745000,0
2019-10-01,240.27,241.49,229.5,230.35,723300,0
2019-10-02,227.48,228.69,222.35,228.33,589200,0
2019-10-03,220.92,224.34,215.26,224.34,923300,0
2019-10-04,224.39,228.91,224.18,228.57,330300,0
2019-10-07,230.05,232.55,229.47,230.94,355500,0
2019-10-08,230.08,231.41,225.11,229.1,443500,0
2019-10-09,231.01,231.92,227.51,230.03,462900,0
2019-10-10,228.56,228.87,225.5,227.72,687500,0
2019-10-11,232.72,238.74,230.76,236.44,557100,0
2019-10-14,236.37,236.94,233.31,234.77,321400,0
2019-10-15,235.91,243.58,235.42,240.97,493100,0
2019-10-16,238.77,239.99,235.59,239.08,445700,0
2019-10-17,240.21,241.77,238.12,241.51,394700,0
2019-10-18,239.62,241.12,237.1,239.43,358500,0
2019-10-21,242.27,246.17,241.23,243.84,463500,0
2019-10-22,245.56,246.12,239.94,241.5,471900,0
2019-10-23,241.86,246.78,240.0,246.61,372700,0
2019-10-24,246.01,246.4,234.7,239.32,812500,0
2019-10-25,242.6,245.26,240.01,244.36,709300,0
2019-10-28,246.5,251.74,245.91,248.9,672300,0
2019-10-29,248.0,249.53,245.43,245.96,359100,0
2019-10-30,246.0,247.9,243.11,246.27,489600,0
2019-10-31,247.8,247.8,242.36,244.57,1481800,0
2019-11-01,173.66,189.34,173.31,185.3,10478600,0
2019-11-04,187.61,192.57,187.0,191.27,2596800,0
2019-11-05,192.16,192.49,184.25,188.78,1854900,0
2019-11-06,189.9,192.78,188.4,190.43,1307000,0
2019-11-07,192.0,196.99,191.86,194.44,1302600,0
2019-11-08,194.86,194.93,192.0,192.61,808800,0
2019-11-11,191.47,192.89,189.23,191.17,658300,0
2019-11-12,190.66,194.48,190.66,193.97,925200,0
2019-11-13,193.9,195.85,190.25,190.65,591200,0
2019-11-14,189.59,191.13,187.8,190.56,1142700,0
2019-11-15,192.48,193.91,190.21,192.62,834800,0
2019-11-18,192.09,195.49,191.52,193.02,840400,0
2019-11-19,195.49,196.34,193.28,194.0,582100,0
2019-11-20,194.0,195.92,192.5,194.04,752900,0
2019-11-21,194.0,194.39,191.7,192.0,850900,0
2019-11-22,193.26,194.74,192.18,194.49,914100,0
2019-11-25,195.0,198.56,194.99,197.91,555800,0
2019-11-26,198.0,199.2,194.9,196.27,670300,0
2019-11-27,196.49,196.85,194.33,195.6,560500,0
2019-11-29,195.24,196.22,194.33,195.13,264700,0
2019-12-02,195.39,195.39,190.89,193.13,635800,0
2019-12-03,190.0,192.18,188.17,191.99,624600,0
2019-12-04,193.07,195.04,191.37,193.7,525000,0
2019-12-05,193.15,193.81,190.77,191.65,621800,0
2019-12-06,192.42,193.16,189.87,190.21,626200,0
2019-12-09,190.26,190.82,188.36,190.32,754100,0
2019-12-10,191.06,194.86,189.63,192.14,772200,0
2019-12-11,192.14,193.51,190.0,191.23,877900,0
2019-12-12,191.61,194.9,190.34,192.7,922000,0
2019-12-13,193.0,194.99,191.85,192.92,887400,0
2019-12-16,194.17,200.86,194.0,198.64,1131900,0
2019-12-17,198.6,199.86,197.61,199.0,594300,0
2019-12-18,199.0,200.23,198.75,200.02,687900,0
2019-12-19,199.45,205.52,198.38,203.75,984000,0
2019-12-20,204.63,206.92,202.54,206.15,1711800,0
2019-12-23,206.5,208.59,204.05,204.87,905200,0
2019-12-24,204.87,204.87,203.78,204.64,264000,0
2019-12-26,204.64,205.8,204.21,205.61,394700,0
2019-12-27,205.71,205.92,203.95,204.43,554600,0
2019-12-30,204.35,204.69,201.64,203.13,708000,0
2019-12-31,202.68,204.58,202.1,203.4,547600,0
2020-01-02,205.68,207.24,203.1,204.72,624500,0
2020-01-03,200.0,203.83,198.48,200.85,766900,0
2020-01-06,198.79,203.17,198.0,202.86,516000,0
2020-01-07,202.86,205.43,201.3,204.85,532900,0
2020-01-08,204.85,207.79,204.63,206.98,673800,0
2020-01-09,208.5,208.9,205.93,206.8,475400,0
2020-01-10,207.2,209.66,206.14,207.46,456500,0
2020-01-13,208.05,211.5,207.9,211.15,607300,0
2020-01-14,211.91,214.35,211.11,213.05,647000,0
2020-01-15,211.02,216.19,210.72,213.39,581100,0
2020-01-16,215.99,219.41,214.57,219.25,639400,0
2020-01-17,220.0,222.72,219.18,221.87,996200,0
2020-01-21,221.31,224.0,219.3,221.24,619800,0
2020-01-22,222.0,225.91,221.67,222.72,452300,0
2020-01-23,224.14,230.98,221.48,230.06,847100,0
2020-01-24,234.75,241.89,234.34,238.05,1608800,0
2020-01-27,230.1,236.71,227.42,234.97,1200700,0
2020-01-28,235.44,237.84,234.75,236.72,616200,0
2020-01-29,237.84,239.02,234.52,235.05,452100,0
2020-01-30,229.11,233.63,228.15,231.74,691200,0
2020-01-31,230.54,230.54,222.84,223.34,1000800,0
2020-02-03,225.65,227.38,223.64,225.27,564400,0
2020-02-04,228.55,231.67,227.92,231.32,493500,0
2020-02-05,233.8,234.63,229.55,229.91,658000,0
2020-02-06,230.76,233.34,229.03,232.52,464900,0
2020-02-07,230.58,233.41,230.49,231.77,470400,0
2020-02-10,230.1,234.55,229.51,232.41,810100,0
2020-02-11,233.81,234.62,230.26,231.5,709700,0
2020-02-12,231.83,235.18,231.03,234.46,836200,0
2020-02-13,232.5,241.35,232.4,237.62,1531200,0
2020-02-14,217.5,227.0,217.0,223.47,2114500,0
2020-02-18,223.18,226.3,220.39,225.79,861000,0
2020-02-19,225.97,227.44,223.03,225.02,719000,0
2020-02-20,224.4,228.76,223.64,228.28,747000,0
2020-02-21,223.49,224.57,220.27,223.46,964500,0
2020-02-24,209.99,216.36,209.35,213.75,1030600,0
2020-02-25,216.38,217.49,202.51,205.99,1278600,0
2020-02-26,207.1,209.13,202.81,203.14,822300,0
2020-02-27,199.05,203.47,193.05,193.18,1099000,0
2020-02-28,187.01,196.11,185.78,193.12,1217200,0
2020-03-02,194.68,197.18,190.15,196.59,916200,0
2020-03-03,196.49,198.85,188.62,191.75,698800,0
2020-03-04,197.73,201.86,193.28,201.63,714200,0
2020-03-05,196.93,201.96,195.9,196.56,560000,0
2020-03-06,191.56,195.31,186.79,190.78,965300,0
2020-03-09,177.39,189.62,177.39,185.69,1177300,0
2020-03-10,189.51,200.43,184.47,199.96,1359600,0
2020-03-11,194.68,196.09,181.15,182.2,1460000,0
2020-03-12,168.66,174.19,162.58,162.89,2067400,0
2020-03-13,171.47,177.05,157.43,176.76,1073300,0
2020-03-16,161.16,171.23,156.89,157.04,1029700,0
2020-03-17,160.91,172.26,157.65,168.2,1494500,0
2020-03-18,157.73,185.32,157.73,177.0,1988000,0
2020-03-19,175.73,189.72,172.65,177.88,933000,0
2020-03-20,180.53,187.77,163.51,164.48,1143600,0
2020-03-23,163.95,167.65,156.63,161.88,981700,0
2020-03-24,171.72,189.53,170.99,186.56,1473800,0
2020-03-25,187.5,196.69,185.03,188.33,1514600,0
2020-03-26,188.67,202.66,186.54,200.57,1187400,0
2020-03-27,193.22,196.16,189.79,191.29,915300,0
2020-03-30,191.01,206.94,189.08,205.73,1040100,0
2020-03-31,204.38,208.62,199.22,202.55,1132100,0
2020-04-01,194.59,199.56,188.99,192.77,860200,0
2020-04-02,190.25,198.13,189.06,194.1,663500,0
2020-04-03,193.69,197.71,192.18,194.64,844400,0
2020-04-06,200.3,208.57,198.72,207.6,998300,0
2020-04-07,213.0,215.44,207.37,209.14,851600,0
2020-04-08,212.13,215.87,210.31,214.59,794300,0
2020-04-09,211.22,212.5,206.35,209.91,1384400,0
2020-04-13,209.0,211.0,200.67,202.08,875300,0
2020-04-14,206.81,210.63,205.0,207.31,731400,0
2020-04-15,204.25,206.55,201.52,204.19,477200,0
2020-04-16,205.0,210.76,203.0,205.21,773900,0
2020-04-17,209.97,211.82,205.45,210.02,714300,0
2020-04-20,209.19,214.04,208.02,211.99,603900,0
2020-04-21,210.08,210.72,200.0,200.05,719900,0
2020-04-22,206.88,212.81,205.03,211.37,579500,0
2020-04-23,211.26,213.66,208.25,209.23,390000,0
2020-04-24,211.34,216.92,210.61,216.81,629300,0
2020-04-27,219.0,220.61,215.74,217.91,634900,0
2020-04-28,220.0,221.69,217.15,218.03,651300,0
2020-04-29,221.83,224.0,220.51,222.04,1080700,0
2020-04-30,220.8,221.34,217.09,219.3,744400,0
2020-05-01,215.86,216.03,205.72,207.64,761700,0
2020-05-04,206.8,211.0,205.51,211.0,612300,0
2020-05-05,213.65,221.55,212.51,220.44,1256000,0
2020-05-06,206.5,212.25,201.25,208.01,2490100,0
2020-05-07,212.22,214.54,209.64,210.43,1104200,0
2020-05-08,213.28,218.77,211.93,218.01,1084700,0
2020-05-11,217.13,225.56,215.32,224.58,807900,0
2020-05-12,228.11,229.51,220.69,221.1,932800,0
2020-05-13,220.82,223.86,209.09,213.72,1041400,0
2020-05-14,209.84,212.55,202.6,205.59,787200,0
2020-05-15,203.53,210.98,202.96,210.45,822500,0
2020-05-18,215.27,219.19,214.0,215.62,546600,0
2020-05-19,215.48,221.19,214.64,219.76,491100,0
2020-05-20,222.48,225.58,221.94,224.7,726300,0
2020-05-21,223.0,226.61,222.37,223.08,556500,0
2020-05-22,224.94,225.8,218.35,220.17,478600,0
2020-05-26,224.0,227.38,222.03,222.35,419000,0
2020-05-27,223.28,227.44,218.77,227.31,465100,0
2020-05-28,227.4,229.31,222.39,222.92,612900,0
2020-05-29,223.69,234.44,222.5,233.46,962600,0
2020-06-01,232.99,236.0,230.24,234.64,540900,0
2020-06-02,234.7,234.7,226.0,230.45,883900,0
2020-06-03,230.4,232.96,228.08,231.27,616500,0
2020-06-04,229.08,232.93,226.39,228.66,450100,0
2020-06-05,234.0,237.19,232.9,235.17,550900,0
2020-06-08,235.06,237.0,230.45,231.79,431500,0
2020-06-09,231.2,234.48,229.55,231.4,428700,0
2020-06-10,232.26,234.96,229.62,232.77,347200,0
2020-06-11,228.0,228.0,217.65,218.8,880900,0
2020-06-12,226.01,227.4,217.81,222.78,615600,0
2020-06-15,217.99,226.7,215.84,225.85,432800,0
2020-06-16,234.08,235.28,227.95,229.56,519200,0
2020-06-17,230.53,231.39,226.15,226.54,572800,0
2020-06-18,223.18,224.52,216.01,219.45,1146200,0
2020-06-19,223.0,223.28,213.77,218.01,1192100,0
2020-06-22,217.58,219.7,215.81,216.87,539500,0
2020-06-23,219.4,219.4,212.46,215.62,834700,0
2020-06-24,214.89,216.44,207.16,209.25,953200,0
2020-06-25,208.42,212.45,206.13,211.98,524600,0
2020-06-26,211.87,212.74,207.7,210.63,1018100,0
2020-06-29,211.34,211.34,204.72,206.91,765600,0
2020-06-30,207.5,212.41,207.2,210.03,797400,0
2020-07-01,210.59,210.98,207.29,209.44,656800,0
2020-07-02,211.45,213.0,208.74,210.51,486400,0
2020-07-06,214.77,216.3,213.1,214.45,455100,0
2020-07-07,211.94,215.38,210.26,210.78,416400,0
2020-07-08,211.05,215.01,211.05,214.1,387200,0
