Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,140.19,143.68,137.14,143.01,711000,0
2019-01-03,141.16,142.38,137.44,137.64,725800,0
2019-01-04,139.49,144.7,138.46,143.66,632400,0
2019-01-07,144.0,148.59,143.35,147.32,486200,0
2019-01-08,148.53,150.71,146.58,148.05,533600,0
2019-01-09,148.76,151.92,148.26,150.64,379100,0
2019-01-10,151.01,152.92,150.55,152.6,439900,0
2019-01-11,151.82,154.83,151.01,154.75,594400,0
2019-01-14,153.34,154.07,151.63,153.6,380800,0
2019-01-15,153.86,156.46,153.67,156.16,441500,0
2019-01-16,156.27,157.41,155.51,157.13,379400,0
2019-01-17,156.24,158.63,155.53,158.31,381700,0
2019-01-18,159.55,162.24,158.6,161.71,511200,0
2019-01-22,161.13,163.17,157.41,161.03,479700,0
2019-01-23,161.57,162.91,157.65,158.63,349000,0
2019-01-24,158.59,159.24,157.01,158.1,445800,0
2019-01-25,160.25,162.0,159.87,161.65,340200,0
2019-01-28,160.25,161.26,158.87,160.7,219500,0
2019-01-29,159.96,160.82,158.27,158.86,229400,0
2019-01-30,160.25,163.48,159.04,162.99,321700,0
2019-01-31,162.67,165.04,161.31,164.35,567400,0
2019-02-01,164.44,168.06,161.24,167.55,505600,0
2019-02-04,167.54,169.58,166.57,169.05,328400,0
2019-02-05,169.5,170.61,168.88,170.22,212600,0
2019-02-06,169.69,171.31,166.01,170.78,435400,0
2019-02-07,169.17,170.72,168.81,169.55,353800,0
2019-02-08,168.46,171.74,167.29,171.73,257300,0
2019-02-11,172.49,173.11,170.99,171.23,388900,0
2019-02-12,172.94,175.62,171.66,175.01,411000,0
2019-02-13,175.61,175.98,173.0,173.11,404900,0
2019-02-14,172.2,174.22,171.37,173.2,299400,0
2019-02-15,174.45,174.56,173.01,174.49,338200,0
2019-02-19,174.24,175.92,173.31,174.46,323700,0
2019-02-20,174.5,175.87,173.5,174.66,242000,0
2019-02-21,174.55,175.59,172.96,174.49,242700,0
2019-02-22,175.3,177.16,174.75,175.48,329900,0
2019-02-25,177.39,177.39,174.92,175.01,483000,0
2019-02-26,174.66,176.3,173.19,174.83,327600,0
2019-02-27,173.94,176.95,173.27,176.83,553200,0
2019-02-28,186.0,186.15,176.92,177.26,976800,0
2019-03-01,179.65,182.86,178.34,182.23,677000,0
2019-03-04,182.38,183.79,177.55,180.13,666200,0
2019-03-05,179.74,182.04,178.73,178.75,567200,0
2019-03-06,178.52,179.79,177.2,178.68,420900,0
2019-03-07,177.87,180.02,177.43,178.79,446800,0
2019-03-08,177.02,178.4,174.55,177.43,635600,0
2019-03-11,177.87,180.16,177.87,178.73,474000,0
2019-03-12,179.05,181.97,178.15,180.96,491200,0
2019-03-13,182.0,184.11,180.65,180.81,534500,0
2019-03-14,180.51,181.19,179.77,180.62,512000,0
2019-03-15,180.28,181.59,179.29,180.38,757700,0
2019-03-18,180.81,181.41,179.35,180.9,353700,0
2019-03-19,181.38,182.06,180.07,181.12,378300,0
2019-03-20,181.36,181.65,179.29,180.23,343100,0
2019-03-21,179.73,182.5,179.03,182.33,620600,0
2019-03-22,182.03,182.45,177.1,177.18,508400,0
2019-03-25,176.46,177.75,175.55,177.44,476300,0
2019-03-26,179.18,180.38,175.9,179.69,320700,0
2019-03-27,180.19,181.07,176.79,178.55,334600,0
2019-03-28,179.02,180.61,178.26,180.29,426200,0
2019-03-29,181.98,183.15,181.19,182.71,396500,0
2019-04-01,184.05,187.75,184.05,187.45,352900,0
2019-04-02,187.43,188.36,185.54,187.61,375800,0
2019-04-03,188.63,189.8,187.52,188.54,456300,0
2019-04-04,188.93,188.93,183.15,184.98,329500,0
2019-04-05,185.63,187.06,184.83,185.83,342000,0
2019-04-08,185.72,186.62,184.08,186.41,216200,0
2019-04-09,185.39,187.37,185.39,186.66,250500,0
2019-04-10,186.89,188.96,186.66,187.92,205900,0
2019-04-11,187.76,188.76,187.46,188.59,217800,0
2019-04-12,189.8,189.81,188.33,189.55,187100,0
2019-04-15,189.83,190.5,188.92,189.96,228700,0
