Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,143.58,144.56,142.75,144.04,961600,0.0
2019-01-03,143.31,144.07,141.63,141.88,1027400,0.0
2019-01-04,143.14,144.76,141.8,144.55,1882800,0.0
2019-01-07,143.89,146.13,143.49,144.23,926500,0.0
2019-01-08,144.21,145.06,141.88,144.92,1277200,0.0
2019-01-09,145.53,147.54,144.79,145.13,1428300,0.0
2019-01-10,145.09,147.92,144.4,147.63,931700,0.0
2019-01-11,146.57,147.29,145.15,147.25,963200,0.0
2019-01-14,146.33,147.89,146.33,147.61,808700,0.0
2019-01-15,147.63,149.71,147.2,149.68,832700,0.0
2019-01-16,149.83,151.48,148.75,150.99,923000,0.0
2019-01-17,150.36,152.89,150.36,152.5,800100,0.0
2019-01-18,153.06,154.7,152.67,154.41,839800,0.0
2019-01-22,154.07,155.26,152.68,153.7,759100,0.0
2019-01-23,154.0,154.75,152.49,154.06,724200,0.0
2019-01-24,153.85,154.6,152.99,153.91,998300,0.0
2019-01-25,154.62,155.73,153.71,154.39,706300,0.0
2019-01-28,153.46,153.94,152.17,153.67,836000,0.0
2019-01-29,153.27,153.71,151.65,152.4,978500,0.0
2019-01-30,152.66,154.75,152.45,154.5,2153700,0.0
2019-01-31,153.76,157.88,153.17,156.23,1879100,0.4
2019-02-01,157.81,168.49,157.54,167.46,3265100,0.0
2019-02-04,168.5,168.5,165.16,166.8,1771300,0.0
2019-02-05,167.32,168.98,166.37,168.75,1114500,0.0
2019-02-06,168.26,168.75,166.67,168.35,1175500,0.0
2019-02-07,167.27,167.63,164.69,166.88,1060400,0.0
2019-02-08,166.48,168.17,166.39,168.17,847900,0.0
2019-02-11,168.73,170.82,168.26,170.76,1103000,0.0
2019-02-12,171.61,172.18,170.42,171.28,1101000,0.0
2019-02-13,171.58,173.09,171.24,172.96,1073100,0.0
2019-02-14,171.6,172.13,169.58,169.62,961100,0.0
2019-02-15,171.45,172.1,170.29,171.97,1257900,0.0
2019-02-19,171.31,173.53,170.89,172.66,1080500,0.0
2019-02-20,172.74,173.32,171.66,172.8,1005000,0.0
2019-02-21,172.93,173.34,171.95,172.4,929200,0.0
2019-02-22,172.46,172.66,171.38,172.06,998100,0.0
2019-02-25,172.28,173.22,170.99,171.17,982500,0.0
2019-02-26,170.95,172.1,170.63,171.35,993400,0.0
2019-02-27,170.68,171.44,170.17,171.19,662000,0.0
2019-02-28,171.1,172.3,170.66,171.53,1205600,0.0
2019-03-01,172.75,172.91,170.88,171.65,899800,0.0
2019-03-04,171.99,172.35,169.75,170.63,1663400,0.0
2019-03-05,171.32,172.69,156.09,157.25,6699600,0.0
2019-03-06,166.52,166.56,163.31,164.0,2534200,0.0
2019-03-07,163.4,163.99,161.75,162.55,1644300,0.0
2019-03-08,161.59,162.17,160.29,162.04,934700,0.0
2019-03-11,162.79,164.74,162.66,164.71,1064300,0.0
2019-03-12,164.87,167.01,164.44,166.48,959500,0.0
2019-03-13,166.75,168.45,166.66,167.09,818300,0.0
2019-03-14,167.26,169.25,167.06,168.58,833400,0.0
2019-03-15,168.72,170.27,167.95,170.0,1828900,0.0
2019-03-18,170.0,170.72,168.81,169.2,825900,0.0
2019-03-19,169.2,169.47,167.74,167.96,702500,0.0
2019-03-20,167.52,167.97,165.67,165.71,716200,0.0
2019-03-21,165.63,168.59,165.33,168.2,784800,0.0
2019-03-22,166.11,167.68,165.91,166.31,822700,0.0
