Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,45.25,47.51,45.14,47.03,7245700,0.0
2019-01-03,46.44,46.65,45.0,45.36,8266400,0.0
2019-01-04,46.0,47.55,45.13,47.17,9081900,0.0
2019-01-07,47.24,49.08,47.09,48.5,9112100,0.0
2019-01-08,49.07,51.11,49.0,49.97,12428700,0.0
2019-01-09,50.37,51.41,49.91,50.83,7768800,0.0
2019-01-10,50.5,51.49,50.09,51.35,6416900,0.0
2019-01-11,46.38,46.84,44.47,46.54,35424600,0.0
2019-01-14,46.07,47.68,45.82,47.29,10183300,0.0
2019-01-15,47.33,47.89,46.62,46.84,8190900,0.0
2019-01-16,46.76,47.38,45.86,47.13,9299800,0.0
2019-01-17,46.95,47.63,46.41,47.38,7828700,0.0
2019-01-18,47.89,49.32,47.84,48.65,10563500,0.0
2019-01-22,48.17,48.17,46.82,47.06,8415900,0.0
2019-01-23,47.32,47.44,45.63,46.02,8951300,0.0
2019-01-24,45.94,47.4,45.89,47.27,6007000,0.0
2019-01-25,47.86,48.39,47.09,47.8,6175400,0.0
2019-01-28,47.0,47.22,45.96,46.74,8807100,0.0
2019-01-29,46.36,46.47,45.23,45.73,7722300,0.0
2019-01-30,46.18,46.32,45.5,46.31,8679600,0.0
2019-01-31,46.46,47.49,45.98,47.24,10060300,0.0
2019-02-01,47.19,47.49,45.51,46.01,16662300,0.0
2019-02-04,46.32,47.03,46.07,46.78,10635000,0.0
2019-02-05,46.93,48.09,46.61,47.84,8673300,0.0
2019-02-06,45.0,45.0,42.53,43.0,34619600,0.0
2019-02-07,43.21,44.33,43.05,43.96,17457000,0.0
2019-02-08,43.78,43.93,42.88,43.41,19275200,0.0
2019-02-11,43.8,43.8,39.85,40.11,44932400,0.0
2019-02-12,40.34,42.24,40.11,41.67,33515100,0.0
2019-02-13,42.93,45.33,42.84,44.57,51708900,0.0
2019-02-14,44.09,46.59,43.79,45.43,22540100,0.0
2019-02-15,45.47,45.6,44.14,44.6,17152500,0.0
2019-02-19,44.45,44.79,43.5,44.48,17261600,0.0
2019-02-20,44.67,45.56,42.48,42.78,21193200,0.0
2019-02-21,42.7,42.86,41.67,41.9,16645300,0.0
2019-02-22,42.0,42.25,41.25,41.5,13074700,0.0
2019-02-25,41.82,42.21,41.0,41.96,12317100,0.0
2019-02-26,41.82,42.68,41.72,42.08,9194200,0.0
2019-02-27,42.06,42.36,41.61,41.79,8494200,0.0
2019-02-28,41.78,42.35,41.67,42.14,12255200,0.0
2019-03-01,42.6,43.18,42.18,42.84,9422400,0.0
2019-03-04,43.06,43.25,41.31,41.79,12128500,0.0
2019-03-05,41.84,42.0,41.05,41.88,7536600,0.0
2019-03-06,41.95,42.86,41.86,42.56,12535200,0.0
2019-03-07,42.43,42.47,41.18,41.42,10470600,0.0
2019-03-08,41.01,42.12,40.89,42.03,8735200,0.0
2019-03-11,42.23,43.1,41.99,42.92,9451100,0.0
2019-03-12,43.07,43.15,42.56,42.63,6474800,0.0
2019-03-13,42.83,43.95,42.57,43.7,7774200,0.0
2019-03-14,43.73,43.93,43.23,43.32,7324700,0.0
2019-03-15,44.02,45.11,43.91,44.63,20494100,0.0
2019-03-18,44.93,45.16,44.12,44.97,11344600,0.0
2019-03-19,45.61,47.3,45.29,46.42,16098900,0.0
2019-03-20,46.37,47.09,46.13,46.16,14270400,0.0
2019-03-21,46.08,48.83,45.9,48.6,13972900,0.0
2019-03-22,48.31,48.45,46.28,46.87,11117700,0.0
2019-03-25,46.75,47.55,46.42,46.98,6976900,0.0
2019-03-26,47.28,47.88,45.96,46.43,9712000,0.0
2019-03-27,46.29,46.29,45.24,45.52,7813600,0.37
2019-03-28,45.34,45.71,44.87,45.62,8347800,0.0
2019-03-29,46.18,46.37,45.01,45.53,6643600,0.0
2019-04-01,46.5,47.31,46.16,47.12,9233400,0.0
2019-04-02,47.42,47.78,46.2,47.46,9697700,0.0
2019-04-03,47.75,48.6,47.4,47.65,9741800,0.0
2019-04-04,47.68,47.82,46.58,46.96,6941800,0.0
2019-04-05,47.08,47.54,46.68,47.29,5976900,0.0
2019-04-08,47.23,47.63,46.37,47.57,5563800,0.0
2019-04-09,47.19,47.65,46.85,47.01,5090900,0.0
2019-04-10,47.34,47.96,47.15,47.86,3548000,0.0
2019-04-11,48.06,48.24,46.86,47.17,5198500,0.0
2019-04-12,47.4,47.68,46.94,47.28,3802100,0.0
2019-04-15,47.27,47.57,45.64,45.75,7343500,0.0
2019-04-16,45.95,45.95,44.74,45.06,9742200,0.0
2019-04-17,45.17,45.34,43.96,44.98,6663100,0.0
2019-04-18,45.18,45.59,44.65,45.31,4582700,0.0
2019-04-22,45.24,45.53,44.7,45.34,4229300,0.0
2019-04-23,45.6,46.76,45.47,46.51,6263400,0.0
