Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,248.85,254.7,246.49,253.51,3034600,0.0
2019-01-03,244.56,246.54,230.33,230.96,6858000,0.0
2019-01-04,234.29,236.45,231.67,233.23,5424800,0.0
2019-01-07,233.65,240.24,230.76,237.98,5343300,0.0
2019-01-08,240.11,241.9,233.37,236.07,3679500,0.0
2019-01-09,238.42,246.68,237.85,246.28,5297100,0.0
2019-01-10,245.57,250.57,244.36,249.52,2959400,0.0
2019-01-11,249.43,252.92,249.32,250.57,2015800,0.0
2019-01-14,248.11,251.58,245.9,250.87,2549800,0.0
2019-01-15,252.76,262.22,252.01,256.49,3924700,0.0
2019-01-16,257.2,257.35,251.36,251.7,2448400,0.0
2019-01-17,250.06,257.35,248.72,255.33,3515400,0.0
2019-01-18,259.13,261.94,257.0,260.82,3463400,0.0
2019-01-22,258.0,259.46,254.9,258.29,3715600,0.0
2019-01-23,259.54,260.91,253.65,257.52,3177100,0.0
2019-01-24,261.09,266.75,260.0,263.55,3599900,0.0
2019-01-25,265.17,268.31,260.91,267.94,3033300,0.0
2019-01-28,261.56,268.85,258.65,267.62,3132000,0.0
2019-01-29,267.35,267.6,263.83,266.32,2787000,0.0
2019-01-30,270.0,273.75,267.37,270.82,2872700,0.0
2019-01-31,270.56,271.0,266.35,268.25,2106300,0.0
2019-02-01,269.15,269.6,264.89,266.81,2287800,0.0
2019-02-04,267.5,272.14,264.95,272.12,2076100,0.0
2019-02-05,271.96,274.63,269.91,270.0,2261900,0.0
2019-02-06,273.27,280.0,272.75,276.21,2706400,0.0
2019-02-07,272.86,274.57,266.3,269.09,2864600,0.0
2019-02-08,267.33,274.29,267.06,274.06,2390300,0.0
2019-02-11,274.4,276.0,273.28,275.72,1801200,0.0
2019-02-12,278.65,280.39,277.06,279.39,1980900,0.0
2019-02-13,280.0,282.16,277.97,281.32,1919000,0.0
2019-02-14,280.6,282.84,278.95,281.5,1601500,0.0
2019-02-15,284.09,284.09,278.79,281.93,1735200,0.0
2019-02-19,281.15,282.83,280.15,281.66,1515200,0.0
2019-02-20,283.25,286.63,282.28,283.42,1615000,0.0
2019-02-21,283.24,283.35,278.93,280.94,1325400,0.0
2019-02-22,279.95,280.0,274.66,276.5,2722500,0.0
2019-02-25,280.78,280.83,278.48,278.6,1924500,0.0
2019-02-26,277.93,278.01,274.45,275.0,2721100,0.0
2019-02-27,273.22,275.1,269.58,271.49,2914600,0.0
2019-02-28,269.97,275.71,268.63,275.36,3146000,0.0
2019-03-01,277.73,278.16,271.13,272.75,1903500,0.0
2019-03-04,275.0,276.58,270.86,274.89,1738200,0.0
2019-03-05,275.5,280.44,274.53,277.01,2169900,0.0
2019-03-06,276.66,276.93,270.48,271.35,1997300,0.0
2019-03-07,270.18,270.33,264.08,265.51,2541100,0.0
2019-03-08,261.56,264.76,259.2,264.19,2216700,0.0
2019-03-11,264.89,270.55,264.05,269.06,2716100,0.0
2019-03-12,269.76,270.03,264.27,269.63,2332400,0.0
2019-03-13,270.51,273.08,269.02,271.21,3208900,0.0
2019-03-14,272.09,272.26,267.89,268.2,4309400,0.0
2019-03-15,286.46,299.55,283.5,290.29,14406600,0.0
2019-03-18,290.23,296.98,290.21,293.84,5674600,0.0
2019-03-19,294.16,300.98,294.11,299.31,5155600,0.0
2019-03-20,298.0,299.0,290.29,291.03,4126300,2.65
2019-03-21,291.88,299.37,291.0,296.8,2737900,0.0
2019-03-22,295.92,296.44,291.4,292.65,2330700,0.0
2019-03-25,292.2,294.18,289.0,292.16,2387800,0.0
2019-03-26,294.37,299.47,294.23,297.03,2800900,0.0
2019-03-27,297.57,298.68,292.46,295.97,2186200,0.0
2019-03-28,297.11,303.3,295.67,299.07,3303000,0.0
2019-03-29,301.22,302.67,298.28,300.71,2449300,0.0
2019-04-01,303.11,306.75,299.75,305.79,2704000,0.0
2019-04-02,306.16,307.35,302.61,303.05,2285700,0.0
2019-04-03,306.22,307.4,301.82,304.2,2315300,0.0
2019-04-04,304.75,306.0,301.67,302.0,1522800,0.0
2019-04-05,304.0,304.44,301.8,304.28,1887500,0.0
2019-04-08,304.14,305.3,302.0,304.48,1389900,0.0
2019-04-09,302.58,304.11,300.29,303.45,1162100,0.0
2019-04-10,303.6,307.77,303.0,307.51,1499200,0.0
2019-04-11,308.15,310.19,306.23,309.41,1666900,0.0
2019-04-12,311.35,317.44,310.57,317.03,3008700,0.0
2019-04-15,317.03,317.52,313.17,316.4,1621600,0.0
2019-04-16,320.0,320.01,316.1,318.5,2111600,0.0
2019-04-17,320.24,320.94,317.84,320.53,1813800,0.0
2019-04-18,321.04,322.45,318.16,318.62,2654800,0.0
2019-04-22,317.32,317.89,314.2,315.0,1350400,0.0
2019-04-23,316.76,318.09,314.19,315.64,1977700,0.0
2019-04-24,314.58,317.01,313.19,314.33,2333500,0.0
2019-04-25,312.95,312.95,306.57,311.82,2673200,0.0
2019-04-26,309.15,310.95,305.11,310.41,1640400,0.0
2019-04-29,311.24,314.67,310.44,312.72,1340400,0.0
2019-04-30,313.32,318.42,312.53,318.4,1895300,0.0
2019-05-01,320.5,323.2,318.69,318.9,1815800,0.0
2019-05-02,319.98,322.19,314.23,315.82,2042800,0.0
2019-05-03,314.95,316.65,310.69,315.71,1921400,0.0
2019-05-06,306.79,311.93,305.35,311.57,1437100,0.0
2019-05-07,308.65,309.62,303.73,307.29,2173400,0.0
2019-05-08,305.3,307.66,303.11,303.39,1509900,0.0
2019-05-09,300.0,305.85,296.85,304.06,2228200,0.0
2019-05-10,303.23,305.4,296.66,303.96,2102500,0.0
2019-05-13,293.82,295.68,288.2,293.38,3786400,0.0
2019-05-14,295.69,304.6,295.48,302.0,3427700,0.0
2019-05-15,300.27,307.77,298.61,304.37,1816600,0.0
2019-05-16,299.75,303.1,294.7,297.29,3423300,0.0
2019-05-17,292.78,293.57,288.41,289.89,3909400,0.0
2019-05-20,278.0,279.95,268.64,272.59,6516200,0.0
2019-05-21,277.09,279.78,274.65,275.33,2506000,0.0
2019-05-22,270.48,275.06,268.97,269.22,3180900,0.0
2019-05-23,264.58,265.49,258.17,260.09,4660700,0.0
2019-05-24,262.7,265.74,255.74,255.94,2796300,0.0
2019-05-28,256.57,257.73,250.09,254.48,6196500,0.0
2019-05-29,252.74,256.37,251.58,254.12,2813200,0.0
2019-05-30,254.66,257.34,254.12,256.62,1731000,0.0
2019-05-31,253.04,255.74,251.0,251.64,2219200,0.0
2019-06-03,252.55,258.33,251.2,253.18,2891100,0.0
2019-06-04,256.96,266.0,255.76,265.7,3680500,0.0
2019-06-05,269.01,271.51,262.4,265.72,2365100,0.0
2019-06-06,267.02,275.0,265.28,272.79,3268700,0.0
2019-06-07,274.78,277.87,273.28,274.87,2596300,0.0
2019-06-10,276.73,284.77,276.72,280.21,2328000,0.0
2019-06-11,290.49,291.75,279.41,283.48,3710500,0.0
2019-06-12,281.67,283.16,277.41,279.73,2703600,0.0
2019-06-13,281.52,282.89,277.41,281.61,3773500,0.0
2019-06-14,258.11,268.09,257.47,265.93,10079700,0.0
2019-06-17,264.84,268.7,261.34,265.97,3578500,0.0
2019-06-18,268.15,283.02,266.46,278.05,5492000,0.0
2019-06-19,278.78,279.07,273.71,277.49,2892000,0.0
2019-06-20,282.51,285.45,277.16,279.05,5729100,0.0
2019-06-21,276.61,281.0,273.96,273.99,4539900,2.65
2019-06-24,275.52,279.45,275.0,279.2,2050600,0.0
2019-06-25,279.16,282.88,276.02,276.51,2443600,0.0
2019-06-26,278.58,284.03,278.1,281.44,2477400,0.0
2019-06-27,282.93,288.45,282.23,285.71,2181300,0.0
2019-06-28,287.86,289.3,284.82,287.86,4926500,0.0
2019-07-01,301.68,305.75,296.33,300.35,4495600,0.0
2019-07-02,298.88,300.67,293.9,295.33,1901100,0.0
2019-07-03,283.7,288.78,283.02,284.89,4941100,0.0
2019-07-05,283.65,285.44,281.97,282.66,2456500,0.0
2019-07-08,280.0,281.19,274.39,274.96,3429100,0.0
2019-07-09,273.45,275.98,272.41,275.53,2613100,0.0
2019-07-10,277.86,278.8,274.0,274.5,3013400,0.0
2019-07-11,275.24,277.45,272.95,276.06,2071200,0.0
2019-07-12,276.38,285.93,276.38,285.39,2197100,0.0
2019-07-15,291.1,294.49,287.27,288.34,3033400,0.0
2019-07-16,286.99,287.79,282.39,284.13,1461700,0.0
2019-07-17,285.56,287.29,283.19,285.08,1545300,0.0
2019-07-18,286.18,290.3,283.8,289.78,1937000,0.0
2019-07-19,291.83,293.16,289.53,290.0,2204700,0.0
2019-07-22,293.0,299.99,292.24,296.15,3390500,0.0
2019-07-23,299.5,302.36,299.21,300.78,1969200,0.0
2019-07-24,301.2,304.88,300.5,303.77,1900600,0.0
2019-07-25,302.13,302.13,299.4,300.39,1574100,0.0
2019-07-26,301.59,303.02,300.53,300.92,1499600,0.0
2019-07-29,301.23,302.55,296.96,301.74,1206800,0.0
2019-07-30,299.09,300.93,297.1,299.56,1116400,0.0
2019-07-31,300.03,300.83,286.67,289.99,2081900,0.0
2019-08-01,289.13,297.82,282.32,285.34,2191100,0.0
2019-08-02,282.07,283.84,275.91,278.53,2008000,0.0
2019-08-05,271.95,272.24,264.08,267.66,2776500,0.0
2019-08-06,270.13,272.18,264.56,266.44,2219900,0.0
2019-08-07,264.03,272.72,263.0,270.05,2224400,0.0
2019-08-08,270.38,272.56,262.5,270.98,2916300,0.0
2019-08-09,269.58,280.55,269.58,275.73,3073500,0.0
2019-08-12,273.38,278.21,272.54,275.64,2004000,0.0
2019-08-13,275.3,285.5,272.03,283.7,2234000,0.0
2019-08-14,278.79,280.15,270.38,271.56,2710800,0.0
2019-08-15,272.0,272.78,264.85,268.64,2001000,0.0
2019-08-16,272.15,275.75,271.98,273.78,1745800,0.0
2019-08-19,279.5,280.07,275.61,278.78,1748900,0.0
2019-08-20,278.16,284.96,277.01,280.37,1792000,0.0
2019-08-21,284.64,288.26,284.05,287.5,1938100,0.0
2019-08-22,288.39,289.41,284.55,287.62,1229400,0.0
2019-08-23,283.99,285.48,271.05,272.13,2574200,0.0
2019-08-26,276.95,277.95,275.0,277.22,1424900,0.0
2019-08-27,279.15,280.22,274.91,275.57,1429800,0.0
2019-08-28,274.33,276.41,270.47,276.06,1720200,0.0
2019-08-29,281.49,285.49,281.05,283.37,1642900,0.0
2019-08-30,285.36,285.9,279.9,282.64,1672000,0.0
2019-09-03,280.0,280.85,270.93,274.05,2221000,0.0
2019-09-04,278.79,284.35,278.2,283.02,1986500,0.0
2019-09-05,288.36,293.68,288.36,291.02,2093800,0.0
2019-09-06,291.85,293.3,289.3,291.91,1374800,0.0
2019-09-09,295.0,297.2,290.4,292.61,2168600,0.0
2019-09-10,291.35,294.45,288.82,294.44,2085000,0.0
2019-09-11,296.32,298.78,294.55,298.01,1926000,0.0
2019-09-12,301.43,302.33,296.47,300.58,3310900,0.0
2019-09-13,297.65,297.99,283.89,290.32,6255700,0.0
2019-09-16,286.8,290.27,285.7,288.66,2217600,0.0
2019-09-17,288.02,289.3,283.75,288.83,2191200,0.0
2019-09-18,288.49,290.76,283.88,287.74,1651000,0.0
2019-09-19,288.5,291.95,287.23,290.64,1942100,0.0
2019-09-20,287.67,288.4,281.82,284.26,3552400,2.65
2019-09-23,283.62,287.16,282.08,285.46,1485000,0.0
2019-09-24,287.32,288.9,279.75,282.31,2029200,0.0
2019-09-25,271.75,277.21,270.0,275.77,5558800,0.0
2019-09-26,275.26,278.66,272.68,276.91,2747700,0.0
2019-09-27,276.63,281.28,272.96,274.14,2866000,0.0
2019-09-30,275.79,276.72,272.5,276.07,1982600,0.0
2019-10-01,278.27,279.65,273.38,274.85,1942900,0.0
2019-10-02,273.46,273.8,268.32,270.07,1954300,0.0
2019-10-03,270.0,274.5,267.22,274.43,1709600,0.0
2019-10-04,278.49,281.7,275.2,281.43,2588400,0.0
2019-10-07,280.01,281.02,275.7,276.08,1865800,0.0
2019-10-08,274.06,274.9,268.91,270.33,2275700,0.0
2019-10-09,273.68,274.91,272.02,273.15,1632900,0.0
2019-10-10,274.56,278.78,273.65,274.45,1734000,0.0
2019-10-11,279.49,284.08,279.09,280.91,2369700,0.0
2019-10-14,280.42,282.65,279.88,281.66,1331200,0.0
2019-10-15,282.64,290.62,282.2,290.32,2123000,0.0
2019-10-16,289.0,290.1,286.54,288.48,2004600,0.0
2019-10-17,290.14,291.71,288.32,289.43,1312500,0.0
2019-10-18,289.5,289.94,284.0,286.73,1698100,0.0
2019-10-21,288.44,291.9,287.06,289.57,1303100,0.0
2019-10-22,289.59,290.86,287.24,287.46,1304600,0.0
2019-10-23,282.96,283.54,278.76,280.32,2095700,0.0
2019-10-24,282.89,283.5,278.7,282.31,1689600,0.0
2019-10-25,283.26,291.37,283.22,289.82,2086900,0.0
2019-10-28,291.16,292.48,288.32,291.55,1299900,0.0
2019-10-29,292.28,293.7,288.07,288.16,1326900,0.0
2019-10-30,290.01,290.97,286.52,290.24,1728100,0.0
2019-10-31,289.8,294.08,287.8,292.85,2788000,0.0
2019-11-01,292.99,296.59,292.09,296.59,2123200,0.0
2019-11-04,299.52,305.46,299.1,305.0,3407500,0.0
2019-11-05,305.0,316.78,304.47,314.04,3871100,0.0
2019-11-06,312.06,314.28,308.71,313.16,1807200,0.0
2019-11-07,315.58,319.5,310.65,311.74,2398100,0.0
2019-11-08,309.87,313.6,305.13,313.41,1783000,0.0
2019-11-11,311.2,313.24,310.84,312.75,915400,0.0
2019-11-12,314.0,316.4,313.26,315.53,1687500,0.0
2019-11-13,312.48,315.71,312.0,313.67,1262500,0.0
2019-11-14,310.75,311.84,306.11,308.97,1726800,0.0
2019-11-15,312.27,313.06,310.08,312.91,1812000,0.0
2019-11-18,311.82,313.41,308.03,311.07,1585000,0.0
2019-11-19,316.65,325.67,316.65,317.7,3174300,0.0
2019-11-20,315.9,316.83,309.0,311.67,1992700,0.0
2019-11-21,311.14,315.7,309.8,315.25,1931700,0.0
2019-11-22,316.64,319.48,313.71,314.92,1321600,0.0
2019-11-25,316.61,320.18,316.27,319.62,1963600,0.0
2019-11-26,319.0,320.18,316.05,316.27,3079300,0.0
2019-11-27,317.94,319.94,316.47,318.44,2018200,0.0
2019-11-29,316.85,317.79,315.0,316.21,922900,0.0
2019-12-02,317.72,317.93,310.56,310.72,2315800,0.0
2019-12-03,305.82,309.0,303.13,306.52,1873600,0.0
2019-12-04,309.75,311.37,307.13,309.72,1443900,0.0
2019-12-05,310.59,312.46,309.06,311.19,1549400,0.0
