Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,37.72,38.0,37.59,37.8,3594000,0.0
2019-01-03,38.38,38.84,38.31,38.33,5013500,0.0
2019-01-04,38.82,39.38,38.68,39.18,2854000,0.0
2019-01-07,39.0,39.14,38.7,38.78,5738700,0.0
2019-01-08,38.38,38.58,38.03,38.13,4697400,0.0
2019-01-09,38.15,38.37,37.8,37.8,6482000,0.0
2019-01-10,38.04,38.38,37.89,38.26,4809000,0.0
2019-01-11,37.67,37.74,36.89,36.95,5401000,0.0
2019-01-14,36.54,36.55,35.42,35.55,13875300,0.0
2019-01-15,35.93,36.21,35.73,36.11,10138800,0.0
2019-01-16,35.77,36.02,35.63,35.79,7091500,0.0
2019-01-17,35.98,36.35,35.95,36.29,4168300,0.0
2019-01-18,36.79,36.84,36.32,36.55,4366500,0.0
2019-01-22,36.49,36.54,36.01,36.27,7044100,0.0
2019-01-23,37.03,37.03,36.46,36.69,7925300,0.0
2019-01-24,36.26,36.28,35.69,35.79,6285400,0.0
2019-01-25,35.87,35.92,35.58,35.75,6896600,0.0
2019-01-28,35.56,35.63,35.3,35.49,3998900,0.0
2019-01-29,35.84,35.89,35.55,35.55,4498800,0.0
2019-01-30,36.08,36.17,35.7,35.95,4823500,0.0
2019-01-31,36.42,36.69,36.22,36.58,4978500,0.0
2019-02-01,36.6,36.88,36.54,36.65,3587800,0.0
2019-02-04,36.8,36.82,36.56,36.76,2652500,0.0
2019-02-05,36.9,37.26,36.89,37.0,2281600,0.0
2019-02-06,36.98,37.15,36.84,36.87,3083500,0.0
2019-02-07,37.25,37.25,36.78,36.94,3357000,0.0
2019-02-08,36.9,37.21,36.83,37.01,3424100,0.0
2019-02-11,36.8,36.87,36.55,36.68,3903900,0.0
2019-02-12,37.07,37.31,36.93,37.2,3729300,0.0
2019-02-13,36.84,37.17,36.56,36.58,4390500,0.0
2019-02-14,38.97,40.15,38.89,39.98,12341200,0.0
2019-02-15,40.29,41.01,40.21,40.92,6410200,0.0
2019-02-19,39.97,40.49,39.94,40.46,8070900,0.0
2019-02-20,40.24,40.86,40.24,40.53,7081100,0.0
2019-02-21,40.41,40.5,40.14,40.43,5791400,0.0
2019-02-22,40.44,40.99,40.41,40.94,5956300,0.0
2019-02-25,41.5,41.73,41.33,41.5,5982100,0.0
2019-02-26,41.6,42.14,41.56,41.98,4216800,0.0
2019-02-27,42.06,42.58,42.06,42.39,4479300,0.0
2019-02-28,41.17,41.65,41.13,41.58,5698500,0.95
2019-03-01,41.61,41.76,41.48,41.76,4590000,0.0
2019-03-04,41.73,41.81,41.39,41.69,3948200,0.0
2019-03-05,41.56,42.61,41.56,42.31,5668200,0.0
2019-03-06,42.36,42.39,41.93,42.03,2490000,0.0
2019-03-07,41.61,41.77,41.33,41.66,5283900,0.0
2019-03-08,41.45,41.8,41.34,41.77,4139200,0.0
2019-03-11,41.65,42.33,41.64,42.19,3501500,0.0
2019-03-12,41.64,41.96,41.64,41.85,3963400,0.0
2019-03-13,42.08,42.49,41.95,42.45,2973900,0.0
2019-03-14,42.28,42.56,42.12,42.27,3707800,0.0
2019-03-15,42.28,42.51,42.1,42.51,8993600,0.0
2019-03-18,42.52,42.74,42.43,42.58,3076200,0.0
2019-03-19,42.89,43.06,42.73,42.87,3209200,0.0
2019-03-20,43.07,43.3,42.79,43.02,3757300,0.0
2019-03-21,42.91,43.3,42.89,42.95,2434800,0.0
2019-03-22,42.45,42.86,42.42,42.59,3891200,0.0
2019-03-25,42.6,42.79,42.43,42.55,2971700,0.0
2019-03-26,43.02,43.19,42.86,42.94,3106000,0.0
2019-03-27,42.6,42.87,42.29,42.65,3183500,0.0
2019-03-28,43.15,43.26,42.84,42.98,4655900,0.0
2019-03-29,40.38,41.13,40.14,40.43,34782300,0.0
