Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,46.64,47.9,46.45,47.86,2003600,0.0
2019-01-03,47.25,47.38,46.3,46.39,3951500,0.0
2019-01-04,48.02,49.55,47.86,49.22,3996400,0.0
2019-01-07,49.37,49.94,49.1,49.48,3078700,0.0
2019-01-08,49.7,49.96,49.19,49.33,2907600,0.0
2019-01-09,49.89,50.07,49.38,49.6,3829200,0.0
2019-01-10,47.09,47.65,47.02,47.54,2124500,2.04
2019-01-11,47.44,47.49,47.06,47.2,1729300,0.0
2019-01-14,47.05,47.61,46.85,47.14,1824300,0.0
2019-01-15,47.26,47.82,47.14,47.53,2630000,0.0
2019-01-16,47.46,47.58,47.08,47.34,1906300,0.0
2019-01-17,47.1,48.14,47.1,47.85,2157700,0.0
2019-01-18,48.43,48.47,47.93,48.04,2379500,0.0
2019-01-22,46.83,46.95,46.27,46.37,2266900,0.0
2019-01-23,46.71,46.83,46.21,46.53,1732000,0.0
2019-01-24,46.49,46.79,46.49,46.62,1105000,0.0
2019-01-25,47.78,48.75,47.59,48.21,3779600,0.0
2019-01-28,48.23,48.39,47.92,48.21,2687000,0.0
2019-01-29,49.0,49.32,48.8,49.11,3019000,0.0
2019-01-30,49.84,51.11,49.79,50.73,3612500,0.0
2019-01-31,50.69,51.25,50.55,51.19,2383100,0.0
2019-02-01,50.92,51.27,50.81,51.09,1362600,0.0
2019-02-04,50.76,51.29,50.61,51.12,2407900,0.0
2019-02-05,51.08,51.22,50.95,51.15,1369200,0.0
2019-02-06,50.73,51.29,50.7,51.01,2490600,0.0
2019-02-07,50.92,51.02,50.24,50.47,2324700,0.0
2019-02-08,50.39,50.78,50.26,50.7,2416000,0.0
2019-02-11,50.54,50.98,50.53,50.9,2147300,0.0
2019-02-12,51.04,51.36,50.91,51.25,2396900,0.0
2019-02-13,51.87,52.16,51.64,51.66,2249900,0.0
2019-02-14,51.55,52.18,51.49,51.97,1329600,0.0
2019-02-15,52.5,52.79,52.17,52.76,1791000,0.0
2019-02-19,52.7,53.79,52.64,53.2,2375700,0.0
2019-02-20,53.61,54.44,53.48,54.17,2232200,0.0
2019-02-21,53.3,53.52,52.85,53.39,2672500,0.0
2019-02-22,54.23,54.51,54.09,54.3,1230400,0.0
2019-02-25,54.0,54.3,53.85,54.16,1826700,0.0
2019-02-26,54.23,54.69,54.2,54.48,1112300,0.0
2019-02-27,54.6,54.73,54.24,54.28,2031500,0.0
2019-02-28,53.14,53.31,52.85,52.9,2418000,0.0
2019-03-01,53.01,53.23,52.39,52.51,4278800,0.0
2019-03-04,52.69,52.89,52.49,52.79,1758900,0.0
2019-03-05,52.79,53.01,52.75,52.89,963000,0.0
2019-03-06,53.68,53.74,53.09,53.23,1677100,0.0
2019-03-07,52.01,52.11,51.64,51.89,1854300,1.1
2019-03-08,51.11,51.69,51.01,51.65,1464100,0.0
2019-03-11,51.97,52.2,51.85,52.13,1270300,0.0
2019-03-12,52.22,52.49,52.12,52.28,1238900,0.0
2019-03-13,53.01,53.12,52.62,52.81,1127200,0.0
2019-03-14,52.36,52.47,52.16,52.2,1983200,0.0
2019-03-15,51.88,52.16,51.81,52.12,2218900,0.0
2019-03-18,52.78,53.14,52.69,53.02,1555200,0.0
2019-03-19,54.02,54.02,52.68,52.84,4168000,0.0
2019-03-20,52.69,53.74,52.31,53.39,3330600,0.0
2019-03-21,53.51,53.77,53.03,53.69,2531500,0.0
2019-03-22,52.94,53.2,52.22,52.25,2267600,0.0
2019-03-25,52.39,53.04,52.34,52.71,2104300,0.0
2019-03-26,53.44,53.67,53.31,53.5,2615100,0.0
2019-03-27,53.83,53.96,53.39,53.86,2869700,0.0
2019-03-28,53.96,54.12,53.73,54.01,1793300,0.0
2019-03-29,54.78,54.95,54.37,54.67,2938200,0.0
2019-04-01,56.22,56.39,55.91,56.0,3708800,0.0
2019-04-02,56.01,56.18,55.84,56.11,3068900,0.0
2019-04-03,56.84,56.89,56.16,56.3,3470300,0.0
2019-04-04,56.03,56.23,55.76,56.18,1759000,0.0
2019-04-05,56.35,56.59,56.16,56.33,1208200,0.0
2019-04-08,56.92,57.16,56.69,57.13,1468900,0.0
2019-04-09,56.84,56.99,56.43,56.51,1197100,0.0
2019-04-10,56.87,57.25,56.73,57.0,1633900,0.0
2019-04-11,56.39,56.63,56.12,56.35,851200,0.0
2019-04-12,57.03,57.17,56.73,56.83,1440000,0.0
2019-04-15,56.19,56.4,55.96,56.02,1222700,0.0
2019-04-16,56.07,56.18,55.07,55.37,2713700,0.0
