Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,156.18,164.33,155.49,162.25,2997000,0
2019-01-03,158.75,159.88,153.78,154.71,3879200,0
2019-01-04,157.6,162.43,157.25,160.95,3847500,0
2019-01-07,162.6,164.49,158.51,162.6,3266100,0
2019-01-08,162.19,163.89,158.16,163.4,3253400,0
2019-01-09,166.72,168.41,165.48,166.64,3391500,0
2019-01-10,164.98,168.45,162.91,168.35,2135400,0
2019-01-11,167.85,168.35,164.68,166.11,2340400,0
2019-01-14,162.82,163.97,161.59,163.03,1786800,0
2019-01-15,164.43,169.94,164.4,167.93,2364000,0
2019-01-16,169.62,171.33,168.56,169.75,2102000,0
2019-01-17,167.84,169.94,164.55,168.11,3119500,0
2019-01-18,170.54,174.28,169.8,171.36,3239400,0
2019-01-22,167.35,167.46,158.52,160.39,7087600,0
2019-01-23,162.0,163.36,158.9,163.26,4427800,0
2019-01-24,163.25,163.55,161.0,162.7,2921900,0
2019-01-25,164.99,168.06,163.4,167.1,2985900,0
2019-01-28,164.18,168.23,162.72,167.5,2027500,0
2019-01-29,167.91,167.98,164.15,165.27,1469600,0
2019-01-30,166.72,170.1,165.25,169.34,2415100,0
2019-01-31,171.05,175.09,170.36,172.63,3320400,0
2019-02-01,172.68,173.54,169.38,171.27,2053900,0
2019-02-04,172.35,175.54,171.01,173.94,1584100,0
2019-02-05,175.31,176.89,173.54,176.23,1534200,0
2019-02-06,176.23,176.54,173.59,173.85,1247500,0
2019-02-07,173.52,173.96,170.06,171.58,1982700,0
2019-02-08,170.46,170.48,166.66,169.9,2121900,0
2019-02-11,172.22,172.37,166.57,168.06,2781700,0
2019-02-12,169.04,171.54,169.01,170.25,2396700,0
2019-02-13,172.98,175.35,171.71,173.82,2549100,0
2019-02-14,173.5,174.96,171.55,174.08,2017200,0
2019-02-15,175.49,175.63,169.0,170.06,3444700,0
2019-02-19,169.53,173.6,169.2,172.45,3155800,0
2019-02-20,173.39,176.09,170.51,171.18,4040500,0
2019-02-21,171.73,172.89,169.73,171.81,4202800,0
2019-02-22,173.5,174.17,164.0,167.17,9233500,0
2019-02-25,170.01,170.55,164.86,165.0,5832300,0
2019-02-26,164.0,164.34,160.6,161.98,4829400,0
2019-02-27,161.55,163.4,160.65,162.17,3705100,0
2019-02-28,162.0,163.19,160.91,162.54,3412200,0
2019-03-01,164.18,165.5,161.98,162.09,2656200,0
2019-03-04,163.71,164.25,158.44,160.92,4323000,0
2019-03-05,161.47,170.28,161.11,167.74,5799400,0
2019-03-06,169.22,173.52,169.11,170.24,5133300,0
