Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,64.77,65.95,64.53,65.94,634200,0.0
2019-01-03,65.96,66.15,65.27,65.83,581300,0.0
2019-01-04,66.76,67.38,66.37,67.28,477100,0.0
2019-01-07,67.29,67.69,66.61,67.55,625300,0.0
2019-01-08,68.12,68.36,67.3,68.34,659400,0.0
2019-01-09,68.58,69.87,68.58,69.43,567000,0.0
2019-01-10,69.23,69.96,68.9,69.83,462900,0.0
2019-01-11,69.74,70.13,69.42,69.92,286000,0.0
2019-01-14,69.71,70.29,69.55,69.82,772300,0.0
2019-01-15,69.75,70.7,69.75,70.6,484400,0.0
2019-01-16,71.0,71.7,70.87,71.54,384500,0.0
2019-01-17,71.31,72.37,71.22,72.11,432100,0.0
2019-01-18,72.84,73.12,72.65,72.95,426700,0.0
2019-01-22,72.25,72.51,71.81,72.37,460100,0.0
2019-01-23,72.51,73.0,72.1,72.37,469400,0.0
2019-01-24,72.1,72.63,71.98,72.54,367600,0.0
2019-01-25,73.11,73.52,72.86,73.48,309100,0.0
2019-01-28,73.0,73.1,72.47,72.94,1022700,0.0
2019-01-29,72.95,73.33,72.93,73.12,349600,0.0
2019-01-30,73.42,74.39,73.42,74.23,634300,0.0
2019-01-31,73.26,73.47,72.88,73.19,744700,1.0
2019-02-01,73.11,73.67,73.11,73.34,491300,0.0
2019-02-04,73.2,73.76,73.19,73.75,470500,0.0
2019-02-05,73.64,74.05,73.53,74.05,355300,0.0
2019-02-06,73.56,74.28,73.56,73.65,564000,0.0
2019-02-07,73.53,73.53,72.62,73.14,553500,0.0
2019-02-08,73.02,73.31,72.42,73.06,322300,0.0
2019-02-11,73.17,73.3,72.72,72.88,336700,0.0
2019-02-12,73.33,74.08,73.29,73.91,420000,0.0
2019-02-13,74.17,74.38,73.76,73.9,291800,0.0
2019-02-14,73.47,73.53,73.05,73.35,318200,0.0
2019-02-15,73.76,74.28,73.61,74.12,405400,0.0
2019-02-19,73.67,74.5,73.67,74.35,419800,0.0
2019-02-20,74.53,75.5,74.53,75.18,563000,0.0
2019-02-21,75.09,75.38,74.44,74.49,719700,0.0
2019-02-22,74.67,75.26,74.57,75.13,494400,0.0
2019-02-25,75.44,75.55,75.14,75.27,533000,0.0
2019-02-26,75.12,77.18,75.11,77.1,732500,0.0
2019-02-27,77.5,78.32,77.31,78.27,787900,0.0
2019-02-28,78.0,78.4,77.5,77.94,692300,0.0
2019-03-01,78.16,78.23,77.4,77.58,461900,0.0
2019-03-04,77.72,78.0,77.21,77.69,499200,0.0
2019-03-05,77.53,77.77,77.2,77.67,363900,0.0
2019-03-06,77.51,77.93,77.3,77.36,475400,0.0
2019-03-07,77.24,77.58,76.65,76.9,649100,0.0
2019-03-08,76.51,76.75,76.26,76.67,368700,0.0
2019-03-11,76.61,76.87,76.51,76.78,906100,0.0
2019-03-12,76.85,76.99,75.97,76.35,1291100,0.0
2019-03-13,76.49,76.95,76.16,76.83,365100,0.0
