Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,51.34,52.84,51.34,52.43,8441300,0.0
2019-01-03,46.92,47.62,44.3,45.12,80351600,0.41
2019-01-04,45.88,47.55,45.86,46.89,47515800,0.0
2019-01-07,47.04,48.74,46.36,48.41,26805000,0.0
2019-01-08,48.78,48.88,47.0,47.99,16415900,0.0
2019-01-09,48.0,48.0,46.74,47.18,19719600,0.0
2019-01-10,47.08,48.01,46.42,47.72,24947800,0.0
2019-01-11,47.5,48.02,47.1,47.99,12470900,0.0
2019-01-14,48.3,48.37,47.58,47.97,18295900,0.0
2019-01-15,48.29,49.83,48.0,49.72,23116600,0.0
2019-01-16,49.65,50.26,49.1,49.13,14961200,0.0
2019-01-17,49.16,49.89,48.47,49.6,21202400,0.0
2019-01-18,49.78,50.33,48.94,50.12,20409900,0.0
2019-01-22,49.78,49.8,49.03,49.72,17123000,0.0
2019-01-23,50.03,50.4,49.6,49.96,15683500,0.0
2019-01-24,48.75,50.5,48.3,49.02,20224500,0.0
2019-01-25,49.57,50.1,48.46,48.93,19652100,0.0
2019-01-28,48.67,48.83,48.14,48.32,9723500,0.0
2019-01-29,48.3,48.65,47.88,48.32,10883100,0.0
2019-01-30,48.78,49.21,48.18,48.86,10567500,0.0
2019-01-31,49.09,49.55,48.66,49.37,12945500,0.0
2019-02-01,49.01,50.04,48.58,49.89,18512100,0.0
2019-02-04,50.82,50.9,49.58,50.85,26142100,0.0
2019-02-05,51.02,51.07,50.09,50.15,15028000,0.0
2019-02-06,50.04,51.22,50.0,51.14,13101200,0.0
2019-02-07,50.75,50.77,49.78,50.05,10644200,0.0
2019-02-08,49.71,50.25,49.58,50.22,9618800,0.0
2019-02-11,50.22,50.32,49.58,50.1,14105600,0.0
2019-02-12,50.38,50.45,49.51,49.71,13815500,0.0
2019-02-13,49.85,51.19,49.71,50.98,14606500,0.0
2019-02-14,51.06,51.36,50.51,50.83,17855300,0.0
2019-02-15,51.42,51.87,50.92,51.67,15449600,0.0
2019-02-19,51.68,52.02,51.26,51.36,9732700,0.0
2019-02-20,51.35,51.89,50.75,51.3,21470600,0.0
2019-02-21,51.08,52.8,50.09,50.13,25947000,0.0
2019-02-22,50.44,51.04,50.13,50.98,14910200,0.0
2019-02-25,51.15,51.15,50.57,50.65,10551500,0.0
2019-02-26,50.6,50.86,50.09,50.16,12319500,0.0
2019-02-27,50.0,51.14,49.95,50.96,17453600,0.0
2019-02-28,51.86,52.62,51.08,51.66,80889800,0.0
2019-03-01,51.67,53.28,51.51,53.22,34760700,0.0
2019-03-04,53.2,53.27,52.51,53.05,20534600,0.0
2019-03-05,53.14,54.38,52.92,53.8,23848200,0.0
2019-03-06,53.81,54.0,52.65,52.89,23652800,0.0
2019-03-07,52.7,52.82,51.22,51.51,19096800,0.0
2019-03-08,51.09,51.41,50.36,51.39,18674900,0.0
2019-03-11,51.39,51.55,50.54,50.9,13960600,0.0
2019-03-12,50.91,51.09,50.35,50.38,12772700,0.0
2019-03-13,50.52,51.03,50.31,50.97,12357700,0.0
2019-03-14,51.0,51.24,48.79,49.89,31496100,0.0
2019-03-15,49.88,50.09,48.84,49.96,27370700,0.0
2019-03-18,50.0,50.11,49.63,49.86,11628200,0.0
2019-03-19,50.01,50.11,49.47,49.6,11656500,0.0
2019-03-20,49.7,49.7,48.55,49.19,17438200,0.0
2019-03-21,49.13,49.23,48.73,48.92,13308400,0.0
2019-03-22,48.78,49.06,48.15,48.16,14120000,0.0
2019-03-25,48.15,48.2,47.39,47.49,12968600,0.0
2019-03-26,47.86,48.44,47.79,48.34,16679700,0.0
2019-03-27,48.26,49.1,47.96,47.98,19695800,0.0
2019-03-28,48.28,48.51,47.78,47.84,16788400,0.0
2019-03-29,46.74,48.3,46.52,47.71,49293100,0.0
2019-04-01,48.05,48.1,46.75,47.09,21242500,0.0
2019-04-02,47.12,47.44,46.69,46.7,15098100,0.0
2019-04-03,47.08,47.47,46.34,46.88,21744000,0.0
2019-04-04,46.64,46.74,46.17,46.67,17925900,0.41
2019-04-05,46.88,47.1,46.51,46.64,16044300,0.0
2019-04-08,46.7,46.89,46.53,46.79,15953300,0.0
2019-04-09,46.6,46.67,45.88,45.98,16073400,0.0
2019-04-10,45.98,46.32,45.71,45.89,13083700,0.0
2019-04-11,46.11,46.33,45.43,46.09,19846100,0.0
2019-04-12,46.41,46.42,45.4,45.57,25363500,0.0
2019-04-15,45.83,46.71,45.65,46.5,20263700,0.0
2019-04-16,46.84,46.89,45.98,46.02,21336600,0.0
2019-04-17,46.17,46.2,45.43,45.8,20085500,0.0
2019-04-18,46.05,46.13,45.03,45.52,23633800,0.0
2019-04-22,45.34,45.65,44.9,45.24,15747900,0.0
2019-04-23,45.34,45.54,44.95,45.32,14386000,0.0
2019-04-24,45.51,45.55,44.61,44.62,15062000,0.0
2019-04-25,45.05,45.75,44.54,45.64,17288000,0.0
2019-04-26,46.08,46.15,45.26,45.89,13671800,0.0
2019-04-29,45.78,46.78,45.77,46.32,15735800,0.0
2019-04-30,46.48,46.58,46.0,46.43,14162500,0.0
2019-05-01,46.32,49.81,45.85,46.58,18282300,0.0
2019-05-02,46.78,47.07,46.51,46.88,12676400,0.0
2019-05-03,47.37,48.8,47.27,48.62,24355100,0.0
2019-05-06,47.79,48.2,47.59,48.1,14481200,0.0
2019-05-07,47.75,47.92,46.93,47.22,13189700,0.0
2019-05-08,47.09,47.68,46.81,47.45,13207600,0.0
2019-05-09,47.17,47.38,46.76,47.23,13886300,0.0
2019-05-10,46.9,47.32,46.23,47.01,12019900,0.0
2019-05-13,46.35,46.59,45.83,45.9,15454000,0.0
2019-05-14,46.09,46.44,45.88,45.91,12971100,0.0
2019-05-15,45.62,46.75,45.53,46.63,10143300,0.0
2019-05-16,46.7,47.84,46.66,47.12,15378100,0.0
2019-05-17,46.69,47.23,46.59,46.85,10144900,0.0
2019-05-20,46.38,46.58,46.1,46.31,11081000,0.0
2019-05-21,46.55,47.46,46.48,47.43,12018800,0.0
2019-05-22,47.46,47.82,47.07,47.74,9222200,0.0
2019-05-23,47.51,47.64,46.89,47.3,10834500,0.0
2019-05-24,47.4,47.54,46.78,46.81,9468900,0.0
2019-05-28,47.06,47.23,45.86,45.86,16422900,0.0
2019-05-29,45.61,45.65,44.86,45.38,15910700,0.0
2019-05-30,45.36,45.97,45.36,45.88,8594900,0.0
2019-05-31,45.56,45.76,45.07,45.37,12845500,0.0
2019-06-03,45.26,46.5,45.07,46.12,13277000,0.0
2019-06-04,46.48,46.84,46.43,46.63,10883100,0.0
2019-06-05,46.87,47.02,46.55,46.63,10052400,0.0
2019-06-06,46.82,46.87,46.12,46.15,12206200,0.0
2019-06-07,46.52,46.95,46.48,46.75,6801600,0.0
2019-06-10,46.73,46.97,45.91,46.01,10445300,0.0
2019-06-11,46.2,47.02,46.04,46.87,11030300,0.0
2019-06-12,46.99,47.66,46.9,47.63,10650300,0.0
2019-06-13,47.53,47.74,46.97,47.33,9328000,0.0
2019-06-14,47.33,48.03,47.2,47.56,10186000,0.0
2019-06-17,47.79,48.47,47.65,48.21,9514200,0.0
2019-06-18,48.28,48.68,47.71,47.79,11523700,0.0
2019-06-19,48.08,48.67,47.71,48.61,8720800,0.0
2019-06-20,49.0,49.55,48.64,48.89,9441600,0.0
