Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,37.47,38.74,37.41,38.59,5537100,0.0
2019-01-03,38.96,39.06,38.48,38.81,7137300,0.0
2019-01-04,39.57,40.08,39.42,40.03,9336700,0.0
2019-01-07,39.7,40.31,39.58,40.16,6114300,0.0
2019-01-08,40.18,40.26,39.83,40.03,5654900,0.0
2019-01-09,40.39,40.61,40.15,40.36,6914500,0.0
2019-01-10,40.28,40.76,40.13,40.7,4822500,0.0
2019-01-11,40.22,40.42,40.07,40.24,5746300,0.0
2019-01-14,40.15,40.67,40.09,40.42,4976000,0.0
2019-01-15,40.26,40.65,39.96,40.24,4860400,0.0
2019-01-16,39.88,40.22,39.86,40.12,4168900,0.0
2019-01-17,39.82,40.33,39.74,40.13,4345300,0.0
2019-01-18,40.69,40.92,40.48,40.76,6487500,0.0
2019-01-22,40.1,40.26,39.91,40.08,6175200,0.0
2019-01-23,40.28,40.33,39.86,40.12,4603300,0.0
2019-01-24,39.9,40.36,39.84,40.11,4760700,0.0
2019-01-25,40.39,40.41,40.08,40.11,5032100,0.0
2019-01-28,39.48,39.6,39.17,39.57,6037300,0.0
2019-01-29,39.94,40.4,39.74,40.2,8915600,0.0
2019-01-30,40.3,40.85,40.27,40.67,8403500,0.0
2019-01-31,41.25,41.67,40.96,41.12,7786000,0.0
2019-02-01,41.12,41.4,40.98,41.34,5731800,0.0
2019-02-04,41.18,41.41,40.86,41.39,8271800,0.0
2019-02-05,42.68,42.89,42.52,42.82,11124300,0.0
2019-02-06,43.36,43.41,43.04,43.04,9903900,0.0
2019-02-07,43.23,43.26,42.45,42.7,8115800,0.0
2019-02-08,42.4,42.5,42.15,42.49,4970500,0.0
2019-02-11,42.22,42.32,42.06,42.21,4730900,0.0
2019-02-12,42.54,42.64,42.33,42.42,5027500,0.0
2019-02-13,42.58,42.85,42.55,42.64,4803000,0.0
2019-02-14,41.71,42.07,41.67,41.87,4634100,0.615
2019-02-15,42.19,42.36,42.08,42.29,3463400,0.0
2019-02-19,41.89,42.49,41.89,42.38,4014000,0.0
2019-02-20,42.4,42.74,42.38,42.48,4376400,0.0
2019-02-21,42.24,42.42,42.14,42.29,4241800,0.0
2019-02-22,42.38,42.54,42.21,42.46,5143900,0.0
2019-02-25,42.56,42.68,42.35,42.51,5949600,0.0
