Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,279.89,289.52,279.11,287.99,1296300,0
2019-01-03,284.62,294.0,284.62,287.5,1176300,0
2019-01-04,291.11,305.12,288.62,302.74,2336600,0
2019-01-07,301.13,304.11,299.26,301.47,1308400,0
2019-01-08,300.4,305.72,300.12,300.71,1051100,0
2019-01-09,301.93,301.94,295.5,297.64,1241400,0
2019-01-10,295.47,297.1,291.01,292.67,1701100,0
2019-01-11,291.02,295.03,290.83,294.54,906800,0
2019-01-14,292.99,298.2,290.76,291.56,1219500,0
2019-01-15,291.67,294.12,290.5,294.0,1152400,0
2019-01-16,293.19,295.83,290.94,293.81,1005300,0
2019-01-17,292.32,295.6,290.76,294.41,841400,0
2019-01-18,297.24,297.24,289.57,291.4,1617600,0
2019-01-22,288.66,290.92,283.02,284.97,2404100,0
2019-01-23,287.36,291.35,279.33,284.53,1593500,0
2019-01-24,281.07,288.0,281.07,287.58,1439400,0
2019-01-25,290.0,291.61,286.8,291.41,1323200,0
2019-01-28,289.38,291.73,287.31,290.86,1136600,0
2019-01-29,290.7,292.97,287.58,289.78,782200,0
2019-01-30,289.57,293.1,288.0,289.91,1725800,0
2019-01-31,320.01,338.31,319.3,331.05,5176000,0
2019-02-01,331.87,343.14,330.92,340.95,1998500,0
2019-02-04,338.65,343.9,336.39,337.0,1224800,0
2019-02-05,337.71,341.0,332.77,340.7,1498500,0
2019-02-06,340.0,343.79,338.91,343.51,1217000,0
2019-02-07,340.18,344.65,337.72,344.51,1190900,0
2019-02-08,341.36,344.64,338.87,344.16,809300,0
2019-02-11,343.32,344.72,335.71,337.82,1251600,0
2019-02-12,341.04,342.0,339.11,340.4,977800,0
2019-02-13,340.6,343.32,336.38,338.49,1124200,0
2019-02-14,336.36,343.27,335.22,341.6,863300,0
2019-02-15,344.69,349.77,341.92,349.06,1132000,0
2019-02-19,347.67,350.78,347.01,348.43,1231300,0
2019-02-20,349.3,351.39,347.86,349.76,2112300,0
2019-02-21,348.28,350.28,343.85,349.54,933700,0
2019-02-22,350.92,353.5,348.76,350.08,1261600,0
2019-02-25,352.34,353.75,347.88,348.9,1094400,0
