Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,27.84,29.89,27.15,29.87,877500,0
2019-01-03,29.52,30.1,27.5,28.02,1033200,0
2019-01-04,29.29,30.93,28.95,30.27,909200,0
2019-01-07,30.95,34.48,30.51,34.22,1251300,0
2019-01-08,35.24,35.35,32.57,34.01,905500,0
2019-01-09,34.46,37.03,34.02,36.73,1427500,0
2019-01-10,35.95,36.1,33.71,34.57,1288300,0
2019-01-11,34.39,35.53,34.1,35.15,447300,0
2019-01-14,34.4,34.83,33.73,34.15,472000,0
2019-01-15,34.15,35.46,33.76,35.39,545800,0
2019-01-16,35.43,37.47,35.21,35.4,613600,0
2019-01-17,35.26,36.51,35.16,35.88,364800,0
2019-01-18,36.04,37.46,36.04,37.13,670800,0
2019-01-22,33.96,34.0,31.22,33.08,2728500,0
2019-01-23,32.93,33.01,30.0,31.4,1565100,0
2019-01-24,31.24,32.47,30.51,32.29,590200,0
2019-01-25,32.44,33.23,31.81,33.2,561400,0
2019-01-28,32.21,32.28,30.33,31.17,1039800,0
2019-01-29,31.3,31.75,30.1,30.97,656300,0
2019-01-30,31.09,32.54,31.0,32.24,590400,0
2019-01-31,32.19,33.46,32.12,32.43,494400,0
2019-02-01,32.46,32.95,31.33,31.92,487900,0
2019-02-04,31.96,32.94,31.52,32.58,515900,0
2019-02-05,32.69,33.73,32.07,32.44,384900,0
2019-02-06,32.31,32.68,31.65,32.63,339300,0
2019-02-07,32.38,32.47,29.34,29.78,928900,0
2019-02-08,30.26,31.06,29.92,30.39,704400,0
2019-02-11,30.62,31.94,30.04,31.13,522600,0
2019-02-12,31.2,31.9,31.07,31.64,427800,0
2019-02-13,31.79,32.15,30.89,31.11,361100,0
2019-02-14,30.97,31.31,30.53,30.93,277200,0
2019-02-15,31.1,31.78,30.81,31.52,416600,0
2019-02-19,31.37,32.91,31.37,32.41,510400,0
2019-02-20,32.61,32.85,31.5,31.99,408700,0
2019-02-21,31.88,31.97,30.75,31.18,498000,0
2019-02-22,31.15,31.96,30.83,31.67,628000,0
2019-02-25,34.95,40.05,34.0,39.65,4110100,0
2019-02-26,39.53,39.75,36.07,36.2,1377200,0
2019-02-27,36.25,37.63,35.6,36.73,891900,0
2019-02-28,36.85,37.19,34.83,35.39,665600,0
2019-03-01,35.83,40.05,35.34,39.97,1877000,0
2019-03-04,42.03,42.03,38.28,39.92,2229800,0
2019-03-05,39.92,41.9,39.25,40.87,1363500,0
2019-03-06,40.85,41.12,37.74,38.39,974300,0
2019-03-07,38.32,39.47,37.02,38.7,554900,0
2019-03-08,37.61,38.64,36.69,37.7,595300,0
2019-03-11,37.69,39.11,37.27,39.04,509800,0
2019-03-12,39.59,39.89,39.08,39.41,460800,0
2019-03-13,39.71,39.85,38.41,39.43,682600,0
2019-03-14,39.37,39.76,38.04,38.55,406400,0
2019-03-15,38.62,39.57,38.51,38.64,637000,0
2019-03-18,38.89,39.6,37.41,37.88,700600,0
2019-03-19,38.09,38.3,36.72,37.24,545800,0
2019-03-20,37.42,37.49,35.92,37.1,495300,0
2019-03-21,36.64,38.4,36.64,37.86,531200,0
2019-03-22,37.57,38.0,35.18,35.59,708900,0
2019-03-25,35.4,35.91,33.55,34.19,761200,0
2019-03-26,34.73,35.2,34.31,34.83,489500,0
2019-03-27,34.85,35.13,33.61,34.21,396400,0
2019-03-28,34.35,35.17,34.1,34.93,290800,0
2019-03-29,35.45,35.98,34.96,35.72,444900,0
2019-04-01,36.25,36.35,34.91,35.45,431500,0
2019-04-02,35.43,38.34,35.43,37.9,812000,0
2019-04-03,38.22,38.35,37.52,38.24,458300,0
2019-04-04,38.16,38.49,37.21,38.15,413200,0
2019-04-05,38.37,38.51,37.91,38.42,359000,0
2019-04-08,38.42,39.39,37.37,38.67,456900,0
2019-04-09,38.66,38.87,37.51,37.68,408300,0
2019-04-10,37.86,38.84,37.68,38.82,357300,0
2019-04-11,38.83,39.29,36.75,37.51,547500,0
2019-04-12,37.99,38.3,37.39,37.91,335600,0
2019-04-15,38.0,38.24,36.64,37.15,341000,0
2019-04-16,38.75,40.94,38.43,39.08,1162500,0
2019-04-17,39.11,39.75,35.15,36.43,1586000,0
2019-04-18,36.73,36.76,35.15,36.26,530400,0
2019-04-22,36.28,37.42,35.88,37.25,389800,0
2019-04-23,37.23,38.86,36.94,38.68,548400,0
2019-04-24,38.93,39.0,37.83,38.57,370800,0
2019-04-25,38.57,39.78,38.12,39.56,631500,0
2019-04-26,39.62,41.19,39.35,41.02,703500,0
2019-04-29,41.33,42.2,39.68,40.28,640200,0
2019-04-30,39.73,43.0,38.5,40.19,1300200,0
2019-05-01,40.18,40.48,38.26,38.82,593300,0
2019-05-02,38.82,40.35,38.55,40.28,553600,0
2019-05-03,40.78,41.04,39.94,40.57,448600,0
2019-05-06,40.19,42.2,39.52,42.09,601100,0
2019-05-07,42.74,42.74,38.78,39.16,507800,0
2019-05-08,39.0,40.79,38.89,39.86,400200,0
2019-05-09,39.17,40.13,38.36,39.99,413300,0
2019-05-10,39.9,40.79,38.93,40.59,344500,0
2019-05-13,38.7,39.68,37.12,37.75,620800,0
2019-05-14,38.15,38.69,37.15,37.62,533900,0
2019-05-15,37.52,38.78,37.14,38.67,278300,0
2019-05-16,38.79,39.9,38.75,39.44,455400,0
