Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,10.71,11.1,10.67,11.04,3648800,0.0
2019-01-03,11.01,11.04,10.9,10.95,4666200,0.0
2019-01-04,11.14,11.36,11.11,11.31,6772000,0.0
2019-01-07,11.34,11.48,11.26,11.39,2888100,0.0
2019-01-08,11.59,11.61,11.44,11.55,2807000,0.0
2019-01-09,11.61,11.69,11.49,11.56,2967400,0.0
2019-01-10,11.71,11.79,11.68,11.75,3700500,0.0
2019-01-11,11.74,11.89,11.7,11.82,3038200,0.0
2019-01-14,11.67,11.97,11.66,11.9,5270700,0.0
2019-01-15,11.81,11.89,11.73,11.88,3235300,0.0
2019-01-16,12.02,12.25,12.01,12.19,5372100,0.0
2019-01-17,12.03,12.21,11.99,12.15,3110500,0.0
2019-01-18,12.26,12.41,12.2,12.37,3693000,0.0
2019-01-22,12.19,12.31,12.13,12.2,3765600,0.0
2019-01-23,12.33,12.35,12.19,12.31,3368300,0.0
2019-01-24,12.32,12.4,12.24,12.31,2822500,0.0
2019-01-25,12.43,12.55,12.42,12.48,2274300,0.0
2019-01-28,12.32,12.35,12.23,12.35,5115100,0.0
2019-01-29,12.38,12.46,12.32,12.34,1639000,0.0
2019-01-30,12.39,12.48,12.34,12.42,2259300,0.0
2019-01-31,12.03,12.12,11.97,12.11,3400300,0.0
2019-02-01,11.94,12.08,11.91,12.01,2546800,0.0
2019-02-04,11.91,11.98,11.85,11.98,1805800,0.0
2019-02-05,12.06,12.16,12.02,12.14,2614800,0.0
2019-02-06,12.11,12.16,12.09,12.12,2264000,0.0
2019-02-07,11.97,11.98,11.79,11.84,3676600,0.0
2019-02-08,11.63,11.7,11.5,11.7,4019500,0.0
2019-02-11,11.75,11.76,11.64,11.68,3031400,0.0
2019-02-12,11.78,11.91,11.78,11.88,2336800,0.0
2019-02-13,12.0,12.05,11.9,11.99,4347300,0.0
2019-02-14,11.59,11.64,11.44,11.56,6724100,0.0
2019-02-15,11.65,11.77,11.6,11.75,8244500,0.0
2019-02-19,11.71,11.96,11.68,11.9,2967100,0.0
2019-02-20,11.87,12.06,11.86,12.02,2822100,0.0
2019-02-21,11.92,11.97,11.86,11.89,3027200,0.0
2019-02-22,11.94,11.94,11.85,11.87,1972700,0.0
2019-02-25,12.08,12.16,12.05,12.08,3434400,0.0
2019-02-26,12.17,12.28,12.14,12.19,3543800,0.0
2019-02-27,12.27,12.39,12.26,12.33,2857700,0.0
2019-02-28,12.43,12.44,12.3,12.31,2402300,0.0
2019-03-01,12.44,12.52,12.33,12.36,2778800,0.0
2019-03-04,12.51,12.55,12.33,12.42,3332200,0.0
2019-03-05,12.32,12.34,12.15,12.23,2809900,0.0
2019-03-06,12.24,12.27,12.12,12.13,2985400,0.0
2019-03-07,12.0,12.01,11.77,11.84,3475500,0.0
2019-03-08,11.6,11.78,11.59,11.75,2401300,0.0
2019-03-11,11.87,11.96,11.85,11.93,1643200,0.0
2019-03-12,11.74,11.84,11.72,11.81,2685300,0.0
2019-03-13,11.88,12.0,11.87,11.98,2959500,0.0
2019-03-14,11.97,12.07,11.93,12.03,2047500,0.0
2019-03-15,12.01,12.1,12.0,12.06,2386900,0.0
2019-03-18,12.3,12.39,12.28,12.35,2356600,0.0
2019-03-19,12.52,12.55,12.32,12.36,3783200,0.0
2019-03-20,12.08,12.13,11.99,12.01,4944800,0.0
2019-03-21,11.88,11.92,11.83,11.91,4022500,0.0
