Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,9.98,10.56,9.89,10.45,1470700,0
2019-01-03,10.27,10.3,9.89,9.92,1243600,0
2019-01-04,10.14,10.49,10.11,10.3,1462300,0
2019-01-07,10.53,10.95,10.23,10.84,1688300,0
2019-01-08,11.0,11.08,10.63,10.91,1656000,0
2019-01-09,10.99,11.32,10.99,11.13,1298700,0
2019-01-10,10.99,11.31,10.97,11.15,979900,0
2019-01-11,11.03,11.28,11.03,11.17,1007500,0
2019-01-14,11.01,11.26,10.93,11.01,955000,0
2019-01-15,11.11,11.53,11.1,11.41,1839700,0
2019-01-16,11.42,11.66,11.09,11.16,1710700,0
2019-01-17,11.06,11.32,10.98,11.23,1450700,0
2019-01-18,11.24,11.43,11.12,11.33,1185200,0
2019-01-22,11.25,11.33,10.76,10.87,1392800,0
2019-01-23,10.89,11.14,10.79,10.81,846800,0
2019-01-24,10.84,11.25,10.84,11.11,675800,0
2019-01-25,11.22,11.59,11.12,11.51,1001200,0
2019-01-28,11.42,11.62,11.2,11.54,1877100,0
2019-01-29,12.58,13.45,12.27,12.27,4595900,0
2019-01-30,12.45,12.49,11.99,12.35,2211700,0
2019-01-31,12.39,12.78,12.28,12.76,1357200,0
2019-02-01,12.78,12.8,12.41,12.5,973400,0
2019-02-04,12.51,12.87,12.42,12.8,900100,0
2019-02-05,12.81,12.94,12.65,12.72,818700,0
2019-02-06,12.76,13.11,12.66,12.95,887300,0
2019-02-07,12.75,12.78,12.2,12.52,1207500,0
2019-02-08,12.44,12.74,12.42,12.73,790000,0
2019-02-11,12.75,13.06,12.74,12.99,811500,0
2019-02-12,13.11,13.45,13.03,13.36,981300,0
2019-02-13,13.41,13.65,13.26,13.39,1013500,0
2019-02-14,13.32,13.52,13.24,13.44,925500,0
2019-02-15,13.53,13.74,13.33,13.68,1237200,0
2019-02-19,13.7,13.96,13.63,13.82,1343900,0
2019-02-20,13.82,14.02,13.79,14.01,1111400,0
2019-02-21,14.02,14.16,13.69,13.79,1393200,0
2019-02-22,13.8,13.96,13.67,13.84,911300,0
2019-02-25,13.95,14.29,13.88,14.09,889800,0
2019-02-26,14.0,14.22,13.9,14.17,1061100,0
2019-02-27,14.11,14.27,13.93,14.23,1163900,0
2019-02-28,14.28,14.29,13.61,14.12,3147600,0
2019-03-01,14.43,14.5,12.0,12.14,7414600,0
2019-03-04,12.28,12.38,11.36,11.56,5943800,0
2019-03-05,11.52,11.79,11.44,11.67,2078300,0
2019-03-06,11.6,11.68,11.26,11.33,2333700,0
2019-03-07,11.18,11.2,10.76,10.9,2579800,0
2019-03-08,10.83,11.05,10.5,10.93,1680400,0
2019-03-11,11.0,11.23,10.76,11.16,1884000,0
2019-03-12,11.18,11.31,11.03,11.28,913200,0
2019-03-13,11.32,11.59,11.3,11.37,1349000,0
2019-03-14,11.39,11.49,11.09,11.24,1012000,0
2019-03-15,11.29,11.3,11.03,11.25,1928700,0
2019-03-18,11.3,11.36,11.0,11.32,1341000,0
2019-03-19,11.37,11.45,11.19,11.3,1102200,0
2019-03-20,11.3,11.34,10.95,11.23,1355000,0
2019-03-21,11.19,11.5,11.13,11.39,1892700,0
2019-03-22,11.33,11.54,10.84,10.9,2510000,0
2019-03-25,10.89,10.92,10.37,10.71,1438600,0
2019-03-26,10.79,10.91,10.65,10.77,1037200,0
2019-03-27,10.79,10.88,10.49,10.64,775700,0
