Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,101.66,102.17,99.97,100.5,2397100,0.0
2019-01-03,99.97,101.49,96.44,97.62,3219100,0.0
2019-01-04,98.6,101.37,98.6,100.45,2556700,0.0
2019-01-07,100.73,101.65,100.3,100.86,2356200,0.0
2019-01-08,101.73,103.48,101.46,103.43,3649200,0.0
2019-01-09,104.08,105.32,103.73,104.36,3015600,0.0
2019-01-10,104.04,105.43,103.21,105.36,1675400,0.0
2019-01-11,104.58,105.29,104.2,105.26,1547700,0.0
2019-01-14,104.36,104.98,103.98,104.09,1563400,0.0
2019-01-15,104.26,105.48,104.04,105.04,2071100,0.0
2019-01-16,105.29,105.75,104.16,104.49,2804500,0.0
2019-01-17,104.49,105.92,104.45,105.57,3092100,0.0
2019-01-18,106.41,107.69,106.03,107.45,3153000,0.0
2019-01-22,106.83,106.9,105.32,106.41,2683300,0.0
2019-01-23,106.23,106.97,104.95,106.13,1899700,0.0
2019-01-24,106.1,106.5,105.22,106.05,1660800,0.0
2019-01-25,106.78,107.65,105.94,106.33,2800500,0.0
2019-01-28,105.54,106.04,104.96,106.03,2100500,0.0
2019-01-29,106.19,107.8,104.5,105.27,3633100,0.0
2019-01-30,106.05,109.48,105.59,109.01,3522900,0.0
2019-01-31,108.64,111.1,108.08,110.92,2888400,0.0
2019-02-01,110.93,111.0,108.98,109.3,2588100,0.0
2019-02-04,109.2,109.59,108.53,109.59,1930600,0.0
2019-02-05,110.0,110.69,109.03,109.51,2569900,0.0
2019-02-06,109.28,109.93,109.06,109.66,1597700,0.0
2019-02-07,108.87,109.7,107.83,108.59,1706400,0.0
2019-02-08,107.92,109.36,107.56,109.25,1259500,0.0
2019-02-11,109.56,109.93,109.08,109.68,1649100,0.0
2019-02-12,110.5,111.5,109.97,111.37,1773300,0.0
2019-02-13,111.65,111.79,110.6,111.22,1962000,0.0
2019-02-14,110.97,111.09,110.29,110.36,2248000,0.0
2019-02-15,111.36,111.59,110.63,111.24,4048900,0.0
2019-02-19,111.35,111.82,110.9,111.32,2366000,0.0
2019-02-20,111.01,112.23,110.66,112.2,1703600,0.0
2019-02-21,111.83,112.47,111.3,112.43,1821700,0.0
2019-02-22,112.55,113.63,112.36,113.48,1855800,0.0
2019-02-25,123.94,124.1,121.33,123.15,8804800,0.0
2019-02-26,122.43,123.41,121.31,123.21,6666000,0.0
2019-02-27,125.38,127.53,125.03,126.39,15512100,0.0
2019-02-28,126.11,127.84,125.8,127.02,6231300,0.0
2019-03-01,127.55,128.21,126.43,127.77,3627800,0.0
2019-03-04,127.79,128.39,124.85,125.89,4505800,0.0
2019-03-05,125.42,126.61,125.04,125.35,3358400,0.0
2019-03-06,125.01,125.27,123.77,124.64,3794200,0.0
2019-03-07,124.44,125.0,123.64,124.46,2840300,0.0
2019-03-08,123.74,125.15,123.5,125.04,2369100,0.0
2019-03-11,125.32,126.81,125.02,126.33,3282300,0.0
2019-03-12,126.59,127.8,126.41,127.44,2484800,0.0
2019-03-13,127.75,128.95,127.6,128.13,2156200,0.0
