Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,53.86,55.65,53.75,55.31,1073500,0
2019-01-03,54.62,54.73,53.62,53.95,1505300,0
2019-01-04,54.83,57.08,54.7,56.57,1009900,0
2019-01-07,56.65,58.93,56.26,58.62,2141500,0
2019-01-08,59.21,59.5,57.6,58.74,1405600,0
2019-01-09,59.84,63.98,59.83,62.98,2237900,0
2019-01-10,62.48,64.03,61.13,61.99,2195000,0
2019-01-11,60.84,61.42,59.07,60.69,1589000,0
2019-01-14,59.79,60.83,58.76,60.28,838200,0
2019-01-15,60.83,63.7,60.66,62.92,1854000,0
2019-01-16,63.0,64.79,62.72,63.83,1897400,0
2019-01-17,63.31,64.98,63.31,64.17,1168200,0
2019-01-18,64.5,67.79,63.51,65.9,2124800,0
2019-01-22,70.7,77.85,69.11,71.03,5426000,0
2019-01-23,72.0,74.88,71.67,72.81,3550300,0
2019-01-24,72.81,75.46,72.25,73.98,1773000,0
2019-01-25,75.35,78.99,75.33,77.49,2890600,0
2019-01-28,76.0,76.35,73.31,75.78,1412200,0
2019-01-29,74.95,76.0,72.73,75.09,2525300,0
2019-01-30,75.74,77.76,74.69,75.58,1640200,0
2019-01-31,76.36,79.64,76.36,77.04,2083400,0
2019-02-01,76.49,77.0,75.2,75.7,1359800,0
2019-02-04,75.48,77.07,74.5,76.79,1025000,0
2019-02-05,76.95,79.01,76.95,78.66,1060500,0
2019-02-06,78.4,79.02,77.96,78.63,1113200,0
2019-02-07,77.57,77.94,76.18,76.82,766200,0
2019-02-08,76.23,78.0,75.81,77.6,1308000,0
2019-02-11,76.75,79.69,76.66,79.01,1397000,0
2019-02-12,79.68,80.44,76.66,77.44,1956500,0
2019-02-13,77.86,79.09,77.23,78.74,1378900,0
2019-02-14,78.07,78.07,75.74,77.07,1075900,0
2019-02-15,76.92,77.65,75.27,77.53,1238300,0
2019-02-19,77.13,77.59,75.74,76.82,855700,0
2019-02-20,77.38,80.63,77.03,79.28,1994600,0
2019-02-21,78.8,78.8,73.63,78.38,1957700,0
2019-02-22,78.92,80.63,78.03,80.61,1495700,0
2019-02-25,82.96,84.94,81.7,82.38,1554000,0
2019-02-26,81.88,84.14,81.05,83.71,1323300,0
2019-02-27,82.86,84.02,81.63,81.63,2048900,0
2019-02-28,81.89,83.21,81.7,82.06,1114600,0
2019-03-01,82.33,83.8,81.69,82.77,725600,0
2019-03-04,83.11,83.81,81.33,82.83,1030100,0
2019-03-05,82.58,83.74,81.69,83.0,875600,0
2019-03-06,83.0,83.91,81.64,82.2,1059800,0
2019-03-07,81.37,81.67,78.19,79.45,1413800,0
2019-03-08,76.24,79.23,74.5,79.02,1430100,0
2019-03-11,79.66,81.68,79.46,81.43,764800,0
2019-03-12,81.0,81.85,77.25,78.55,1928800,0
2019-03-13,79.07,79.8,77.16,77.25,1691800,0
2019-03-14,75.93,77.18,75.19,76.07,1669800,0
2019-03-15,76.71,79.17,76.66,77.09,1417200,0
2019-03-18,77.57,79.18,77.29,79.09,869600,0
2019-03-19,78.9,81.25,78.4,80.6,1109500,0
2019-03-20,80.26,81.8,80.07,81.33,608700,0
2019-03-21,80.55,81.5,79.84,81.37,605600,0
2019-03-22,80.67,81.54,78.68,79.51,823200,0
2019-03-25,80.31,83.73,80.13,82.78,1910200,0
2019-03-26,82.78,86.79,82.78,84.09,1666600,0
2019-03-27,84.59,85.68,82.72,84.82,1337700,0
2019-03-28,84.6,87.81,84.6,86.27,1675700,0
2019-03-29,87.4,90.86,87.36,90.09,2150700,0
2019-04-01,90.78,91.65,88.01,89.04,2400600,0
2019-04-02,89.17,89.6,87.42,88.42,1211400,0
2019-04-03,89.42,90.09,88.32,88.43,1106600,0
2019-04-04,88.83,89.33,87.58,88.79,1443800,0
2019-04-05,89.0,90.18,88.53,88.94,1089600,0
2019-04-08,88.94,89.85,88.29,89.25,1444800,0
2019-04-09,89.0,92.19,89.0,90.99,1356800,0
2019-04-10,90.76,90.98,89.84,90.67,977900,0
2019-04-11,90.67,90.68,89.12,90.59,628400,0
2019-04-12,91.27,93.28,90.1,90.87,904500,0
2019-04-15,91.0,91.98,88.38,89.43,2202000,0
2019-04-16,91.6,92.37,89.91,89.99,1323400,0
2019-04-17,90.47,90.55,88.68,89.73,3188800,0
2019-04-18,88.68,90.04,86.87,89.99,1273400,0
2019-04-22,90.13,91.97,90.13,90.42,1374600,0
2019-04-23,86.75,93.72,86.75,92.97,2168200,0
2019-04-24,93.88,95.0,90.06,90.34,1488500,0
2019-04-25,89.87,92.54,89.11,92.25,986400,0
2019-04-26,92.91,95.94,92.91,94.54,2108600,0
2019-04-29,94.54,95.35,94.19,94.26,1070200,0
2019-04-30,94.27,96.3,94.11,95.46,1245400,0
2019-05-01,96.11,96.66,93.71,93.85,1152700,0
2019-05-02,93.97,97.99,93.97,95.74,1493600,0
2019-05-03,96.0,97.22,95.02,95.31,1407300,0
2019-05-06,91.98,92.9,90.39,92.0,1532200,0
2019-05-07,91.0,91.37,86.76,88.46,2064700,0
2019-05-08,88.35,90.86,87.31,90.85,1418000,0
2019-05-09,88.82,88.82,85.42,88.15,2018500,0
2019-05-10,88.54,89.96,86.29,88.01,1190400,0
2019-05-13,85.54,85.65,81.31,81.93,2020800,0
2019-05-14,82.75,85.09,82.14,84.03,1388100,0
2019-05-15,84.1,87.37,83.66,85.6,1625200,0
2019-05-16,86.01,87.27,85.73,85.87,1354900,0
2019-05-17,84.6,85.33,83.21,84.66,1013500,0
2019-05-20,83.62,83.94,81.66,83.12,1600100,0
2019-05-21,83.5,85.5,82.75,84.52,1211700,0
2019-05-22,84.14,85.53,82.01,82.84,1056100,0
2019-05-23,81.09,82.0,80.18,81.17,1210900,0
2019-05-24,81.75,81.99,81.03,81.54,1004000,0
2019-05-28,82.27,85.42,82.22,82.77,2240900,0
2019-05-29,82.26,83.98,81.9,83.19,943300,0
2019-05-30,83.59,85.24,83.56,84.11,962200,0
2019-05-31,83.82,86.32,83.37,85.65,1147500,0
2019-06-03,85.65,88.53,85.12,87.98,1790900,0
2019-06-04,88.09,91.11,87.51,90.89,1811700,0
2019-06-05,91.55,91.57,86.92,88.5,1243500,0
2019-06-06,88.12,88.5,87.01,88.0,1006100,0
2019-06-07,88.8,90.31,88.26,89.29,888300,0
2019-06-10,90.3,91.64,89.3,89.44,948800,0
2019-06-11,91.3,92.85,90.16,91.35,844900,0
2019-06-12,90.26,90.7,88.67,89.6,723400,0
2019-06-13,90.14,90.53,89.43,90.19,668200,0
2019-06-14,89.87,90.82,89.15,90.76,646400,0
2019-06-17,90.69,90.73,87.06,89.17,573200,0
2019-06-18,90.33,92.68,89.35,91.59,860600,0
2019-06-19,92.57,93.69,91.52,93.41,1083200,0
2019-06-20,94.69,95.95,93.34,93.48,1534000,0
2019-06-21,93.24,94.85,92.09,94.6,973400,0
2019-06-24,94.99,95.29,92.4,93.67,987800,0
2019-06-25,92.62,93.6,90.82,91.35,1142400,0
2019-06-26,92.27,96.16,91.92,95.62,1747200,0
2019-06-27,96.25,97.83,94.53,95.75,1179900,0
2019-06-28,95.74,96.77,95.04,96.58,964800,0
2019-07-01,99.56,101.46,97.55,98.42,1662100,0
2019-07-02,98.27,98.96,96.73,97.92,1610700,0
2019-07-03,97.86,97.97,96.2,97.08,472500,0
2019-07-05,97.08,97.31,95.62,95.88,842500,0
2019-07-08,95.43,95.48,90.8,90.99,1770800,0
2019-07-09,90.85,93.33,90.42,93.3,1303100,0
2019-07-10,93.3,93.75,90.27,90.53,938300,0
2019-07-11,90.98,92.16,89.88,92.03,740600,0
2019-07-12,92.7,94.6,91.98,92.82,1253200,0
2019-07-15,94.73,97.8,94.48,94.88,1069600,0
2019-07-16,94.96,98.09,94.6,96.41,977000,0
2019-07-17,96.85,96.93,95.77,95.87,628000,0
2019-07-18,95.8,97.41,94.89,96.74,728000,0
2019-07-19,97.84,98.87,96.99,97.0,1010500,0
2019-07-22,97.56,98.4,96.88,98.29,1262500,0
2019-07-23,105.0,109.9,104.5,107.32,3958700,0
2019-07-24,105.94,108.87,105.73,107.14,1622200,0
2019-07-25,106.25,107.98,104.68,107.93,2473100,0
2019-07-26,107.0,107.49,104.71,105.0,1460500,0
2019-07-29,104.5,105.19,103.85,105.0,1187800,0
2019-07-30,104.0,105.32,103.41,104.94,661700,0
2019-07-31,105.0,105.68,102.99,104.31,956200,0
2019-08-01,104.67,108.0,103.31,103.85,1582100,0
2019-08-02,102.35,104.89,101.01,103.17,1185400,0
2019-08-05,99.0,100.47,97.5,99.03,2467900,0
2019-08-06,99.82,100.99,99.61,100.47,1113700,0
2019-08-07,99.81,102.69,98.54,102.1,867100,0
2019-08-08,103.39,105.13,103.01,104.22,1306200,0
2019-08-09,104.0,104.8,103.11,103.84,666100,0
2019-08-12,103.01,103.79,102.28,102.42,426600,0
2019-08-13,101.9,107.37,101.08,105.66,1194000,0
2019-08-14,103.5,104.38,100.78,101.67,1204800,0
2019-08-15,102.71,104.98,102.33,103.0,917600,0
2019-08-16,103.79,105.18,103.14,104.6,939400,0
2019-08-19,106.4,107.23,102.33,105.25,752100,0
2019-08-20,105.82,107.49,105.05,107.0,1006600,0
2019-08-21,107.41,108.33,106.86,108.04,740500,0
2019-08-22,108.0,108.13,104.47,106.66,1071200,0
2019-08-23,106.99,107.67,104.63,104.94,777700,0
2019-08-26,105.72,106.93,105.38,106.43,846900,0
2019-08-27,107.33,108.94,106.78,108.42,1041100,0
2019-08-28,109.0,112.48,108.14,111.06,1593000,0
2019-08-29,112.26,113.85,110.4,113.49,1501400,0
2019-08-30,113.89,115.88,112.62,113.4,1524300,0
