Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,30.74,31.88,30.54,31.58,3921500,0.0
2019-01-03,31.56,31.95,31.21,31.75,4681500,0.0
2019-01-04,32.18,32.67,32.08,32.62,4488500,0.0
2019-01-07,33.0,33.64,32.76,33.51,6377400,0.0
2019-01-08,33.85,34.43,33.81,34.2,5769100,0.0
2019-01-09,34.48,34.76,34.18,34.48,5275500,0.0
2019-01-10,34.47,34.77,34.16,34.7,4913700,0.0
2019-01-11,34.56,34.65,34.26,34.54,3425000,0.0
2019-01-14,34.35,34.87,34.3,34.8,3837100,0.0
2019-01-15,34.95,35.7,34.91,35.59,5425800,0.0
2019-01-16,35.57,35.71,35.33,35.59,3643000,0.0
2019-01-17,35.35,35.87,35.18,35.67,2647200,0.0
2019-01-18,35.82,36.22,35.81,36.1,2836600,0.0
2019-01-22,35.92,36.12,35.52,35.66,5241500,0.0
2019-01-23,35.88,35.91,35.26,35.61,3252500,0.0
2019-01-24,35.65,35.7,35.25,35.6,2482300,0.0
2019-01-25,35.94,36.1,35.68,36.09,2561800,0.0
2019-01-28,35.68,36.1,35.66,36.06,2494600,0.0
2019-01-29,36.15,36.53,36.03,36.45,3646800,0.0
2019-01-30,36.59,36.79,36.29,36.54,2836600,0.0
2019-01-31,36.69,36.9,36.48,36.62,2607700,0.0
2019-02-01,36.76,37.15,36.7,37.0,3625200,0.0
2019-02-04,36.87,37.45,36.62,37.44,2937500,0.0
2019-02-05,37.43,37.69,37.29,37.63,3424300,0.0
2019-02-06,37.5,37.69,37.41,37.44,1907300,0.0
2019-02-07,37.31,37.34,36.46,37.05,2783200,0.0
2019-02-08,36.9,36.9,35.85,36.1,4585300,0.0
2019-02-11,36.05,36.47,35.9,36.3,2670000,0.0
2019-02-12,36.62,36.62,35.61,35.67,5270100,0.0
2019-02-13,35.9,36.03,35.77,35.91,4259100,0.0
2019-02-14,35.46,35.98,35.16,35.7,3724200,0.557
2019-02-15,36.08,36.26,35.73,35.82,4122500,0.0
2019-02-19,35.71,36.41,35.67,36.29,3889800,0.0
2019-02-20,36.37,36.71,36.37,36.71,5390900,0.0
2019-02-21,36.59,37.1,36.45,36.97,6267000,0.0
2019-02-22,37.11,37.2,36.63,37.01,3891700,0.0
2019-02-25,37.09,37.13,36.6,36.87,4247300,0.0
2019-02-26,36.84,37.35,36.82,37.24,3527200,0.0
2019-02-27,37.2,37.49,36.94,37.26,2863000,0.0
2019-02-28,37.22,37.33,36.9,36.99,3965200,0.0
2019-03-01,37.06,37.44,37.03,37.25,3887600,0.0
2019-03-04,35.78,35.78,34.82,35.06,11012400,0.0
2019-03-05,35.06,35.66,35.06,35.62,5222200,0.0
2019-03-06,35.6,36.14,35.58,36.07,3321200,0.0
2019-03-07,36.2,36.46,35.89,36.46,6438800,0.0
2019-03-08,36.2,36.2,35.72,35.93,4889500,0.0
2019-03-11,36.0,36.67,36.0,36.49,3409400,0.0
2019-03-12,36.49,36.99,36.49,36.77,2360900,0.0
2019-03-13,36.93,37.13,36.75,36.97,2879900,0.0
2019-03-14,36.87,37.14,36.82,37.05,2194900,0.0
2019-03-15,37.0,37.06,36.48,36.52,3294400,0.0
2019-03-18,36.56,36.87,36.5,36.87,5167700,0.0
2019-03-19,36.95,37.31,36.94,37.05,2958300,0.0
2019-03-20,37.05,37.42,36.73,37.03,3300100,0.0
2019-03-21,36.91,37.1,36.66,36.78,4527400,0.0
2019-03-22,36.66,36.74,36.34,36.61,2611100,0.0
2019-03-25,36.42,36.52,36.1,36.5,2377100,0.0
2019-03-26,36.65,37.02,36.46,36.59,2156200,0.0
2019-03-27,36.55,36.84,36.18,36.66,2430900,0.0
2019-03-28,36.62,36.74,36.37,36.63,2034300,0.0
2019-03-29,36.88,36.88,36.25,36.26,4112700,0.0
2019-04-01,36.47,36.51,35.85,36.4,4125900,0.0
2019-04-02,36.49,36.74,36.41,36.61,2549700,0.0
2019-04-03,36.56,36.88,36.46,36.85,2870300,0.0
2019-04-04,36.8,37.01,36.58,36.83,2598300,0.0
2019-04-05,36.77,36.96,36.58,36.96,2235500,0.0
2019-04-08,37.01,37.17,36.85,37.09,2296700,0.0
2019-04-09,37.14,37.15,36.73,36.84,2768800,0.0
2019-04-10,36.92,37.02,36.74,36.77,1934900,0.0
2019-04-11,36.71,37.25,36.69,37.17,1795500,0.0
2019-04-12,37.39,37.47,37.09,37.47,1924800,0.0
2019-04-15,37.52,37.53,37.22,37.27,2607600,0.0
2019-04-16,37.34,37.4,37.08,37.11,1590900,0.0
2019-04-17,37.23,37.4,36.92,37.12,3310200,0.0
2019-04-18,37.13,37.22,36.89,37.19,2285800,0.0
2019-04-22,37.27,37.47,37.14,37.33,3766800,0.0
2019-04-23,37.25,37.68,37.07,37.67,2650700,0.0
2019-04-24,37.63,37.96,37.54,37.83,3482000,0.0
2019-04-25,37.86,37.9,37.32,37.78,3659900,0.0
2019-04-26,37.81,37.81,37.17,37.4,3565900,0.0
2019-04-29,37.47,37.49,37.01,37.31,1564400,0.0
2019-04-30,37.36,37.42,36.79,36.94,2836300,0.0
2019-05-01,36.99,37.16,36.74,36.83,8509200,0.0
2019-05-02,36.8,36.8,36.1,36.3,3077000,0.0
2019-05-03,36.37,36.7,36.32,36.65,2232100,0.0
2019-05-06,36.29,36.79,36.29,36.76,2302700,0.0
2019-05-07,36.51,36.75,36.34,36.56,2144100,0.0
2019-05-08,36.58,36.96,36.53,36.73,2109300,0.0
2019-05-09,36.66,36.91,36.4,36.55,2244200,0.0
2019-05-10,37.05,37.2,36.27,36.85,4505400,0.0
2019-05-13,36.87,37.28,36.63,37.26,3534700,0.0
2019-05-14,36.82,36.85,36.42,36.44,2686300,0.738
2019-05-15,36.4,36.83,36.32,36.67,2696800,0.0
2019-05-16,36.81,37.22,36.77,37.05,3175400,0.0
2019-05-17,37.0,37.57,36.95,37.53,3104400,0.0
2019-05-20,37.57,37.6,37.14,37.35,1534300,0.0
2019-05-21,37.53,37.73,37.22,37.57,4496700,0.0
2019-05-22,37.46,37.53,37.09,37.25,1673300,0.0
2019-05-23,36.82,37.09,36.57,36.99,2380500,0.0
2019-05-24,37.16,37.55,37.01,37.47,1984500,0.0
2019-05-28,37.64,38.04,37.51,37.51,4508300,0.0
2019-05-29,37.49,37.67,36.8,37.13,4035600,0.0
2019-05-30,37.23,37.33,36.74,36.77,3996100,0.0
2019-05-31,36.53,36.87,36.21,36.87,3623900,0.0
2019-06-03,37.06,37.15,35.1,35.23,8848300,0.0
2019-06-04,35.36,35.79,35.21,35.73,6093000,0.0
2019-06-05,35.89,35.93,35.52,35.57,3604700,0.0
2019-06-06,35.71,35.77,35.27,35.42,4058600,0.0
2019-06-07,35.59,35.73,35.48,35.51,3149500,0.0
2019-06-10,35.81,35.87,35.16,35.4,3950000,0.0
2019-06-11,35.5,35.51,34.77,34.77,6891000,0.0
2019-06-12,34.6,34.72,34.02,34.18,6725800,0.0
2019-06-13,34.28,34.45,34.15,34.31,3634100,0.0
2019-06-14,34.14,34.61,34.1,34.48,3146600,0.0
2019-06-17,34.35,34.58,34.09,34.24,2448800,0.0
2019-06-18,34.41,34.72,34.3,34.59,3527300,0.0
2019-06-19,34.7,35.0,34.62,34.92,2351200,0.0
2019-06-20,35.4,35.6,35.2,35.42,3278500,0.0
2019-06-21,35.33,35.49,35.11,35.16,3855700,0.0
2019-06-24,35.21,35.37,35.05,35.11,1674500,0.0
2019-06-25,35.1,35.17,34.83,34.84,1894300,0.0
2019-06-26,34.99,35.17,34.7,35.06,1989300,0.0
2019-06-27,35.07,35.6,34.95,35.54,3923100,0.0
2019-06-28,35.58,36.1,35.55,36.08,4183700,0.0
2019-07-01,36.32,36.47,36.05,36.17,3005000,0.0
2019-07-02,36.05,36.27,35.85,35.96,2838500,0.0
2019-07-03,35.97,36.27,35.93,36.25,1491800,0.0
2019-07-05,36.32,36.41,36.05,36.39,1999900,0.0
2019-07-08,36.31,36.36,35.96,35.98,2111600,0.0
2019-07-09,35.8,36.62,35.78,36.56,2178100,0.0
2019-07-10,36.69,36.91,36.65,36.75,1976700,0.0
2019-07-11,36.65,37.0,36.64,36.89,2090900,0.0
2019-07-12,36.99,36.99,36.42,36.51,1774600,0.0
2019-07-15,36.56,36.66,36.16,36.31,1408400,0.0
2019-07-16,36.21,36.23,35.72,35.95,2088100,0.0
2019-07-17,36.1,36.26,35.98,36.11,2432000,0.0
2019-07-18,36.11,36.36,35.88,36.29,2346500,0.0
2019-07-19,36.15,36.23,35.82,35.83,1428000,0.0
2019-07-22,35.8,35.94,35.67,35.73,2392200,0.0
2019-07-23,35.81,35.81,35.4,35.42,1753400,0.0
2019-07-24,35.4,35.44,34.9,34.99,1621200,0.0
2019-07-25,35.09,35.09,33.44,33.56,5906700,0.0
2019-07-26,33.75,34.0,33.53,33.6,3354300,0.0
2019-07-29,33.79,33.79,33.31,33.38,3511900,0.0
2019-07-30,33.39,33.52,33.14,33.33,2708600,0.0
2019-07-31,33.55,33.84,33.18,33.39,2374000,0.0
2019-08-01,33.36,33.87,32.84,33.64,3482700,0.0
2019-08-02,33.71,34.0,33.38,33.5,2807800,0.0
2019-08-05,33.1,33.24,32.58,32.93,5449700,0.0
2019-08-06,33.05,33.31,32.47,32.76,4462300,0.0
2019-08-07,32.56,33.62,32.23,33.52,4607200,0.0
2019-08-08,33.7,34.06,33.32,33.94,3274600,0.0
2019-08-09,33.93,34.14,33.68,33.81,2520400,0.0
2019-08-12,33.9,33.97,33.57,33.7,2021800,0.0
2019-08-13,33.54,34.45,33.47,34.37,3037000,0.0
2019-08-14,33.33,33.74,32.64,32.76,2305100,0.558
2019-08-15,32.7,33.25,32.6,33.08,2097500,0.0
2019-08-16,33.34,33.65,33.21,33.62,2437100,0.0
2019-08-19,33.86,34.06,33.69,33.71,4217100,0.0
2019-08-20,33.58,33.79,33.24,33.33,3048000,0.0
2019-08-21,33.49,34.02,33.49,33.85,3001800,0.0
2019-08-22,33.8,33.98,33.34,33.39,5500200,0.0
2019-08-23,33.17,33.39,32.5,32.61,3948800,0.0
2019-08-26,32.92,33.08,32.8,32.89,2747600,0.0
2019-08-27,32.93,33.16,32.77,32.9,2311300,0.0
2019-08-28,33.01,33.29,32.88,33.01,3517300,0.0
2019-08-29,33.28,33.42,33.13,33.32,2755600,0.0
2019-08-30,33.49,33.67,33.33,33.46,2667800,0.0
2019-09-03,33.28,33.69,33.09,33.47,8815100,0.0
2019-09-04,33.7,34.01,33.63,33.66,5509500,0.0
2019-09-05,33.86,34.29,33.86,34.07,3166400,0.0
2019-09-06,34.09,34.42,34.04,34.34,3029100,0.0
2019-09-09,34.5,34.55,34.26,34.4,2500100,0.0
2019-09-10,34.44,34.84,34.37,34.72,2153300,0.0
2019-09-11,34.81,34.95,34.63,34.77,1991400,0.0
2019-09-12,34.7,34.92,34.46,34.7,1831300,0.0
2019-09-13,34.77,35.12,34.7,34.9,1780300,0.0
2019-09-16,35.43,35.58,35.09,35.16,2611200,0.0
2019-09-17,35.12,35.33,35.07,35.25,1994800,0.0
2019-09-18,35.37,35.59,35.19,35.19,3038900,0.0
2019-09-19,35.48,35.56,35.08,35.2,2189800,0.0
2019-09-20,35.3,35.52,35.2,35.34,3976000,0.0
2019-09-23,35.35,35.4,35.04,35.15,2230400,0.0
2019-09-24,35.29,35.56,35.23,35.37,2909700,0.0
2019-09-25,35.3,35.39,35.1,35.31,2181300,0.0
2019-09-26,35.3,35.79,35.27,35.73,2177600,0.0
2019-09-27,35.84,36.06,35.67,36.05,3685300,0.0
2019-09-30,35.99,36.12,35.04,35.08,5205000,0.0
2019-10-01,35.07,35.28,34.7,35.14,2619200,0.0
2019-10-02,34.97,35.01,34.13,34.14,8913800,0.0
2019-10-03,34.11,34.43,33.79,34.36,3829900,0.0
2019-10-04,34.45,34.84,34.44,34.8,2392300,0.0
2019-10-07,34.72,34.9,34.5,34.8,1448500,0.0
2019-10-08,34.57,34.91,34.55,34.78,2634000,0.0
2019-10-09,34.87,35.2,34.84,35.17,2459200,0.0
2019-10-10,35.4,35.75,35.3,35.66,3056700,0.0
2019-10-11,36.05,36.22,35.89,35.91,2464600,0.0
2019-10-14,35.78,35.86,35.46,35.62,1236500,0.0
2019-10-15,35.59,35.87,35.42,35.69,3888000,0.0
2019-10-16,35.63,35.83,35.61,35.68,2796000,0.0
2019-10-17,35.8,35.86,35.52,35.74,2101900,0.0
2019-10-18,35.81,36.26,35.75,36.11,5128900,0.0
2019-10-21,36.14,36.26,36.08,36.21,4719000,0.0
2019-10-22,36.31,36.59,36.22,36.27,4221400,0.0
2019-10-23,36.31,36.69,36.29,36.56,2699600,0.0
2019-10-24,36.64,36.68,36.34,36.59,1643900,0.0
2019-10-25,36.4,36.53,36.39,36.48,1848100,0.0
2019-10-28,36.55,36.83,36.55,36.64,2933700,0.0
2019-10-29,36.57,36.63,36.36,36.43,2029400,0.0
2019-10-30,36.49,36.49,36.21,36.43,2031300,0.0
2019-10-31,36.44,36.46,36.18,36.41,2112400,0.0
2019-11-01,36.49,36.87,36.48,36.87,1996800,0.0
2019-11-04,36.91,37.03,36.71,36.88,6333400,0.0
2019-11-05,36.94,37.16,36.64,36.92,3707000,0.0
2019-11-06,36.91,37.15,36.81,36.91,4267900,0.0
2019-11-07,37.07,37.08,36.67,36.73,2672400,0.0
2019-11-08,36.85,37.88,36.74,37.47,5525500,0.0
2019-11-11,37.55,37.9,37.51,37.76,3195800,0.0
2019-11-12,37.83,38.34,37.78,38.26,6254100,0.0
2019-11-13,38.24,38.77,38.15,38.73,4450100,0.0
2019-11-14,38.19,38.19,37.48,37.72,4007200,0.557
2019-11-15,37.77,38.21,37.65,38.18,2250800,0.0
2019-11-18,38.16,38.23,37.97,38.06,6972300,0.0
2019-11-19,37.99,38.0,37.37,37.62,3577000,0.0
2019-11-20,37.47,37.73,37.31,37.71,2728200,0.0
2019-11-21,37.72,37.77,37.52,37.76,2293900,0.0
2019-11-22,37.78,37.85,37.39,37.41,2627000,0.0
2019-11-25,37.58,37.89,37.45,37.78,2525600,0.0
2019-11-26,37.75,37.85,37.63,37.72,2027800,0.0
2019-11-27,37.75,37.95,37.49,37.95,2176400,0.0
2019-11-29,37.97,38.02,37.77,38.0,970600,0.0
2019-12-02,37.93,38.0,37.5,37.83,2141700,0.0
2019-12-03,37.67,38.01,37.55,37.97,2534900,0.0
2019-12-04,38.19,38.39,38.14,38.26,4817400,0.0
2019-12-05,38.38,38.51,38.24,38.47,2275500,0.0
2019-12-06,38.4,38.72,38.38,38.51,2366600,0.0
2019-12-09,38.52,38.9,38.5,38.8,5405800,0.0
2019-12-10,38.82,39.25,38.68,38.71,6797800,0.0
2019-12-11,38.83,38.9,38.55,38.65,2748800,0.0
2019-12-12,38.51,38.66,38.24,38.26,2469800,0.0
2019-12-13,38.28,38.34,37.98,38.31,3082700,0.0
2019-12-16,38.56,38.86,38.47,38.63,3302500,0.0
2019-12-17,38.7,38.85,38.5,38.53,3090500,0.0
2019-12-18,38.74,39.2,38.69,39.07,3686900,0.0
2019-12-19,39.02,39.17,38.92,39.11,2517800,0.0
2019-12-20,39.04,39.5,39.01,39.42,2772500,0.0
2019-12-23,39.47,39.59,39.3,39.57,1841000,0.0
2019-12-24,39.54,39.6,39.38,39.56,939000,0.0
2019-12-26,39.56,39.82,39.49,39.67,855700,0.0
2019-12-27,39.77,39.86,39.51,39.59,1366700,0.0
2019-12-30,39.63,39.66,39.39,39.55,2332900,0.0
2019-12-31,39.55,39.82,39.53,39.77,1876600,0.0
2020-01-02,39.8,39.97,39.56,39.71,2094200,0.0
2020-01-03,39.7,39.75,39.43,39.64,1824700,0.0
2020-01-06,39.7,40.07,39.65,40.01,2216800,0.0
2020-01-07,39.87,39.93,39.56,39.74,4846400,0.0
2020-01-08,39.68,40.0,39.62,39.91,2442800,0.0
2020-01-09,39.88,39.88,39.42,39.84,3075300,0.0
2020-01-10,39.84,40.0,39.67,39.94,2724500,0.0
2020-01-13,39.97,40.28,39.66,40.27,2852700,0.0
2020-01-14,40.39,40.4,40.06,40.23,1971200,0.0
2020-01-15,40.28,40.43,40.08,40.2,2580000,0.0
2020-01-16,40.28,40.54,40.23,40.49,2532100,0.0
2020-01-17,40.51,40.66,40.4,40.52,1851000,0.0
2020-01-21,40.66,40.91,40.65,40.74,5723100,0.0
2020-01-22,40.79,40.95,40.59,40.84,2820500,0.0
2020-01-23,40.84,41.07,40.61,41.0,2566600,0.0
2020-01-24,41.09,41.16,40.9,41.05,2537500,0.0
2020-01-27,40.54,40.88,40.5,40.83,2361100,0.0
2020-01-28,40.94,41.12,40.86,41.09,2440000,0.0
2020-01-29,41.13,41.23,40.98,41.13,1890300,0.0
2020-01-30,40.98,41.26,40.53,41.26,2676400,0.0
2020-01-31,40.95,41.02,40.47,40.67,4494900,0.0
2020-02-03,40.63,41.25,40.58,41.07,6059100,0.0
2020-02-04,41.35,41.89,41.13,41.24,8601100,0.0
2020-02-05,41.57,41.88,41.49,41.82,3757800,0.0
2020-02-06,41.83,42.21,41.77,42.11,5705800,0.0
2020-02-07,41.94,42.59,41.87,42.18,7870200,0.0
2020-02-10,42.2,42.59,42.16,42.58,6112200,0.0
2020-02-11,42.8,43.15,42.7,42.77,3259200,0.0
2020-02-12,43.03,43.1,42.71,43.06,3149800,0.0
2020-02-13,42.31,42.5,41.96,42.02,3550500,0.611
2020-02-14,41.51,42.25,41.28,42.2,4147800,0.0
2020-02-18,41.68,41.97,41.28,41.56,5690800,0.0
2020-02-19,41.62,42.04,41.58,41.97,3643100,0.0
2020-02-20,41.96,42.08,41.59,41.76,2777300,0.0
2020-02-21,41.5,42.08,41.45,41.87,2224600,0.0
2020-02-24,40.64,40.96,40.03,40.84,5013100,0.0
2020-02-25,40.94,41.16,39.73,39.87,5178900,0.0
2020-02-26,39.21,39.96,39.03,39.22,6319300,0.0
2020-02-27,38.23,38.27,37.08,37.66,9300200,0.0
2020-02-28,36.49,37.44,35.47,37.43,9498200,0.0
2020-03-02,37.72,38.27,37.03,38.2,6644000,0.0
2020-03-03,38.63,38.93,37.72,37.83,6161000,0.0
2020-03-04,38.58,38.97,38.33,38.83,4073700,0.0
2020-03-05,38.1,38.76,37.85,38.49,4512900,0.0
2020-03-06,37.5,38.14,37.02,38.02,6471400,0.0
2020-03-09,32.68,33.55,27.0,31.24,9757400,0.0
2020-03-10,33.54,33.58,29.8,32.33,9997300,0.0
2020-03-11,31.43,32.12,30.92,31.19,8807900,0.0
2020-03-12,28.62,29.04,25.59,25.96,10726800,0.0
2020-03-13,29.26,30.98,25.71,30.93,9964700,0.0
2020-03-16,26.17,29.25,25.82,27.31,6878400,0.0
2020-03-17,27.58,30.25,26.51,26.81,8159000,0.0
2020-03-18,25.03,26.11,22.57,23.92,9806500,0.0
2020-03-19,23.82,25.43,22.84,24.84,8099400,0.0
2020-03-20,25.64,27.89,25.27,25.63,9287700,0.0
2020-03-23,25.12,25.98,23.35,23.74,11320300,0.0
2020-03-24,25.19,27.04,25.19,26.92,11207100,0.0
2020-03-25,27.75,30.66,27.0,28.54,11164300,0.0
2020-03-26,28.98,30.65,28.65,29.74,8738000,0.0
2020-03-27,28.8,28.87,27.59,27.74,6093500,0.0
2020-03-30,27.4,28.26,26.42,28.2,5628300,0.0
2020-03-31,28.82,29.17,27.8,29.09,8370200,0.0
2020-04-01,27.98,28.23,26.9,27.21,6441600,0.0
2020-04-02,28.02,29.26,27.41,27.49,10258200,0.0
2020-04-03,28.04,28.26,27.38,27.95,7078600,0.0
2020-04-06,29.36,29.36,28.36,28.65,6060900,0.0
2020-04-07,29.93,29.93,28.09,28.16,7134900,0.0
2020-04-08,28.33,28.7,28.09,28.36,5947200,0.0
2020-04-09,28.83,29.27,28.36,28.7,9871900,0.0
2020-04-13,29.15,29.32,28.32,28.7,6217000,0.0
2020-04-14,28.95,29.56,28.73,29.51,6469400,0.0
2020-04-15,28.7,28.74,28.12,28.38,4304700,0.0
2020-04-16,28.4,28.97,28.33,28.5,5667400,0.0
2020-04-17,29.0,29.45,28.8,29.4,5829800,0.0
