Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,67.72,68.96,67.6,68.61,2766600,0.0
2019-01-03,68.24,68.24,66.22,66.63,2803500,0.0
2019-01-04,67.7,68.54,67.0,68.53,3801600,0.0
2019-01-07,68.75,69.63,68.16,68.73,2342300,0.0
2019-01-08,69.33,69.75,67.75,68.18,4316500,0.0
2019-01-09,68.96,69.6,68.85,69.06,3184000,0.0
2019-01-10,68.59,70.35,68.44,70.19,2261300,0.0
2019-01-11,69.63,70.37,69.63,70.22,1676700,0.0
2019-01-14,69.73,70.54,69.27,70.38,1858800,0.0
2019-01-15,70.54,70.54,69.22,69.88,1814900,0.0
2019-01-16,69.8,70.36,69.73,70.1,1791900,0.0
2019-01-17,69.58,71.31,69.58,70.97,1440300,0.0
2019-01-18,71.44,72.54,71.26,71.87,2472300,0.0
2019-01-22,71.45,71.45,69.71,70.44,4081800,0.0
2019-01-23,70.54,70.8,69.55,70.15,2593400,0.0
2019-01-24,70.13,70.63,69.86,70.16,2997500,0.0
2019-01-25,71.0,71.42,70.75,71.07,2733600,0.0
2019-01-28,69.8,69.84,67.97,69.11,4635700,0.0
2019-01-29,69.85,71.25,69.44,71.11,3605200,0.0
2019-01-30,72.0,73.04,70.95,72.88,3652000,0.0
2019-01-31,75.21,76.52,74.46,76.25,6272200,0.0
2019-02-01,76.29,76.58,75.27,76.48,4160700,0.0
2019-02-04,76.73,77.15,76.01,77.1,2862300,0.0
2019-02-05,77.11,77.21,76.5,77.15,2497000,0.0
2019-02-06,76.44,77.46,76.44,76.94,2475000,0.0
2019-02-07,76.63,77.13,75.7,76.36,2465900,0.0
2019-02-08,75.86,76.09,75.12,75.83,1903400,0.0
2019-02-11,75.89,75.98,75.33,75.63,1785400,0.0
2019-02-12,76.15,76.85,76.05,76.67,2658200,0.0
2019-02-13,77.07,77.83,76.86,77.67,2120400,0.0
2019-02-14,77.14,77.84,76.68,77.2,1898600,0.0
2019-02-15,77.97,78.81,77.78,78.73,2233300,0.0
2019-02-19,78.31,79.02,78.05,78.8,2001100,0.0
2019-02-20,78.97,79.78,78.77,79.72,2320500,0.0
2019-02-21,79.62,79.81,79.14,79.69,1935200,0.0
2019-02-22,80.0,80.87,79.75,80.79,2584200,0.0
2019-02-25,81.51,81.51,80.71,80.92,2233700,0.0
2019-02-26,80.54,81.2,80.45,80.49,1560200,0.0
2019-02-27,80.38,80.68,79.7,80.64,2082700,0.0
2019-02-28,80.66,80.69,79.7,79.77,2560100,0.0
2019-03-01,81.25,81.36,79.04,80.23,4037800,0.0
2019-03-04,81.27,82.08,80.2,81.3,4052900,0.0
2019-03-05,81.15,81.44,80.68,80.8,3225500,0.0
2019-03-06,80.73,81.34,80.54,80.95,3900100,0.0
2019-03-07,80.12,80.12,78.74,79.93,2853500,0.71
2019-03-08,78.86,79.7,78.76,79.38,2249600,0.0
2019-03-11,79.2,80.37,79.15,80.31,2394200,0.0
2019-03-12,81.09,81.1,80.14,80.36,3430100,0.0
2019-03-13,80.71,81.19,80.28,80.59,2225100,0.0
2019-03-14,80.43,81.2,79.93,80.99,2476700,0.0
2019-03-15,80.94,81.42,80.43,80.58,4940000,0.0
2019-03-18,80.82,82.25,80.75,82.1,2971400,0.0
2019-03-19,82.59,82.84,81.83,82.22,2232100,0.0
2019-03-20,82.15,82.15,80.88,81.23,3261900,0.0
2019-03-21,80.81,82.3,80.78,82.01,1891200,0.0
2019-03-22,81.51,81.71,78.86,79.02,3797700,0.0
2019-03-25,79.0,79.57,78.62,78.96,2801500,0.0
2019-03-26,79.75,79.92,79.08,79.52,2062400,0.0
2019-03-27,79.54,80.06,78.95,79.37,2136200,0.0
2019-03-28,79.85,80.35,79.24,79.86,1767000,0.0
2019-03-29,80.65,80.67,80.25,80.56,2173100,0.0
2019-04-01,81.56,82.39,81.26,82.24,2124600,0.0
2019-04-02,82.49,82.94,82.13,82.64,1699200,0.0
2019-04-03,83.15,83.67,82.47,82.87,2080300,0.0
2019-04-04,82.24,83.24,82.24,83.18,1917400,0.0
2019-04-05,83.29,83.68,83.1,83.25,1542900,0.0
2019-04-08,83.0,83.69,82.52,83.68,1417900,0.0
2019-04-09,83.23,83.23,82.23,82.35,1984000,0.0
2019-04-10,82.44,82.75,81.98,82.42,1407800,0.0
2019-04-11,82.74,83.18,82.5,82.98,1349700,0.0
2019-04-12,83.59,83.9,83.08,83.88,1510400,0.0
2019-04-15,83.88,84.0,83.27,83.61,876500,0.0
2019-04-16,84.0,84.24,83.56,84.15,1822000,0.0
2019-04-17,84.73,85.25,84.14,84.43,1685100,0.0
2019-04-18,84.93,85.49,84.75,85.21,1637700,0.0
2019-04-22,84.68,85.07,84.45,84.94,1222900,0.0
2019-04-23,84.8,86.08,84.73,85.59,2058900,0.0
2019-04-24,85.44,85.87,85.21,85.34,1569500,0.0
2019-04-25,84.48,84.77,83.64,83.8,1599000,0.0
2019-04-26,83.96,84.02,83.07,83.77,2454800,0.0
2019-04-29,84.2,84.47,83.56,83.99,2426500,0.0
2019-04-30,82.49,83.52,80.68,82.82,4759300,0.0
2019-05-01,83.27,84.2,81.83,81.91,3525600,0.0
2019-05-02,81.17,82.05,80.77,81.42,3072200,0.71
2019-05-03,81.82,82.82,81.79,82.8,1982200,0.0
2019-05-06,81.53,82.3,80.76,82.04,1828500,0.0
2019-05-07,80.94,81.24,80.42,81.03,2654600,0.0
2019-05-08,80.88,81.69,80.76,80.96,2822500,0.0
2019-05-09,80.16,81.09,79.83,80.96,1957800,0.0
2019-05-10,80.77,81.83,79.43,81.49,1833200,0.0
2019-05-13,79.63,79.95,78.22,78.5,2729600,0.0
2019-05-14,78.88,79.65,78.7,79.15,1853500,0.0
2019-05-15,78.66,79.86,78.42,79.54,1315300,0.0
2019-05-16,79.74,80.31,79.51,80.01,1419900,0.0
2019-05-17,79.11,79.9,78.63,78.75,1607800,0.0
2019-05-20,78.12,78.82,77.92,78.42,1332800,0.0
2019-05-21,78.97,80.15,78.91,79.92,2048100,0.0
2019-05-22,79.52,79.81,78.86,78.93,1915400,0.0
2019-05-23,78.03,78.06,76.71,77.03,2020000,0.0
2019-05-24,77.65,77.85,77.03,77.39,1661500,0.0
2019-05-28,77.36,77.56,76.12,76.19,1958100,0.0
2019-05-29,75.75,76.35,75.21,75.59,2337900,0.0
2019-05-30,75.71,76.32,75.54,75.85,1265700,0.0
2019-05-31,74.87,74.87,74.29,74.49,1840100,0.0
2019-06-03,74.57,76.01,74.42,75.38,2132100,0.0
2019-06-04,76.27,78.04,76.06,77.77,2419000,0.0
2019-06-05,78.47,78.71,77.55,78.22,1747500,0.0
2019-06-06,78.64,78.78,77.59,78.3,1626300,0.0
2019-06-07,78.91,79.4,78.71,79.08,1739400,0.0
2019-06-10,79.54,80.12,79.11,79.32,1424000,0.0
2019-06-11,80.0,80.56,79.03,79.21,1724900,0.0
2019-06-12,79.11,79.26,78.34,78.67,1328200,0.0
2019-06-13,79.27,79.4,78.63,79.29,1487100,0.0
2019-06-14,78.76,79.08,77.74,78.37,1380700,0.0
2019-06-17,78.2,78.47,77.46,77.64,1315700,0.0
2019-06-18,78.12,79.76,78.08,79.47,1732100,0.0
2019-06-19,79.77,80.23,79.4,79.95,2498600,0.0
2019-06-20,81.4,82.92,81.18,82.64,4201200,0.0
2019-06-21,82.86,83.74,82.23,83.22,4828400,0.0
2019-06-24,82.92,83.31,81.85,82.27,2754800,0.0
2019-06-25,82.37,82.67,81.94,82.08,3184200,0.0
2019-06-26,82.35,82.89,82.16,82.63,1859200,0.0
2019-06-27,82.83,83.39,81.94,82.72,2214700,0.0
2019-06-28,82.87,83.48,82.72,83.28,3083500,0.0
2019-07-01,84.55,84.7,82.9,83.18,2299900,0.0
2019-07-02,82.88,82.88,80.99,81.74,2848200,0.0
2019-07-03,81.75,82.37,81.33,82.32,1082000,0.0
2019-07-05,81.66,81.84,80.48,81.81,1322700,0.0
2019-07-08,81.22,82.22,80.86,81.26,1339000,0.0
2019-07-09,80.6,80.83,79.91,80.25,3711800,0.0
2019-07-10,80.59,81.06,78.98,79.04,2177500,0.0
2019-07-11,79.29,79.34,78.24,79.15,2869200,0.0
2019-07-12,79.62,81.55,79.3,81.21,2058500,0.0
2019-07-15,81.22,81.41,80.32,80.69,1988400,0.0
2019-07-16,80.61,81.41,80.2,81.15,2163100,0.0
2019-07-17,81.05,81.14,79.32,79.35,1705900,0.0
2019-07-18,79.27,79.43,78.7,79.06,2721600,0.0
2019-07-19,79.63,80.48,79.38,79.86,2380400,0.0
2019-07-22,80.04,80.48,79.46,79.56,1699500,0.0
2019-07-23,80.13,81.87,79.65,81.81,2702600,0.0
2019-07-24,81.23,82.86,80.91,82.73,2009900,0.0
2019-07-25,82.56,82.76,81.57,81.98,2180300,0.0
2019-07-26,81.62,82.1,81.13,81.57,1783700,0.0
2019-07-29,81.45,81.65,80.67,81.07,2472500,0.0
2019-07-30,80.59,83.94,79.74,83.12,3136800,0.0
2019-07-31,83.08,83.38,81.33,82.19,4566400,0.0
2019-08-01,81.23,82.84,79.68,79.97,3125000,0.71
2019-08-02,79.57,80.03,78.98,79.3,2683500,0.0
2019-08-05,77.91,78.03,76.46,76.83,3098500,0.0
2019-08-06,78.28,79.08,77.1,78.89,2404300,0.0
2019-08-07,77.72,78.46,76.33,78.09,3220400,0.0
2019-08-08,78.71,80.02,78.71,79.76,1879000,0.0
2019-08-09,79.3,79.71,78.26,79.03,2388300,0.0
2019-08-12,78.55,78.84,77.77,77.95,2131200,0.0
2019-08-13,78.02,80.37,77.62,79.41,2343500,0.0
2019-08-14,77.6,77.94,74.95,75.19,5155700,0.0
2019-08-15,75.28,76.07,74.86,75.91,2479600,30.0
2019-08-16,76.37,77.68,76.3,77.32,1655200,0.0
2019-08-19,78.91,79.36,78.44,79.14,2158600,0.0
2019-08-20,79.0,79.0,77.98,78.16,1610000,0.0
2019-08-21,79.26,79.3,78.26,78.65,1483000,0.0
2019-08-22,78.98,79.08,77.73,78.37,1631500,0.0
2019-08-23,77.89,78.17,76.09,76.59,4322800,0.0
2019-08-26,77.16,77.4,76.05,76.83,1670000,0.0
2019-08-27,77.43,77.43,76.49,76.86,1854000,0.0
2019-08-28,76.5,77.99,76.12,77.87,1347000,0.0
2019-08-29,78.95,79.78,78.8,79.64,1646900,0.0
2019-08-30,80.44,81.29,80.29,80.72,2715700,0.0
2019-09-03,79.52,79.6,77.62,78.49,3527600,0.0
2019-09-04,79.3,79.76,78.92,79.17,1660100,0.0
2019-09-05,80.43,82.42,80.28,81.95,2243600,0.0
2019-09-06,81.98,83.49,81.71,83.25,1983900,0.0
2019-09-09,83.82,84.93,83.49,84.85,2055200,0.0
2019-09-10,85.0,86.86,85.0,86.84,3290300,0.0
2019-09-11,86.89,88.07,85.82,88.03,1999300,0.0
2019-09-12,88.01,88.1,86.7,87.3,2330300,0.0
2019-09-13,87.91,89.07,87.14,87.47,3175600,0.0
2019-09-16,86.97,86.99,85.86,86.46,1563400,0.0
2019-09-17,85.54,86.21,85.05,86.1,1500900,0.0
2019-09-18,85.43,85.86,84.05,84.98,2518800,0.0
2019-09-19,85.34,85.72,84.38,84.51,1835700,0.0
2019-09-20,84.8,85.31,83.49,83.57,3040700,0.0
2019-09-23,82.97,84.43,82.71,83.91,2207600,0.0
2019-09-24,84.14,84.29,81.8,82.32,2784500,0.0
2019-09-25,82.04,83.18,81.8,82.67,2382600,0.0
2019-09-26,82.63,82.83,82.0,82.49,1900800,0.0
2019-09-27,82.89,83.29,81.78,83.01,1503800,0.0
2019-09-30,83.35,83.56,82.77,83.15,1749300,0.0
2019-10-01,83.92,84.05,80.41,80.8,1806500,0.0
2019-10-02,79.68,79.68,76.86,77.76,2757700,0.0
2019-10-03,77.57,78.65,76.43,78.47,1550000,0.0
2019-10-04,78.54,79.42,78.43,79.32,1500600,0.0
2019-10-07,79.13,79.55,78.09,78.3,1929500,0.0
2019-10-08,77.38,77.39,76.2,76.25,1756800,0.0
2019-10-09,76.69,77.67,76.11,77.39,2219000,0.0
2019-10-10,77.65,79.2,77.5,78.6,1888500,0.0
2019-10-11,80.22,82.81,80.1,81.36,2704700,0.0
2019-10-14,80.91,81.27,80.4,80.86,1591700,0.0
2019-10-15,80.88,82.49,80.1,82.12,1915700,0.0
2019-10-16,80.81,82.87,80.81,81.07,2590600,0.0
2019-10-17,81.8,82.52,81.04,81.41,4678300,0.0
2019-10-18,81.47,82.91,81.39,82.56,1981800,0.0
2019-10-21,83.0,84.04,82.97,83.5,1869500,0.0
2019-10-22,83.71,85.16,83.18,84.72,1617000,0.0
2019-10-23,84.75,84.92,84.02,84.66,1542800,0.0
2019-10-24,84.99,85.17,83.87,84.25,1546900,0.0
2019-10-25,84.85,85.91,84.27,85.62,2083400,0.0
2019-10-28,86.48,87.63,86.48,87.22,3246400,0.0
2019-10-29,86.49,89.45,85.63,88.96,3551800,0.0
2019-10-30,88.98,88.98,87.22,88.25,2327000,0.0
2019-10-31,87.41,87.54,85.93,87.11,1953400,0.71
2019-11-01,87.61,88.64,86.89,88.61,2250100,0.0
2019-11-04,89.5,91.2,89.19,91.16,2523100,0.0
2019-11-05,90.87,91.65,89.89,90.64,2242100,0.0
2019-11-06,90.75,91.22,90.01,91.2,2097400,0.0
2019-11-07,91.89,92.15,90.68,90.9,1885900,0.0
2019-11-08,90.67,92.37,90.46,92.22,1981000,0.0
2019-11-11,90.98,92.0,90.98,91.88,1110000,0.0
2019-11-12,91.6,92.96,91.54,92.35,3600200,0.0
2019-11-13,91.48,91.85,90.57,90.78,2115900,0.0
2019-11-14,90.61,91.18,90.49,90.89,1166800,0.0
2019-11-15,91.7,92.16,91.36,91.79,1914000,0.0
2019-11-18,90.91,91.67,90.2,90.73,2306800,0.0
2019-11-19,90.73,90.86,89.87,90.21,2873800,0.0
2019-11-20,89.9,90.23,89.15,89.82,1855700,0.0
2019-11-21,89.98,90.19,89.36,90.16,1609900,0.0
2019-11-22,90.68,91.07,90.25,90.74,1652300,0.0
2019-11-25,91.37,92.53,90.71,92.15,3961100,0.0
2019-11-26,91.96,92.77,91.7,92.7,2510300,0.0
2019-11-27,92.67,93.12,91.84,93.0,1477500,0.0
2019-11-29,92.97,92.97,92.29,92.5,1032400,0.0
2019-12-02,92.98,93.38,91.94,91.98,2387800,0.0
2019-12-03,90.96,91.79,90.35,91.4,2899100,0.0
2019-12-04,90.86,92.64,90.86,91.12,2832600,0.0
2019-12-05,91.92,91.98,90.93,91.86,2982800,0.0
2019-12-06,93.34,93.76,92.57,93.08,1562300,0.0
2019-12-09,92.91,93.05,92.51,92.76,3366900,0.0
2019-12-10,92.76,93.37,92.18,92.68,1574100,0.0
2019-12-11,93.09,93.5,92.16,93.39,2135000,0.0
2019-12-12,93.5,94.64,93.07,94.45,2735100,0.0
2019-12-13,94.19,94.96,93.21,93.6,1844900,0.0
2019-12-16,94.05,94.83,93.9,94.08,1891500,0.0
2019-12-17,94.67,94.96,94.15,94.23,1693600,0.0
2019-12-18,94.21,94.48,93.44,94.43,2008400,0.0
2019-12-19,94.52,94.75,93.87,94.24,3015800,0.0
2019-12-20,94.99,95.46,94.08,94.4,5245700,0.0
2019-12-23,94.72,95.28,94.16,95.13,2332400,0.0
2019-12-24,95.36,95.36,94.3,94.48,664200,0.0
2019-12-26,94.66,95.05,94.26,95.04,1264600,0.0
2019-12-27,95.34,95.39,94.83,94.99,1004300,0.0
2019-12-30,94.95,95.48,94.56,94.93,1451900,0.0
2019-12-31,94.78,95.29,94.41,94.72,1461800,0.0
2020-01-02,95.24,95.88,94.24,95.87,2380800,0.0
2020-01-03,94.23,95.24,93.71,95.16,1557900,0.0
2020-01-06,94.54,95.43,94.27,95.34,3665200,0.0
2020-01-07,94.16,95.0,94.01,94.84,2631000,0.0
2020-01-08,94.84,95.56,94.65,95.13,2480500,0.0
2020-01-09,95.61,95.64,94.82,95.19,2736900,0.0
2020-01-10,95.52,95.61,94.7,94.98,2213000,0.0
2020-01-13,94.63,95.03,94.25,94.86,1638300,0.0
2020-01-14,95.05,95.19,93.99,94.1,2349900,0.0
2020-01-15,93.55,94.29,93.34,93.9,2653200,0.0
2020-01-16,94.71,94.84,93.98,94.82,1677000,0.0
2020-01-17,94.79,95.95,94.62,95.68,2978600,0.0
2020-01-21,95.35,95.49,94.32,94.52,3505200,0.0
2020-01-22,98.32,99.82,96.59,97.16,5604100,0.0
2020-01-23,96.33,97.97,95.41,97.9,3081300,0.0
2020-01-24,98.26,98.31,96.43,96.84,2626000,0.0
2020-01-27,94.86,95.15,93.96,94.64,2194200,0.0
2020-01-28,94.84,97.02,94.68,96.27,3394200,0.0
2020-01-29,96.87,97.48,96.12,96.87,2108100,0.0
2020-01-30,95.62,97.41,95.49,97.23,2680500,0.0
2020-01-31,96.38,96.86,94.03,94.47,4701800,0.0
2020-02-03,95.06,96.81,94.95,95.49,2745700,0.0
2020-02-04,97.97,101.54,97.86,100.91,4735400,0.0
2020-02-05,102.32,103.21,101.68,102.34,3339400,0.0
2020-02-06,103.5,103.5,101.86,102.48,2507900,0.0
2020-02-07,101.9,102.94,101.13,101.96,3064000,0.0
2020-02-10,101.84,102.93,101.5,102.91,2039600,0.0
2020-02-11,103.42,104.39,103.01,103.53,2481300,0.0
2020-02-12,104.5,104.97,103.8,104.03,2006200,0.0
2020-02-13,103.41,103.98,102.82,102.89,2059500,0.0
2020-02-14,102.96,103.6,102.51,103.55,1991900,0.0
2020-02-18,104.03,104.64,103.52,104.47,2298400,0.0
2020-02-19,104.5,104.98,104.16,104.31,1873100,0.0
2020-02-20,104.26,105.78,104.1,105.1,1755700,0.0
2020-02-21,104.23,105.14,103.81,104.93,2465700,0.0
2020-02-24,101.67,102.65,101.12,101.65,4177700,0.0
2020-02-25,101.95,102.46,98.1,98.21,4140900,0.0
2020-02-26,98.89,99.74,96.58,96.58,4108600,0.0
2020-02-27,94.34,96.63,92.63,93.24,5546400,0.0
2020-02-28,90.82,92.1,89.08,90.72,6790100,0.0
2020-03-02,91.5,95.75,91.01,95.68,5188800,0.0
2020-03-03,96.27,99.26,92.49,92.85,5114600,0.0
2020-03-04,94.71,98.2,94.43,98.12,4269000,0.0
2020-03-05,94.92,96.4,93.32,93.66,3980400,0.0
2020-03-06,90.31,93.93,90.08,92.77,4760000,0.0
2020-03-09,85.09,86.47,78.0,83.13,5205800,0.0
2020-03-10,86.23,89.52,84.63,89.06,4974000,0.0
2020-03-11,86.41,87.5,83.11,84.37,4422800,0.0
2020-03-12,78.25,80.49,75.01,75.92,5814900,0.73
2020-03-13,80.82,87.04,78.19,85.56,5711900,0.0
2020-03-16,75.81,81.28,74.87,75.32,4825300,0.0
2020-03-17,76.9,77.98,70.28,73.74,5774000,0.0
2020-03-18,68.13,69.44,58.72,68.82,5784500,0.0
2020-03-19,67.52,72.68,62.1,72.45,4599000,0.0
2020-03-20,73.86,73.86,64.47,64.93,4540900,0.0
2020-03-23,63.83,64.31,56.42,57.77,6096900,0.0
2020-03-24,61.64,72.41,61.17,71.21,5155900,0.0
2020-03-25,72.09,79.31,69.41,74.6,5259100,0.0
2020-03-26,76.29,78.96,73.82,78.25,3073400,0.0
2020-03-27,73.03,76.51,71.92,74.54,2621400,0.0
2020-03-30,74.42,78.71,74.0,78.32,2873400,0.0
2020-03-31,77.67,79.04,75.87,77.69,5641200,0.0
2020-04-01,72.57,74.04,71.13,73.14,3769700,0.0
2020-04-02,72.44,75.09,71.58,73.59,3162500,0.0
2020-04-03,74.12,74.12,70.34,71.25,2606700,0.0
2020-04-06,75.21,77.89,75.13,77.4,3109300,0.0
2020-04-07,81.17,82.25,75.94,76.16,3372100,0.0
2020-04-08,77.24,80.7,76.13,80.14,3272800,0.0
2020-04-09,80.69,84.84,80.5,81.44,4472100,0.0
2020-04-13,79.4,79.93,76.74,78.39,2238200,0.0
2020-04-14,80.51,81.24,78.68,79.84,1943400,0.0
2020-04-15,77.76,78.01,75.39,75.74,2040500,0.0
2020-04-16,75.6,76.24,74.35,75.82,2961000,0.0
2020-04-17,78.58,80.88,78.12,79.26,2450900,0.0
2020-04-20,77.53,79.45,76.71,77.89,2181200,0.0
2020-04-21,76.71,77.86,75.8,76.91,2400300,0.0
2020-04-22,78.92,79.68,77.5,77.65,2639300,0.0
2020-04-23,78.78,80.29,78.03,78.15,2289100,0.0
2020-04-24,78.98,79.38,77.7,78.86,2085100,0.0
2020-04-27,79.29,83.23,79.29,82.54,1992300,0.0
