Date,Open,High,Low,Close,Volume,Dividend
2019-01-02,61.76,64.01,61.5,63.44,7839400,0.0
2019-01-03,66.29,67.25,65.14,65.25,14631300,0.0
2019-01-04,66.25,68.43,66.04,68.25,9639500,0.0
2019-01-07,68.1,68.93,67.37,68.56,10504100,0.0
2019-01-08,68.85,69.15,67.09,68.09,7527400,0.0
2019-01-09,68.2,68.66,67.54,67.94,5770000,0.0
2019-01-10,67.74,68.27,67.09,68.04,5715900,0.0
2019-01-11,67.8,68.4,67.44,68.16,5663100,0.0
2019-01-14,67.77,67.94,67.11,67.25,9172500,0.0
2019-01-15,67.19,68.71,67.03,68.52,7199500,0.0
2019-01-16,68.27,68.87,67.55,67.64,6142300,0.0
2019-01-17,67.54,68.96,67.46,68.65,5224500,0.0
2019-01-18,69.24,69.58,68.51,69.18,8358800,0.0
2019-01-22,68.74,68.82,68.02,68.55,9827000,0.0
2019-01-23,68.52,69.51,67.82,68.25,6952600,0.0
2019-01-24,68.43,68.46,67.52,67.86,7750900,0.0
2019-01-25,68.17,69.28,68.1,68.9,8809600,0.0
2019-01-28,68.42,69.0,67.36,67.91,7120000,0.0
2019-01-29,68.07,69.96,68.04,69.59,6989300,0.0
2019-01-30,69.42,70.3,68.6,69.83,5113400,0.0
2019-01-31,69.81,70.32,69.08,70.01,8343700,0.0
2019-02-01,70.0,70.5,69.36,70.05,6502100,0.0
2019-02-04,69.86,70.26,69.22,70.05,6913800,0.0
2019-02-05,67.75,69.02,66.75,67.68,14500600,0.0
2019-02-06,67.58,69.31,67.27,68.75,7580200,0.0
2019-02-07,68.43,68.77,66.92,67.28,6643400,0.0
2019-02-08,66.92,67.61,66.34,67.47,5522200,0.0
2019-02-11,67.62,67.97,67.29,67.62,5505500,0.0
2019-02-12,64.78,65.44,63.96,65.4,15927900,0.0
2019-02-13,65.57,66.67,65.49,65.94,9047500,0.0
2019-02-14,66.13,66.79,65.68,66.37,5737100,0.0
2019-02-15,66.71,67.69,66.5,67.59,6214200,0.0
2019-02-19,67.34,67.77,66.65,66.76,6396200,0.0
2019-02-20,66.67,67.29,66.52,66.98,5679800,0.0
2019-02-21,66.93,66.96,65.24,65.55,5607900,0.0
2019-02-22,65.61,65.96,65.33,65.74,4925500,0.0
2019-02-25,66.06,66.06,65.23,65.35,7090500,0.0
2019-02-26,65.25,65.82,65.09,65.28,5957800,0.0
2019-02-27,65.11,66.11,65.01,65.57,7645100,0.0
2019-02-28,65.2,65.66,64.73,65.02,7227300,0.0
2019-03-01,65.62,66.28,65.4,66.01,6002500,0.0
2019-03-04,66.2,66.47,64.9,65.45,8409600,0.0
2019-03-05,65.23,65.65,64.35,64.39,7405400,0.0
2019-03-06,64.45,64.59,62.76,62.92,9442500,0.0
2019-03-07,62.93,63.19,61.96,62.53,7618500,0.0
2019-03-08,62.23,63.41,62.0,63.23,7639700,0.0
2019-03-11,63.37,64.54,63.07,64.34,5207900,0.0
2019-03-12,64.54,65.28,64.16,64.83,5235600,0.0
2019-03-13,65.19,65.95,64.88,65.75,6276300,0.0
2019-03-14,65.04,65.3,64.35,64.79,7958500,0.63
2019-03-15,64.73,65.79,64.73,65.63,11976800,0.0
2019-03-18,65.79,65.9,64.83,65.02,8066900,0.0
2019-03-19,65.0,66.1,64.9,65.49,6860800,0.0
2019-03-20,65.07,65.25,64.38,64.6,8408200,0.0
2019-03-21,64.14,65.02,63.0,64.92,9069500,0.0
2019-03-22,64.86,65.1,63.7,63.77,5911900,0.0
2019-03-25,63.8,63.99,62.93,63.79,7686800,0.0
2019-03-26,64.05,64.95,63.95,64.24,6332400,0.0
2019-03-27,64.14,64.56,63.46,63.66,5919600,0.0
2019-03-28,63.92,63.94,63.17,63.69,5256000,0.0
2019-03-29,64.9,65.63,64.65,65.01,9601400,0.0
2019-04-01,65.54,66.24,65.25,65.88,5757300,0.0
2019-04-02,65.69,66.78,65.69,66.24,6932100,0.0
2019-04-03,66.68,66.78,66.18,66.66,6687000,0.0
2019-04-04,66.63,67.24,66.53,66.84,5713800,0.0
2019-04-05,67.2,68.07,66.91,67.54,5401100,0.0
2019-04-08,67.39,67.81,66.9,67.38,5308400,0.0
2019-04-09,67.27,67.62,65.94,66.09,5908000,0.0
2019-04-10,67.23,67.57,66.78,67.4,7451400,0.0
2019-04-11,67.84,68.0,66.03,66.31,5994400,0.0
2019-04-12,66.76,66.84,65.08,65.28,6975400,0.0
2019-04-15,65.4,65.96,64.5,65.43,4766400,0.0
2019-04-16,65.85,66.15,64.35,64.54,5820700,0.0
2019-04-17,64.58,64.7,63.15,63.25,7888400,0.0
2019-04-18,63.61,63.61,61.56,62.95,11552900,0.0
2019-04-22,62.78,63.33,61.55,61.87,11480600,0.0
2019-04-23,62.07,63.35,61.89,63.04,10286600,0.0
2019-04-24,63.16,63.19,62.2,62.8,6130200,0.0
2019-04-25,62.47,64.33,62.05,64.14,7944700,0.0
2019-04-26,64.43,65.32,64.31,65.15,8144600,0.0
2019-04-29,65.06,65.6,64.81,64.92,5252500,0.0
2019-04-30,64.95,65.26,63.95,65.04,7164900,0.0
2019-05-01,64.82,65.61,64.46,64.87,5779700,0.0
2019-05-02,64.71,65.39,64.2,65.3,5735800,0.0
2019-05-03,65.97,67.74,65.9,67.13,8822500,0.0
2019-05-06,66.33,67.8,66.04,67.69,6304700,0.0
2019-05-07,67.05,67.5,65.93,66.4,7281300,0.0
2019-05-08,66.18,66.44,65.21,66.07,6509500,0.0
2019-05-09,65.57,66.49,64.76,66.13,6116700,0.0
2019-05-10,66.04,66.28,64.12,65.57,5953400,0.0
2019-05-13,64.42,64.53,63.16,64.17,8146000,0.0
2019-05-14,64.24,65.61,64.1,65.08,6810900,0.0
2019-05-15,64.67,65.78,64.39,65.3,5381500,0.0
2019-05-16,65.59,66.71,65.49,65.78,7535400,0.0
2019-05-17,65.77,67.22,65.6,66.36,6660900,0.0
2019-05-20,65.99,66.23,65.57,65.86,4473900,0.0
2019-05-21,66.22,66.72,65.81,66.52,5118200,0.0
2019-05-22,66.26,66.8,65.73,66.5,5764800,0.0
2019-05-23,66.75,67.46,66.37,67.17,6707200,0.0
2019-05-24,67.3,67.47,66.45,66.89,4197900,0.0
2019-05-28,65.31,65.79,63.95,63.97,9821600,0.0
2019-05-29,63.61,63.73,62.84,63.37,7193700,0.0
2019-05-30,63.46,63.64,62.81,63.34,4311900,0.0
2019-05-31,62.77,63.06,62.17,62.25,4871900,0.0
2019-06-03,62.5,64.44,62.18,63.63,9150900,0.0
2019-06-04,63.97,64.72,63.66,64.32,5647800,0.0
2019-06-05,64.8,64.84,63.6,64.44,5226500,0.0
2019-06-06,64.45,64.8,63.57,63.73,4982500,0.0
2019-06-07,64.14,65.63,63.47,65.35,6255100,0.0
2019-06-10,65.4,66.27,65.28,66.12,5942700,0.0
2019-06-11,66.13,66.83,65.95,66.1,5144600,0.0
2019-06-12,66.38,67.46,66.21,66.78,6406800,0.0
2019-06-13,66.31,67.25,66.3,66.99,4452900,0.63
2019-06-14,66.91,66.98,66.2,66.36,5333800,0.0
2019-06-17,66.47,67.45,66.07,67.1,5287300,0.0
2019-06-18,67.65,68.9,67.38,68.2,7385700,0.0
2019-06-19,68.03,68.4,67.65,68.26,4643100,0.0
2019-06-20,68.79,69.32,67.71,68.57,4968300,0.0
2019-06-21,68.53,69.47,68.27,69.38,8718500,0.0
2019-06-24,69.13,69.48,68.7,68.84,4013700,0.0
2019-06-25,68.75,69.98,68.13,68.48,6293200,0.0
2019-06-26,68.5,68.54,66.58,66.68,9479000,0.0
2019-06-27,66.64,67.39,66.26,67.08,5996900,0.0
2019-06-28,67.15,68.02,66.86,67.56,19742500,0.0
2019-07-01,68.0,68.86,67.28,67.83,6014500,0.0
2019-07-02,68.64,68.94,67.96,68.84,6010200,0.0
2019-07-03,69.07,69.07,68.32,69.0,2906000,0.0
2019-07-05,68.56,69.35,68.35,68.53,4118300,0.0
2019-07-08,68.27,68.47,66.36,67.48,7191900,0.0
2019-07-09,67.18,68.18,66.75,67.75,5201400,0.0
2019-07-10,68.0,68.53,66.9,67.46,4072300,0.0
2019-07-11,67.01,67.39,65.54,66.19,5833100,0.0
2019-07-12,66.17,66.68,65.89,66.26,4740700,0.0
2019-07-15,66.98,68.25,66.84,68.07,7495100,0.0
2019-07-16,68.07,68.2,66.51,66.94,5573200,0.0
2019-07-17,67.13,67.42,66.81,66.92,4858500,0.0
2019-07-18,66.63,67.6,66.3,67.21,4002500,0.0
2019-07-19,67.52,67.53,64.91,65.04,8876400,0.0
2019-07-22,65.3,65.82,64.75,64.91,6302600,0.0
2019-07-23,65.07,66.44,64.68,66.4,7854200,0.0
